CO/VISN,Office/Facility,Station,Occupation,Specialty,Specialty Name,NbrEmps,ID
21,"HCS San Francisco, CA",662,602,31,PSYCHIATRY,2,
20,"HCS Puget Sound, WA",663,602,31,PSYCHIATRY,3,
22,"HCS San Diego, CA",664,602,31,PSYCHIATRY,4,
20,"VAMC Spokane, WA",668,602,31,PSYCHIATRY,1,
17,HCS South Texas (San Antonio),671,602,31,PSYCHIATRY,6,
8,"HCS San Juan, PR",672,602,H1,PSYCHIATRY FELW,1,
8,"HCS San Juan, PR",672,602,31,PSYCHIATRY,1,
17,HCS Central Texas (Temple),674,602,31,PSYCHIATRY,3,
18,HCS Southern AZ (Tucson),678,602,31,PSYCHIATRY,4,
5,"VAMC Washington, DC",688,602,31,PSYCHIATRY,9,
1,HCS Connecticut (West Haven),689,602,31,PSYCHIATRY,1,
22,"HCS Greater Los Angeles, CA",691,602,31,PSYCHIATRY,3,
12,"VAMC Milwaukee, WI",695,602,31,PSYCHIATRY,1,
17,HCS Texas Valley Coastal Bend (Harlingen),740,602,31,PSYCHIATRY,1,
17,"HCS El Paso, TX",756,602,31,PSYCHIATRY,2,
10,"OPC Columbus, OH",757,602,31,PSYCHIATRY,3,
2,"VAMC Albany, NY",528 D,602,31,PSYCHIATRY,1,528al
15,"VAMC Columbia, MO",589 CA,602,31,PSYCHIATRY,1,589co
15,HCS Eastern Kansas,589 EA,602,31,PSYCHIATRY,3,589ea
15,"VAMC Wichita, KS",589 WA,602,31,PSYCHIATRY,1,589wi
23,"HCS Iowa City, IA",636 I,602,31,PSYCHIATRY,2,636io
15,"VAMC Marion, IL",657 MA,602,31,PSYCHIATRY,4,657ma
15,"VAMC Poplar Bluff, MO",657 PA,602,31,PSYCHIATRY,1,657po
