CO/VISN,Office/Facility,Station,Occupation,Specialty,Specialty Name,NbrEmps,ID
23,"HCS Sioux Falls, SD",438,602,40,GERIATRICS                   ,1,
23,"HCS Sioux Falls, SD",438,602,43,PATHOLOGY                    ,1,
23,"HCS Sioux Falls, SD",438,602,P1,PRIMARY CARE                 ,3,
23,"HCS Sioux Falls, SD",438,610,M2,RN/CASE MGR/CARE             ,3,
23,"HCS Sioux Falls, SD",438,610,N4,NP MENTAL HEALTH SUD         ,1,
23,"HCS Sioux Falls, SD",438,610,N5,NP-OTHER                     ,1,
23,"HCS Sioux Falls, SD",438,610,Q1,RN/STAFF-OUTPATIENT          ,5,
23,"HCS Sioux Falls, SD",438,610,Q2,RN/STAFF-MIXED               ,1,
23,"HCS Sioux Falls, SD",438,610,S6,"RN, GEN CLIN CONSLT          ",1,
19,"VAMC Cheyenne, WY",442,602,25,GASTROENTEROLOGY             ,1,
19,"VAMC Cheyenne, WY",442,602,31,PSYCHIATRY                   ,3,
19,"VAMC Cheyenne, WY",442,602,49,FAMILY PRACTICE              ,2,
19,"VAMC Cheyenne, WY",442,610,0,MISC TITLE 38/WA/CL          ,2,
19,"VAMC Cheyenne, WY",442,610,75,NURSE PRACTIONER             ,3,
19,"VAMC Cheyenne, WY",442,610,87,"RN,MGR/HEAD NURSE            ",1,
19,"VAMC Cheyenne, WY",442,610,88,STAFF NURSE                  ,10,
21,"HCS Pacific Islands (Honolulu, HI)",459,602,7,ORTHOPEDIC SURGERY           ,1,
21,"HCS Pacific Islands (Honolulu, HI)",459,602,21,GEN INTERNAL MED             ,5,
21,"HCS Pacific Islands (Honolulu, HI)",459,602,31,PSYCHIATRY                   ,2,
21,"HCS Pacific Islands (Honolulu, HI)",459,602,38,RADIOLOGY-DIAGNOSTIC         ,1,
21,"HCS Pacific Islands (Honolulu, HI)",459,602,40,GERIATRICS                   ,1,
21,"HCS Pacific Islands (Honolulu, HI)",459,602,44,PHYS MED & REHAB             ,1,
21,"HCS Pacific Islands (Honolulu, HI)",459,602,49,FAMILY PRACTICE              ,2,
21,"HCS Pacific Islands (Honolulu, HI)",459,602,P1,PRIMARY CARE                 ,1,
21,"HCS Pacific Islands (Honolulu, HI)",459,610,75,NURSE PRACTIONER             ,4,
21,"HCS Pacific Islands (Honolulu, HI)",459,610,87,"RN,MGR/HEAD NURSE            ",1,
21,"HCS Pacific Islands (Honolulu, HI)",459,610,88,STAFF NURSE                  ,30,
21,"HCS Pacific Islands (Honolulu, HI)",459,610,N2,NP/WOMENS' HEALTH            ,1,
21,"HCS Pacific Islands (Honolulu, HI)",459,610,Q1,RN/STAFF-OUTPATIENT          ,3,
4,"VAMC Wilmington, DE",460,602,1,ANESTHESIOLOGY               ,1,
4,"VAMC Wilmington, DE",460,602,8,OTOLARYNGOLOGY               ,1,
4,"VAMC Wilmington, DE",460,602,16,EMERGENCY MEDICINE           ,2,
4,"VAMC Wilmington, DE",460,602,26,PULMONARY DISEASES           ,1,
4,"VAMC Wilmington, DE",460,602,29,ENDOCRIN AND METAB           ,1,
4,"VAMC Wilmington, DE",460,602,41,PAIN MGMT/ANESTH,1,
4,"VAMC Wilmington, DE",460,602,CN,CONSULTANT                   ,1,
4,"VAMC Wilmington, DE",460,602,E6,CARDIOLOGY NON-INTER         ,1,
4,"VAMC Wilmington, DE",460,602,K8,CRITICAL CARE                ,1,
4,"VAMC Wilmington, DE",460,602,P1,PRIMARY CARE                 ,2,
4,"VAMC Wilmington, DE",460,610,Q1,RN/STAFF-OUTPATIENT          ,1,
4,"VAMC Wilmington, DE",460,610,Q2,RN/STAFF-MIXED               ,5,
4,"VAMC Wilmington, DE",460,610,S4,RN/WOUND CARE SPEC           ,1,
20,HCS Alaska (Anchorage),463,602,31,PSYCHIATRY                   ,1,
20,HCS Alaska (Anchorage),463,602,49,FAMILY PRACTICE              ,1,
20,HCS Alaska (Anchorage),463,610,75,NURSE PRACTIONER             ,1,
20,HCS Alaska (Anchorage),463,610,88,STAFF NURSE                  ,2,
20,HCS Alaska (Anchorage),463,610,M2,RN/CASE MGR/CARE             ,1,
20,HCS Alaska (Anchorage),463,610,Q1,RN/STAFF-OUTPATIENT          ,2,
7,"VISN 7 Atlanta, GA",484,610,J5,"RN,VISN,OTHER                ",1,
18,HCS New Mexico (Albuquerque),501,602,1,ANESTHESIOLOGY               ,3,
18,HCS New Mexico (Albuquerque),501,602,7,ORTHOPEDIC SURGERY           ,1,
18,HCS New Mexico (Albuquerque),501,602,8,OTOLARYNGOLOGY               ,1,
18,HCS New Mexico (Albuquerque),501,602,12,UROLOGY                      ,1,
18,HCS New Mexico (Albuquerque),501,602,16,EMERGENCY MEDICINE           ,3,
18,HCS New Mexico (Albuquerque),501,602,21,GEN INTERNAL MED             ,3,
18,HCS New Mexico (Albuquerque),501,602,25,GASTROENTEROLOGY             ,2,
18,HCS New Mexico (Albuquerque),501,602,27,NEPHROLOGY                   ,1,
18,HCS New Mexico (Albuquerque),501,602,31,PSYCHIATRY                   ,2,
18,HCS New Mexico (Albuquerque),501,602,32,ANATOMIC PATHOLOGY           ,2,
18,HCS New Mexico (Albuquerque),501,602,40,GERIATRICS                   ,1,
18,HCS New Mexico (Albuquerque),501,602,45,RADIOLOGY-INTERVENT          ,1,
18,HCS New Mexico (Albuquerque),501,602,E4,CARDIOVAS/THOR SGR           ,1,
18,HCS New Mexico (Albuquerque),501,602,P1,PRIMARY CARE                 ,2,
18,HCS New Mexico (Albuquerque),501,610,75,NURSE PRACTIONER             ,3,
18,HCS New Mexico (Albuquerque),501,610,87,"RN,MGR/HEAD NURSE            ",2,
18,HCS New Mexico (Albuquerque),501,610,88,STAFF NURSE                  ,35,
18,HCS New Mexico (Albuquerque),501,610,J4,RN/ASST MGR/PERM CHG         ,1,
18,HCS New Mexico (Albuquerque),501,610,Q6,RN/STAFF-INP CLC             ,1,
16,"VAMC Alexandria, LA",502,602,1,ANESTHESIOLOGY               ,1,
16,"VAMC Alexandria, LA",502,602,6,OPHTHALMOLOGY                ,1,
16,"VAMC Alexandria, LA",502,602,16,EMERGENCY MEDICINE           ,1,
16,"VAMC Alexandria, LA",502,602,21,GEN INTERNAL MED             ,1,
16,"VAMC Alexandria, LA",502,602,31,PSYCHIATRY                   ,1,
16,"VAMC Alexandria, LA",502,602,38,RADIOLOGY-DIAGNOSTIC         ,1,
16,"VAMC Alexandria, LA",502,602,40,GERIATRICS                   ,1,
16,"VAMC Alexandria, LA",502,602,43,PATHOLOGY                    ,1,
16,"VAMC Alexandria, LA",502,602,P1,PRIMARY CARE                 ,5,
16,"VAMC Alexandria, LA",502,610,75,NURSE PRACTIONER             ,1,
16,"VAMC Alexandria, LA",502,610,88,STAFF NURSE                  ,4,
4,"VAMC Altoona, PA",503,602,31,PSYCHIATRY                   ,1,
4,"VAMC Altoona, PA",503,610,75,NURSE PRACTIONER             ,1,
4,"VAMC Altoona, PA",503,610,82,"RN, SENIOR LEADERSHP         ",1,
4,"VAMC Altoona, PA",503,610,88,STAFF NURSE                  ,4,
4,"VAMC Altoona, PA",503,610,G5,"RN,FACILITY ADMIN            ",2,
4,"VAMC Altoona, PA",503,610,J4,RN/ASST MGR/PERM CHG         ,1,
4,"VAMC Altoona, PA",503,610,N5,NP-OTHER                     ,1,
4,"VAMC Altoona, PA",503,610,Q1,RN/STAFF-OUTPATIENT          ,3,
4,"VAMC Altoona, PA",503,610,Q6,RN/STAFF-INP CLC             ,2,
17,"HCS Amarillo, TX",504,602,11,THORACIC SURGERY             ,1,
17,"HCS Amarillo, TX",504,602,12,UROLOGY                      ,1,
17,"HCS Amarillo, TX",504,602,CA,CARDIOLOGY NON-INVA,1,
17,"HCS Amarillo, TX",504,602,P1,PRIMARY CARE                 ,1,
17,"HCS Amarillo, TX",504,610,0,MISC TITLE 38/WA/CL          ,1,
17,"HCS Amarillo, TX",504,610,75,NURSE PRACTIONER             ,1,
17,"HCS Amarillo, TX",504,610,86,"RN, SHIFT SUPERVISOR         ",2,
17,"HCS Amarillo, TX",504,610,87,"RN,MGR/HEAD NURSE            ",2,
17,"HCS Amarillo, TX",504,610,88,STAFF NURSE                  ,7,
17,"HCS Amarillo, TX",504,610,G6,RN/PROG MGR/COORD            ,1,
17,"HCS Amarillo, TX",504,610,J4,RN/ASST MGR/PERM CHG         ,2,
17,"HCS Amarillo, TX",504,610,M2,RN/CASE MGR/CARE             ,2,
17,"HCS Amarillo, TX",504,610,N5,NP-OTHER                     ,1,
17,"HCS Amarillo, TX",504,610,Q1,RN/STAFF-OUTPATIENT          ,9,
17,"HCS Amarillo, TX",504,610,Q2,RN/STAFF-MIXED               ,2,
17,"HCS Amarillo, TX",504,610,Q6,RN/STAFF-INP CLC             ,6,
17,"HCS Amarillo, TX",504,610,S4,RN/WOUND CARE SPEC           ,1,
10,"VAMC Ann Arbor, MI",506,602,1,ANESTHESIOLOGY               ,2,
10,"VAMC Ann Arbor, MI",506,602,6,OPHTHALMOLOGY                ,2,
10,"VAMC Ann Arbor, MI",506,602,9,PLASTIC SURGERY              ,1,
10,"VAMC Ann Arbor, MI",506,602,16,EMERGENCY MEDICINE           ,2,
10,"VAMC Ann Arbor, MI",506,602,19,INFECTIOUS DISEASES          ,1,
10,"VAMC Ann Arbor, MI",506,602,20,DERMATOLOGY                  ,1,
10,"VAMC Ann Arbor, MI",506,602,21,GEN INTERNAL MED             ,4,
10,"VAMC Ann Arbor, MI",506,602,25,GASTROENTEROLOGY             ,1,
10,"VAMC Ann Arbor, MI",506,602,30,NEUROLOGY                    ,2,
10,"VAMC Ann Arbor, MI",506,602,31,PSYCHIATRY                   ,2,
10,"VAMC Ann Arbor, MI",506,602,38,RADIOLOGY-DIAGNOSTIC         ,1,
10,"VAMC Ann Arbor, MI",506,602,44,PHYS MED & REHAB             ,1,
10,"VAMC Ann Arbor, MI",506,602,46,NUCLEAR MEDICINE             ,2,
10,"VAMC Ann Arbor, MI",506,602,CA,CARDIOLOGY NON-INVA,1,
10,"VAMC Ann Arbor, MI",506,602,K6,HOSPITALIST                  ,2,
10,"VAMC Ann Arbor, MI",506,610,75,NURSE PRACTIONER             ,1,
10,"VAMC Ann Arbor, MI",506,610,85,RN EDUCATOR                  ,2,
10,"VAMC Ann Arbor, MI",506,610,87,"RN,MGR/HEAD NURSE            ",3,
10,"VAMC Ann Arbor, MI",506,610,88,STAFF NURSE                  ,6,
10,"VAMC Ann Arbor, MI",506,610,G7,"RN, ADMIN/OTHER              ",1,
10,"VAMC Ann Arbor, MI",506,610,J4,RN/ASST MGR/PERM CHG         ,1,
10,"VAMC Ann Arbor, MI",506,610,M2,RN/CASE MGR/CARE             ,8,
10,"VAMC Ann Arbor, MI",506,610,N5,NP-OTHER                     ,3,
10,"VAMC Ann Arbor, MI",506,610,Q1,RN/STAFF-OUTPATIENT          ,12,
10,"VAMC Ann Arbor, MI",506,610,Q2,RN/STAFF-MIXED               ,2,
10,"VAMC Ann Arbor, MI",506,610,Q3,RN-TELEPHONE TRIAGE          ,1,
10,"VAMC Ann Arbor, MI",506,610,Q4,RN CLINICAL NURSE LD         ,5,
7,"VAMC Atlanta, GA (Decatur)",508,602,1,ANESTHESIOLOGY               ,1,
7,"VAMC Atlanta, GA (Decatur)",508,602,2,SURGERY                      ,1,
7,"VAMC Atlanta, GA (Decatur)",508,602,6,OPHTHALMOLOGY                ,1,
7,"VAMC Atlanta, GA (Decatur)",508,602,7,ORTHOPEDIC SURGERY           ,1,
7,"VAMC Atlanta, GA (Decatur)",508,602,8,OTOLARYNGOLOGY               ,1,
7,"VAMC Atlanta, GA (Decatur)",508,602,12,UROLOGY                      ,1,
7,"VAMC Atlanta, GA (Decatur)",508,602,16,EMERGENCY MEDICINE           ,2,
7,"VAMC Atlanta, GA (Decatur)",508,602,20,DERMATOLOGY                  ,1,
7,"VAMC Atlanta, GA (Decatur)",508,602,25,GASTROENTEROLOGY             ,3,
7,"VAMC Atlanta, GA (Decatur)",508,602,28,RHEUMATOLOGY                 ,1,
7,"VAMC Atlanta, GA (Decatur)",508,602,31,PSYCHIATRY                   ,3,
7,"VAMC Atlanta, GA (Decatur)",508,602,38,RADIOLOGY-DIAGNOSTIC         ,2,
7,"VAMC Atlanta, GA (Decatur)",508,602,49,FAMILY PRACTICE              ,1,
7,"VAMC Atlanta, GA (Decatur)",508,602,E6,CARDIOLOGY NON-INTER         ,2,
7,"VAMC Atlanta, GA (Decatur)",508,602,K6,HOSPITALIST                  ,1,
7,"VAMC Atlanta, GA (Decatur)",508,602,P1,PRIMARY CARE                 ,6,
7,"VAMC Atlanta, GA (Decatur)",508,602,Q9,SLEEP MEDICINE,1,
7,"VAMC Atlanta, GA (Decatur)",508,610,75,NURSE PRACTIONER             ,4,
7,"VAMC Atlanta, GA (Decatur)",508,610,85,RN EDUCATOR                  ,2,
7,"VAMC Atlanta, GA (Decatur)",508,610,87,"RN,MGR/HEAD NURSE            ",4,
7,"VAMC Atlanta, GA (Decatur)",508,610,88,STAFF NURSE                  ,46,
7,"VAMC Atlanta, GA (Decatur)",508,610,J1,NURSE(WOM VET COORD)         ,1,
7,"VAMC Atlanta, GA (Decatur)",508,610,N5,NP-OTHER                     ,1,
7,"VAMC Atlanta, GA (Decatur)",508,610,Q1,RN/STAFF-OUTPATIENT          ,10,
7,"VAMC Atlanta, GA (Decatur)",508,610,Q2,RN/STAFF-MIXED               ,5,
7,"VAMC Atlanta, GA (Decatur)",508,610,Q6,RN/STAFF-INP CLC             ,8,
7,"VAMC Atlanta, GA (Decatur)",508,610,R6,RN/VANA FACULTY              ,1,
7,"VAMC Augusta, GA ",509,602,2,SURGERY                      ,1,
7,"VAMC Augusta, GA ",509,602,8,OTOLARYNGOLOGY               ,3,
7,"VAMC Augusta, GA ",509,602,20,DERMATOLOGY                  ,1,
7,"VAMC Augusta, GA ",509,602,21,GEN INTERNAL MED             ,1,
7,"VAMC Augusta, GA ",509,602,25,GASTROENTEROLOGY             ,1,
7,"VAMC Augusta, GA ",509,602,26,PULMONARY DISEASES           ,1,
7,"VAMC Augusta, GA ",509,602,30,NEUROLOGY                    ,1,
7,"VAMC Augusta, GA ",509,602,E6,CARDIOLOGY NON-INTER         ,1,
7,"VAMC Augusta, GA ",509,602,K6,HOSPITALIST                  ,4,
7,"VAMC Augusta, GA ",509,602,M9,CARDIOLOGY-INTERVEN          ,1,
7,"VAMC Augusta, GA ",509,602,P1,PRIMARY CARE                 ,1,
7,"VAMC Augusta, GA ",509,610,88,STAFF NURSE                  ,11,
7,"VAMC Augusta, GA ",509,610,S3,"RN, PREV/OCCUP HELTH         ",1,
5,HCS Maryland (Baltimore),512,602,1,ANESTHESIOLOGY               ,3,
5,HCS Maryland (Baltimore),512,602,2,SURGERY                      ,1,
5,HCS Maryland (Baltimore),512,602,8,OTOLARYNGOLOGY               ,2,
5,HCS Maryland (Baltimore),512,602,12,UROLOGY                      ,1,
5,HCS Maryland (Baltimore),512,602,19,INFECTIOUS DISEASES          ,4,
5,HCS Maryland (Baltimore),512,602,20,DERMATOLOGY                  ,2,
5,HCS Maryland (Baltimore),512,602,25,GASTROENTEROLOGY             ,1,
5,HCS Maryland (Baltimore),512,602,26,PULMONARY DISEASES           ,2,
5,HCS Maryland (Baltimore),512,602,27,NEPHROLOGY                   ,3,
5,HCS Maryland (Baltimore),512,602,29,ENDOCRIN AND METAB           ,1,
5,HCS Maryland (Baltimore),512,602,30,NEUROLOGY                    ,3,
5,HCS Maryland (Baltimore),512,602,31,PSYCHIATRY                   ,4,
5,HCS Maryland (Baltimore),512,602,38,RADIOLOGY-DIAGNOSTIC         ,1,
5,HCS Maryland (Baltimore),512,602,44,PHYS MED & REHAB             ,1,
5,HCS Maryland (Baltimore),512,602,49,FAMILY PRACTICE              ,1,
5,HCS Maryland (Baltimore),512,602,57,"PHYS--ADMIN, OTHER           ",1,
5,HCS Maryland (Baltimore),512,602,K6,HOSPITALIST                  ,2,
5,HCS Maryland (Baltimore),512,602,M9,CARDIOLOGY-INTERVEN          ,2,
5,HCS Maryland (Baltimore),512,602,P1,PRIMARY CARE                 ,16,
5,HCS Maryland (Baltimore),512,602,R3,HEMATOLOGY/ONCOLOGY          ,1,
5,HCS Maryland (Baltimore),512,602,R4,VASCULAR SURGERY             ,1,
5,HCS Maryland (Baltimore),512,610,75,NURSE PRACTIONER             ,3,
5,HCS Maryland (Baltimore),512,610,86,"RN, SHIFT SUPERVISOR         ",2,
5,HCS Maryland (Baltimore),512,610,87,"RN,MGR/HEAD NURSE            ",4,
5,HCS Maryland (Baltimore),512,610,88,STAFF NURSE                  ,32,
5,HCS Maryland (Baltimore),512,610,M2,RN/CASE MGR/CARE             ,1,
5,HCS Maryland (Baltimore),512,610,N4,NP MENTAL HEALTH SUD         ,1,
5,HCS Maryland (Baltimore),512,610,N5,NP-OTHER                     ,3,
5,HCS Maryland (Baltimore),512,610,Q1,RN/STAFF-OUTPATIENT          ,6,
10,"VAMC Battle Creek, MI",515,602,1,ANESTHESIOLOGY               ,1,
10,"VAMC Battle Creek, MI",515,602,16,EMERGENCY MEDICINE           ,1,
10,"VAMC Battle Creek, MI",515,602,21,GEN INTERNAL MED             ,3,
10,"VAMC Battle Creek, MI",515,602,31,PSYCHIATRY                   ,1,
10,"VAMC Battle Creek, MI",515,610,88,STAFF NURSE                  ,5,
10,"VAMC Battle Creek, MI",515,610,G5,"RN,FACILITY ADMIN            ",1,
10,"VAMC Battle Creek, MI",515,610,M2,RN/CASE MGR/CARE             ,1,
10,"VAMC Battle Creek, MI",515,610,Q1,RN/STAFF-OUTPATIENT          ,5,
8,"VAMC Bay Pines, FL",516,602,1,ANESTHESIOLOGY               ,1,
8,"VAMC Bay Pines, FL",516,602,6,OPHTHALMOLOGY                ,1,
8,"VAMC Bay Pines, FL",516,602,8,OTOLARYNGOLOGY               ,1,
8,"VAMC Bay Pines, FL",516,602,13,PHYSIATRY                    ,1,
8,"VAMC Bay Pines, FL",516,602,20,DERMATOLOGY                  ,2,
8,"VAMC Bay Pines, FL",516,602,29,ENDOCRIN AND METAB           ,1,
8,"VAMC Bay Pines, FL",516,602,45,RADIOLOGY-INTERVENT          ,1,
8,"VAMC Bay Pines, FL",516,602,E5,NEUROSURGERY                 ,1,
8,"VAMC Bay Pines, FL",516,602,P1,PRIMARY CARE                 ,6,
8,"VAMC Bay Pines, FL",516,602,R3,HEMATOLOGY/ONCOLOGY          ,1,
8,"VAMC Bay Pines, FL",516,610,75,NURSE PRACTIONER             ,1,
8,"VAMC Bay Pines, FL",516,610,88,STAFF NURSE                  ,2,
8,"VAMC Bay Pines, FL",516,610,99,OTHER                        ,1,
8,"VAMC Bay Pines, FL",516,610,J4,RN/ASST MGR/PERM CHG         ,5,
8,"VAMC Bay Pines, FL",516,610,N5,NP-OTHER                     ,2,
8,"VAMC Bay Pines, FL",516,610,Q1,RN/STAFF-OUTPATIENT          ,2,
5,"VAMC Beckley, WV",517,602,8,OTOLARYNGOLOGY               ,1,
5,"VAMC Beckley, WV",517,602,25,GASTROENTEROLOGY             ,1,
5,"VAMC Beckley, WV",517,602,38,RADIOLOGY-DIAGNOSTIC         ,1,
5,"VAMC Beckley, WV",517,610,88,STAFF NURSE                  ,1,
1,"VAMC Bedford, MA",518,602,21,GEN INTERNAL MED             ,1,
1,"VAMC Bedford, MA",518,602,30,NEUROLOGY                    ,1,
1,"VAMC Bedford, MA",518,602,P1,PRIMARY CARE                 ,2,
1,"VAMC Bedford, MA",518,610,Q3,RN-TELEPHONE TRIAGE          ,1,
17,HCS West Texas HCS (Big Spring),519,602,6,OPHTHALMOLOGY                ,1,
17,HCS West Texas HCS (Big Spring),519,602,21,GEN INTERNAL MED             ,3,
17,HCS West Texas HCS (Big Spring),519,602,31,PSYCHIATRY                   ,1,
17,HCS West Texas HCS (Big Spring),519,602,49,FAMILY PRACTICE              ,2,
17,HCS West Texas HCS (Big Spring),519,610,0,MISC TITLE 38/WA/CL          ,1,
17,HCS West Texas HCS (Big Spring),519,610,75,NURSE PRACTIONER             ,2,
17,HCS West Texas HCS (Big Spring),519,610,87,"RN,MGR/HEAD NURSE            ",1,
17,HCS West Texas HCS (Big Spring),519,610,88,STAFF NURSE                  ,1,
17,HCS West Texas HCS (Big Spring),519,610,M2,RN/CASE MGR/CARE             ,3,
17,HCS West Texas HCS (Big Spring),519,610,Q1,RN/STAFF-OUTPATIENT          ,23,
17,HCS West Texas HCS (Big Spring),519,610,Q3,RN-TELEPHONE TRIAGE          ,1,
17,HCS West Texas HCS (Big Spring),519,610,Q6,RN/STAFF-INP CLC             ,2,
17,HCS West Texas HCS (Big Spring),519,610,S6,"RN, GEN CLIN CONSLT          ",1,
16,"HCS Gulf Coast Veterans (Biloxi, MS)",520,602,1,ANESTHESIOLOGY               ,1,
16,"HCS Gulf Coast Veterans (Biloxi, MS)",520,602,12,UROLOGY                      ,1,
16,"HCS Gulf Coast Veterans (Biloxi, MS)",520,602,29,ENDOCRIN AND METAB           ,1,
16,"HCS Gulf Coast Veterans (Biloxi, MS)",520,602,31,PSYCHIATRY                   ,3,
16,"HCS Gulf Coast Veterans (Biloxi, MS)",520,602,40,GERIATRICS                   ,2,
16,"HCS Gulf Coast Veterans (Biloxi, MS)",520,602,CA,CARDIOLOGY NON-INVA,1,
16,"HCS Gulf Coast Veterans (Biloxi, MS)",520,602,E9,COMPENSATION/PENSION,1,
16,"HCS Gulf Coast Veterans (Biloxi, MS)",520,602,P1,PRIMARY CARE                 ,5,
16,"HCS Gulf Coast Veterans (Biloxi, MS)",520,610,88,STAFF NURSE                  ,3,
16,"HCS Gulf Coast Veterans (Biloxi, MS)",520,610,CN,CONSULTANT                   ,1,
16,"HCS Gulf Coast Veterans (Biloxi, MS)",520,610,N5,NP-OTHER                     ,2,
16,"HCS Gulf Coast Veterans (Biloxi, MS)",520,610,Q1,RN/STAFF-OUTPATIENT          ,5,
16,"HCS Gulf Coast Veterans (Biloxi, MS)",520,610,Q2,RN/STAFF-MIXED               ,3,
7,"VAMC Birmingham, AL",521,602,12,UROLOGY                      ,2,
7,"VAMC Birmingham, AL",521,602,26,PULMONARY DISEASES           ,1,
7,"VAMC Birmingham, AL",521,602,31,PSYCHIATRY                   ,2,
7,"VAMC Birmingham, AL",521,610,88,STAFF NURSE                  ,3,
7,"VAMC Birmingham, AL",521,610,M2,RN/CASE MGR/CARE             ,3,
7,"VAMC Birmingham, AL",521,610,N5,NP-OTHER                     ,2,
1,"HCS Boston, MA (Jamaica Plain)",523,602,3,GYNECOLOGY                   ,1,
1,"HCS Boston, MA (Jamaica Plain)",523,602,6,OPHTHALMOLOGY                ,3,
1,"HCS Boston, MA (Jamaica Plain)",523,602,7,ORTHOPEDIC SURGERY           ,1,
1,"HCS Boston, MA (Jamaica Plain)",523,602,11,THORACIC SURGERY             ,1,
1,"HCS Boston, MA (Jamaica Plain)",523,602,12,UROLOGY                      ,1,
1,"HCS Boston, MA (Jamaica Plain)",523,602,21,GEN INTERNAL MED             ,1,
1,"HCS Boston, MA (Jamaica Plain)",523,602,22,INTERNAL MEDICINE            ,1,
1,"HCS Boston, MA (Jamaica Plain)",523,602,25,GASTROENTEROLOGY             ,1,
1,"HCS Boston, MA (Jamaica Plain)",523,602,26,PULMONARY DISEASES           ,1,
1,"HCS Boston, MA (Jamaica Plain)",523,602,28,RHEUMATOLOGY                 ,1,
1,"HCS Boston, MA (Jamaica Plain)",523,602,30,NEUROLOGY                    ,1,
