Appts_Pending_1412,%_Appts_Over_30_Pending_1412,PC_Wait_Pending_1412,SC_Wait_Pending_1412,MH_Wait_Pending_1412,for_dups,ORGANIZATION,MAY-FY11,MAY-FY12,MAY-FY13,MAY-FY14,MAY-FY15,MAY-FY16,ID,Appts_Pending_1610,%_Appts_Over_30_Pending_1610,PC_Wait_Pending_1610,SC_Wait_Pending_1610,MH_Wait_Pending_1610,Appts_Complete_1608,%_Appts_Over_30_Complete_1608,PC_Wait_Complete_1608,SC_Wait_Complete_1608,MH_Wait_Complete_1608,Station,Location,Choice_Hires,Interim,Vacancy,%_Appts_Over_30_Complete_1409,Appts_Complete_1409,MH_Wait_Complete_1409,PC_Wait_Complete_1409,SC_Wait_Complete_1409,Physician_Turnover_FY11,Physician_Turnover_FY12,Physician_Turnover_FY13,Physician_Turnover_FY14,Physician_Turnover_FY15,NbrPsychiatrists,Name,State,Geo,Confidence,County,"County, St",Projected_Increase_5_years,Projected_Increase_10_years,Projected_Increase_20_years,Projected_Increase_30_years,9/30/43,9/30/33,9/30/23,9/30/18,Pending_Increase,Pending_Increase_%,Complete_Increase,Complete_Increase_%,Complete_Pending_Appts_Diff_14,Complete_Pending_Appts_Diff_16,Complete_Pending_Appts_Diff_14_%,Complete_Pending_Appts_Diff_16_%,Complete_Pending_Gap_Increase_%,Missing_Leadership,Staff_11_To_12_Increase,Staff_11_To_12_Increase_%,Staff_12_To_13_Increase,Staff_12_To_13_Increase_%,Staff_13_To_14_Increase,Staff_13_To_14_Increase_%,Staff_14_To_15_Increase,Staff_14_To_15_Increase_%,Staff_15_To_16_Increase,Staff_15_To_16_Increase_%,Staff_14_To_16_Increase,Staff_14_To_16_Increase_%,Choice_Increase_%,Choice_Staff_Dif,Choice_Increase_%_PC_Wait_Complete_1409_Ratio,Choice_Increase_%_PC_Wait_Pending_1412_Ratio,PC_Wait_Pending_Increase,PC_Wait_Pending_Increase_%,PC_Wait_Complete_Increase,PC_Wait_Complete_Increase_%,SC_Wait_Pending_Increase,SC_Wait_Pending_Increase_%,SC_Wait_Complete_Increase,SC_Wait_Complete_Increase_%,MH_Wait_Pending_Increase,MH_Wait_Pending_Increase_%,MH_Wait_Complete_Increase,MH_Wait_Complete_Increase_%,Staff_To_Appts_Pending_14,Staff_To_Appts_Pending_16,Staff_To_Appts_Complete_14,Staff_To_Appts_Complete_16,Percentage_Point_Wait_Over_30_Increase_Pending,Percentage_Point_Wait_Over_30_Increase_Complete,qualitative_size,State_Full,Vet_Pop_State_9_30_14,Vet_Pop_State_9_30_34,Vet_Pop_State_Increase_20
42761,3.22,4.34,3.51,5.02,528we,(V02) (528) HCS BUFFALO NY,6584.0,6624.0,6566.0,6678.0,6751.0,6735.0,528we,55589,8.69,6.4,10.7,3.34,38938,5.02,8.16,7.38,2.7,528,"(V02) (528) Western New York, NY",30.0,1.0,0.0,2.36,37616,3.91,3.26,3.52,9.62,7.56,9.2,9.81,7.07,3.0,"WESTERN NEW YORK, NY",NY,<[OVER_QUERY_LIMIT] Google - Geocode>,0,,,,,,,,,,,12828,29.9992984261,1322,3.51446193109,5145,16651,13.6776903445,42.7628537675,223.634596696,1.0,40.0,0.6038647343,-58.0,-0.883338409991,112.0,1.67714884696,73.0,1.08132128574,-16.0,-0.237564959169,57.0,0.846325167038,0.449236298293,27.0,7.25676,9.66084,2.06,47.465437788,4.9,150.306748466,7.19,165.668202765,3.86,109.659090909,-1.68,-38.7096774194,-1.21,-30.9462915601,6.40326445043,8.25374907201,5.63282419886,5.78144023756,5.47,2.66,large,New York                                                                                                                      ,892221.0,478116.0,-414106.0
14061,2.4,5.12,4.6,1.61,528ca,,,,,,,,528ca,19211,8.96,10.24,9.45,3.47,14137,4.72,10.11,6.0,3.29,528,"(V02) (528) Canandaigua, NY",,2.0,0.0,1.98,13449,1.61,3.65,3.71,,,,,,,"CANANDAIGUA, NY",NY,"<[OK] Google - Geocode [528 NY-21, Canandaigua, NY 14424, USA]>",9,ONTARIO,"ONTARIO, NY",-815.0,-1581.0,-3039.0,-4341.0,4169.0,5471.0,6929.0,7695.0,5150,36.6261290093,688,5.11562197933,612,5074,4.55052420254,35.891631888,729.08496732,2.0,,,,,,,,,,,,,,,,,5.12,100.0,6.46,176.98630137,4.85,94.7265625,2.29,61.7250673854,1.86,36.328125,1.68,104.347826087,,,,,6.56,2.74,average,New York                                                                                                                      ,892221.0,478116.0,-414106.0
48461,7.57,2.58,14.53,4.0,528sy,,,,,,,,528sy,51338,6.35,4.38,9.6,4.26,33523,3.35,4.19,6.82,3.29,528,"(V02) (528) Syracuse, NY",32.0,0.0,0.0,4.0,31918,2.33,2.34,8.06,,,,,,,"SYRACUSE, NY",NY,"<[OK] Google - Geocode [Syracuse, NY, USA]>",3,ONONDAGA,"ONONDAGA, NY",-4273.0,-7839.0,-13272.0,-17039.0,13577.0,17344.0,22777.0,26343.0,2877,5.93673263036,1605,5.02851055831,16543,17815,51.829688577,53.1426185007,7.68905277157,0.0,,,,,,,,,,,,,,,,,1.8,69.7674418605,1.85,79.0598290598,-4.93,-191.085271318,-1.24,-15.3846153846,0.26,10.0775193798,0.96,41.2017167382,,,,,-1.22,-0.65,average,New York                                                                                                                      ,892221.0,478116.0,-414106.0
20917,3.45,4.32,5.12,1.82,526,(V03) (526) MC BRONX NY,1898.0,1819.0,1756.0,1777.0,1827.0,1892.0,526br,31772,1.67,5.04,3.95,3.5,25620,0.53,4.91,2.91,1.23,526,"(V03) (526) Bronx, NY",51.0,0.0,0.0,0.53,25650,1.09,1.5,1.88,10.75,8.85,5.4,5.09,8.74,,"BRONX, NY",NY,"<[OK] Google - Geocode [Bronx, NY, USA]>",2,BRONX,"BRONX, NY",-5064.0,-9497.0,-16170.0,-20523.0,15208.0,19561.0,26234.0,30667.0,10855,51.8955873213,-30,-0.116959064327,-4733,6152,-18.4522417154,24.012490242,-229.980984576,0.0,-79.0,-4.34304562947,-63.0,-3.58769931663,21.0,1.18176702307,50.0,2.73672687466,65.0,3.4355179704,115.0,6.07822410148,2.87000562746,64.0,0.522647058824,1.50522352941,0.72,16.6666666667,3.41,227.333333333,-1.17,-27.0833333333,1.03,54.7872340426,1.68,38.8888888889,0.14,12.8440366972,11.770962296,16.7928118393,14.4344400675,13.5412262156,-1.78,0.0,average,New York                                                                                                                      ,892221.0,478116.0,-414106.0
40291,4.1,1.53,6.65,2.03,561,(V03) (561) HCS EAST ORANGE NJ,2795.0,2762.0,2820.0,2813.0,2805.0,2863.0,561ne,49662,5.09,1.78,7.54,1.71,43517,2.2,0.93,4.84,0.88,561,"(V03) (561) New Jersey HCS, NJ",51.0,0.0,0.0,3.18,43772,2.2,1.25,6.03,1.99,5.04,2.98,5.37,7.92,2.0,"NEW JERSEY HCS, NJ",NJ,<[ZERO_RESULTS] Google - Geocode>,0,,,,,,,,,,,9371,23.2582958973,-255,-0.58256419629,-3481,6145,-7.95257242073,14.1209182618,-276.529732835,0.0,-33.0,-1.19478638668,58.0,2.05673758865,-7.0,-0.24884464984,-8.0,-0.285204991087,58.0,2.02584701362,50.0,1.74641983933,1.81301102026,-1.0,0.689460784314,0.8439,0.25,16.339869281,-0.32,-25.6,0.89,58.1699346405,-1.19,-19.7346600332,-0.32,-20.9150326797,-1.32,-60.0,14.3231425524,17.3461404122,15.5606114469,15.1997904296,0.99,-0.98,average,New Jersey                                                                                                                    ,428396.0,214224.0,-214172.0
19748,2.37,4.3,4.04,2.66,620,(V03) (620) HCS MONTROSE NY,1553.0,1532.0,1543.0,1557.0,1496.0,1471.0,620va,21020,0.93,3.29,3.62,2.73,25943,0.19,1.73,2.82,1.93,620,"(V03) (620) VA Hudson Valley HCS, NY",21.0,0.0,0.0,0.9,26650,1.29,1.94,2.68,10.84,9.79,10.85,13.03,15.13,1.0,"VA HUDSON VALLEY HCS, NY",NY,<[ZERO_RESULTS] Google - Geocode>,0,,,,,,,,,,,1272,6.44115859834,-707,-2.65290806754,-6902,-4923,-25.8986866792,-18.9762170913,-28.6728484497,0.0,-21.0,-1.37075718016,11.0,0.712896953986,14.0,0.899165061015,-61.0,-4.07754010695,-25.0,-1.69952413324,-86.0,-5.84636301835,1.34874759152,-107.0,1.43837142857,3.18814285714,-1.01,-23.488372093,-0.21,-10.824742268,-0.42,-9.76744186047,0.14,5.22388059701,0.07,1.62790697674,0.64,49.6124031008,12.6833654464,14.2895989123,17.1162491972,17.6363018355,-1.44,-0.71,average,New York                                                                                                                      ,892221.0,478116.0,-414106.0
50081,1.31,1.25,2.7,1.06,630,(V03) (630) HCS NEW YORK NY,3650.0,3587.0,3547.0,3679.0,3668.0,3567.0,630ne,46766,2.62,4.02,3.32,1.94,47991,0.67,2.06,1.55,1.08,630,"(V03) (630) New York Harbor HCS, NY",54.0,0.0,0.0,0.56,50405,1.02,1.57,1.69,6.05,7.46,6.54,7.17,6.62,,"NEW YORK HARBOR HCS, NY",NY,<[ZERO_RESULTS] Google - Geocode>,0,,,,,,,,,,,-3315,-6.61927677163,-2414,-4.7892074199,-324,-1225,-0.642793373673,-2.5525619387,278.086419753,0.0,-63.0,-1.75634234737,-40.0,-1.12771356076,132.0,3.58793150313,-11.0,-0.299890948746,-101.0,-2.83151107373,-112.0,-3.1398934679,1.46779016037,-166.0,1.06963518519,0.85162037037,2.77,221.6,0.49,31.2101910828,0.62,49.6,-0.14,-8.28402366864,0.88,70.4,0.06,5.88235294118,13.6126664855,13.1107373143,13.7007338951,13.4541631623,1.31,0.11,large,New York                                                                                                                      ,892221.0,478116.0,-414106.0
34758,2.34,5.31,6.43,1.54,632,(V03) (632) MC NORTHPORT L I NY,1816.0,1856.0,1912.0,1895.0,1901.0,1875.0,632no,39218,3.72,6.02,7.26,3.65,30039,1.94,5.45,4.08,1.53,632,"(V03) (632) Northport, NY",47.0,0.0,0.0,1.08,30955,0.65,3.38,3.42,6.68,5.23,3.61,4.83,9.06,1.0,"NORTHPORT, NY",NY,"<[OK] Google - Geocode [Northport, NY 11768, USA]>",7,SUFFOLK,"SUFFOLK, NY",-15792.0,-28274.0,-46011.0,-56629.0,22974.0,33592.0,51329.0,63811.0,4460,12.8315783417,-916,-2.9591342271,3803,9179,12.2855758359,30.5569426412,141.362082566,0.0,40.0,2.15517241379,56.0,2.92887029289,-17.0,-0.89709762533,6.0,0.315623356128,-26.0,-1.38666666667,-20.0,-1.06666666667,2.48021108179,-67.0,1.36278723404,2.14094680851,0.71,13.3709981168,2.07,61.2426035503,0.83,15.6308851224,0.66,19.298245614,2.11,39.736346516,0.88,135.384615385,18.3419525066,20.9162666667,16.3350923483,16.0208,1.38,0.86,average,New York                                                                                                                      ,892221.0,478116.0,-414106.0
23238,7.68,16.97,8.87,3.72,460,(V04) (460) MROC WILMINGTON DE,916.0,916.0,941.0,933.0,940.0,915.0,460wi,32710,7.02,4.06,9.63,10.91,16633,4.92,4.84,8.58,10.25,460,"(V04) (460) Wilmington, DE",56.0,0.0,1.0,4.57,16891,2.98,6.04,6.07,3.51,4.76,6.05,12.66,15.11,,"WILMINGTON, DE",DE,"<[OK] Google - Geocode [Wilmington, DE, USA]>",4,NEW CASTLE,"NEW CASTLE, DE",-4429.0,-8275.0,-14556.0,-19182.0,17637.0,22263.0,28544.0,32390.0,9472,40.7608227903,-258,-1.52744064887,6347,16077,37.5762240246,96.6572476402,153.300772018,1.0,0.0,0.0,25.0,2.65674814028,-8.0,-0.85744908896,7.0,0.744680851064,-25.0,-2.73224043716,-18.0,-1.96721311475,6.00214362272,-74.0,1.00630714286,2.82732321429,-12.91,-76.0754272245,-1.2,-19.8675496689,0.76,4.47849145551,2.51,41.3509060956,7.19,42.3688862699,7.27,243.959731544,24.9067524116,35.7486338798,18.103965702,18.1781420765,-0.66,0.35,small,Delaware                                                                                                                     ,78099.0,62273.0,-15827.0
29386,1.67,3.21,5.66,1.78,503,(V04) (503) MC ALTOONA PA,637.0,615.0,625.0,657.0,681.0,670.0,503al,23642,0.53,4.45,4.27,1.29,14544,0.13,4.2,4.48,1.28,503,"(V04) (503) Altoona, PA",68.0,1.0,0.0,2.05,14938,1.94,3.42,5.63,7.45,10.88,3.66,3.49,13.71,1.0,"ALTOONA, PA",PA,"<[OK] Google - Geocode [Altoona, PA, USA]>",4,BLAIR,"BLAIR, PA",-1084.0,-2098.0,-3958.0,-5583.0,7149.0,8774.0,10634.0,11648.0,-5744,-19.5467229293,-394,-2.63756861695,14448,9098,96.7197750703,62.5550055006,-37.0293466224,1.0,-22.0,-3.57723577236,10.0,1.6,32.0,4.87062404871,24.0,3.52422907489,-11.0,-1.64179104478,13.0,1.94029850746,10.3500761035,-55.0,0.330432352941,0.310142647059,1.24,38.6292834891,0.78,22.8070175439,-1.39,-43.3021806854,-1.15,-20.4262877442,-0.49,-15.2647975078,-0.66,-34.0206185567,44.7275494673,35.2865671642,22.7366818874,21.7074626866,-1.14,-1.92,small,Pennsylvania                                                                                                                   ,939069.0,581357.0,-357713.0
24169,1.41,0.32,7.49,0.69,529,(V04) (529) MC BUTLER PA,589.0,569.0,565.0,574.0,571.0,577.0,529bu,25791,0.42,1.48,2.0,1.23,10009,0.64,2.17,1.59,1.53,529,"(V04) (529) Butler, PA",31.0,0.0,0.0,0.1,8692,0.47,0.26,0.41,23.3,0.0,0.0,5.43,17.14,,"BUTLER, PA",PA,"<[OK] Google - Geocode [Butler, PA, USA]>",7,BUTLER,"BUTLER, PA",-1228.0,-2363.0,-4416.0,-6279.0,9341.0,11204.0,13257.0,14392.0,1622,6.71107617196,1317,15.1518637828,15477,15782,178.06028532,157.678089719,1.97066614977,0.0,-20.0,-3.51493848858,-4.0,-0.70796460177,9.0,1.56794425087,-3.0,-0.525394045534,6.0,1.03986135182,3.0,0.51993067591,5.40069686411,-28.0,0.0481419354839,0.0592516129032,1.16,362.5,1.91,734.615384615,-5.49,-1715.625,1.18,287.804878049,0.54,168.75,1.06,225.531914894,42.106271777,44.698440208,15.1428571429,17.3466204506,-0.99,0.54,small,Pennsylvania                                                                                                                   ,939069.0,581357.0,-357713.0
