"Pending Appointment and Electronic Wait List
Summary -National, Facility, and Division Level
Summaries Wait Time Calculated from Preferred
Date
For the period ending:  11/1/2016","1. Total Appts
Scheduled","2. Appts
Scheduled 30
Days or Under","3. Percent
Appts
Scheduled
30 Days or
Under","4. Appts
Scheduled Over
30 Days","5. Percent
Appts
Scheduled
Over 30
Days","6. New
Enroll Appt
Req","7. EWL
Count","8. Appts
Between 0-14
Days","9. EWL 0-
14 Days","10. Appts
Between 15-30
Days","11. EWL 15
-30 days","12. Appts
Between 31-60
Days","13. EWL 31
-60 Days","14. Appts
Between 61-90
Days","15. EWL 61
-90 Days","16. Appts
Between 91-
120 Days","17. EWL 91
-120 Days","18. Appts
Beyond 120
Days","19. EWL
Greater
than 120
Days","20. PC
Avg
Wait
Time","21. SC
Avg
Wait
Time","22. MH
Avg
Wait
Time"
(V01) (650GD) Middletown,"1,014","1,005",99.11%,9,0.89%,0,0,991,0,14,0,7,0,1,0,1,0,0,0,2.36,2.11,2.11
"(V01) (689) VA Connecticut HCS, CT","54,848","52,948",96.54%,"1,900",3.46%,13,4,"49,649",2,"3,299",0,"1,350",1,399,1,95,0,56,0,1.86,6.17,2.1
(V01) (689) West Haven VAMC,"28,941","27,862",96.27%,"1,079",3.73%,0,2,"25,713",0,"2,149",0,883,1,132,1,38,0,26,0,2.1,6.51,2.49
(V01) (689A4) Newington VAMC,"22,413","21,622",96.47%,791,3.53%,0,2,"20,576",2,"1,046",0,447,0,258,0,57,0,29,0,1.94,5.72,1.19
(V01) (689GA) Waterbury,546,542,99.27%,4,0.73%,0,0,534,0,8,0,3,0,0,0,0,0,1,0,0.95,0,2.14
(V01) (689GB) Stamford,475,474,99.79%,1,0.21%,0,0,469,0,5,0,0,0,1,0,0,0,0,0,0.09,,1.46
(V01) (689GC) Willimantic,434,434,100.00%,0,0.00%,0,0,429,0,5,0,0,0,0,0,0,0,0,0,0.74,0,1.47
(V01) (689GD) Winsted,307,300,97.72%,7,2.28%,0,0,286,0,14,0,7,0,0,0,0,0,0,0,1.19,1.2,4.55
(V01) (689GE) Danbury,376,375,99.73%,1,0.27%,0,0,371,0,4,0,1,0,0,0,0,0,0,0,1.05,0,2.43
"(V01) (689HC) New London VA Primary
Care Center","1,356","1,339",98.75%,17,1.25%,0,0,"1,271",0,68,0,9,0,8,0,0,0,0,0,2.4,0,3.47
"(V02) (528) Albany, NY","40,874","37,753",92.36%,"3,121",7.64%,6,50,"35,615",13,"2,138",5,"1,488",7,989,4,386,5,258,16,5.48,9.75,8.64
(V02) (528A8) Samuel S Stratton VAMC,"31,972","29,162",91.21%,"2,810",8.79%,0,50,"27,239",13,"1,923",5,"1,288",7,911,4,372,5,239,16,7.56,9.79,9.87
(V02) (528G2) Westport,436,412,94.50%,24,5.50%,0,0,382,0,30,0,22,0,0,0,1,0,1,0,7.3,7.63,1.57
(V02) (528G3) Bainbridge,"1,050","1,033",98.38%,17,1.62%,0,0,995,0,38,0,11,0,1,0,1,0,4,0,3.31,0,3.38
(V02) (528G6) Fonda,393,392,99.75%,1,0.25%,0,0,391,0,1,0,1,0,0,0,0,0,0,0,0.31,0.4,0.11
(V02) (528G7) Catskill,956,931,97.38%,25,2.62%,0,0,898,0,33,0,16,0,4,0,2,0,3,0,4.04,0,7.72
(V02) (528GT) Glens Falls,882,879,99.66%,3,0.34%,0,0,875,0,4,0,3,0,0,0,0,0,0,0,0.88,1.3,0.6
(V02) (528GV) Plattsburgh,"1,626","1,600",98.40%,26,1.60%,0,0,"1,571",0,29,0,18,0,5,0,3,0,0,0,3.33,3.3,0.23
(V02) (528GW) Schenectady,777,719,92.54%,58,7.46%,0,0,711,0,8,0,47,0,3,0,5,0,3,0,4.66,10.5,0
(V02) (528GX) Troy,909,902,99.23%,7,0.77%,0,0,894,0,8,0,3,0,1,0,2,0,1,0,2.86,,0
(V02) (528GY) Clifton Park,946,797,84.25%,149,15.75%,0,0,742,0,55,0,79,0,63,0,0,0,7,0,13.75,0.37,5.83
(V02) (528GZ) Kingston,927,926,99.89%,1,0.11%,0,0,917,0,9,0,0,0,1,0,0,0,0,0,0.82,0,4.95
"(V02) (528) Bath, NY","15,051","14,398",95.66%,653,4.34%,10,54,"13,670",18,728,15,253,14,224,3,105,1,71,3,5.2,10.4,3.74
(V02) (528A6) Bath VA Medical Center,"12,994","12,434",95.69%,560,4.31%,0,54,"11,888",18,546,15,173,14,214,3,103,1,70,3,3.48,10.68,4
(V02) (528G4) Elmira,"1,619","1,534",94.75%,85,5.25%,0,0,"1,381",0,153,0,73,0,10,0,1,0,1,0,6.96,5.95,2.07
(V02) (528G8) Wellsville,438,430,98.17%,8,1.83%,0,0,401,0,29,0,7,0,0,0,1,0,0,0,3.56,11.26,0.78
"(V02) (528) Western New York, NY","57,419","53,038",92.37%,"4,381",7.63%,9,64,"50,068",16,"2,970",16,"2,424",15,"1,204",4,475,5,278,8,5.38,9.79,3.58
(V02) (528) Buffalo VA Medical Center,"44,919","40,984",91.24%,"3,935",8.76%,0,55,"38,619",14,"2,365",13,"2,154",13,"1,118",3,413,4,250,8,5.85,10.33,3.05
"(V02) (528A4) Upstate New York HCS-
Batavia","7,202","6,862",95.28%,340,4.72%,0,5,"6,434",2,428,1,187,1,71,1,59,0,23,0,8.33,3.6,3.99
(V02) (528GB) Jamestown,"1,229","1,168",95.04%,61,4.96%,0,0,"1,085",0,83,0,48,0,7,0,2,0,4,0,3.11,18.72,9.24
(V02) (528GK) Lockport,558,557,99.82%,1,0.18%,0,0,551,0,6,0,1,0,0,0,0,0,0,0,2.41,2.67,3.59
(V02) (528GQ) Lackawanna,910,904,99.34%,6,0.66%,0,2,876,0,28,0,4,1,2,0,0,1,0,0,3.02,0,1.97
(V02) (528GR) Olean,724,705,97.38%,19,2.62%,0,0,694,0,11,0,12,0,6,0,1,0,0,0,1.43,7.76,2.19
"(V02) (528) Canandaigua, NY","19,565","17,882",91.40%,"1,683",8.60%,3,21,"16,403",6,"1,479",3,"1,183",3,366,2,58,0,76,7,8.85,10.13,3.04
"(V02) (528A5) Canandaigua VA Medical
Center","7,548","6,847",90.71%,701,9.29%,0,20,"6,261",6,586,3,556,3,92,2,26,0,27,6,12.4,8.46,1.91
(V02) (528GE) Rochester,"12,017","11,035",91.83%,982,8.17%,0,1,"10,142",0,893,0,627,0,274,0,32,0,49,1,7.19,11.33,3.71
"(V02) (528) Syracuse, NY","51,462","48,193",93.65%,"3,269",6.35%,12,235,"44,355",66,"3,838",24,"2,034",62,714,40,243,9,278,34,4.54,10.54,3.59
"(V02) (528A7) Syracuse VA Medical
Center","31,447","29,266",93.06%,"2,181",6.94%,0,200,"26,727",44,"2,539",21,"1,456",56,486,37,132,9,107,33,3.09,8.99,3.05
(V02) (528G5) Auburn,732,717,97.95%,15,2.05%,0,0,708,0,9,0,5,0,6,0,2,0,2,0,2.3,4.51,3.98
(V02) (528G9) Tompkins County,"2,010","1,985",98.76%,25,1.24%,0,0,"1,974",0,11,0,14,0,5,0,3,0,3,0,0.98,7.48,3.43
(V02) (528GL) Massena,"2,651","2,576",97.17%,75,2.83%,0,0,"2,436",0,140,0,49,0,17,0,7,0,2,0,3.86,20.19,3.27
(V02) (528GM) Donald J Mitchell VA OPC,"4,355","3,759",86.31%,596,13.69%,0,35,"3,318",22,441,3,239,6,138,3,72,0,147,1,10.37,32.71,3.54
(V02) (528GN) Binghamton,"3,807","3,669",96.38%,138,3.62%,0,0,"3,420",0,249,0,90,0,23,0,12,0,13,0,3.88,8.68,3.69
(V02) (528GO) Watertown,"4,299","4,086",95.05%,213,4.95%,0,0,"3,767",0,319,0,157,0,38,0,14,0,4,0,9.7,7.72,4.31
(V02) (528GP) Oswego,"2,141","2,115",98.79%,26,1.21%,0,0,"1,985",0,130,0,24,0,1,0,1,0,0,0,3.71,1.57,4.58
(V02) (528MA) Watertown DES,13,13,100.00%,0,0.00%,0,0,13,0,0,0,0,0,0,0,0,0,0,0,,0,
(V02) (528QN) Watertown 2,7,7,100.00%,0,0.00%,0,0,7,0,0,0,0,0,0,0,0,0,0,0,,0,0
"(V03) (526) Bronx, NY","29,563","29,123",98.51%,440,1.49%,6,32,"27,566",6,"1,557",7,336,1,65,6,10,2,29,10,4.81,3.78,2.91
(V03) (526) James J. Peters VAMC,"28,015","27,587",98.47%,428,1.53%,0,30,"26,106",4,"1,481",7,332,1,60,6,9,2,27,10,5.54,3.77,2.58
(V03) (526GA) White Plains,806,800,99.26%,6,0.74%,0,1,743,1,57,0,1,0,4,0,1,0,0,0,3.34,0,7.29
(V03) (526GB) Yonkers,556,550,98.92%,6,1.08%,0,0,545,0,5,0,3,0,1,0,0,0,2,0,0.72,13.35,2.7
"(V03) (526GD) Thomas P. Noonan Jr. VA
OPC",186,186,100.00%,0,0.00%,0,1,172,1,14,0,0,0,0,0,0,0,0,0,3.57,1,
"(V03) (561) New Jersey HCS, NJ","51,263","48,828",95.25%,"2,435",4.75%,3,392,"46,554",49,"2,274",46,"1,781",66,500,33,104,21,50,177,1.47,7.21,1.84
(V03) (561) East Orange VAMC,"21,688","20,173",93.01%,"1,515",6.99%,0,32,"18,891",11,"1,282",3,"1,093",7,347,11,47,0,28,0,1.78,7.93,2.71
"(V03) (561A4) New Jersey HCS, NJ -
Lyons Campus","8,189","7,762",94.79%,427,5.21%,0,360,"7,376",38,386,43,330,59,54,22,37,21,6,177,0.13,7.15,0.81
(V03) (561BY) Newark,2,2,100.00%,0,0.00%,0,0,2,0,0,0,0,0,0,0,0,0,0,0,,,
(V03) (561BZ) Brick,"12,463","12,023",96.47%,440,3.53%,0,0,"11,551",0,472,0,319,0,93,0,15,0,13,0,2.62,6.21,2.45
(V03) (561GA) Hamilton,783,779,99.49%,4,0.51%,0,0,747,0,32,0,4,0,0,0,0,0,0,0,2.16,1.86,3.29
(V03) (561GB) Elizabeth,500,498,99.60%,2,0.40%,0,0,495,0,3,0,0,0,0,0,2,0,0,0,0.7,0,0.48
(V03) (561GD) Hackensack,"2,661","2,655",99.77%,6,0.23%,0,0,"2,646",0,9,0,2,0,2,0,0,0,2,0,0.17,0.65,0.63
(V03) (561GE) Jersey City,737,728,98.78%,9,1.22%,0,0,722,0,6,0,9,0,0,0,0,0,0,0,0.39,1.31,1.63
(V03) (561GF) Piscataway,"1,014","1,011",99.70%,3,0.30%,0,0,"1,003",0,8,0,2,0,1,0,0,0,0,0,0.41,4.33,1.62
(V03) (561GH) Morristown,"1,205","1,201",99.67%,4,0.33%,0,0,"1,191",0,10,0,3,0,0,0,0,0,1,0,0.94,0.27,1.86
(V03) (561GI) Tinton Falls,"1,440","1,428",99.17%,12,0.83%,0,0,"1,372",0,56,0,11,0,1,0,0,0,0,0,1.82,1.35,2.71
(V03) (561GJ) Paterson,581,568,97.76%,13,2.24%,0,0,558,0,10,0,8,0,2,0,3,0,0,0,1.43,3.47,2.18
"(V03) (620) VA Hudson Valley HCS, NY","19,648","19,442",98.95%,206,1.05%,2,34,"18,521",3,921,5,159,9,30,9,13,0,4,8,3.16,3.54,3.19
"(V03) (620) Franklin Delano Roosevelt
Hospital","5,136","5,076",98.83%,60,1.17%,0,33,"4,950",2,126,5,52,9,6,9,1,0,1,8,2.12,2.39,3.14
(V03) (620A4) Castle Point VAMC,"9,119","9,015",98.86%,104,1.14%,0,1,"8,506",1,509,0,69,0,21,0,12,0,2,0,3.78,3.61,1.82
(V03) (620BU) VADOM Montrose,98,97,98.98%,1,1.02%,0,0,95,0,2,0,0,0,0,0,0,0,1,0,,,
(V03) (620GA) New City,"1,579","1,578",99.94%,1,0.06%,0,0,"1,526",0,52,0,1,0,0,0,0,0,0,0,2.57,2.82,4.02
(V03) (620GB) Carmel,493,491,99.59%,2,0.41%,0,0,473,0,18,0,2,0,0,0,0,0,0,0,0.9,2.88,4.62
(V03) (620GF) Monticello,387,377,97.42%,10,2.58%,0,0,360,0,17,0,9,0,1,0,0,0,0,0,0.69,3.71,10.71
(V03) (620GG) Poughkeepsie,343,341,99.42%,2,0.58%,0,0,319,0,22,0,2,0,0,0,0,0,0,0,1.91,5.61,3.26
(V03) (620GH) Eastern Dutchess,152,149,98.03%,3,1.97%,0,0,138,0,11,0,3,0,0,0,0,0,0,0,2.95,5.37,11
(V03) (620MA) IDES West Point,3,3,100.00%,0,0.00%,0,0,3,0,0,0,0,0,0,0,0,0,0,0,,0,0
"(V03) (620QA) Montrose 1 VA Mobile
Clinic",2,2,100.00%,0,0.00%,0,0,2,0,0,0,0,0,0,0,0,0,0,0,,,
"(V03) (630) New York Harbor HCS, NY","45,221","44,074",97.46%,"1,147",2.54%,5,14,"42,832",7,"1,242",0,891,1,146,1,57,1,53,4,3.48,3.08,1.77
(V03) (630) Manhattan VAMC,"19,648","18,982",96.61%,666,3.39%,0,4,"18,330",2,652,0,542,0,71,0,23,1,30,1,3.11,3.76,2.59
"(V03) (630A4) New York Harbor HCS-
Brooklyn Campus","22,962","22,532",98.13%,430,1.87%,0,6,"21,996",2,536,0,310,0,70,1,30,0,20,3,4.39,2.52,0.91
(V03) (630A5) St. Albans VAMC,"1,691","1,662",98.29%,29,1.71%,0,4,"1,625",3,37,0,24,1,2,0,0,0,3,0,1.31,1.93,0.93
(V03) (630GA) Harlem CBOC,195,193,98.97%,2,1.03%,0,0,193,0,0,0,0,0,0,0,2,0,0,0,1.67,,0
(V03) (630GB) Staten Island CBOC,725,705,97.24%,20,2.76%,0,0,688,0,17,0,15,0,3,0,2,0,0,0,0.95,2.84,3.52
"(V03) (632) Northport, NY","37,709","36,250",96.13%,"1,459",3.87%,1,238,"34,164",22,"2,086",12,"1,113",27,225,37,50,19,71,121,4.93,7.59,3.6
(V03) (632) Northport VAMC,"31,739","30,436",95.89%,"1,303",4.11%,0,234,"28,655",22,"1,781",11,993,26,205,37,43,17,62,121,5.42,7.46,4.24
(V03) (632BU) Northport VADOM,489,489,100.00%,0,0.00%,0,0,489,0,0,0,0,0,0,0,0,0,0,0,,,
(V03) (632GA) East Meadow,"1,391","1,377",98.99%,14,1.01%,0,0,"1,328",0,49,0,10,0,2,0,1,0,1,0,2.53,10.69,1.81
(V03) (632HA) Valley Stream,852,841,98.71%,11,1.29%,0,3,808,0,33,0,4,1,4,0,1,2,2,0,5.39,0,2.34
(V03) (632HB) Riverhead,"1,011",963,95.25%,48,4.75%,0,0,877,0,86,0,41,0,7,0,0,0,0,0,5.89,8.82,5.06
(V03) (632HC) Bay Shore,854,849,99.41%,5,0.59%,0,0,828,0,21,0,1,0,1,0,0,0,3,0,2.31,,0.44
(V03) (632HD) Patchoque,"1,081","1,064",98.43%,17,1.57%,0,0,983,0,81,0,13,0,2,0,1,0,1,0,4.63,4.47,6.17
"(V03) (632QA) Northport 1 VA Mobile
Clinic",224,206,91.96%,18,8.04%,0,0,179,0,27,0,17,0,0,0,0,0,1,0,,8.25,
"(V03) (632QB) Northport 2 VA Mobile
Clinic",68,25,36.76%,43,63.24%,0,1,17,0,8,1,34,0,4,0,4,0,1,0,,38.62,
"(V04) (460) Wilmington, DE","32,298","30,073",93.11%,"2,225",6.89%,4,234,"27,681",32,"2,392",2,"1,570",17,414,37,112,16,129,130,4.29,9.9,9.9
(V04) (460) Wilmington VAMC,"21,578","20,039",92.87%,"1,539",7.13%,0,226,"18,302",31,"1,737",2,"1,057",16,299,36,80,16,103,125,4.46,9.77,8.74
(V04) (460GA) Sussex County,"3,214","3,120",97.08%,94,2.92%,0,3,"2,980",0,140,0,76,0,10,0,4,0,4,3,2.26,6.65,9.13
(V04) (460GC) Kent County,"3,126","2,761",88.32%,365,11.68%,0,5,"2,592",1,169,0,236,1,84,1,27,0,18,2,6.74,6.75,15.14
(V04) (460GD) Cape May USCG,834,800,95.92%,34,4.08%,0,0,721,0,79,0,31,0,3,0,0,0,0,0,3.42,12.43,7.83
(V04) (460HE) Atlantic County,"1,290","1,220",94.57%,70,5.43%,0,0,"1,076",0,144,0,62,0,7,0,1,0,0,0,4.87,12.06,6.84
(V04) (460HG) Cumberland County,"2,218","2,095",94.45%,123,5.55%,0,0,"1,976",0,119,0,108,0,11,0,0,0,4,0,4.95,19.48,3.03
"(V04) (460HK) Wilmington VA Mobile
Clinic",36,36,100.00%,0,0.00%,0,0,34,0,2,0,0,0,0,0,0,0,0,0,1.53,,
(V04) (460MA) IDES Dover AFB,2,2,100.00%,0,0.00%,0,0,0,0,2,0,0,0,0,0,0,0,0,0,,26,
"(V04) (503) Altoona, PA","23,361","23,184",99.24%,177,0.76%,7,0,"21,954",0,"1,230",0,135,0,14,0,7,0,21,0,4.13,4.25,1.47
(V04) (503) James E. Van Zandt VAMC,"14,708","14,652",99.62%,56,0.38%,0,0,"13,984",0,668,0,40,0,4,0,5,0,7,0,3.57,3.38,1.59
(V04) (503GA) Johnstown,"1,808","1,776",98.23%,32,1.77%,0,0,"1,616",0,160,0,30,0,1,0,0,0,1,0,4.72,15.48,1.42
(V04) (503GB) DuBois (Clearfield),"3,648","3,585",98.27%,63,1.73%,0,0,"3,343",0,242,0,52,0,8,0,0,0,3,0,4.66,12.4,1.43
"(V04) (503GC) State College (Centre
County)","1,401","1,392",99.36%,9,0.64%,0,0,"1,262",0,130,0,9,0,0,0,0,0,0,0,4.4,11.63,0.75
(V04) (503GD) Huntingdon County,799,792,99.12%,7,0.88%,0,0,783,0,9,0,2,0,1,0,1,0,3,0,4.21,10.11,2.45
(V04) (503GE) Indiana County,997,987,99.00%,10,1.00%,0,0,966,0,21,0,2,0,0,0,1,0,7,0,4.92,0,1.08
"(V04) (529) Butler, PA","25,368","25,267",99.60%,101,0.40%,9,0,"24,848",0,419,0,27,0,7,0,8,0,59,0,1.37,2.46,1.03
(V04) (529) Butler VAMC,"14,988","14,925",99.58%,63,0.42%,0,0,"14,612",0,313,0,24,0,7,0,4,0,28,0,1.09,2.59,1.05
"(V04) (529GA) Michael A. Marzano VA
OPC","3,084","3,078",99.81%,6,0.19%,0,0,"3,074",0,4,0,2,0,0,0,1,0,3,0,0.29,0.85,0.67
(V04) (529GB) Lawrence County,"1,984","1,982",99.90%,2,0.10%,0,0,"1,980",0,2,0,0,0,0,0,0,0,2,0,1.04,0.44,0
(V04) (529GD) Clarion County,"1,242","1,235",99.44%,7,0.56%,0,0,"1,230",0,5,0,1,0,0,0,0,0,6,0,2.01,1.49,1
(V04) (529GF) Cranberry Township,"2,338","2,326",99.49%,12,0.51%,0,0,"2,293",0,33,0,0,0,0,0,1,0,11,0,2.07,5.49,0
"(V04) (540) Clarksburg, WV","27,214","25,027",91.96%,"2,187",8.04%,2,9,"22,948",6,"2,079",2,"1,396",1,356,0,195,0,240,0,4.85,12.27,3.81
