"Facility
(Administrati
ve Parent)
(Data On
11/1/14)","Total Appts
Scheduled1","Appts
scheduled
30 Days or
under2","Percent
Appts
scheduled
30 Days or
under3","Appts
scheduled
over 30
Days4","Percent
Appts
scheduled
over 30
Days5",,"New
Enrollee
Appt
Request6",,"EWL
Count7",,"Appts
Between
0 - 14 Days8","EWL 0 -
14
Days9","Appts
Between
15 - 30
Days10","EWL 15-30
Days11","Appts
Between
31 - 60
days12","EWL 31-
60
Days13","Appts
Between
61 - 90
Days14","EWL 61-90
Days15","Appts
Between
91 - 120
Days16","EWL 91-
120
Days17","Appts
Beyond
120 Days18","EWL
greater
than 120
Days19",,"PC Avg
Wait
Time20","SC Avg
Wait
Time21","MH Avg
Wait
Time22"
"(V21) (612) N. California, CA","66,081","58,224",88.11%,"7,857",11.89%,,0,,520,,"53,682",183,"4,542",149,"4,909",127,"2,010",28,781,24,157,9,,4.53,14.49,1.92
"(V22) (664) San Diego, CA","64,775","59,603",92.02%,"5,172",7.98%,,0,,309,,"56,048",75,"3,555",74,"2,608",54,896,31,533,25,"1,135",50,,4,8.13,6.41
"(V19) (554) Denver, CO","64,753","56,271",86.90%,"8,482",13.10%,,0,,"1,099",,"51,149",467,"5,122",135,"5,246",197,"2,246",101,801,138,189,61,,9.34,11.82,14.34
"(V06) (652) Richmond, VA","64,438","61,313",95.15%,"3,125",4.85%,,17,,326,,"57,773",53,"3,540",63,"2,055",96,708,68,257,16,105,30,,9.8,5.01,5.78
"(V04) (642) Philadelphia, PA","63,754","57,937",90.88%,"5,817",9.12%,,0,,47,,"54,117",7,"3,820",4,"2,571",5,"1,205",10,608,11,"1,433",10,,5.95,14.27,4.96
"(V16) (598) Little Rock, AR","63,652","61,001",95.84%,"2,651",4.16%,,20,,44,,"57,784",27,"3,217",9,"1,665",3,719,2,171,2,96,1,,8.58,3.73,7.15
"(V09) (614) Memphis, TN","58,891","57,265",97.24%,"1,626",2.76%,,0,,62,,"55,374",28,"1,891",13,"1,005",12,370,9,185,0,66,0,,2.67,3.69,4.58
"(V22) (593) Las Vegas, NV","58,496","54,115",92.51%,"4,381",7.49%,,0,,380,,"51,596",151,"2,519",78,"2,674",27,"1,329",20,351,92,27,12,,6.83,6.33,4.61
"(V12) (695) Milwaukee, WI","58,443","54,079",92.53%,"4,364",7.47%,,15,,7,,"51,174",0,"2,905",0,"3,035",0,"1,137",2,151,4,41,1,,1.43,9.14,3.91
"(V15) (657) St. Louis, MO","57,826","56,166",97.13%,"1,660",2.87%,,6,,2,,"51,690",2,"4,476",0,"1,117",0,318,0,131,0,94,0,,4.53,6.04,5.14
"(V08) (546) Miami, FL","55,260","53,277",96.41%,"1,983",3.59%,,14,,36,,"51,021",12,"2,256",0,"1,543",0,332,12,66,5,42,7,,4.94,5.44,1.34
"(V05) (512) Baltimore HCS, MD","53,818","49,693",92.34%,"4,125",7.66%,,0,,82,,"46,105",38,"3,588",5,"2,476",5,"1,011",21,523,4,115,9,,10.74,7.49,3.9
"(V03) (630) New York Harbor HCS, NY","53,308","52,561",98.60%,747,1.40%,,2,,5,,"51,058",3,"1,503",2,651,0,68,0,13,0,15,0,,1.59,2.74,1.19
"(V07) (521) Birmingham, AL","53,264","50,876",95.52%,"2,388",4.48%,,0,,31,,"48,618",15,"2,258",8,"1,873",5,419,3,40,0,56,0,,2.08,8.11,1.63
"(V21) (640) Palo Alto, CA","52,423","48,952",93.38%,"3,471",6.62%,,0,,443,,"45,475",44,"3,477",63,"2,498",43,643,68,213,61,117,164,,6.36,7.21,4.73
"(V12) (578) Hines, IL","52,106","45,605",87.52%,"6,501",12.48%,,1,,1,,"42,615",1,"2,990",0,"4,592",0,"1,850",0,47,0,12,0,,9.55,12.19,7.9
"(V11) (506) Ann Arbor, MI","51,812","48,969",94.51%,"2,843",5.49%,,6,,23,,"46,873",8,"2,096",7,"1,942",4,630,3,194,1,77,0,,5.08,5.53,2.65
"(V02) (528) Syracuse, NY","51,671","47,182",91.31%,"4,489",8.69%,,0,,3,,"44,819",2,"2,363",0,"2,177",0,"1,023",0,466,0,823,1,,2.82,15.8,3.12
"(V01) (689) VA Connecticut HCS, CT","51,498","49,979",97.05%,"1,519",2.95%,,18,,6,,"47,976",3,"2,003",2,895,1,305,0,167,0,152,0,,2.57,5.11,3.9
"(V22) (600) Long Beach, CA","51,185","49,450",96.61%,"1,735",3.39%,,0,,73,,"46,659",30,"2,791",20,"1,464",18,165,3,55,1,51,1,,10.15,3.5,3.47
"(V09) (603) Louisville, KY","48,484","47,533",98.04%,951,1.96%,,0,,5,,"45,219",5,"2,314",0,719,0,152,0,54,0,26,0,,3.62,4.1,2.95
"(V15) (589) Columbia, MO","47,568","47,110",99.04%,458,0.96%,,2,,5,,"46,286",1,824,1,241,1,104,0,37,1,76,1,,1.34,2.75,1.31
"(V02) (528) Western New York, NY","46,634","45,079",96.67%,"1,555",3.33%,,0,,6,,"42,960",4,"2,119",1,"1,159",0,235,0,102,0,59,1,,3.89,3.88,4.45
(V18) (501) New Mexico HCS,"44,224","38,172",86.32%,"6,052",13.68%,,0,,289,,"34,587",215,"3,585",49,"3,129",17,"2,515",5,374,1,34,2,,17.46,12.11,7.3
"(V05) (688) Washington, DC","43,751","41,081",93.90%,"2,670",6.10%,,0,,99,,"37,385",57,"3,696",8,"2,130",5,485,3,45,3,10,23,,8.12,6.66,8.22
"(V01) (402) Togus, ME","43,488","42,363",97.41%,"1,125",2.59%,,3,,35,,"41,149",8,"1,214",6,710,21,286,0,81,0,48,0,,2.79,3.89,2.56
(V18) (678) Southern Arizona HCS,"43,460","41,063",94.48%,"2,397",5.52%,,0,,111,,"39,137",50,"1,926",10,"1,387",22,769,7,188,1,53,21,,8.72,4.92,6.1
"(V06) (565) Fayetteville, NC","43,212","35,270",81.62%,"7,942",18.38%,,0,,"1,251",,"31,555",250,"3,715",377,"3,397",473,"4,370",74,103,30,72,47,,27.55,16.17,5.88
"(V04) (595) Lebanon, PA","42,932","41,982",97.79%,950,2.21%,,0,,16,,"40,302",10,"1,680",2,718,4,166,0,48,0,18,0,,2.17,4.12,2.04
(V12) (578) Hines,"42,832","36,952",86.27%,"5,880",13.73%,,0,,1,,"34,622",1,"2,330",0,"4,090",0,"1,732",0,46,0,12,0,,12.56,12.7,7.88
"(V03) (561) New Jersey HCS, NJ","42,062","39,929",94.93%,"2,133",5.07%,,1,,2,,"38,135",1,"1,794",0,"1,665",0,386,0,49,1,33,0,,1.41,6.36,2.03
"(V16) (629) New Orleans, LA","40,636","34,981",86.08%,"5,655",13.92%,,30,,19,,"31,720",7,"3,261",3,"3,033",5,"2,583",1,29,1,10,2,,12.93,15.18,6.2
"(V01) (650) Providence, RI","40,423","38,701",95.74%,"1,722",4.26%,,8,,33,,"37,057",7,"1,644",4,995,8,528,6,148,0,51,8,,8.32,4.92,7.77
"(V16) (586) Jackson, MS","39,691","38,262",96.40%,"1,429",3.60%,,0,,84,,"37,109",17,"1,153",11,944,19,350,9,80,11,55,17,,6,3.71,1.07
"(V10) (757) Columbus, OH","39,507","36,133",91.46%,"3,374",8.54%,,0,,29,,"33,627",14,"2,506",1,"2,139",3,931,3,280,6,24,2,,9.39,8.87,2.25
"(V23) (636) Nebraska-W Iowa, NE","39,002","38,657",99.12%,345,0.88%,,6,,69,,"37,852",22,805,18,276,11,40,4,19,9,10,5,,1.99,1.98,1.26
"(V16) (667) Shreveport, LA","38,682","37,797",97.71%,885,2.29%,,0,,59,,"36,343",57,"1,454",1,529,0,154,0,105,1,97,0,,5.6,3.5,3.11
"(V11) (553) Detroit, MI","38,623","37,952",98.26%,671,1.74%,,12,,105,,"37,447",47,505,28,443,21,179,4,41,2,8,3,,0.83,2.21,0.6
"(V03) (632) Northport, NY","38,213","37,381",97.82%,832,2.18%,,0,,355,,"35,573",49,"1,808",40,571,21,177,25,49,12,35,208,,4.1,6.37,1.31
"(V16) (564) Fayetteville, AR","37,357","34,601",92.62%,"2,756",7.38%,,0,,0,,"32,506",0,"2,095",0,"1,723",0,697,0,153,0,183,0,,2.59,9.09,6.63
"(V05) (613) Martinsburg, WV","36,508","35,159",96.30%,"1,349",3.70%,,0,,96,,"33,407",72,"1,752",19,736,2,374,1,148,2,91,0,,5.8,6.49,2.32
"(V23) (656) St. Cloud, MN","36,357","34,938",96.10%,"1,419",3.90%,,2,,34,,"33,961",14,977,0,"1,026",3,298,5,82,3,13,9,,3.08,7.38,4.89
"(V15) (589) Eastern KS HCS, KS","36,044","35,254",97.81%,790,2.19%,,1,,1,,"34,354",1,900,0,593,0,165,0,21,0,11,0,,2.04,4.58,1.03
"(V16) (635) Oklahoma City, OK","35,982","34,510",95.91%,"1,472",4.09%,,0,,91,,"32,586",51,"1,924",9,901,9,468,14,89,5,14,3,,3.43,6.87,2.06
"(V07) (509) Augusta, GA","35,973","34,245",95.20%,"1,728",4.80%,,0,,37,,"32,155",13,"2,090",19,"1,208",3,251,1,82,0,187,1,,7.42,6.18,1.3
"(V06) (590) Hampton, VA","35,620","28,396",79.72%,"7,224",20.28%,,5,,8,,"24,005",4,"4,391",3,"4,966",0,"1,796",0,213,0,249,1,,31.38,13.37,14.07
"(V06) (637) Asheville, NC","35,255","33,557",95.18%,"1,698",4.82%,,1,,59,,"31,359",17,"2,198",16,"1,224",21,380,5,65,0,29,0,,7.73,6.04,4.02
"(V07) (619) Central Alabama Veterans HCS, AL","34,182","25,904",75.78%,"8,278",24.22%,,28,,53,,"22,447",13,"3,457",18,"4,288",10,"2,286",6,"1,501",1,203,5,,12.93,24.85,21.95
"(V23) (636) Iowa City, IA","32,659","31,007",94.94%,"1,652",5.06%,,4,,79,,"29,482",71,"1,525",2,936,4,370,1,250,1,96,0,,5.46,6.21,2.36
"(V18) (756) El Paso, TX","31,802","28,205",88.69%,"3,597",11.31%,,0,,0,,"25,921",0,"2,284",0,"1,954",0,983,0,610,0,50,0,,9.47,8.6,17.14
"(V11) (610) Northern Indiana HCS, IN","31,683","29,797",94.05%,"1,886",5.95%,,4,,1,,"27,695",1,"2,102",0,"1,481",0,344,0,41,0,20,0,,9.14,6.77,1.86
"(V12) (607) Madison, WI","31,632","29,637",93.69%,"1,995",6.31%,,0,,0,,"28,145",0,"1,492",0,"1,410",0,444,0,82,0,59,0,,6.54,7.07,2.19
"(V02) (528) Albany, NY","31,556","30,948",98.07%,608,1.93%,,0,,30,,"30,084",13,864,0,349,12,139,5,70,0,50,0,,2.28,2.29,5.45
"(V04) (503) Altoona, PA","30,079","29,503",98.09%,576,1.91%,,0,,0,,"28,790",0,713,0,376,0,159,0,14,0,27,0,,3.21,6,1.46
"(V19) (660) Salt Lake City, UT","28,753","25,907",90.10%,"2,846",9.90%,,0,,699,,"23,513",298,"2,394",134,"1,870",167,810,66,101,25,65,9,,13.51,8.77,3.61
"(V21) (654) Reno, NV","28,055","25,231",89.93%,"2,824",10.07%,,0,,86,,"23,201",15,"2,030",6,"1,603",26,875,3,304,31,42,5,,10.99,12.02,3.57
"(V16) (502) Alexandria, LA","27,095","25,293",93.35%,"1,802",6.65%,,0,,231,,"23,905",7,"1,388",8,"1,001",16,672,21,66,22,63,157,,3.75,12.71,3.43
"(V04) (693) Wilkes-Barre, PA","26,933","26,050",96.72%,883,3.28%,,0,,6,,"25,372",2,678,4,625,0,235,0,22,0,1,0,,4.62,1.98,3.68
"(V11) (655) Saginaw, MI","26,413","25,804",97.69%,609,2.31%,,3,,12,,"24,884",7,920,5,567,0,35,0,4,0,3,0,,0.65,4.03,1.77
"(V07) (557) Dublin, GA","25,834","22,162",85.79%,"3,672",14.21%,,4,,899,,"19,951",110,"2,211",694,"1,684",76,"1,523",19,409,0,56,0,,17.88,12.15,5.3
"(V04) (540) Clarksburg, WV","25,765","22,285",86.49%,"3,480",13.51%,,0,,0,,"20,755",0,"1,530",0,"1,823",0,"1,056",0,492,0,109,0,,10.1,15.24,4.98
(V01) (631) VA Central Western Massachusetts HCS,"25,118","22,483",89.51%,"2,635",10.49%,,2,,69,,"20,926",12,"1,557",9,"1,507",23,710,16,308,3,110,6,,12.18,12.4,3.94
"(V01) (405) White River Junction, VT","24,816","23,979",96.63%,837,3.37%,,2,,20,,"22,836",9,"1,143",4,604,6,123,0,42,0,68,1,,3.9,5.56,1.59
"(V10) (552) Dayton, OH","24,696","23,979",97.10%,717,2.90%,,0,,65,,"23,088",7,891,5,660,13,46,9,7,15,4,16,,1,4.21,2
"(V04) (529) Butler, PA","24,166","24,132",99.86%,34,0.14%,,0,,0,,"24,053",0,79,0,17,0,4,0,2,0,11,0,,0.37,0.92,0.76
"(V20) (653) Roseburg, OR","22,783","21,649",95.02%,"1,134",4.98%,,0,,579,,"20,238",150,"1,411",59,916,66,148,37,23,28,47,239,,6.78,6.16,1.9
"(V20) (668) Spokane, WA","22,490","21,432",95.30%,"1,058",4.70%,,0,,108,,"20,461",16,971,44,712,43,157,5,136,0,53,0,,2.99,7.21,4.11
"(V16) (623) Muskogee, OK","22,313","21,462",96.19%,851,3.81%,,0,,58,,"20,271",9,"1,191",14,679,18,169,7,2,6,1,4,,4.25,6.24,1.75
"(V15) (657) Marion, IL","22,311","20,517",91.96%,"1,794",8.04%,,6,,85,,"19,069",25,"1,448",23,972,30,755,5,56,1,11,1,,3.97,10.93,4.35
"(V11) (515) Battle Creek, MI","21,933","20,499",93.46%,"1,434",6.54%,,6,,215,,"19,363",158,"1,136",49,"1,197",8,231,0,1,0,5,0,,2.66,9.08,1.65
"(V03) (620) VA Hudson Valley HCS, NY","21,879","21,350",97.58%,529,2.42%,,0,,53,,"20,354",17,996,11,482,7,42,5,3,4,2,9,,3.94,4.11,2.08
"(V23) (636) Central Iowa, IA","21,664","20,654",95.34%,"1,010",4.66%,,9,,229,,"19,427",27,"1,227",22,673,62,195,54,77,64,65,0,,6.26,4.95,3.35
"(V03) (526) Bronx, NY","21,625","21,249",98.26%,376,1.74%,,0,,3,,"20,510",3,739,0,260,0,100,0,15,0,1,0,,3.18,2.95,1.87
"(V23) (438) Sioux Falls, SD","21,433","20,335",94.88%,"1,098",5.12%,,4,,134,,"19,158",44,"1,177",8,836,10,197,13,49,11,16,48,,5.43,6.96,4.33
"(V18) (504) Amarillo, TX","20,234","19,184",94.81%,"1,050",5.19%,,0,,18,,"18,577",4,607,10,530,3,452,1,58,0,10,0,,13.93,3,0.72
"(V01) (608) Manchester, NH","19,453","18,965",97.49%,488,2.51%,,1,,99,,"18,040",3,925,1,439,3,33,13,9,54,7,25,,3.1,4.04,4.87
(V19) (436) Montana HCS,"19,314","17,528",90.75%,"1,786",9.25%,,0,,75,,"16,373",59,"1,155",10,"1,033",4,446,0,186,2,121,0,,15.35,4.05,4.14
"(V23) (437) Fargo, ND","19,310","18,408",95.33%,902,4.67%,,3,,1,,"17,501",1,907,0,697,0,182,0,13,0,10,0,,4.54,5.1,1.36
"(V11) (550) Danville, IL","18,219","17,584",96.51%,635,3.49%,,6,,1,,"16,934",0,650,1,510,0,66,0,53,0,6,0,,4.73,2.65,3.34
"(V15) (589) Wichita, KS","17,721","16,929",95.53%,792,4.47%,,2,,127,,"16,254",6,675,32,526,15,224,0,29,3,13,71,,3.42,8.02,1.98
"(V21) (570) Fresno, CA","17,651","15,530",87.98%,"2,121",12.02%,,0,,44,,"14,541",4,989,3,"1,194",2,640,2,212,8,75,25,,0.55,14.46,1
"(V21) (459) Honolulu, HI","15,943","15,539",97.47%,404,2.53%,,0,,33,,"14,952",17,587,9,326,1,63,0,10,0,5,6,,5.82,1.12,2.38
"(V12) (676) Tomah, WI","15,420","15,096",97.90%,324,2.10%,,6,,0,,"14,686",0,410,0,285,0,21,0,16,0,2,0,,1.12,3.71,2.12
"(V02) (528) Canandaigua, NY","15,341","14,923",97.28%,418,2.72%,,0,,27,,"14,037",13,886,10,335,4,50,0,21,0,12,0,,5.15,4.64,1.92
"(V20) (531) Boise, ID","15,285","13,560",88.71%,"1,725",11.29%,,0,,63,,"12,964",8,596,17,933,18,449,9,223,2,120,9,,1.81,13.24,1.78
"(V06) (517) Beckley, WV","14,962","14,319",95.70%,643,4.30%,,0,,204,,"13,512",36,807,41,520,12,100,19,16,17,7,79,,3.68,5.48,5.18
(V12) (556) Captain James A Lovell FHCC,"14,947","14,566",97.45%,381,2.55%,,0,,17,,"13,555",3,"1,011",6,353,1,23,1,0,0,5,6,,2.85,4.81,4.57
"(V02) (528) Bath, NY","14,707","14,121",96.02%,586,3.98%,,0,,14,,"13,626",5,495,2,345,6,169,1,60,0,12,0,,4.33,7.96,0.2
"(V20) (692) White City, OR","14,590","14,094",96.60%,496,3.40%,,0,,461,,"13,758",39,336,81,368,105,84,79,17,102,27,55,,5.2,6.72,2.38
(V18) (649) Northern Arizona HCS,"14,562","13,033",89.50%,"1,529",10.50%,,0,,362,,"12,312",118,721,73,839,37,484,22,202,12,4,100,,8.21,14.44,0.21
"(V23) (568) Black Hills HCS, SD","14,551","13,955",95.90%,596,4.10%,,0,,6,,"13,316",5,639,1,545,0,43,0,6,0,2,0,,2.99,6.51,2.25
"(V19) (442) Cheyenne, WY","14,022","13,303",94.87%,719,5.13%,,0,,155,,"12,425",67,878,27,451,49,247,11,14,1,7,0,,3.3,5.91,4.34
"(V04) (562) Erie, PA","13,114","12,417",94.69%,697,5.31%,,0,,7,,"11,828",7,589,0,544,0,145,0,2,0,6,0,,10.03,6.41,0.48
"(V15) (657) Poplar Bluff, MO","12,487","11,582",92.75%,905,7.25%,,3,,7,,"10,899",1,683,1,730,2,164,3,9,0,2,0,,3.72,13.18,2.81
"(V12) (585) Iron Mountain, MI","12,136","11,490",94.68%,646,5.32%,,0,,1,,"10,585",1,905,0,470,0,135,0,40,0,1,0,,6.23,6.5,5.71
"(V01) (518) Bedford, MA","8,717","8,244",94.57%,473,5.43%,,15,,159,,"7,512",8,732,4,370,10,81,18,17,14,5,105,,1.13,10.34,5.59
"(V19) (575) Grand Junction, CO","8,689","8,339",95.97%,350,4.03%,,0,,14,,"7,947",1,392,9,321,1,26,0,3,0,0,3,,2.36,6.21,2.94
"(V20) (687) Walla Walla, WA","8,470","7,747",91.46%,723,8.54%,,0,,64,,"7,061",11,686,6,444,10,255,7,20,10,4,20,,4.75,17.75,1.99
"(V18) (519) Big Spring, TX","8,032","7,685",95.68%,347,4.32%,,0,,67,,"6,966",36,719,12,276,10,35,5,22,4,14,0,,6.89,6.78,6.56
"(V20) (463) Anchorage, AK","5,999","5,904",98.42%,95,1.58%,,0,,35,,"5,696",18,208,2,91,2,0,6,3,3,1,4,,2.21,2.66,1.06
"(V03) (620) VA Hudson Valley HCS-Montrose
Campus","5,114","5,057",98.89%,57,1.11%,,0,,11,,"4,856",4,201,4,53,2,4,0,0,1,0,0,,6.47,2.77,1.74
"(V21) (358) Manila, PI","1,449","1,396",96.34%,53,3.66%,,0,,11,,"1,291",11,105,0,47,0,6,0,0,0,0,0,,5.05,3.77,4.38
