"Facility
(Administrative
Parent)
(Data On 10/1/14)","Total appts
scheduled1","Appts
scheduled 30
days or
under2","Percent
appts
scheduled 30
days or
under3","Appts
scheduled
over 30
days4","Percent
appts
scheduled
over 30
days5",,"New
Enrollee
Appt
Request6",,"EWL
count7",,"Appts
between
8 0 â€ê 14 days","EWL 0 â€ê
14
days9","Appts
between
15 â€ê 30
days10","EWL 15â€ê
30 days11","Appts
between
31 â€ê 60
days12","EWL 31â€ê
60
days13","Appts
between
61 â€ê 90
days14","EWL 61â€ê
90
days15","Appts
between
91 â€ê 120
days16","EWL 91â€ê
120
days17","Appts
beyond
120
days18","EWL
greater
than 120
days19",,"PC avg
wait
time20","SC avg
wait
time21","MH avg
wait
time22"
"(V09) (621) Mountain Home, TN","72,990","70,259",96.26%,"2,731",3.74%,,10,,266,,"68,016",40,"2,243",29,"1,617",77,616,43,311,35,187,42,,8.22,3.42,2.06
"(V20) (648) Portland, OR","71,367","67,129",94.06%,"4,238",5.94%,,1,,624,,"62,576",273,"4,553",65,"2,913",77,996,77,227,19,102,113,,11.21,6.82,1.4
"(V06) (558) Durham, NC","71,174","65,651",92.24%,"5,523",7.76%,,137,,82,,"60,344",26,"5,307",4,"4,092",15,996,14,233,5,202,18,,12.28,8.46,3.31
"(V04) (646) Pittsburgh, PA","67,655","65,837",97.31%,"1,818",2.69%,,6,,5,,"63,227",4,"2,610",0,"1,218",1,410,0,129,0,61,0,,3.56,3.9,1.49
"(V20) (663) VA Puget Sound, WA","66,591","63,626",95.55%,"2,965",4.45%,,5,,85,,"59,908",13,"3,718",8,"1,940",13,851,7,139,11,35,33,,5.52,7.5,1.5
"(V18) (644) Phoenix, AZ","66,533","58,822",88.41%,"7,711",11.59%,,4,,131,,"52,793",59,"6,029",21,"4,571",22,"1,810",20,890,7,440,2,,10.77,17.82,5.49
"(V10) (541) Cleveland, OH","66,484","63,217",95.09%,"3,267",4.91%,,2,,1,,"59,213",1,"4,004",0,"2,898",0,256,0,92,0,21,0,,4.9,5.54,3.12
"(V08) (548) West Palm Beach, FL","66,302","63,830",96.27%,"2,472",3.73%,,5,,3,,"61,591",2,"2,239",1,"1,696",0,529,0,216,0,31,0,,1.92,6.01,1.89
"(V04) (642) Philadelphia, PA","65,203","59,689",91.54%,"5,514",8.46%,,3,,38,,"55,741",3,"3,948",0,"2,370",10,"1,174",12,659,8,"1,311",5,,5.11,13.73,5.02
"(V06) (652) Richmond, VA","65,118","62,307",95.68%,"2,811",4.32%,,9,,418,,"58,693",99,"3,614",76,"1,893",115,582,49,237,50,99,29,,9.24,4.67,5.32
"(V22) (605) Loma Linda, CA","64,526","59,207",91.76%,"5,319",8.24%,,9,,128,,"54,664",33,"4,543",23,"3,214",14,"1,089",13,304,11,712,34,,6.19,12.42,4.47
"(V21) (612) N. California, CA","63,426","56,520",89.11%,"6,906",10.89%,,11,,604,,"52,584",71,"3,936",141,"4,358",199,"1,712",155,696,33,140,5,,4.48,12.95,1.76
"(V22) (664) San Diego, CA","62,533","57,713",92.29%,"4,820",7.71%,,11,,272,,"54,392",78,"3,321",32,"2,371",47,912,47,565,32,972,36,,4.08,7.95,5.51
"(V16) (598) Little Rock, AR","61,816","59,350",96.01%,"2,466",3.99%,,12,,7,,"56,267",2,"3,083",2,"1,524",1,727,1,125,1,90,0,,7.87,3.54,6.67
"(V12) (695) Milwaukee, WI","60,160","56,384",93.72%,"3,776",6.28%,,3,,10,,"53,788",1,"2,596",0,"2,626",2,981,5,126,0,43,2,,1.06,8.26,2.46
"(V15) (657) St. Louis, MO","58,430","56,755",97.13%,"1,675",2.87%,,7,,0,,"52,435",0,"4,320",0,968,0,345,0,236,0,126,0,,3.22,6.34,4.79
"(V22) (593) Las Vegas, NV","56,751","52,988",93.37%,"3,763",6.63%,,30,,317,,"51,002",65,"1,986",41,"2,375",31,"1,101",145,260,6,27,29,,7.17,4.86,3.82
"(V09) (614) Memphis, TN","56,436","55,076",97.59%,"1,360",2.41%,,12,,23,,"53,481",12,"1,595",2,798,9,323,0,185,0,54,0,,2,3.21,4.72
"(V07) (521) Birmingham, AL","55,931","53,937",96.43%,"1,994",3.57%,,13,,16,,"51,984",11,"1,953",1,"1,432",4,385,0,98,0,79,0,,1.75,6.93,1.52
"(V05) (512) Baltimore HCS, MD","55,345","51,658",93.34%,"3,687",6.66%,,11,,95,,"48,036",47,"3,622",9,"2,391",23,802,9,401,3,93,4,,8.93,6.96,3.7
"(V03) (630) New York Harbor HCS, NY","54,248","53,609",98.82%,639,1.18%,,6,,12,,"52,287",4,"1,322",1,531,1,84,6,14,0,10,0,,1.5,2.42,1.25
"(V17) (671) San Antonio, TX","54,157","50,613",93.46%,"3,544",6.54%,,3,,29,,"47,211",13,"3,402",8,"2,597",8,927,0,19,0,1,0,,6.62,5.86,6.96
"(V11) (583) Indianapolis, IN","52,870","50,772",96.03%,"2,098",3.97%,,5,,6,,"47,974",0,"2,798",3,"1,595",0,336,0,76,3,91,0,,3.78,4.54,3.01
"(V21) (640) Palo Alto, CA","52,661","49,715",94.41%,"2,946",5.59%,,19,,364,,"46,418",27,"3,297",24,"2,172",72,447,61,213,76,114,104,,5.48,6.54,3.57
"(V16) (520) Gulf Coast HCS, MS","51,369","44,296",86.23%,"7,073",13.77%,,6,,218,,"40,860",169,"3,436",4,"4,406",12,"1,821",21,669,8,177,4,,13.97,13.68,7.16
"(V01) (689) VA Connecticut HCS, CT","51,281","49,063",95.67%,"2,218",4.33%,,8,,5,,"46,662",5,"2,401",0,"1,314",0,511,0,223,0,170,0,,2.58,6.87,4.12
"(V15) (589) Columbia, MO","51,262","50,662",98.83%,600,1.17%,,7,,12,,"49,777",2,885,4,389,2,83,1,40,0,88,3,,1.63,2.72,1.4
"(V11) (506) Ann Arbor, MI","51,138","48,289",94.43%,"2,849",5.57%,,10,,20,,"46,423",8,"1,866",6,"1,901",5,698,1,194,0,56,0,,3.86,5.39,2.55
"(V02) (528) Syracuse, NY","50,802","46,412",91.36%,"4,390",8.64%,,8,,4,,"43,895",3,"2,517",0,"2,145",1,"1,013",0,450,0,782,0,,2.73,15.88,3.04
"(V22) (600) Long Beach, CA","49,967","48,508",97.08%,"1,459",2.92%,,22,,38,,"45,927",13,"2,581",13,"1,236",7,102,4,61,1,60,0,,9.85,3.07,3.58
"(V09) (603) Louisville, KY","46,270","45,449",98.23%,821,1.77%,,5,,0,,"43,678",0,"1,771",0,627,0,121,0,49,0,24,0,,2.55,3.97,2.66
"(V12) (537) Jesse Brown VAMC (Chicago), IL","45,577","42,515",93.28%,"3,062",6.72%,,6,,80,,"40,419",5,"2,096",13,"1,979",23,882,10,196,23,5,6,,7.06,7.73,3.25
(V18) (501) New Mexico HCS,"45,503","39,606",87.04%,"5,897",12.96%,,0,,208,,"36,215",174,"3,391",13,"2,830",14,"2,633",4,402,1,32,2,,16.62,11.74,7.88
"(V02) (528) Western New York, NY","44,274","42,720",96.49%,"1,554",3.51%,,28,,12,,"40,725",1,"1,995",1,"1,171",2,229,4,102,3,52,1,,4.02,3.83,4.5
"(V06) (565) Fayetteville, NC","43,844","35,744",81.53%,"8,100",18.47%,,34,,711,,"31,959",220,"3,785",177,"3,328",147,"4,582",54,122,22,68,91,,28.09,14.52,5.02
"(V05) (688) Washington, DC","43,797","41,101",93.84%,"2,696",6.16%,,7,,96,,"37,401",31,"3,700",9,"2,028",10,592,9,65,15,11,22,,8.41,6.88,8.11
(V18) (678) Southern Arizona HCS,"43,223","41,054",94.98%,"2,169",5.02%,,5,,117,,"39,204",17,"1,850",51,"1,283",13,560,7,271,12,55,17,,7.93,4.5,6.92
"(V03) (561) New Jersey HCS, NJ","42,221","39,425",93.38%,"2,796",6.62%,,48,,20,,"36,824",6,"2,601",0,"2,203",2,481,12,78,0,34,0,,1.84,8.09,2.58
"(V04) (595) Lebanon, PA","40,840","40,107",98.21%,733,1.79%,,5,,5,,"38,526",3,"1,581",2,594,0,96,0,28,0,15,0,,2.58,3.61,2.05
"(V10) (539) Cincinnati, OH","40,794","39,416",96.62%,"1,378",3.38%,,15,,3,,"38,125",0,"1,291",1,"1,032",1,282,0,54,0,10,1,,2.18,5.28,1.64
"(V07) (534) Charleston, SC","40,542","39,220",96.74%,"1,322",3.26%,,69,,11,,"38,121",5,"1,099",3,906,3,318,0,82,0,16,0,,3.52,4.9,2.12
"(V16) (629) New Orleans, LA","39,674","35,027",88.29%,"4,647",11.71%,,15,,68,,"31,707",16,"3,320",12,"2,629",15,"1,997",21,19,4,2,0,,12.81,12.9,6.27
"(V16) (667) Shreveport, LA","39,287","38,195",97.22%,"1,092",2.78%,,46,,1,,"37,008",1,"1,187",0,577,0,271,0,137,0,107,0,,6.43,3.29,2.91
"(V16) (586) Jackson, MS","39,258","37,944",96.65%,"1,314",3.35%,,6,,84,,"36,886",27,"1,058",13,935,10,281,16,46,9,52,9,,6.24,2.92,1.45
"(V16) (564) Fayetteville, AR","38,588","35,934",93.12%,"2,654",6.88%,,10,,2,,"33,882",1,"2,052",1,"1,659",0,628,0,151,0,216,0,,2.67,8.42,5.74
"(V01) (650) Providence, RI","38,509","36,878",95.76%,"1,631",4.24%,,17,,24,,"35,293",3,"1,585",7,"1,091",6,415,0,90,2,35,6,,8.07,4.7,7.24
"(V10) (757) Columbus, OH","37,945","34,744",91.56%,"3,201",8.44%,,7,,40,,"32,192",6,"2,552",2,"1,820",7,995,12,342,5,44,8,,8.33,9.98,2.22
"(V03) (632) Northport, NY","37,139","36,482",98.23%,657,1.77%,,2,,355,,"34,823",10,"1,659",31,464,47,125,19,29,26,39,222,,4.02,5.58,1.23
"(V23) (656) St. Cloud, MN","36,574","35,146",96.10%,"1,428",3.90%,,1,,28,,"34,001",3,"1,145",8,928,5,408,3,80,4,12,5,,3.04,8.64,4.26
"(V07) (509) Augusta, GA","36,272","34,873",96.14%,"1,399",3.86%,,6,,29,,"32,770",4,"2,103",9,962,3,182,0,101,3,154,10,,6.82,5.73,0.81
"(V15) (589) Eastern KS HCS, KS","35,977","35,043",97.40%,934,2.60%,,40,,0,,"34,212",0,831,0,666,0,247,0,20,0,1,0,,1.75,5.64,1.12
"(V16) (635) Oklahoma City, OK","35,797","33,995",94.97%,"1,802",5.03%,,23,,109,,"31,957",63,"2,038",8,"1,040",24,551,6,179,4,32,4,,3.78,8.31,1.7
"(V05) (613) Martinsburg, WV","35,606","34,452",96.76%,"1,154",3.24%,,1,,82,,"32,907",57,"1,545",4,598,8,366,12,124,0,66,1,,5.23,5.91,1.94
"(V07) (619) Central Alabama Veterans HCS, AL","35,120","26,977",76.81%,"8,143",23.19%,,34,,53,,"23,349",18,"3,628",13,"4,244",12,"2,388",2,"1,329",1,182,7,,13.55,23.98,19.71
"(V23) (636) Nebraskaâ€êW Iowa, NE","34,835","34,469",98.95%,366,1.05%,,4,,33,,"33,752",10,717,6,268,4,50,11,24,2,24,0,,1.72,2.34,1.14
"(V06) (637) Asheville, NC","34,654","33,208",95.83%,"1,446",4.17%,,0,,43,,"30,956",23,"2,252",10,"1,037",7,346,2,46,0,17,1,,5.58,5.64,4.33
"(V15) (589) Kansas City, MO","34,082","32,309",94.80%,"1,773",5.20%,,28,,113,,"31,055",27,"1,254",17,892,23,537,14,264,14,80,18,,3.02,6.5,2.43
"(V06) (590) Hampton, VA","33,860","27,302",80.63%,"6,558",19.37%,,18,,204,,"23,210",38,"4,092",46,"4,613",48,"1,476",64,214,7,255,1,,31.25,12.85,13.24
"(V09) (596) Lexington, KY","33,357","30,868",92.54%,"2,489",7.46%,,13,,813,,"27,397",316,"3,471",197,"2,010",125,409,61,40,76,30,38,,7.83,8.16,6.69
"(V23) (636) Iowa City, IA","32,442","30,664",94.52%,"1,778",5.48%,,0,,3,,"29,087",1,"1,577",1,"1,016",1,378,0,289,0,95,0,,6.44,6.59,2.31
"(V12) (607) Madison, WI","31,605","29,990",94.89%,"1,615",5.11%,,0,,0,,"28,582",0,"1,408",0,"1,147",0,359,0,50,0,59,0,,6.68,5.97,2.29
"(V11) (610) Northern Indiana HCS, IN","31,081","29,527",95.00%,"1,554",5.00%,,12,,6,,"27,541",6,"1,986",0,"1,320",0,195,0,19,0,20,0,,7.62,6.15,1.94
"(V04) (503) Altoona, PA","29,533","28,904",97.87%,629,2.13%,,4,,50,,"28,284",43,620,4,352,2,243,1,13,0,21,0,,3.07,6.85,2.29
"(V21) (662) San Francisco, CA","28,995","27,233",93.92%,"1,762",6.08%,,51,,177,,"25,732",76,"1,501",23,"1,202",44,422,15,94,10,44,9,,9.7,5.98,3.84
"(V19) (660) Salt Lake City, UT","28,400","25,610",90.18%,"2,790",9.82%,,3,,509,,"23,237",293,"2,373",58,"1,836",72,801,61,106,22,47,3,,12.43,8.93,3.01
"(V04) (693) Wilkesâ€êBarre, PA","27,798","27,315",98.26%,483,1.74%,,4,,4,,"26,752",4,563,0,432,0,50,0,0,0,1,0,,2.42,1.41,1.63
"(V16) (502) Alexandria, LA","27,192","25,574",94.05%,"1,618",5.95%,,4,,237,,"24,305",7,"1,269",10,863,24,652,26,24,21,79,149,,3.13,12.19,3.07
"(V11) (655) Saginaw, MI","26,629","25,968",97.52%,661,2.48%,,16,,4,,"24,980",4,988,0,562,0,85,0,7,0,7,0,,0.63,4.41,1.38
"(V01) (405) White River Junction, VT","25,779","25,088",97.32%,691,2.68%,,8,,15,,"24,095",12,993,2,436,1,135,0,45,0,75,0,,3.4,4.76,1.88
"(V04) (540) Clarksburg, WV","25,555","21,971",85.98%,"3,584",14.02%,,1,,0,,"20,355",0,"1,616",0,"1,798",0,"1,189",0,472,0,125,0,,10.81,15.61,5.06
(V01) (631) VA Central Western Massachusetts HCS,"25,318","22,331",88.20%,"2,987",11.80%,,8,,70,,"20,686",9,"1,645",21,"1,664",16,879,10,331,2,113,12,,13.3,13.11,3.42
"(V09) (581) Huntington, WV","25,309","24,133",95.35%,"1,176",4.65%,,0,,9,,"22,693",8,"1,440",1,"1,040",0,124,0,11,0,1,0,,9.63,4.12,1.83
"(V04) (460) Wilmington, DE","25,256","23,205",91.88%,"2,051",8.12%,,10,,8,,"21,510",6,"1,695",2,"1,121",0,464,0,217,0,249,0,,17.58,8.54,3.22
"(V10) (552) Dayton, OH","23,874","23,134",96.90%,740,3.10%,,23,,149,,"22,179",20,955,28,669,46,62,21,4,30,5,4,,0.96,4.49,1.9
"(V16) (623) Muskogee, OK","22,854","21,773",95.27%,"1,081",4.73%,,1,,64,,"20,485",15,"1,288",24,900,12,179,8,2,5,0,0,,5.4,5.95,2.29
"(V20) (653) Roseburg, OR","22,697","21,564",95.01%,"1,133",4.99%,,8,,"1,041",,"20,200",327,"1,364",113,899,137,124,58,40,54,70,352,,5.3,7.34,1.62
"(V03) (620) VA Hudson Valley HCS, NY","22,555","22,062",97.81%,493,2.19%,,4,,52,,"21,175",10,887,5,429,15,48,9,5,8,11,5,,4.45,3.45,2.32
"(V20) (668) Spokane, WA","22,381","21,310",95.21%,"1,071",4.79%,,8,,177,,"20,507",156,803,7,549,13,288,1,171,0,63,0,,3.28,7.13,4.62
"(V11) (515) Battle Creek, MI","22,078","20,612",93.36%,"1,466",6.64%,,51,,180,,"19,250",108,"1,362",61,"1,288",6,173,4,1,1,4,0,,2.58,9.07,1.52
"(V23) (438) Sioux Falls, SD","21,511","20,158",93.71%,"1,353",6.29%,,0,,107,,"19,019",13,"1,139",2,993,15,298,12,45,11,17,54,,6.23,7.11,4.96
"(V18) (504) Amarillo, TX","19,877","19,238",96.79%,639,3.21%,,3,,7,,"18,730",7,508,0,384,0,223,0,19,0,13,0,,8.21,2.83,0.58
"(V23) (636) Central Iowa, IA","19,866","19,074",96.01%,792,3.99%,,14,,94,,"18,043",24,"1,031",20,632,40,127,10,24,0,9,0,,3.97,4.88,3.48
"(V01) (608) Manchester, NH","19,429","18,866",97.10%,563,2.90%,,7,,124,,"17,877",9,989,2,487,15,58,68,12,0,6,30,,3.11,4.63,4.28
(V19) (436) Montana HCS,"19,151","17,329",90.49%,"1,822",9.51%,,4,,33,,"16,164",9,"1,165",5,"1,040",4,481,11,191,1,110,3,,15.68,4.24,4.05
(V17) (740) VA Texas Valley Coastal Bend HCS,"17,750","14,643",82.50%,"3,107",17.50%,,5,,31,,"13,154",10,"1,489",0,"1,368",8,"1,078",4,606,2,55,7,,24.67,9.23,9.97
"(V10) (538) Chillicothe, OH","15,949","14,061",88.16%,"1,888",11.84%,,1,,143,,"12,904",12,"1,157",12,"1,337",18,441,17,69,22,41,62,,6.39,13.74,4.59
"(V02) (528) Canandaigua, NY","15,680","15,279",97.44%,401,2.56%,,10,,38,,"14,406",23,873,9,314,6,58,0,17,0,12,0,,4.5,4.37,2.36
"(V21) (459) Honolulu, HI","15,039","14,728",97.93%,311,2.07%,,14,,28,,"14,219",24,509,0,237,0,60,0,10,0,4,4,,5.81,1.15,2.02
"(V06) (517) Beckley, WV","15,023","14,295",95.15%,728,4.85%,,1,,151,,"13,444",9,851,8,576,21,121,29,26,11,5,73,,3.66,6.21,5.66
"(V23) (568) Black Hills HCS, SD","15,017","14,396",95.86%,621,4.14%,,2,,3,,"13,794",2,602,1,562,0,49,0,6,0,4,0,,2.31,7.23,1.87
(V12) (556) Captain James A Lovell FHCC,"14,051","13,731",97.72%,320,2.28%,,8,,13,,"12,730",2,"1,001",0,301,1,16,0,0,3,3,7,,2.2,4.59,4.04
(V18) (649) Northern Arizona HCS,"13,624","12,186",89.45%,"1,438",10.55%,,13,,347,,"11,408",77,778,114,852,45,543,9,41,19,2,83,,7.93,12.35,0.56
"(V19) (442) Cheyenne, WY","13,624","12,926",94.88%,698,5.12%,,4,,178,,"12,154",92,772,51,419,31,263,3,8,1,8,0,,2.73,6.22,3.26
"(V20) (692) White City, OR","12,083","11,561",95.68%,522,4.32%,,9,,497,,"11,292",72,269,43,381,116,95,187,14,50,32,29,,5.11,6.69,2.55
"(V15) (657) Poplar Bluff, MO","11,952","11,189",93.62%,763,6.38%,,7,,4,,"10,763",0,426,1,609,3,144,0,9,0,1,0,,3.9,9.69,2.36
"(V12) (585) Iron Mountain, MI","11,576","11,003",95.05%,573,4.95%,,1,,0,,"10,315",0,688,0,484,0,77,0,11,0,1,0,,6.14,6.23,2.55
"(V04) (542) Coatesville, PA","9,119","8,999",98.68%,120,1.32%,,1,,0,,"8,733",0,266,0,101,0,11,0,6,0,2,0,,2.06,3.91,1.02
"(V19) (575) Grand Junction, CO","8,640","8,325",96.35%,315,3.65%,,5,,7,,"8,014",3,311,0,292,0,17,3,3,1,3,0,,1.8,5.21,2.73
"(V01) (518) Bedford, MA","8,565","8,085",94.40%,480,5.60%,,18,,42,,"7,306",4,779,34,401,1,63,0,13,1,3,2,,1.29,9.02,7.23
"(V20) (687) Walla Walla, WA","8,215","7,660",93.24%,555,6.76%,,15,,64,,"7,086",8,574,8,299,8,218,13,36,3,2,24,,3.84,15.86,1.6
"(V18) (519) Big Spring, TX","7,909","7,506",94.90%,403,5.10%,,21,,86,,"6,937",50,569,5,276,22,48,8,39,1,40,0,,5.49,7.85,7.47
"(V07) (679) Tuscaloosa, AL","6,392","6,259",97.92%,133,2.08%,,7,,2,,"6,050",0,209,0,110,2,11,0,12,0,0,0,,5.19,0.41,1.26
"(V20) (463) Anchorage, AK","5,895","5,819",98.71%,76,1.29%,,31,,32,,"5,655",12,164,3,71,9,1,4,4,3,0,1,,2.79,1.75,0.73
"(V19) (666) Sheridan, WY","4,573","4,333",94.75%,240,5.25%,,18,,1,,"3,982",0,351,1,169,0,64,0,7,0,0,0,,10.08,4.75,2.98
"(V01) (402) Togus, ME","43,575","42,316",97.11%,"1,259",2.89%,,25,,28,,"40,940",11,"1,376",11,822,2,292,2,99,1,46,1,,2.82,4.43,2.64
"(V02) (528) Albany, NY","32,116","31,440",97.90%,676,2.10%,,11,,25,,"30,490",10,950,10,413,5,140,0,67,0,56,0,,2.42,2.33,6.25
"(V02) (528) Bath, NY","14,567","13,967",95.88%,600,4.12%,,0,,17,,"13,524",15,443,0,285,2,253,0,51,0,11,0,,3.74,9.13,0.31
"(V03) (526) Bronx, NY","20,912","20,593",98.47%,319,1.53%,,1,,0,,"19,897",0,696,0,277,0,40,0,1,0,1,0,,1.86,2.66,1.9
"(V04) (529) Butler, PA","24,468","24,434",99.86%,34,0.14%,,2,,0,,"24,348",0,86,0,17,0,4,0,4,0,9,0,,0.37,0.84,0.79
"(V04) (562) Erie, PA","13,046","12,336",94.56%,710,5.44%,,8,,0,,"11,676",0,660,0,639,0,65,0,1,0,5,0,,9.39,5.53,0.52
"(V06) (658) Salem, VA","41,423","39,852",96.21%,"1,571",3.79%,,19,,134,,"38,056",30,"1,796",25,817,0,497,23,218,22,39,34,,3.88,6.71,0.6
"(V07) (557) Dublin, GA","24,974","21,278",85.20%,"3,696",14.80%,,20,,100,,"19,304",52,"1,974",28,"1,797",20,"1,509",0,337,0,53,0,,16.27,13.45,5.71
"(V08) (546) Miami, FL","53,530","51,561",96.32%,"1,969",3.68%,,6,,253,,"49,432",49,"2,129",2,"1,440",22,420,36,65,46,44,98,,4.78,5.1,1.28
"(V08) (673) Tampa, FL","119,951","113,197",94.37%,"6,754",5.63%,,50,,"1,214",,"109,468",350,"3,729",118,"3,243",231,"2,623",200,567,201,321,114,,1.16,9.22,4.07
"(V11) (550) Danville, IL","17,152","16,602",96.79%,550,3.21%,,43,,2,,"16,033",1,569,1,367,0,128,0,44,0,11,0,,4.28,3.26,3.11
"(V11) (553) Detroit, MI","39,460","38,849",98.45%,611,1.55%,,3,,109,,"38,272",68,577,19,407,16,157,3,40,2,7,1,,0.84,2.14,0.59
"(V12) (578) Hines, IL","50,108","44,543",88.89%,"5,565",11.11%,,0,,1,,"41,676",1,"2,867",0,"4,029",0,"1,490",0,37,0,9,0,,9.25,10.52,7.63
"(V12) (676) Tomah, WI","15,567","15,387",98.84%,180,1.16%,,1,,0,,"14,922",0,465,0,116,0,32,0,30,0,2,0,,1.31,2.61,2.28
"(V15) (589) Wichita, KS","17,955","17,213",95.87%,742,4.13%,,6,,111,,"16,608",9,605,11,437,5,230,3,74,11,1,72,,2.94,8.03,1.7
"(V15) (657) Marion, IL","22,740","20,933",92.05%,"1,807",7.95%,,11,,70,,"19,640",48,"1,293",15,"1,004",5,780,1,22,1,1,0,,3.94,9.87,4.66
"(V17) (549) Dallas, TX","87,631","84,434",96.35%,"3,197",3.65%,,9,,16,,"80,412",10,"4,022",6,"2,468",0,572,0,96,0,61,0,,4.76,4.68,3.82
"(V17) (674) Temple, TX","86,959","80,198",92.23%,"6,761",7.77%,,34,,6,,"74,679",6,"5,519",0,"4,724",0,"1,591",0,306,0,140,0,,12.61,6.85,11.07
"(V18) (756) El Paso, TX","31,003","27,726",89.43%,"3,277",10.57%,,2,,89,,"25,178",75,"2,548",14,"1,776",0,872,0,572,0,57,0,,9.57,8.05,18.06
"(V19) (554) Denver, CO","62,866","55,594",88.43%,"7,272",11.57%,,16,,"1,856",,"50,860",656,"4,734",254,"4,684",284,"1,713",338,664,196,211,128,,8.95,10.12,13.84
"(V20) (531) Boise, ID","14,673","12,981",88.47%,"1,692",11.53%,,6,,657,,"12,447",251,534,217,742,125,561,37,270,8,119,19,,1.38,14.75,1.55
"(V21) (358) Manila, PI","1,384","1,307",94.44%,77,5.56%,,2,,1,,"1,172",1,135,0,74,0,3,0,0,0,0,0,,6.24,6.52,6.55
"(V21) (570) Fresno, CA","17,880","15,790",88.31%,"2,090",11.69%,,2,,46,,"14,808",1,982,5,"1,279",5,540,6,200,27,71,2,,0.92,13.7,1.74
"(V21) (654) Reno, NV","26,861","23,702",88.24%,"3,159",11.76%,,26,,78,,"21,718",13,"1,984",25,"1,601",4,"1,103",31,348,0,107,5,,12.42,14.25,3.89
"(V23) (437) Fargo, ND","19,022","18,133",95.33%,889,4.67%,,0,,0,,"17,371",0,762,0,662,0,204,0,18,0,5,0,,3.04,5.06,1.76
