Station ,VA Facility Name,Service Descriptor,NumAuths,NumVets
402,Maine VA - Togus,Optometry,370,343
402,Maine VA - Togus,Orthopedics,1971,851
402,Maine VA - Togus,Outpatient Chemotherapy,75,68
402,Maine VA - Togus,Outpatient Dialysis,37,30
402,Maine VA - Togus,Outpatient Infusion (IV Therapy/Infusion),120,90
402,Maine VA - Togus,"Outpatient Infusion (IV Therapy/Infusion, Clinic)",2,2
402,Maine VA - Togus,Pain Management,526,445
402,Maine VA - Togus,Pharmacy,234,122
402,Maine VA - Togus,Physical Therapy,2410,1899
402,Maine VA - Togus,Plastic Surgery,18,18
402,Maine VA - Togus,Podiatry,1191,1072
402,Maine VA - Togus,Primary Care,269,220
402,Maine VA - Togus,Pulmonary,294,223
402,Maine VA - Togus,Pulmonary (Pulmonary Rehab),53,50
402,Maine VA - Togus,Radiation Therapy,118,111
402,Maine VA - Togus,Rehabilitation Medicine,109,85
402,Maine VA - Togus,Respiratory Therapy,2,2
402,Maine VA - Togus,Respite Care,1,1
402,Maine VA - Togus,Rheumatology,56,19
402,Maine VA - Togus,Skilled Nursing,261,261
402,Maine VA - Togus,Skilled Nursing Home Care,340,320
402,Maine VA - Togus,Sleep Study,648,532
402,Maine VA - Togus,Spinal Cord Rehabilitation,1,1
402,Maine VA - Togus,Transportation,5,4
402,Maine VA - Togus,Urgent/Emergent,4745,2136
402,Maine VA - Togus,Urology,873,394
402,Maine VA - Togus,Vascular Surgery,51,41
402,Maine VA - Togus,Wound Care,6,6
405,White River Junction VA (Vermont),Referrals unmatched to a service category,39,38
405,White River Junction VA (Vermont),Acupuncture,150,104
405,White River Junction VA (Vermont),Acute Inpatient Hospital,91,90
405,White River Junction VA (Vermont),Adult Day Care,396,82
405,White River Junction VA (Vermont),Allergy and Immunology,22,18
405,White River Junction VA (Vermont),Anesthesia,1,1
405,White River Junction VA (Vermont),Audiology,29,24
405,White River Junction VA (Vermont),Bowel and Bladder Treatment & Rehabilitation,29,5
405,White River Junction VA (Vermont),Cardiac Catheterization Services,8,8
405,White River Junction VA (Vermont),Cardiac Rehab,29,21
405,White River Junction VA (Vermont),Cardiology,42,36
405,White River Junction VA (Vermont),Cardiology Stress Test,7,6
405,White River Junction VA (Vermont),Chiropractic,216,148
405,White River Junction VA (Vermont),Dental,3760,1354
405,White River Junction VA (Vermont),Dermatology,330,295
405,White River Junction VA (Vermont),Diagnostic Radiology,623,538
405,White River Junction VA (Vermont),Diagnostic Radiology CT,15,15
405,White River Junction VA (Vermont),Diagnostic Radiology Dexa Scan,1,1
405,White River Junction VA (Vermont),Diagnostic Radiology MRI/MRA,51,44
405,White River Junction VA (Vermont),Diagnostic Radiology PET,2,2
405,White River Junction VA (Vermont),Diagnostic Radiology Ultrasound,24,22
405,White River Junction VA (Vermont),ENT,18,15
405,White River Junction VA (Vermont),Endocrinology,3,2
405,White River Junction VA (Vermont),GYN,22,18
405,White River Junction VA (Vermont),Gastroenterology,54,48
405,White River Junction VA (Vermont),Gastroenterology Colonoscopy,33,30
405,White River Junction VA (Vermont),General Surgery,40,36
405,White River Junction VA (Vermont),Genetic Testing/Counseling,1,1
405,White River Junction VA (Vermont),Home Health Homemaker/Health Aid,2923,587
405,White River Junction VA (Vermont),Hospice,147,61
405,White River Junction VA (Vermont),Hyperbaric Therapy,2,2
405,White River Junction VA (Vermont),Infectious Disease,3,3
405,White River Junction VA (Vermont),Internal Medicine,11,9
405,White River Junction VA (Vermont),Laboratory,509,349
405,White River Junction VA (Vermont),Mammorgraphy,402,377
405,White River Junction VA (Vermont),Mental Health,50,48
405,White River Junction VA (Vermont),Nephrology,178,34
405,White River Junction VA (Vermont),Neurology,106,87
405,White River Junction VA (Vermont),Newborn Care,3,3
405,White River Junction VA (Vermont),OB,26,22
405,White River Junction VA (Vermont),Oncology,23,19
405,White River Junction VA (Vermont),Opthalmology,234,194
405,White River Junction VA (Vermont),Optometry,100,91
405,White River Junction VA (Vermont),Orthopedics,141,113
405,White River Junction VA (Vermont),Outpatient Chemotherapy,7,4
405,White River Junction VA (Vermont),Outpatient Dialysis,64,18
405,White River Junction VA (Vermont),Outpatient Infusion (IV Therapy/Infusion),50,31
405,White River Junction VA (Vermont),"Outpatient Infusion (IV Therapy/Infusion, Clinic)",3,2
405,White River Junction VA (Vermont),Pain Management,41,37
405,White River Junction VA (Vermont),Physical Therapy,599,348
405,White River Junction VA (Vermont),Plastic Surgery,16,14
405,White River Junction VA (Vermont),Podiatry,48,40
405,White River Junction VA (Vermont),Primary Care,287,248
405,White River Junction VA (Vermont),Pulmonary,159,145
405,White River Junction VA (Vermont),Pulmonary (Pulmonary Rehab),1,1
405,White River Junction VA (Vermont),Radiation Therapy,19,17
405,White River Junction VA (Vermont),Rehabilitation Medicine,17,15
405,White River Junction VA (Vermont),Respiratory Therapy,1,1
405,White River Junction VA (Vermont),Respite Care,178,62
405,White River Junction VA (Vermont),Rheumatology,13,11
405,White River Junction VA (Vermont),Skilled Nursing,2567,697
405,White River Junction VA (Vermont),Skilled Nursing Home Care,10,8
405,White River Junction VA (Vermont),Sleep Study,622,552
405,White River Junction VA (Vermont),Urgent/Emergent,3044,1112
405,White River Junction VA (Vermont),Urology,36,30
405,White River Junction VA (Vermont),Vascular Surgery,5,5
436,"Montana VA-Fort Harrison, MT",Referrals unmatched to a service category,92,84
436,"Montana VA-Fort Harrison, MT",Acupuncture,91,81
436,"Montana VA-Fort Harrison, MT",Acute Inpatient Hospital,2173,1591
436,"Montana VA-Fort Harrison, MT",Adult Day Care,22,15
436,"Montana VA-Fort Harrison, MT",Allergy and Immunology,110,95
436,"Montana VA-Fort Harrison, MT",Audiology,5083,4961
436,"Montana VA-Fort Harrison, MT",Biofeedback,8,8
436,"Montana VA-Fort Harrison, MT",Bowel and Bladder Treatment & Rehabilitation,7,7
436,"Montana VA-Fort Harrison, MT",Cardiac Catheterization Services,90,87
436,"Montana VA-Fort Harrison, MT",Cardiac Rehab,123,116
436,"Montana VA-Fort Harrison, MT",Cardiology,2744,1896
436,"Montana VA-Fort Harrison, MT",Cardiology Imaging,11,11
436,"Montana VA-Fort Harrison, MT",Cardiology Stress Test,237,231
436,"Montana VA-Fort Harrison, MT",Chiropractic,1981,1489
436,"Montana VA-Fort Harrison, MT",Compensation & Pension Audio,1474,1164
436,"Montana VA-Fort Harrison, MT",Compensation & Pension Medical,222,205
436,"Montana VA-Fort Harrison, MT",Compensation & Pension Specialty,144,134
436,"Montana VA-Fort Harrison, MT",Dental,512,399
436,"Montana VA-Fort Harrison, MT",Dermatology,1300,1090
436,"Montana VA-Fort Harrison, MT",Diagnostic Radiology,4166,3377
436,"Montana VA-Fort Harrison, MT",Diagnostic Radiology CT,1164,998
436,"Montana VA-Fort Harrison, MT",Diagnostic Radiology Dexa Scan,275,271
436,"Montana VA-Fort Harrison, MT",Diagnostic Radiology MRI/MRA,1667,1458
436,"Montana VA-Fort Harrison, MT",Diagnostic Radiology PET,124,109
436,"Montana VA-Fort Harrison, MT",Diagnostic Radiology Ultrasound,1461,1280
436,"Montana VA-Fort Harrison, MT",ENT,973,824
436,"Montana VA-Fort Harrison, MT",Endocrinology,177,155
436,"Montana VA-Fort Harrison, MT",Family Practice,1,1
436,"Montana VA-Fort Harrison, MT",GYN,226,200
436,"Montana VA-Fort Harrison, MT",Gastroenterology,1616,1491
436,"Montana VA-Fort Harrison, MT",Gastroenterology Colonoscopy,88,87
436,"Montana VA-Fort Harrison, MT",General Surgery,438,386
436,"Montana VA-Fort Harrison, MT",Home Health Homemaker/Health Aid,1480,933
436,"Montana VA-Fort Harrison, MT",Hospice,148,136
436,"Montana VA-Fort Harrison, MT",Hyperbaric Therapy,4,3
436,"Montana VA-Fort Harrison, MT",Infectious Disease,39,37
436,"Montana VA-Fort Harrison, MT",Internal Medicine,106,103
436,"Montana VA-Fort Harrison, MT",Laboratory,2649,1864
436,"Montana VA-Fort Harrison, MT",Mammorgraphy,896,817
436,"Montana VA-Fort Harrison, MT",Mental Health,1660,1263
436,"Montana VA-Fort Harrison, MT",Nephrology,322,270
436,"Montana VA-Fort Harrison, MT",Neurology,1580,1240
436,"Montana VA-Fort Harrison, MT",Newborn Care,16,16
436,"Montana VA-Fort Harrison, MT",Nuclear Medicine,19,19
436,"Montana VA-Fort Harrison, MT",Nutrition/Dietitics,17,15
436,"Montana VA-Fort Harrison, MT",OB,79,73
436,"Montana VA-Fort Harrison, MT",Oncology,590,494
436,"Montana VA-Fort Harrison, MT",Opthalmology,1584,1319
436,"Montana VA-Fort Harrison, MT",Optometry,6053,5885
436,"Montana VA-Fort Harrison, MT",Orthopedics,2426,1885
436,"Montana VA-Fort Harrison, MT",Outpatient Chemotherapy,8,8
436,"Montana VA-Fort Harrison, MT",Outpatient Dialysis,13,11
436,"Montana VA-Fort Harrison, MT",Outpatient Infusion (IV Therapy/Infusion),58,55
436,"Montana VA-Fort Harrison, MT","Outpatient Infusion (IV Therapy/Infusion, Clinic)",59,51
436,"Montana VA-Fort Harrison, MT",Pain Management,1006,848
436,"Montana VA-Fort Harrison, MT",Pharmacy,6,6
436,"Montana VA-Fort Harrison, MT",Physical Therapy,2895,2294
436,"Montana VA-Fort Harrison, MT",Plastic Surgery,59,49
436,"Montana VA-Fort Harrison, MT",Podiatry,1583,1379
436,"Montana VA-Fort Harrison, MT",Primary Care,457,400
436,"Montana VA-Fort Harrison, MT",Pulmonary,722,601
436,"Montana VA-Fort Harrison, MT",Pulmonary (Pulmonary Rehab),56,49
436,"Montana VA-Fort Harrison, MT",Radiation Therapy,245,218
436,"Montana VA-Fort Harrison, MT",Rehabilitation Medicine,455,384
436,"Montana VA-Fort Harrison, MT",Respiratory Therapy,7,7
436,"Montana VA-Fort Harrison, MT",Respite Care,240,210
436,"Montana VA-Fort Harrison, MT",Rheumatology,272,246
436,"Montana VA-Fort Harrison, MT",Skilled Nursing,1992,1198
436,"Montana VA-Fort Harrison, MT",Skilled Nursing Home Care,536,405
436,"Montana VA-Fort Harrison, MT",Sleep Study,41,40
436,"Montana VA-Fort Harrison, MT",Spinal Cord Rehabilitation,1,1
436,"Montana VA-Fort Harrison, MT",Transportation,246,197
436,"Montana VA-Fort Harrison, MT",Urgent/Emergent,11293,4656
436,"Montana VA-Fort Harrison, MT",Urology,903,720
436,"Montana VA-Fort Harrison, MT",Vascular Surgery,216,184
436,"Montana VA-Fort Harrison, MT",Wound Care,106,78
437,"Fargo, ND VA",Referrals unmatched to a service category,56,55
437,"Fargo, ND VA",Acupuncture,37,35
437,"Fargo, ND VA",Acute Inpatient Hospital,747,646
437,"Fargo, ND VA",Adult Day Care,57,54
437,"Fargo, ND VA",Allergy and Immunology,95,76
437,"Fargo, ND VA",Anesthesia,2,2
437,"Fargo, ND VA",Audiology,1165,888
437,"Fargo, ND VA",Biofeedback,9,9
437,"Fargo, ND VA",Bowel and Bladder Treatment & Rehabilitation,10,9
437,"Fargo, ND VA",Cardiac Catheterization Services,42,41
437,"Fargo, ND VA",Cardiac Rehab,108,103
437,"Fargo, ND VA",Cardiology,672,487
437,"Fargo, ND VA",Cardiology Imaging,16,16
437,"Fargo, ND VA",Cardiology Stress Test,537,509
437,"Fargo, ND VA",Chiropractic,188,154
437,"Fargo, ND VA",Compensation & Pension Medical,14,13
437,"Fargo, ND VA",Dental,1377,700
437,"Fargo, ND VA",Dermatology,706,597
437,"Fargo, ND VA",Diagnostic Radiology,1599,1315
437,"Fargo, ND VA",Diagnostic Radiology CT,418,366
437,"Fargo, ND VA",Diagnostic Radiology Dexa Scan,39,38
437,"Fargo, ND VA",Diagnostic Radiology MRI/MRA,562,471
437,"Fargo, ND VA",Diagnostic Radiology PET,201,165
437,"Fargo, ND VA",Diagnostic Radiology Ultrasound,564,529
437,"Fargo, ND VA",ENT,429,367
437,"Fargo, ND VA",Endocrinology,38,35
437,"Fargo, ND VA",GYN,88,81
437,"Fargo, ND VA",Gastroenterology,320,271
437,"Fargo, ND VA",Gastroenterology Colonoscopy,543,520
437,"Fargo, ND VA",General Surgery,181,153
437,"Fargo, ND VA",Home Health Homemaker,6,4
437,"Fargo, ND VA",Home Health Homemaker/Health Aid,1542,916
437,"Fargo, ND VA",Hospice,204,190
437,"Fargo, ND VA",Infectious Disease,9,7
437,"Fargo, ND VA",Internal Medicine,30,29
437,"Fargo, ND VA",Laboratory,306,242
437,"Fargo, ND VA",Mammorgraphy,453,416
437,"Fargo, ND VA",Mental Health,42,34
437,"Fargo, ND VA",Nephrology,47,32
437,"Fargo, ND VA",Neurology,761,525
437,"Fargo, ND VA",Nuclear Medicine,1,1
437,"Fargo, ND VA",Nutrition/Dietitics,2,2
437,"Fargo, ND VA",OB,47,44
437,"Fargo, ND VA",Oncology,42,29
437,"Fargo, ND VA",Opthalmology,805,525
437,"Fargo, ND VA",Optometry,3071,2947
437,"Fargo, ND VA",Orthopedics,960,706
437,"Fargo, ND VA",Outpatient Chemotherapy,4,2
437,"Fargo, ND VA",Outpatient Dialysis,120,47
437,"Fargo, ND VA",Outpatient Infusion (IV Therapy/Infusion),3,3
437,"Fargo, ND VA","Outpatient Infusion (IV Therapy/Infusion, Clinic)",66,53
437,"Fargo, ND VA",Pain Management,469,298
437,"Fargo, ND VA",Pharmacy,9,8
437,"Fargo, ND VA",Physical Therapy,1749,1363
437,"Fargo, ND VA",Plastic Surgery,5,5
437,"Fargo, ND VA",Podiatry,592,513
437,"Fargo, ND VA",Primary Care,401,344
437,"Fargo, ND VA",Pulmonary,92,79
437,"Fargo, ND VA",Pulmonary (Pulmonary Rehab),27,25
437,"Fargo, ND VA",Radiation Therapy,157,144
437,"Fargo, ND VA",Rehabilitation Medicine,30,23
437,"Fargo, ND VA",Respiratory Therapy,1,1
437,"Fargo, ND VA",Respite Care,126,122
437,"Fargo, ND VA",Rheumatology,33,26
437,"Fargo, ND VA",Skilled Nursing,882,495
437,"Fargo, ND VA",Skilled Nursing Home Care,1980,1774
437,"Fargo, ND VA",Sleep Study,737,633
437,"Fargo, ND VA",Transportation,1037,725
437,"Fargo, ND VA",Urgent/Emergent,3193,1584
437,"Fargo, ND VA",Urology,438,354
437,"Fargo, ND VA",Vascular Surgery,10,10
437,"Fargo, ND VA",Wound Care,5,5
438,"Sioux Falls, SD VA",Referrals unmatched to a service category,77,73
438,"Sioux Falls, SD VA",Acupuncture,447,421
438,"Sioux Falls, SD VA",Acute Inpatient Hospital,689,574
438,"Sioux Falls, SD VA",Adult Day Care,34,30
438,"Sioux Falls, SD VA",Allergy and Immunology,19,18
438,"Sioux Falls, SD VA",Anesthesia,1,1
438,"Sioux Falls, SD VA",Audiology,15,15
438,"Sioux Falls, SD VA",Bowel and Bladder Treatment & Rehabilitation,9,7
438,"Sioux Falls, SD VA",Cardiac Catheterization Services,7,7
438,"Sioux Falls, SD VA",Cardiac Rehab,57,54
438,"Sioux Falls, SD VA",Cardiology,103,95
438,"Sioux Falls, SD VA",Cardiology Imaging,10,10
438,"Sioux Falls, SD VA",Cardiology Stress Test,3,3
438,"Sioux Falls, SD VA",Chiropractic,182,165
438,"Sioux Falls, SD VA",Compensation & Pension Audio,4,4
438,"Sioux Falls, SD VA",Compensation & Pension Medical,664,596
438,"Sioux Falls, SD VA",Compensation & Pension Specialty,3,3
438,"Sioux Falls, SD VA",Dental,746,478
438,"Sioux Falls, SD VA",Dermatology,394,357
438,"Sioux Falls, SD VA",Diagnostic Radiology,450,393
438,"Sioux Falls, SD VA",Diagnostic Radiology CT,63,60
438,"Sioux Falls, SD VA",Diagnostic Radiology Dexa Scan,3,3
438,"Sioux Falls, SD VA",Diagnostic Radiology MRI/MRA,328,287
438,"Sioux Falls, SD VA",Diagnostic Radiology PET,167,146
438,"Sioux Falls, SD VA",Diagnostic Radiology Ultrasound,129,114
438,"Sioux Falls, SD VA",ENT,191,152
438,"Sioux Falls, SD VA",Endocrinology,99,90
438,"Sioux Falls, SD VA",Family Practice,1,1
438,"Sioux Falls, SD VA",GYN,142,112
438,"Sioux Falls, SD VA",Gastroenterology,178,145
438,"Sioux Falls, SD VA",Gastroenterology Colonoscopy,7,7
438,"Sioux Falls, SD VA",General Surgery,70,58
438,"Sioux Falls, SD VA",Home Health Homemaker/Health Aid,699,473
438,"Sioux Falls, SD VA",Hospice,20,18
438,"Sioux Falls, SD VA",Hyperbaric Therapy,11,10
438,"Sioux Falls, SD VA",Infectious Disease,9,9
438,"Sioux Falls, SD VA",Internal Medicine,84,77
438,"Sioux Falls, SD VA",Interventional Radiology,2,1
438,"Sioux Falls, SD VA",Laboratory,137,114
438,"Sioux Falls, SD VA",Mammorgraphy,603,512
438,"Sioux Falls, SD VA",Mental Health,211,185
438,"Sioux Falls, SD VA",Nephrology,16,16
438,"Sioux Falls, SD VA",Neurology,520,422
438,"Sioux Falls, SD VA",Newborn Care,1,1
438,"Sioux Falls, SD VA",Nuclear Medicine,2,2
438,"Sioux Falls, SD VA",Nutrition/Dietitics,1,1
438,"Sioux Falls, SD VA",OB,63,46
438,"Sioux Falls, SD VA",Oncology,12,12
438,"Sioux Falls, SD VA",Opthalmology,723,554
438,"Sioux Falls, SD VA",Optometry,1491,1426
438,"Sioux Falls, SD VA",Orthopedics,604,445
438,"Sioux Falls, SD VA",Outpatient Chemotherapy,13,9
438,"Sioux Falls, SD VA",Outpatient Dialysis,74,47
438,"Sioux Falls, SD VA",Outpatient Infusion (IV Therapy/Infusion),46,34
438,"Sioux Falls, SD VA","Outpatient Infusion (IV Therapy/Infusion, Clinic)",23,19
438,"Sioux Falls, SD VA",Pain Management,438,369
438,"Sioux Falls, SD VA",Pharmacy,1,1
438,"Sioux Falls, SD VA",Physical Therapy,1429,1220
438,"Sioux Falls, SD VA",Plastic Surgery,10,7
438,"Sioux Falls, SD VA",Podiatry,357,311
438,"Sioux Falls, SD VA",Primary Care,333,290
438,"Sioux Falls, SD VA",Pulmonary,17,16
438,"Sioux Falls, SD VA",Pulmonary (Pulmonary Rehab),58,57
438,"Sioux Falls, SD VA",Radiation Therapy,102,96
438,"Sioux Falls, SD VA",Rehabilitation Medicine,105,95
438,"Sioux Falls, SD VA",Respite Care,114,93
438,"Sioux Falls, SD VA",Rheumatology,11,11
438,"Sioux Falls, SD VA",Skilled Nursing,68,65
438,"Sioux Falls, SD VA",Skilled Nursing Home Care,1148,793
438,"Sioux Falls, SD VA",Sleep Study,708,607
438,"Sioux Falls, SD VA",Urgent/Emergent,2837,1336
438,"Sioux Falls, SD VA",Urology,226,154
438,"Sioux Falls, SD VA",Vascular Surgery,64,58
438,"Sioux Falls, SD VA",Wound Care,5,4
442,"Cheyenne, WY VA",Referrals unmatched to a service category,121,113
442,"Cheyenne, WY VA",Acupuncture,39,37
442,"Cheyenne, WY VA",Acute Inpatient Hospital,756,549
442,"Cheyenne, WY VA",Adult Day Care,9,9
442,"Cheyenne, WY VA",Allergy and Immunology,36,33
442,"Cheyenne, WY VA",Anesthesia,1,1
442,"Cheyenne, WY VA",Audiology,47,47
442,"Cheyenne, WY VA",Bowel and Bladder Treatment & Rehabilitation,5,5
442,"Cheyenne, WY VA",Cardiac Catheterization Services,5,4
442,"Cheyenne, WY VA",Cardiac Rehab,45,43
442,"Cheyenne, WY VA",Cardiology,117,103
442,"Cheyenne, WY VA",Cardiology Imaging,8,7
442,"Cheyenne, WY VA",Cardiology Stress Test,30,30
442,"Cheyenne, WY VA",Chiropractic,36,34
442,"Cheyenne, WY VA",Compensation & Pension Audio,1163,1157
442,"Cheyenne, WY VA",Compensation & Pension Specialty,36,35
442,"Cheyenne, WY VA",Dental,167,141
442,"Cheyenne, WY VA",Dermatology,79,70
442,"Cheyenne, WY VA",Diagnostic Radiology,100,88
442,"Cheyenne, WY VA",Diagnostic Radiology CT,47,45
442,"Cheyenne, WY VA",Diagnostic Radiology Dexa Scan,2,2
442,"Cheyenne, WY VA",Diagnostic Radiology MRI/MRA,342,299
442,"Cheyenne, WY VA",Diagnostic Radiology PET,86,76
442,"Cheyenne, WY VA",Diagnostic Radiology Ultrasound,123,118
442,"Cheyenne, WY VA",ENT,291,270
442,"Cheyenne, WY VA",Endocrinology,11,7
442,"Cheyenne, WY VA",GYN,40,38
442,"Cheyenne, WY VA",Gastroenterology,78,73
442,"Cheyenne, WY VA",Gastroenterology Colonoscopy,26,24
442,"Cheyenne, WY VA",General Surgery,64,58
442,"Cheyenne, WY VA",Genetic Testing/Counseling,1,1
442,"Cheyenne, WY VA",Home Health Homemaker/Health Aid,472,352
442,"Cheyenne, WY VA",Hospice,78,73
442,"Cheyenne, WY VA",Infectious Disease,4,4
442,"Cheyenne, WY VA",Internal Medicine,11,11
442,"Cheyenne, WY VA",Laboratory,31,28
442,"Cheyenne, WY VA",Mammorgraphy,557,527
442,"Cheyenne, WY VA",Mental Health,64,47
442,"Cheyenne, WY VA",Nephrology,57,49
442,"Cheyenne, WY VA",Neurology,357,319
442,"Cheyenne, WY VA",Newborn Care,5,5
442,"Cheyenne, WY VA",Nuclear Medicine,20,19
442,"Cheyenne, WY VA",Nutrition/Dietitics,1,1
442,"Cheyenne, WY VA",OB,25,24
442,"Cheyenne, WY VA",Oncology,65,57
442,"Cheyenne, WY VA",Opthalmology,317,293
442,"Cheyenne, WY VA",Optometry,140,134
442,"Cheyenne, WY VA",Orthopedics,227,181
442,"Cheyenne, WY VA",Outpatient Chemotherapy,2,2
442,"Cheyenne, WY VA",Outpatient Dialysis,10,5
442,"Cheyenne, WY VA",Outpatient Infusion (IV Therapy/Infusion),17,16
442,"Cheyenne, WY VA","Outpatient Infusion (IV Therapy/Infusion, Clinic)",5,5
442,"Cheyenne, WY VA",Pain Management,201,175
442,"Cheyenne, WY VA",Physical Therapy,249,212
442,"Cheyenne, WY VA",Plastic Surgery,10,9
442,"Cheyenne, WY VA",Podiatry,170,153
442,"Cheyenne, WY VA",Primary Care,173,146
442,"Cheyenne, WY VA",Pulmonary,45,44
442,"Cheyenne, WY VA",Pulmonary (Pulmonary Rehab),6,4
442,"Cheyenne, WY VA",Radiation Therapy,63,57
442,"Cheyenne, WY VA",Rehabilitation Medicine,13,13
442,"Cheyenne, WY VA",Respiratory Therapy,2,2
442,"Cheyenne, WY VA",Respite Care,53,45
442,"Cheyenne, WY VA",Rheumatology,11,10
442,"Cheyenne, WY VA",Skilled Nursing,842,497
442,"Cheyenne, WY VA",Skilled Nursing Home Care,11,10
442,"Cheyenne, WY VA",Sleep Study,120,110
442,"Cheyenne, WY VA",Transportation,75,63
442,"Cheyenne, WY VA",Urgent/Emergent,5408,1642
442,"Cheyenne, WY VA",Urology,224,196
442,"Cheyenne, WY VA",Vascular Surgery,75,64
442,"Cheyenne, WY VA",Wound Care,7,7
459,"Pacific Islands VA-Spark M. Matsunaga (Honolulu, HI)",Referrals unmatched to a service category,188,186
459,"Pacific Islands VA-Spark M. Matsunaga (Honolulu, HI)",Acupuncture,812,707
459,"Pacific Islands VA-Spark M. Matsunaga (Honolulu, HI)",Acute Inpatient Hospital,2733,1673
459,"Pacific Islands VA-Spark M. Matsunaga (Honolulu, HI)",Adult Day Care,27,25
459,"Pacific Islands VA-Spark M. Matsunaga (Honolulu, HI)",Allergy and Immunology,69,65
459,"Pacific Islands VA-Spark M. Matsunaga (Honolulu, HI)",Audiology,3935,3408
459,"Pacific Islands VA-Spark M. Matsunaga (Honolulu, HI)",Bowel and Bladder Treatment & Rehabilitation,20,19
459,"Pacific Islands VA-Spark M. Matsunaga (Honolulu, HI)",Cardiac Catheterization Services,10,10
459,"Pacific Islands VA-Spark M. Matsunaga (Honolulu, HI)",Cardiac Rehab,19,19
459,"Pacific Islands VA-Spark M. Matsunaga (Honolulu, HI)",Cardiology,1620,1341
459,"Pacific Islands VA-Spark M. Matsunaga (Honolulu, HI)",Cardiology Imaging,1,1
459,"Pacific Islands VA-Spark M. Matsunaga (Honolulu, HI)",Cardiology Stress Test,558,524
459,"Pacific Islands VA-Spark M. Matsunaga (Honolulu, HI)",Chiropractic,1098,967
459,"Pacific Islands VA-Spark M. Matsunaga (Honolulu, HI)",Compensation & Pension Audio,428,425
459,"Pacific Islands VA-Spark M. Matsunaga (Honolulu, HI)",Compensation & Pension Medical,577,562
459,"Pacific Islands VA-Spark M. Matsunaga (Honolulu, HI)",Compensation & Pension Specialty,103,97
459,"Pacific Islands VA-Spark M. Matsunaga (Honolulu, HI)",Dental,5,5
459,"Pacific Islands VA-Spark M. Matsunaga (Honolulu, HI)",Dermatology,1550,1374
459,"Pacific Islands VA-Spark M. Matsunaga (Honolulu, HI)",Diagnostic Radiology,387,342
459,"Pacific Islands VA-Spark M. Matsunaga (Honolulu, HI)",Diagnostic Radiology CT,579,505
459,"Pacific Islands VA-Spark M. Matsunaga (Honolulu, HI)",Diagnostic Radiology Dexa Scan,48,47
459,"Pacific Islands VA-Spark M. Matsunaga (Honolulu, HI)",Diagnostic Radiology MRI/MRA,1945,1672
459,"Pacific Islands VA-Spark M. Matsunaga (Honolulu, HI)",Diagnostic Radiology PET,98,91
459,"Pacific Islands VA-Spark M. Matsunaga (Honolulu, HI)",Diagnostic Radiology Ultrasound,1069,939
459,"Pacific Islands VA-Spark M. Matsunaga (Honolulu, HI)",ENT,1084,1008
459,"Pacific Islands VA-Spark M. Matsunaga (Honolulu, HI)",Endocrinology,39,37
459,"Pacific Islands VA-Spark M. Matsunaga (Honolulu, HI)",GYN,159,142
459,"Pacific Islands VA-Spark M. Matsunaga (Honolulu, HI)",Gastroenterology,1124,1021
