CO/VISN,Office/Facility,Station,Occupation,NbrEmps,ID
4,"VAMC Lebanon, PA",595,622,2,
4,"VAMC Lebanon, PA",595,630,1,
4,"VAMC Lebanon, PA",595,633,1,
4,"VAMC Lebanon, PA",595,640,1,
4,"VAMC Lebanon, PA",595,660,3,
4,"VAMC Lebanon, PA",595,662,1,
4,"VAMC Lebanon, PA",595,679,11,
4,"VAMC Lebanon, PA",595,5705,2,
4,"VAMC Lebanon, PA",595,7404,2,
4,"VAMC Philadelphia, PA",642,180,14,
4,"VAMC Philadelphia, PA",642,181,2,
4,"VAMC Philadelphia, PA",642,185,4,
4,"VAMC Philadelphia, PA",642,601,4,
4,"VAMC Philadelphia, PA",642,602,20,
4,"VAMC Philadelphia, PA",642,603,1,
4,"VAMC Philadelphia, PA",642,605,3,
4,"VAMC Philadelphia, PA",642,610,36,
4,"VAMC Philadelphia, PA",642,620,3,
4,"VAMC Philadelphia, PA",642,621,9,
4,"VAMC Philadelphia, PA",642,622,3,
4,"VAMC Philadelphia, PA",642,630,1,
4,"VAMC Philadelphia, PA",642,640,7,
4,"VAMC Philadelphia, PA",642,644,4,
4,"VAMC Philadelphia, PA",642,647,9,
4,"VAMC Philadelphia, PA",642,649,2,
4,"VAMC Philadelphia, PA",642,660,5,
4,"VAMC Philadelphia, PA",642,665,3,
4,"VAMC Philadelphia, PA",642,679,28,
4,"VAMC Philadelphia, PA",642,1105,2,
4,"VAMC Philadelphia, PA",642,2005,2,
4,"VAMC Philadelphia, PA",642,2102,1,
4,"VAMC Wilkes-Barre, PA",693,180,4,
4,"VAMC Wilkes-Barre, PA",693,185,1,
4,"VAMC Wilkes-Barre, PA",693,303,3,
4,"VAMC Wilkes-Barre, PA",693,602,18,
4,"VAMC Wilkes-Barre, PA",693,610,23,
4,"VAMC Wilkes-Barre, PA",693,620,4,
4,"VAMC Wilkes-Barre, PA",693,621,1,
4,"VAMC Wilkes-Barre, PA",693,640,2,
4,"VAMC Wilkes-Barre, PA",693,645,1,
4,"VAMC Wilkes-Barre, PA",693,647,1,
4,"VAMC Wilkes-Barre, PA",693,661,1,
4,"VAMC Wilkes-Barre, PA",693,679,11,
4,"VAMC Wilkes-Barre, PA",693,680,1,
4,"VAMC Wilmington, DE",460,602,11,
4,"VAMC Wilmington, DE",460,610,7,
4,"VAMC Wilmington, DE",460,620,5,
4,"VAMC Wilmington, DE",460,621,6,
4,"VAMC Wilmington, DE",460,640,4,
4,"VAMC Wilmington, DE",460,649,1,
4,"VAMC Wilmington, DE",460,662,1,
4,"VAMC Wilmington, DE",460,668,1,
4,"VAMC Wilmington, DE",460,679,15,
4,"VAMC Wilmington, DE",460,680,2,
4,"VAMC Wilmington, DE",460,681,1,
4,"VAMC Wilmington, DE",460,998,2,
5,HCS Maryland (Baltimore),512,102,1,
5,HCS Maryland (Baltimore),512,180,11,
5,HCS Maryland (Baltimore),512,181,1,
5,HCS Maryland (Baltimore),512,185,13,
5,HCS Maryland (Baltimore),512,303,2,
5,HCS Maryland (Baltimore),512,326,1,
5,HCS Maryland (Baltimore),512,602,52,
5,HCS Maryland (Baltimore),512,603,4,
5,HCS Maryland (Baltimore),512,605,5,
5,HCS Maryland (Baltimore),512,610,50,
5,HCS Maryland (Baltimore),512,620,11,
5,HCS Maryland (Baltimore),512,621,2,
5,HCS Maryland (Baltimore),512,631,4,
5,HCS Maryland (Baltimore),512,633,5,
5,HCS Maryland (Baltimore),512,636,4,
5,HCS Maryland (Baltimore),512,640,2,
5,HCS Maryland (Baltimore),512,647,3,
5,HCS Maryland (Baltimore),512,649,5,
5,HCS Maryland (Baltimore),512,662,2,
5,HCS Maryland (Baltimore),512,679,44,
5,HCS Maryland (Baltimore),512,680,1,
5,HCS Maryland (Baltimore),512,681,2,
5,HCS Maryland (Baltimore),512,682,2,
5,HCS Maryland (Baltimore),512,998,3,
5,"VAMC Beckley, WV",517,602,3,
5,"VAMC Beckley, WV",517,603,3,
5,"VAMC Beckley, WV",517,605,1,
5,"VAMC Beckley, WV",517,610,1,
5,"VAMC Beckley, WV",517,620,2,
5,"VAMC Beckley, WV",517,642,1,
5,"VAMC Beckley, WV",517,645,1,
5,"VAMC Beckley, WV",517,647,2,
5,"VAMC Beckley, WV",517,662,1,
5,"VAMC Beckley, WV",517,679,5,
5,"VAMC Clarksburg, WV",540,180,1,
5,"VAMC Clarksburg, WV",540,601,2,
5,"VAMC Clarksburg, WV",540,602,5,
5,"VAMC Clarksburg, WV",540,603,1,
5,"VAMC Clarksburg, WV",540,610,28,
5,"VAMC Clarksburg, WV",540,620,1,
5,"VAMC Clarksburg, WV",540,621,6,
5,"VAMC Clarksburg, WV",540,647,2,
5,"VAMC Clarksburg, WV",540,660,3,
5,"VAMC Clarksburg, WV",540,661,2,
5,"VAMC Clarksburg, WV",540,679,8,
5,"VAMC Huntington, WV",581,180,3,
5,"VAMC Huntington, WV",581,185,5,
5,"VAMC Huntington, WV",581,602,9,
5,"VAMC Huntington, WV",581,603,2,
5,"VAMC Huntington, WV",581,610,27,
5,"VAMC Huntington, WV",581,620,6,
5,"VAMC Huntington, WV",581,630,1,
5,"VAMC Huntington, WV",581,631,1,
5,"VAMC Huntington, WV",581,640,3,
5,"VAMC Huntington, WV",581,649,1,
5,"VAMC Huntington, WV",581,660,3,
5,"VAMC Huntington, WV",581,661,3,
5,"VAMC Huntington, WV",581,679,16,
5,"VAMC Huntington, WV",581,998,3,
5,"VAMC Martinsburg, WV",613,101,2,
5,"VAMC Martinsburg, WV",613,102,2,
5,"VAMC Martinsburg, WV",613,180,3,
5,"VAMC Martinsburg, WV",613,185,6,
5,"VAMC Martinsburg, WV",613,602,11,
5,"VAMC Martinsburg, WV",613,610,3,
5,"VAMC Martinsburg, WV",613,620,2,
5,"VAMC Martinsburg, WV",613,640,9,
5,"VAMC Martinsburg, WV",613,679,13,
5,"VAMC Washington, DC",688,83,1,
5,"VAMC Washington, DC",688,102,1,
5,"VAMC Washington, DC",688,180,13,
5,"VAMC Washington, DC",688,185,6,
5,"VAMC Washington, DC",688,303,2,
5,"VAMC Washington, DC",688,341,2,
5,"VAMC Washington, DC",688,602,18,
5,"VAMC Washington, DC",688,603,2,
5,"VAMC Washington, DC",688,605,1,
5,"VAMC Washington, DC",688,610,34,
5,"VAMC Washington, DC",688,665,3,
5,"VAMC Washington, DC",688,679,20,
5,"VAMC Washington, DC",688,2102,1,
6,"VAMC Asheville, NC",637,101,4,
6,"VAMC Asheville, NC",637,180,3,
6,"VAMC Asheville, NC",637,185,1,
6,"VAMC Asheville, NC",637,201,3,
6,"VAMC Asheville, NC",637,203,1,
6,"VAMC Asheville, NC",637,308,2,
6,"VAMC Asheville, NC",637,340,3,
6,"VAMC Asheville, NC",637,343,2,
6,"VAMC Asheville, NC",637,601,1,
6,"VAMC Asheville, NC",637,602,15,
6,"VAMC Asheville, NC",637,603,4,
6,"VAMC Asheville, NC",637,610,15,
6,"VAMC Asheville, NC",637,620,7,
6,"VAMC Asheville, NC",637,630,1,
6,"VAMC Asheville, NC",637,633,1,
6,"VAMC Asheville, NC",637,640,2,
6,"VAMC Asheville, NC",637,644,1,
6,"VAMC Asheville, NC",637,647,1,
6,"VAMC Asheville, NC",637,649,1,
6,"VAMC Asheville, NC",637,660,3,
6,"VAMC Asheville, NC",637,661,2,
6,"VAMC Asheville, NC",637,662,1,
6,"VAMC Asheville, NC",637,665,1,
6,"VAMC Asheville, NC",637,668,1,
6,"VAMC Asheville, NC",637,679,18,
6,"VAMC Asheville, NC",637,680,2,
6,"VAMC Durham, NC",558,180,4,
6,"VAMC Durham, NC",558,185,5,
6,"VAMC Durham, NC",558,303,1,
6,"VAMC Durham, NC",558,602,14,
6,"VAMC Durham, NC",558,603,2,
6,"VAMC Durham, NC",558,610,12,
6,"VAMC Durham, NC",558,620,16,
6,"VAMC Durham, NC",558,631,1,
6,"VAMC Durham, NC",558,640,1,
6,"VAMC Durham, NC",558,644,1,
6,"VAMC Durham, NC",558,647,3,
6,"VAMC Durham, NC",558,648,1,
6,"VAMC Durham, NC",558,649,2,
6,"VAMC Durham, NC",558,668,1,
6,"VAMC Durham, NC",558,679,13,
6,"VAMC Durham, NC",558,680,3,
6,"VAMC Durham, NC",558,681,2,
6,"VAMC Durham, NC",558,682,1,
6,"VAMC Fayetteville, NC",565,101,1,
6,"VAMC Fayetteville, NC",565,180,4,
6,"VAMC Fayetteville, NC",565,181,4,
6,"VAMC Fayetteville, NC",565,185,5,
6,"VAMC Fayetteville, NC",565,601,5,
6,"VAMC Fayetteville, NC",565,602,26,
6,"VAMC Fayetteville, NC",565,603,9,
6,"VAMC Fayetteville, NC",565,605,1,
6,"VAMC Fayetteville, NC",565,610,39,
6,"VAMC Fayetteville, NC",565,620,12,
6,"VAMC Fayetteville, NC",565,630,7,
6,"VAMC Fayetteville, NC",565,633,1,
6,"VAMC Fayetteville, NC",565,640,7,
6,"VAMC Fayetteville, NC",565,644,1,
6,"VAMC Fayetteville, NC",565,646,1,
6,"VAMC Fayetteville, NC",565,647,4,
6,"VAMC Fayetteville, NC",565,649,2,
6,"VAMC Fayetteville, NC",565,660,25,
6,"VAMC Fayetteville, NC",565,661,2,
6,"VAMC Fayetteville, NC",565,662,3,
6,"VAMC Fayetteville, NC",565,665,2,
6,"VAMC Fayetteville, NC",565,668,2,
6,"VAMC Fayetteville, NC",565,679,29,
6,"VAMC Fayetteville, NC",565,680,1,
6,"VAMC Fayetteville, NC",565,681,3,
6,"VAMC Hampton, VA",590,181,2,
6,"VAMC Hampton, VA",590,203,1,
6,"VAMC Hampton, VA",590,341,1,
6,"VAMC Hampton, VA",590,602,12,
6,"VAMC Hampton, VA",590,603,1,
6,"VAMC Hampton, VA",590,605,3,
6,"VAMC Hampton, VA",590,610,30,
6,"VAMC Hampton, VA",590,620,6,
6,"VAMC Hampton, VA",590,630,1,
6,"VAMC Hampton, VA",590,633,1,
6,"VAMC Hampton, VA",590,649,2,
6,"VAMC Hampton, VA",590,660,1,
6,"VAMC Hampton, VA",590,668,1,
6,"VAMC Hampton, VA",590,679,28,
6,"VAMC Hampton, VA",590,680,1,
6,"VAMC Hampton, VA",590,681,1,
6,"VAMC Hampton, VA",590,682,1,
6,"VAMC Richmond, NC",652,180,5,
6,"VAMC Richmond, NC",652,185,3,
6,"VAMC Richmond, NC",652,303,3,
6,"VAMC Richmond, NC",652,601,1,
6,"VAMC Richmond, NC",652,602,10,
6,"VAMC Richmond, NC",652,610,28,
6,"VAMC Richmond, NC",652,620,12,
6,"VAMC Richmond, NC",652,633,4,
6,"VAMC Richmond, NC",652,640,2,
6,"VAMC Richmond, NC",652,660,5,
6,"VAMC Richmond, NC",652,661,1,
6,"VAMC Richmond, NC",652,679,12,
6,"VAMC Salem, VA",658,185,3,
6,"VAMC Salem, VA",658,303,3,
6,"VAMC Salem, VA",658,602,9,
6,"VAMC Salem, VA",658,603,2,
6,"VAMC Salem, VA",658,610,24,
6,"VAMC Salem, VA",658,620,3,
6,"VAMC Salem, VA",658,631,1,
6,"VAMC Salem, VA",658,660,3,
6,"VAMC Salem, VA",658,662,1,
6,"VAMC Salem, VA",658,668,1,
6,"VAMC Salem, VA",658,679,19,
6,"VAMC Salisbury, NC",659,180,7,
6,"VAMC Salisbury, NC",659,185,7,
6,"VAMC Salisbury, NC",659,601,2,
6,"VAMC Salisbury, NC",659,602,11,
6,"VAMC Salisbury, NC",659,603,3,
6,"VAMC Salisbury, NC",659,610,36,
6,"VAMC Salisbury, NC",659,620,5,
6,"VAMC Salisbury, NC",659,631,2,
6,"VAMC Salisbury, NC",659,636,1,
6,"VAMC Salisbury, NC",659,638,1,
6,"VAMC Salisbury, NC",659,640,8,
6,"VAMC Salisbury, NC",659,646,1,
6,"VAMC Salisbury, NC",659,647,1,
6,"VAMC Salisbury, NC",659,660,1,
6,"VAMC Salisbury, NC",659,662,1,
6,"VAMC Salisbury, NC",659,665,1,
6,"VAMC Salisbury, NC",659,667,2,
6,"VAMC Salisbury, NC",659,672,1,
6,"VAMC Salisbury, NC",659,679,10,
6,"VISN 6 Durham, NC",483,344,2,
7,HCS Central AL (Montgomery),619,83,2,
7,HCS Central AL (Montgomery),619,180,1,
7,HCS Central AL (Montgomery),619,185,7,
7,HCS Central AL (Montgomery),619,201,1,
7,HCS Central AL (Montgomery),619,203,1,
7,HCS Central AL (Montgomery),619,318,2,
7,HCS Central AL (Montgomery),619,602,9,
7,HCS Central AL (Montgomery),619,603,1,
7,HCS Central AL (Montgomery),619,610,25,
7,HCS Central AL (Montgomery),619,620,4,
7,HCS Central AL (Montgomery),619,621,2,
7,HCS Central AL (Montgomery),619,631,1,
7,HCS Central AL (Montgomery),619,633,2,
7,HCS Central AL (Montgomery),619,640,2,
7,HCS Central AL (Montgomery),619,644,2,
7,HCS Central AL (Montgomery),619,645,4,
7,HCS Central AL (Montgomery),619,647,2,
7,HCS Central AL (Montgomery),619,649,1,
7,HCS Central AL (Montgomery),619,660,7,
7,HCS Central AL (Montgomery),619,661,2,
7,HCS Central AL (Montgomery),619,662,1,
7,HCS Central AL (Montgomery),619,665,1,
7,HCS Central AL (Montgomery),619,675,2,
7,HCS Central AL (Montgomery),619,679,55,
7,HCS Central AL (Montgomery),619,680,1,
7,"VAMC Atlanta, GA (Decatur)",508,102,1,
7,"VAMC Atlanta, GA (Decatur)",508,180,5,
7,"VAMC Atlanta, GA (Decatur)",508,185,1,
7,"VAMC Atlanta, GA (Decatur)",508,303,1,
7,"VAMC Atlanta, GA (Decatur)",508,602,31,
7,"VAMC Atlanta, GA (Decatur)",508,610,86,
7,"VAMC Atlanta, GA (Decatur)",508,620,2,
7,"VAMC Atlanta, GA (Decatur)",508,638,2,
7,"VAMC Atlanta, GA (Decatur)",508,679,5,
7,"VAMC Atlanta, GA (Decatur)",508,699,1,
7,"VAMC Atlanta, GA (Decatur)",508,5703,1,
7,"VAMC Augusta, GA",509,101,2,
7,"VAMC Augusta, GA",509,180,7,
7,"VAMC Augusta, GA",509,544,1,
7,"VAMC Augusta, GA",509,602,16,
7,"VAMC Augusta, GA",509,603,4,
7,"VAMC Augusta, GA",509,610,12,
7,"VAMC Augusta, GA",509,630,2,
7,"VAMC Augusta, GA",509,640,1,
7,"VAMC Augusta, GA",509,644,1,
7,"VAMC Augusta, GA",509,649,1,
7,"VAMC Augusta, GA",509,660,2,
7,"VAMC Augusta, GA",509,679,19,
7,"VAMC Birmingham, AL",521,185,5,
7,"VAMC Birmingham, AL",521,544,2,
7,"VAMC Birmingham, AL",521,602,5,
7,"VAMC Birmingham, AL",521,603,1,
7,"VAMC Birmingham, AL",521,610,8,
7,"VAMC Birmingham, AL",521,620,2,
7,"VAMC Birmingham, AL",521,633,1,
7,"VAMC Birmingham, AL",521,636,1,
7,"VAMC Birmingham, AL",521,640,1,
7,"VAMC Birmingham, AL",521,662,2,
7,"VAMC Birmingham, AL",521,671,1,
7,"VAMC Birmingham, AL",521,679,26,
7,"VAMC Charleston, SC",534,180,2,
7,"VAMC Charleston, SC",534,185,2,
7,"VAMC Charleston, SC",534,187,1,
7,"VAMC Charleston, SC",534,303,1,
7,"VAMC Charleston, SC",534,602,15,
7,"VAMC Charleston, SC",534,605,1,
7,"VAMC Charleston, SC",534,610,104,
7,"VAMC Charleston, SC",534,620,1,
7,"VAMC Charleston, SC",534,644,1,
