Appts_Pending_1412,%_Appts_Over_30_Pending_1412,PC_Wait_Pending_1412,SC_Wait_Pending_1412,MH_Wait_Pending_1412,ID,ORGANIZATION,MAY-FY11,MAY-FY12,MAY-FY13,MAY-FY14,MAY-FY15,MAY-FY16,Appts_Pending_1610,%_Appts_Over_30_Pending_1610,PC_Wait_Pending_1610,SC_Wait_Pending_1610,MH_Wait_Pending_1610,Appts_Complete_1608,%_Appts_Over_30_Complete_1608,PC_Wait_Complete_1608,SC_Wait_Complete_1608,MH_Wait_Complete_1608,Station,Location,for_dups,Choice_Hires,Interim,Vacancy,%_Appts_Over_30_Complete_1409,Appts_Complete_1409,MH_Wait_Complete_1409,PC_Wait_Complete_1409,SC_Wait_Complete_1409,Physician_Turnover_FY11,Physician_Turnover_FY12,Physician_Turnover_FY13,Physician_Turnover_FY14,Physician_Turnover_FY15,Pending_Increase,Pending_Increase_%,Complete_Increase,Complete_Increase_%,Missing_Leadership,Staff_11_To_12_Increase,Staff_11_To_12_Increase_%,Staff_12_To_13_Increase,Staff_12_To_13_Increase_%,Staff_13_To_14_Increase,Staff_13_To_14_Increase_%,Staff_14_To_15_Increase,Staff_14_To_15_Increase_%,Staff_15_To_16_Increase,Staff_15_To_16_Increase_%,Staff_14_To_16_Increase,Staff_14_To_16_Increase_%,Choice_Increase_%,Choice_Staff_Dif,PC_Wait_Pending_Increase,PC_Wait_Pending_Increase_%,PC_Wait_Complete_Increase,PC_Wait_Complete_Increase_%,SC_Wait_Pending_Increase,SC_Wait_Pending_Increase_%,SC_Wait_Complete_Increase,SC_Wait_Complete_Increase_%,MH_Wait_Pending_Increase,MH_Wait_Pending_Increase_%,MH_Wait_Complete_Increase,MH_Wait_Complete_Increase_%,Staff_To_Appts_Pending_14,Staff_To_Appts_Pending_16,Staff_To_Appts_Complete_14,Staff_To_Appts_Complete_16
42761,3.22%,4.34,3.51,5.02,528we,,,,,,,,55589,8.69%,6.4,10.7,3.34,38938,0.0502,8.16,7.38,2.7,528,"(V02) (528) Western New York, NY",528we,30.0,1.0,0.0,0.0236,37616,3.91,3.26,3.52,0.0962,0.0756,0.092,0.0981,0.0707,12828,0.299992984261,1322,0.0351446193109,1.0,,,,,,,,,,,,,,,2.06,0.47465437788,4.9,1.50306748466,7.19,1.65668202765,3.86,1.09659090909,-1.68,-0.387096774194,-1.21,-0.309462915601,,,,
14061,2.40%,5.12,4.6,1.61,528ca,,,,,,,,19211,8.96%,10.24,9.45,3.47,14137,0.0472,10.11,6.0,3.29,528,"(V02) (528) Canandaigua, NY",528ca,,2.0,0.0,0.0198,13449,1.61,3.65,3.71,,,,,,5150,0.366261290093,688,0.0511562197933,2.0,,,,,,,,,,,,,,,5.12,1.0,6.46,1.7698630137,4.85,0.947265625,2.29,0.617250673854,1.86,0.36328125,1.68,1.04347826087,,,,
48461,7.57%,2.58,14.53,4.0,528sy,,,,,,,,51338,6.35%,4.38,9.6,4.26,33523,0.0335,4.19,6.82,3.29,528,"(V02) (528) Syracuse, NY",528sy,32.0,0.0,0.0,0.04,31918,2.33,2.34,8.06,,,,,,2877,0.0593673263036,1605,0.0502851055831,0.0,,,,,,,,,,,,,,,1.8,0.697674418605,1.85,0.790598290598,-4.93,-1.91085271318,-1.24,-0.153846153846,0.26,0.100775193798,0.96,0.412017167382,,,,
20917,3.45%,4.32,5.12,1.82,526br,(V03) (526) MC BRONX NY,1898.0,1819.0,1756.0,1777.0,1827.0,1892.0,31772,1.67%,5.04,3.95,3.5,25620,0.0053,4.91,2.91,1.23,526,"(V03) (526) Bronx, NY",526,51.0,0.0,0.0,0.0053,25650,1.09,1.5,1.88,0.1075,0.0885,0.054,0.0509,0.0874,10855,0.518955873213,-30,-0.00116959064327,0.0,-79.0,-0.0434304562947,-63.0,-0.0358769931663,21.0,0.0118176702307,50.0,0.0273672687466,65.0,0.034355179704,115.0,0.0607822410148,0.0287000562746,64.0,0.72,0.166666666667,3.41,2.27333333333,-1.17,-0.270833333333,1.03,0.547872340426,1.68,0.388888888889,0.14,0.128440366972,0.0849548214371,0.0595492886819,0.0692787524366,0.0738485558158
40291,4.10%,1.53,6.65,2.03,561ne,(V03) (561) HCS EAST ORANGE NJ,2795.0,2762.0,2820.0,2813.0,2805.0,2863.0,49662,5.09%,1.78,7.54,1.71,43517,0.022,0.93,4.84,0.88,561,"(V03) (561) New Jersey HCS, NJ",561,51.0,0.0,0.0,0.0318,43772,2.2,1.25,6.03,0.0199,0.0504,0.0298,0.0537,0.0792,9371,0.232582958973,-255,-0.0058256419629,0.0,-33.0,-0.0119478638668,58.0,0.0205673758865,-7.0,-0.0024884464984,-8.0,-0.00285204991087,58.0,0.0202584701362,50.0,0.0174641983933,0.0181301102026,-1.0,0.25,0.16339869281,-0.32,-0.256,0.89,0.581699346405,-1.19,-0.197346600332,-0.32,-0.209150326797,-1.32,-0.6,0.0698170807376,0.0576497120535,0.0642648268299,0.0657903807707
19748,2.37%,4.3,4.04,2.66,620va,(V03) (620) HCS MONTROSE NY,1553.0,1532.0,1543.0,1557.0,1496.0,1471.0,21020,0.93%,3.29,3.62,2.73,25943,0.0019,1.73,2.82,1.93,620,"(V03) (620) VA Hudson Valley HCS, NY",620,21.0,0.0,0.0,0.009,26650,1.29,1.94,2.68,0.1084,0.0979,0.1085,0.1303,0.1513,1272,0.0644115859834,-707,-0.0265290806754,0.0,-21.0,-0.0137075718016,11.0,0.00712896953986,14.0,0.00899165061015,-61.0,-0.0407754010695,-25.0,-0.0169952413324,-86.0,-0.0584636301835,0.0134874759152,-107.0,-1.01,-0.23488372093,-0.21,-0.10824742268,-0.42,-0.0976744186047,0.14,0.0522388059701,0.07,0.0162790697674,0.64,0.496124031008,0.0788434271825,0.0699809705043,0.0584240150094,0.0567012296188
50081,1.31%,1.25,2.7,1.06,630ne,(V03) (630) HCS NEW YORK NY,3650.0,3587.0,3547.0,3679.0,3668.0,3567.0,46766,2.62%,4.02,3.32,1.94,47991,0.0067,2.06,1.55,1.08,630,"(V03) (630) New York Harbor HCS, NY",630,54.0,0.0,0.0,0.0056,50405,1.02,1.57,1.69,0.0605,0.0746,0.0654,0.0717,0.0662,-3315,-0.0661927677163,-2414,-0.047892074199,0.0,-63.0,-0.0175634234737,-40.0,-0.0112771356076,132.0,0.0358793150313,-11.0,-0.00299890948746,-101.0,-0.0283151107373,-112.0,-0.031398934679,0.0146779016037,-166.0,2.77,2.216,0.49,0.312101910828,0.62,0.496,-0.14,-0.0828402366864,0.88,0.704,0.06,0.0588235294118,0.073460993191,0.0762733609888,0.0729887907946,0.0743264362068
34758,2.34%,5.31,6.43,1.54,632no,(V03) (632) MC NORTHPORT L I NY,1816.0,1856.0,1912.0,1895.0,1901.0,1875.0,39218,3.72%,6.02,7.26,3.65,30039,0.0194,5.45,4.08,1.53,632,"(V03) (632) Northport, NY",632,47.0,0.0,0.0,0.0108,30955,0.65,3.38,3.42,0.0668,0.0523,0.0361,0.0483,0.0906,4460,0.128315783417,-916,-0.029591342271,0.0,40.0,0.0215517241379,56.0,0.0292887029289,-17.0,-0.0089709762533,6.0,0.00315623356128,-26.0,-0.0138666666667,-20.0,-0.0106666666667,0.0248021108179,-67.0,0.71,0.133709981168,2.07,0.612426035503,0.83,0.156308851224,0.66,0.19298245614,2.11,0.39736346516,0.88,1.35384615385,0.0545198227746,0.0478096792289,0.0612178969472,0.0624188554879
23238,7.68%,16.97,8.87,3.72,460wi,(V04) (460) MROC WILMINGTON DE,916.0,916.0,941.0,933.0,940.0,915.0,32710,7.02%,4.06,9.63,10.91,16633,0.0492,4.84,8.58,10.25,460,"(V04) (460) Wilmington, DE",460,56.0,0.0,1.0,0.0457,16891,2.98,6.04,6.07,0.0351,0.0476,0.0605,0.1266,0.1511,9472,0.407608227903,-258,-0.0152744064887,1.0,0.0,0.0,25.0,0.0265674814028,-8.0,-0.0085744908896,7.0,0.00744680851064,-25.0,-0.0273224043716,-18.0,-0.0196721311475,0.0600214362272,-74.0,-12.91,-0.760754272245,-1.2,-0.198675496689,0.76,0.0447849145551,2.51,0.413509060956,7.19,0.423688862699,7.27,2.43959731544,0.0401497547121,0.0279730969123,0.0552365164881,0.0550111224674
29386,1.67%,3.21,5.66,1.78,503al,(V04) (503) MC ALTOONA PA,637.0,615.0,625.0,657.0,681.0,670.0,23642,0.53%,4.45,4.27,1.29,14544,0.0013,4.2,4.48,1.28,503,"(V04) (503) Altoona, PA",503,68.0,1.0,0.0,0.0205,14938,1.94,3.42,5.63,0.0745,0.1088,0.0366,0.0349,0.1371,-5744,-0.195467229293,-394,-0.0263756861695,1.0,-22.0,-0.0357723577236,10.0,0.016,32.0,0.0487062404871,24.0,0.0352422907489,-11.0,-0.0164179104478,13.0,0.0194029850746,0.103500761035,-55.0,1.24,0.386292834891,0.78,0.228070175439,-1.39,-0.433021806854,-1.15,-0.204262877442,-0.49,-0.152647975078,-0.66,-0.340206185567,0.0223575852447,0.0283393959902,0.0439817914045,0.0460671067107
24169,1.41%,0.32,7.49,0.69,529bu,(V04) (529) MC BUTLER PA,589.0,569.0,565.0,574.0,571.0,577.0,25791,0.42%,1.48,2.0,1.23,10009,0.0064,2.17,1.59,1.53,529,"(V04) (529) Butler, PA",529,31.0,0.0,0.0,0.001,8692,0.47,0.26,0.41,0.233,,,0.0543,0.1714,1622,0.0671107617196,1317,0.151518637828,0.0,-20.0,-0.0351493848858,-4.0,-0.0070796460177,9.0,0.0156794425087,-3.0,-0.00525394045534,6.0,0.0103986135182,3.0,0.0051993067591,0.0540069686411,-28.0,1.16,3.625,1.91,7.34615384615,-5.49,-17.15625,1.18,2.87804878049,0.54,1.6875,1.06,2.25531914894,0.0237494310894,0.022372145322,0.0660377358491,0.057648116695
24461,13.33%,10.03,14.74,7.81,540cl,(V04) (540) MC CLARKSBURG WV,820.0,814.0,860.0,881.0,890.0,927.0,25791,7.62%,5.59,12.34,3.0,17909,0.0306,4.7,5.72,2.57,540,"(V04) (540) Clarksburg, WV",540,59.0,1.0,1.0,0.0644,17926,3.41,7.64,7.51,0.0704,0.0882,0.0676,0.0969,0.1151,1330,0.0543722660562,-17,-0.000948343188665,2.0,-6.0,-0.00737100737101,46.0,0.053488372093,21.0,0.0238365493757,9.0,0.0101123595506,37.0,0.0399137001079,46.0,0.049622437972,0.0669693530079,-13.0,-4.44,-0.442671984048,-2.94,-0.384816753927,-2.4,-0.239282153539,-1.79,-0.238348868176,-4.81,-0.479561316052,-0.84,-0.24633431085,0.0360165160868,0.035942770734,0.0491464911302,0.0517616840695
8857,1.06%,1.42,4.28,1.07,542co,(V04) (542) MC COATESVILLE PA,1373.0,1284.0,1261.0,1295.0,1275.0,1222.0,14753,2.91%,1.65,4.71,6.57,16982,0.0081,1.23,3.77,3.45,542,"(V04) (542) Coatesville, PA",542,37.0,1.0,0.0,0.0027,15159,0.91,1.87,1.69,0.1021,0.1622,0.1333,0.0724,,5896,0.665688156261,1823,0.120258592255,1.0,-89.0,-0.0693146417445,-23.0,-0.0182394924663,34.0,0.0262548262548,-20.0,-0.0156862745098,-53.0,-0.0433715220949,-73.0,-0.0597381342062,0.0285714285714,-110.0,0.23,0.161971830986,-0.64,-0.342245989305,0.43,0.302816901408,2.08,1.23076923077,5.5,3.87323943662,2.54,2.79120879121,0.146212035678,0.0828306107232,0.0854277986675,0.0719585443411
12514,6.11%,10.22,7.94,0.33,562er,(V04) (562) MC ERIE PA,678.0,669.0,660.0,689.0,713.0,693.0,23486,5.28%,7.01,9.56,1.06,16117,0.0186,5.74,4.65,1.01,562,"(V04) (562) Erie, PA",562,30.0,0.0,0.0,0.0173,14712,0.51,3.65,2.76,0.1364,0.0565,0.0541,0.1336,0.0768,10972,0.87677800863,1405,0.0955002718869,0.0,-9.0,-0.0134529147982,-9.0,-0.0136363636364,29.0,0.0420899854862,24.0,0.0336605890603,-20.0,-0.02886002886,4.0,0.00577200577201,0.0435413642961,-26.0,-3.21,-0.314090019569,2.09,0.572602739726,1.62,0.158512720157,1.89,0.684782608696,0.73,0.0714285714286,0.5,0.980392156863,0.0550583346652,0.0295069403049,0.0468325176726,0.0429980765651
43581,2.00%,1.78,4.09,2.65,595le,(V04) (595) MC LEBANON PA,1354.0,1383.0,1333.0,1385.0,1419.0,1468.0,69663,2.71%,3.03,6.61,2.66,29042,0.03,3.29,6.09,2.5,595,"(V04) (595) Lebanon, PA",595,80.0,0.0,0.0,0.0133,26534,2.25,2.32,3.14,0.1179,0.0642,0.0913,0.0864,0.0296,26082,0.59847181111,2508,0.094520238185,0.0,29.0,0.0209689081706,-50.0,-0.0375093773443,52.0,0.0375451263538,34.0,0.0239605355884,49.0,0.033378746594,83.0,0.0565395095368,0.057761732852,3.0,1.25,0.702247191011,0.97,0.418103448276,2.52,1.41573033708,2.95,0.93949044586,0.01,0.00561797752809,0.25,0.111111111111,0.0317799040866,0.0210728794338,0.0521971809754,0.0505474829557
61615,9.30%,5.44,14.91,5.41,642ph,(V04) (642) MC PHILADELPHIA PA,2192.0,2125.0,2202.0,2312.0,2374.0,2373.0,69426,5.41%,5.28,8.59,3.38,38817,0.022,3.74,4.08,2.54,642,"(V04) (642) Philadelphia, PA",642,163.0,0.0,1.0,0.0283,39256,3.34,3.61,4.9,0.1151,0.131,0.1186,0.165,0.1152,7811,0.126771078471,-439,-0.011183003872,1.0,-67.0,-0.0315294117647,77.0,0.0349682107175,110.0,0.0475778546713,62.0,0.0261162594777,-1.0,-0.000421407501054,61.0,0.0257058575643,0.0705017301038,-102.0,-0.16,-0.0294117647059,0.13,0.0360110803324,-6.32,-1.16176470588,-0.82,-0.167346938776,-2.03,-0.373161764706,-0.8,-0.239520958084,0.0375233303579,0.0341802782819,0.0588954554718,0.0611330087333
67390,2.60%,3.82,4.11,2.1,646pi,(V04) (646) HCS PITTSBURGH PA,3343.0,3119.0,3192.0,3406.0,3672.0,3647.0,79920,4.69%,4.92,9.38,3.21,39356,0.0308,5.06,6.81,1.06,646,"(V04) (646) Pittsburgh, PA",646,179.0,1.0,0.0,0.0204,35530,0.99,4.02,3.37,0.0565,0.0846,0.0881,0.079,0.0914,12530,0.185932630954,3826,0.107683647622,1.0,-224.0,-0.0718178903495,73.0,0.0228696741855,214.0,0.0628302994715,266.0,0.072440087146,-25.0,-0.00685494927338,241.0,0.0660817109953,0.0525543159131,62.0,1.1,0.287958115183,1.04,0.258706467662,5.27,1.37958115183,3.44,1.02077151335,1.11,0.29057591623,0.07,0.0707070707071,0.0505416233863,0.0456331331331,0.0958626512806,0.0926669376969
23986,3.03%,4.59,2.0,3.0,693wi,(V04) (693) MC WILKES BARRE PA,1138.0,1123.0,1136.0,1198.0,1253.0,1256.0,49051,3.55%,2.02,4.32,12.12,26602,0.0203,1.86,3.97,6.13,693,"(V04) (693) Wilkes‰ÛêBarre, PA",693,71.0,1.0,0.0,0.0074,25811,0.77,1.76,1.11,0.0677,0.0301,0.072,0.0793,0.1347,25065,1.04498457434,791,0.0306458486692,1.0,-15.0,-0.013357079252,13.0,0.0114436619718,62.0,0.0517529215359,55.0,0.0438946528332,3.0,0.00238853503185,58.0,0.046178343949,0.059265442404,-13.0,-2.57,-0.559912854031,0.1,0.0568181818182,2.32,0.505446623094,2.86,2.57657657658,9.12,1.98692810458,5.36,6.96103896104,0.0499458017177,0.0256060019164,0.0464143194762,0.0472144951507
51989,8.19%,12.39,7.7,3.93,512ba,(V05) (512) HCS BALTIMORE MD,3062.0,3120.0,3194.0,3215.0,3269.0,3411.0,53145,7.67%,4.81,9.19,3.55,47872,0.0273,3.72,6.35,1.8,512,"(V05) (512) Baltimore HCS, MD",512,230.0,0.0,0.0,0.0224,45027,1.67,5.18,3.82,0.0763,0.0815,0.0473,0.1047,0.0839,1156,0.0222354728885,2845,0.0631843116352,0.0,58.0,0.0185897435897,74.0,0.0231684408265,21.0,0.00653188180404,54.0,0.0165188130927,142.0,0.0416300205218,196.0,0.0574611550865,0.0715396578538,-34.0,-7.58,-0.611783696529,-1.46,-0.281853281853,1.49,0.120258272801,2.53,0.662303664921,-0.38,-0.0306698950767,0.13,0.0778443113772,0.0618400046164,0.064182895851,0.0714016034824,0.0712525066845
34329,3.44%,5.02,6.09,2.68,613ma,(V05) (613) MC MARTINSBURG WV,1612.0,1548.0,1616.0,1672.0,1759.0,1805.0,39979,6.43%,3.39,9.88,6.76,35044,0.0404,4.73,7.51,4.97,613,"(V05) (613) Martinsburg, WV",613,51.0,1.0,0.0,0.0097,38474,2.02,3.32,2.93,0.12,0.0976,0.1576,0.1604,0.1021,5650,0.164583879519,-3430,-0.0891511150387,1.0,-64.0,-0.0413436692506,68.0,0.0420792079208,56.0,0.0334928229665,87.0,0.0494599204093,46.0,0.0254847645429,133.0,0.0736842105263,0.0305023923445,82.0,-1.63,-0.324701195219,1.41,0.424698795181,3.79,0.754980079681,4.58,1.56313993174,4.08,0.812749003984,2.95,1.4603960396,0.0487051763815,0.0451487030691,0.043457919634,0.0515066773199
41268,5.89%,7.91,6.31,8.83,688wa,(V05) (688) MC WASHINGTON DC,2240.0,2228.0,2249.0,2398.0,2515.0,2465.0,50602,4.52%,4.81,6.67,4.55,48333,0.0081,3.08,2.54,2.31,688,"(V05) (688) Washington, DC",688,104.0,0.0,0.0,0.0212,47696,3.51,4.82,3.77,0.0443,0.0476,0.0601,0.0494,0.0619,9334,0.226180091112,637,0.0133554176451,0.0,-12.0,-0.00538599640934,21.0,0.00933748332592,149.0,0.0621351125938,117.0,0.0465208747515,-50.0,-0.0202839756592,67.0,0.0271805273834,0.0433694745621,-37.0,-3.1,-0.39190897598,-1.74,-0.360995850622,0.36,0.0455120101138,-1.23,-0.32625994695,-4.28,-0.541087231353,-1.2,-0.34188034188,0.0581079771251,0.0487134895854,0.0502767527675,0.0510003517266
