Organization,Specialty,FY11,FY12,FY13,FY14,FY15,ID
VHA,E2 ASSOC COS GER/LTC,-,0.2748,-,-,0.0769,
VHA,E3 ACOS MEN HLTH/BEH SC,0.0952,0.15,0.2432,-,-,
VHA,E4 CARDIOVAS/THOR SGR,0.0784,0.0478,0.0613,0.1015,0.0322,
VHA,E5 NEUROSURGERY,0.0392,0.1446,0.0864,0.1019,0.1586,
VHA,E6 CARDIOLOGY NON-INTER,0.0623,0.0806,0.0888,0.0518,0.0727,
VHA,E7 RADIOLOGY (NUCLEAR),0.095,0.0669,0.0723,0.0313,0.0288,
VHA,E9 COMPENSATION/PENSION,-,-,-,-,0.0218,
VHA,F8 DIRECTOR - VISN,-,-,-,-,0.7059,
VHA,G9 RADIATION ONCOLOGY,0.1385,0.2034,0.0282,0.0477,0.0822,
VHA,H1 PSYCHIATRY FELW,0.265,0.7034,0.2748,0.378,0.4,
VHA,H2 SCHIZO RESEARCH FELW,-,-,0.2553,0.8108,-,
VHA,H3 AMBULATORY CARE FELW,-,-,0.4211,0.1714,0.7742,
VHA,H4 PALL CARE MED FELLOW,1.2308,0.55,0.3158,1.12,0.3871,
VHA,H6 NEUROLOGY FELLOW,0.6774,0.75,-,0.8471,0.3582,
VHA,H7 HLTH SVCS RESCH FELW,0.3137,0.3462,0.5841,0.3512,0.1161,
VHA,H8 NEURO/TRAU BRN INJ F,0.3614,0.6122,0.5687,0.375,0.6067,
VHA,H9 WOMEN VETS HLTH FELW,0.4,0.5902,0.2069,0.5902,0.3025,
VHA,K3 NAT'L QUAL SCHOLARS,0.2623,0.4716,0.3547,0.4638,0.2381,
VHA,K6 HOSPITALIST,0.173,0.1648,0.1157,0.1253,0.1028,
VHA,K8 CRITICAL CARE,0.098,0.0876,-,0.082,0.0426,
VHA,K9 MOHS SURGERY,-,0.3077,-,-,0.5106,
VHA,M5 MEDINFO POSTDOC FELW,0.2727,0.7273,0.2609,0.1481,0.1791,
VHA,M9 CARDIOLOGY-INTERVEN,0.0558,0.0425,0.0302,0.0789,0.071,
VHA,MR MEDICAL RESEARCH,-,-,-,1,-,
VHA,N9 CARDIAC ELECTROPHY,-,0.0694,0.2057,0.169,0.0462,
VHA,P1 PRIMARY CARE,0.0739,0.0715,0.0948,0.0893,0.0928,
VHA,P3 CHIEF MED OFCR VISN,0.0566,-,-,0.0563,0.2011,
VHA,P4 CHIEF OFFICER IN CO,-,-,0.24,-,-,
VHA,"R1 ORO, REGIONAL DIR",-,-,-,1,-,
VHA,R3 HEMATOLOGY/ONCOLOGY,0.0812,0.1368,0.1079,0.0878,0.145,
VHA,R4 VASCULAR SURGERY,0.0735,0.093,0.0833,0.0924,0.0796,
VHACO,0602 Physician (All Specialties),0.0588,0.0819,0.1055,0.0962,0.1071,
VHACO,01 ANESTHESIOLOGY,1,-,-,-,-,
VHACO,02 SURGERY,-,-,0.9,-,-,
VHACO,07 ORTHOPEDIC SURGERY,-,0.6,-,-,1,
VHACO,16 EMERGENCY MEDICINE,-,-,0.5455,-,-,
VHACO,21 GEN INTERNAL MED,0.0719,0.0672,0.0915,0.1013,0.0829,
VHACO,26 PULMONARY DISEASES,-,-,-,-,0.1714,
VHACO,29 ENDOCRIN AND METAB,-,-,-,-,1,
VHACO,31 PSYCHIATRY,-,-,-,0.25,-,
VHACO,34 ADV GERIATRIC FELLOW,-,-,1,-,-,
VHACO,35 CLINICAL SCHOLAR-RWJ,0.1739,0.4,0.5455,0.2759,0.5455,
VHACO,36 PREVENTIVE MEDICINE,-,0.5217,-,-,-,
VHACO,38 RADIOLOGY-DIAGNOSTIC,0.0502,0.0309,0.0511,0.0904,0.0879,
VHACO,47 RESEARCH-CAREER DEV,0.2353,-,-,0.3,-,
VHACO,48 RESEARCH,-,-,-,-,0.1446,
VHACO,49 FAMILY PRACTICE,-,0.233,0.2791,-,-,
VHACO,55 DIRECTOR,-,-,0.0615,0.0456,0.1259,
VHACO,56 PHYS IN CO,0.0758,0.0934,0.1415,0.1077,0.1132,
VHACO,"57 PHYS--ADMIN, OTHER",0.1111,-,0.1111,0.4,0.1791,
VHACO,F8 DIRECTOR - VISN,-,-,-,-,1,
VHACO,H6 NEUROLOGY FELLOW,-,1,-,-,-,
VHACO,H7 HLTH SVCS RESCH FELW,-,-,1,-,-,
VHACO,M5 MEDINFO POSTDOC FELW,-,0.4138,0.7059,-,-,
VHACO,P1 PRIMARY CARE,-,0.3396,-,-,-,
VHACO,P4 CHIEF OFFICER IN CO,-,-,0.24,-,-,
VHACO,"R1 ORO, REGIONAL DIR",-,-,-,1,-,
V01,0602 Physician (All Specialties),0.0698,0.0826,0.0757,0.1001,0.0714,
V01,01 ANESTHESIOLOGY,0.0733,0.1235,0.1509,0.1215,0.0215,
V01,02 SURGERY,0.0261,0.0795,0.0758,0.1822,0.0462,
V01,05 MEDICAL ONCOLOGY,0.1905,-,-,-,0.2609,
V01,06 OPHTHALMOLOGY,0.1026,0.1662,0.104,0.0596,0.0576,
V01,07 ORTHOPEDIC SURGERY,-,0.1257,0.1257,0.1194,0.0591,
V01,08 OTOLARYNGOLOGY,0.0882,-,0.0784,0.0863,-,
V01,09 PLASTIC SURGERY,-,0.2222,0.2264,-,-,
V01,12 UROLOGY,0.0652,0.0656,0.1244,0.2297,-,
V01,13 PHYSIATRY,0.25,0.3077,-,-,-,
V01,16 EMERGENCY MEDICINE,-,0.0907,0.1531,0.1111,0.1846,
V01,18 HEMATOLOGY,-,-,-,0.1463,0.169,
V01,19 INFECTIOUS DISEASES,-,0.1081,-,-,0.1053,
V01,20 DERMATOLOGY,0.1176,0.1171,0.1101,0.1682,0.1434,
V01,21 GEN INTERNAL MED,0.0805,0.044,0.0475,0.0659,0.1095,
V01,23 ALLERGY & IMMUNOLOGY,-,-,-,1,-,
V01,25 GASTROENTEROLOGY,0.071,0.0696,0.1032,0.0361,0.0331,
V01,26 PULMONARY DISEASES,-,0.1644,0.0355,0.1037,0.1003,
V01,27 NEPHROLOGY,0.0638,0.0594,0.0594,0.0569,0.0492,
V01,28 RHEUMATOLOGY,0.071,0.0663,0.0615,0.3409,-,
V01,29 ENDOCRIN AND METAB,-,0.087,-,0.2609,0.0923,
V01,30 NEUROLOGY,0.0302,-,-,0.0505,0.106,
V01,31 PSYCHIATRY,0.0994,0.0972,0.0941,0.0897,0.0331,
V01,32 ANATOMIC PATHOLOGY,-,0.1277,-,-,0.1143,
V01,33 CLINICAL PATHOLOGY,-,-,-,-,0.2222,
V01,34 ADV GERIATRIC FELLOW,-,-,-,1,-,
V01,35 CLINICAL SCHOLAR-RWJ,0.2963,0.5714,0.6316,0.2667,0.5143,
V01,36 PREVENTIVE MEDICINE,1,-,-,-,-,
V01,38 RADIOLOGY-DIAGNOSTIC,0.0578,0.029,0.0916,0.0628,0.0614,
V01,40 GERIATRICS,0.0619,0.1224,0.0526,0.1039,0.0415,
V01,43 PATHOLOGY,0.0628,0.1237,0.1283,-,-,
V01,44 PHYS MED & REHAB,-,0.1053,-,0.1429,0.1856,
V01,45 RADIOLOGY-INTERVENT,0.1739,-,0.1348,0.1,0.1053,
V01,46 NUCLEAR MEDICINE,-,-,0.1905,-,-,
V01,47 RESEARCH-CAREER DEV,0.375,-,-,-,-,
V01,48 RESEARCH,-,-,0.3243,-,-,
V01,49 FAMILY PRACTICE,0.1143,0.1176,-,0.0992,0.2069,
V01,51 CHIEF OF STAFF,-,0.129,-,-,0.1101,
V01,53 ASSOC CH/STAFF--EDUC,-,0.4138,-,-,-,
V01,55 DIRECTOR,-,0.5,-,-,-,
V01,"57 PHYS--ADMIN, OTHER",-,0.5455,-,0.1739,-,
V01,58 ASST CHIEF OF STAFF,1,-,-,-,-,
V01,59 ASSOC COS AMBUL CARE,-,-,-,0.9231,-,
V01,E4 CARDIOVAS/THOR SGR,0.1714,-,-,-,-,
V01,E5 NEUROSURGERY,-,0.8,-,-,0.2727,
V01,E6 CARDIOLOGY NON-INTER,-,0.0267,0.0518,0.0958,0.0476,
V01,G9 RADIATION ONCOLOGY,0.6,-,-,0.5455,-,
V01,H1 PSYCHIATRY FELW,0.8182,0.2222,0.3871,0.5455,0.3243,
V01,H2 SCHIZO RESEARCH FELW,-,-,0.2553,0.8108,-,
V01,H6 NEUROLOGY FELLOW,0.8,0.4286,-,0.6486,0.3158,
V01,H7 HLTH SVCS RESCH FELW,0.3243,0.3871,0.5333,1,-,
V01,H9 WOMEN VETS HLTH FELW,-,0.8889,-,0.5,0.48,
V01,K3 NAT'L QUAL SCHOLARS,-,0.4364,0.2609,0.5,-,
V01,K6 HOSPITALIST,0.1143,-,0.0789,0.075,0.0741,
V01,M5 MEDINFO POSTDOC FELW,-,1,-,-,-,
V01,M9 CARDIOLOGY-INTERVEN,-,-,-,0.4615,-,
V01,MR MEDICAL RESEARCH,-,-,-,1,-,
V01,P1 PRIMARY CARE,0.0463,0.023,0.0575,0.0581,0.0217,
V01,R3 HEMATOLOGY/ONCOLOGY,-,-,0.1188,-,-,
V01,R4 VASCULAR SURGERY,-,0.169,-,-,0.1176,
(V01) (402) HCS TOGUS ME,0602 Physician (All Specialties),0.0997,0.0955,0.1133,0.1474,0.0781,
(V01) (402) HCS TOGUS ME,01 ANESTHESIOLOGY,0.375,0.7742,-,-,-,
(V01) (402) HCS TOGUS ME,02 SURGERY,-,-,-,0.6667,-,
(V01) (402) HCS TOGUS ME,07 ORTHOPEDIC SURGERY,-,0.2927,-,-,-,
(V01) (402) HCS TOGUS ME,08 OTOLARYNGOLOGY,-,-,-,1,-,
(V01) (402) HCS TOGUS ME,12 UROLOGY,-,-,-,0.3429,-,
(V01) (402) HCS TOGUS ME,16 EMERGENCY MEDICINE,-,0.2963,0.2182,0.2105,-,
(V01) (402) HCS TOGUS ME,21 GEN INTERNAL MED,0.2632,0.0632,0.0702,0.0719,0.2813,
(V01) (402) HCS TOGUS ME,25 GASTROENTEROLOGY,-,-,-,0.6,-,
(V01) (402) HCS TOGUS ME,26 PULMONARY DISEASES,-,-,0.2727,0.6857,-,
(V01) (402) HCS TOGUS ME,27 NEPHROLOGY,-,0.6667,-,-,-,
(V01) (402) HCS TOGUS ME,29 ENDOCRIN AND METAB,-,-,-,1,-,
(V01) (402) HCS TOGUS ME,30 NEUROLOGY,0.375,-,-,0.3429,-,
(V01) (402) HCS TOGUS ME,31 PSYCHIATRY,0.0863,0.0976,0.4948,0.313,-,
(V01) (402) HCS TOGUS ME,38 RADIOLOGY-DIAGNOSTIC,-,-,0.5714,-,0.5,
(V01) (402) HCS TOGUS ME,43 PATHOLOGY,0.5714,-,-,-,-,
(V01) (402) HCS TOGUS ME,45 RADIOLOGY-INTERVENT,-,-,0.4444,-,0.4,
(V01) (402) HCS TOGUS ME,48 RESEARCH,-,-,1,-,-,
(V01) (402) HCS TOGUS ME,49 FAMILY PRACTICE,-,0.1333,-,0.1101,0.2353,
(V01) (402) HCS TOGUS ME,"57 PHYS--ADMIN, OTHER",-,1,-,-,-,
(V01) (402) HCS TOGUS ME,E6 CARDIOLOGY NON-INTER,-,-,-,-,0.2308,
(V01) (402) HCS TOGUS ME,K6 HOSPITALIST,0.1154,-,0.0857,-,0.0896,
(V01) (402) HCS TOGUS ME,R3 HEMATOLOGY/ONCOLOGY,-,-,0.7059,-,-,
(V01) (405) MROC WHT RIVER JCT VT,0602 Physician (All Specialties),0.0114,0.0842,0.0891,0.1402,0.06,
(V01) (405) MROC WHT RIVER JCT VT,01 ANESTHESIOLOGY,-,-,-,0.4615,0.2353,
(V01) (405) MROC WHT RIVER JCT VT,02 SURGERY,-,-,-,0.2308,-,
(V01) (405) MROC WHT RIVER JCT VT,07 ORTHOPEDIC SURGERY,-,-,-,0.3077,0.3529,
(V01) (405) MROC WHT RIVER JCT VT,08 OTOLARYNGOLOGY,-,-,0.2667,-,-,
(V01) (405) MROC WHT RIVER JCT VT,12 UROLOGY,-,-,1,-,-,
(V01) (405) MROC WHT RIVER JCT VT,20 DERMATOLOGY,-,-,-,0.6316,-,
(V01) (405) MROC WHT RIVER JCT VT,21 GEN INTERNAL MED,0.0383,0.04,-,0.1165,0.041,
(V01) (405) MROC WHT RIVER JCT VT,26 PULMONARY DISEASES,-,0.6667,-,-,2,
(V01) (405) MROC WHT RIVER JCT VT,31 PSYCHIATRY,-,0.1283,0.2535,0.0828,-,
(V01) (405) MROC WHT RIVER JCT VT,38 RADIOLOGY-DIAGNOSTIC,-,-,0.2264,0.3243,-,
(V01) (405) MROC WHT RIVER JCT VT,44 PHYS MED & REHAB,-,-,-,-,0.4286,
(V01) (405) MROC WHT RIVER JCT VT,K3 NAT'L QUAL SCHOLARS,-,0.4364,0.2609,0.5,-,
(V01) (405) MROC WHT RIVER JCT VT,K6 HOSPITALIST,-,-,-,0.6667,-,
(V01) (405) MROC WHT RIVER JCT VT,P1 PRIMARY CARE,-,0.1935,0.25,-,-,
(V01) (518) MC BEDFORD MA,0602 Physician (All Specialties),0.062,0.0859,0.0409,0.0814,0.0789,
(V01) (518) MC BEDFORD MA,21 GEN INTERNAL MED,-,-,0.087,-,0.1622,
(V01) (518) MC BEDFORD MA,30 NEUROLOGY,-,-,-,-,0.2727,
(V01) (518) MC BEDFORD MA,31 PSYCHIATRY,0.1076,0.1091,0.058,0.0553,-,
(V01) (518) MC BEDFORD MA,49 FAMILY PRACTICE,1,-,-,-,-,
(V01) (518) MC BEDFORD MA,51 CHIEF OF STAFF,-,1,-,-,-,
(V01) (518) MC BEDFORD MA,"57 PHYS--ADMIN, OTHER",-,0.7059,-,-,-,
(V01) (518) MC BEDFORD MA,59 ASSOC COS AMBUL CARE,-,-,-,1,-,
(V01) (518) MC BEDFORD MA,H7 HLTH SVCS RESCH FELW,-,-,-,1,-,
(V01) (518) MC BEDFORD MA,MR MEDICAL RESEARCH,-,-,-,1,-,
(V01) (518) MC BEDFORD MA,P1 PRIMARY CARE,-,-,-,-,0.2308,
(V01) (523) HCS BOSTON MA,0602 Physician (All Specialties),0.08,0.0781,0.0898,0.1011,0.0548,
(V01) (523) HCS BOSTON MA,01 ANESTHESIOLOGY,0.0694,-,0.2093,0.0678,-,
(V01) (523) HCS BOSTON MA,02 SURGERY,0.0851,0.0795,0.1791,-,-,
(V01) (523) HCS BOSTON MA,06 OPHTHALMOLOGY,0.0845,0.1655,0.1846,0.0845,-,
(V01) (523) HCS BOSTON MA,07 ORTHOPEDIC SURGERY,-,-,0.1935,-,-,
(V01) (523) HCS BOSTON MA,08 OTOLARYNGOLOGY,0.3529,-,-,-,-,
(V01) (523) HCS BOSTON MA,12 UROLOGY,0.2034,-,0.2264,0.2105,-,
(V01) (523) HCS BOSTON MA,16 EMERGENCY MEDICINE,-,-,0.2609,0.1304,-,
(V01) (523) HCS BOSTON MA,18 HEMATOLOGY,-,-,-,0.3529,-,
(V01) (523) HCS BOSTON MA,20 DERMATOLOGY,0.2222,0.2857,0.2667,0.3529,0.3077,
(V01) (523) HCS BOSTON MA,21 GEN INTERNAL MED,0.1143,-,0.0345,0.0324,0.0928,
(V01) (523) HCS BOSTON MA,23 ALLERGY & IMMUNOLOGY,-,-,-,1,-,
(V01) (523) HCS BOSTON MA,25 GASTROENTEROLOGY,-,-,0.24,-,-,
(V01) (523) HCS BOSTON MA,26 PULMONARY DISEASES,-,0.1263,-,0.1277,-,
(V01) (523) HCS BOSTON MA,28 RHEUMATOLOGY,-,-,-,0.2927,-,
(V01) (523) HCS BOSTON MA,29 ENDOCRIN AND METAB,-,0.2857,-,-,0.3243,
(V01) (523) HCS BOSTON MA,30 NEUROLOGY,-,-,-,-,0.1667,
(V01) (523) HCS BOSTON MA,31 PSYCHIATRY,0.1466,0.1545,0.0732,0.1195,0.046,
(V01) (523) HCS BOSTON MA,32 ANATOMIC PATHOLOGY,-,-,-,-,0.2667,
(V01) (523) HCS BOSTON MA,33 CLINICAL PATHOLOGY,-,-,-,-,1,
(V01) (523) HCS BOSTON MA,34 ADV GERIATRIC FELLOW,-,-,-,1,-,
(V01) (523) HCS BOSTON MA,38 RADIOLOGY-DIAGNOSTIC,0.0764,0.0774,0.0851,0.0909,-,
(V01) (523) HCS BOSTON MA,40 GERIATRICS,0.1967,0.2222,-,0.1765,0.1237,
(V01) (523) HCS BOSTON MA,43 PATHOLOGY,-,0.1846,-,-,-,
(V01) (523) HCS BOSTON MA,44 PHYS MED & REHAB,-,0.2353,-,0.2,0.1905,
(V01) (523) HCS BOSTON MA,46 NUCLEAR MEDICINE,-,-,0.4444,-,-,
(V01) (523) HCS BOSTON MA,53 ASSOC CH/STAFF--EDUC,-,1,-,-,-,
(V01) (523) HCS BOSTON MA,E5 NEUROSURGERY,-,1,-,-,-,
(V01) (523) HCS BOSTON MA,E6 CARDIOLOGY NON-INTER,-,0.0541,0.0522,0.15,0.0588,
(V01) (523) HCS BOSTON MA,G9 RADIATION ONCOLOGY,0.6,-,-,0.5455,-,
(V01) (523) HCS BOSTON MA,H1 PSYCHIATRY FELW,-,-,0.5455,1,-,
(V01) (523) HCS BOSTON MA,H6 NEUROLOGY FELLOW,0.8,0.4286,-,0.6486,0.3158,
(V01) (523) HCS BOSTON MA,H7 HLTH SVCS RESCH FELW,0.3429,0.4444,0.9167,-,-,
(V01) (523) HCS BOSTON MA,H9 WOMEN VETS HLTH FELW,-,-,-,0.5,0.48,
(V01) (523) HCS BOSTON MA,M9 CARDIOLOGY-INTERVEN,-,-,-,0.4615,-,
(V01) (523) HCS BOSTON MA,P1 PRIMARY CARE,0.0805,-,0.0889,0.0451,-,
(V01) (523) HCS BOSTON MA,R4 VASCULAR SURGERY,-,0.3429,-,-,-,
(V01) (608) MC MANCHESTER NH,0602 Physician (All Specialties),0.0774,0.1134,0.1119,0.0909,0.1343,
(V01) (608) MC MANCHESTER NH,02 SURGERY,-,1,-,-,-,
(V01) (608) MC MANCHESTER NH,07 ORTHOPEDIC SURGERY,-,-,-,1,-,
(V01) (608) MC MANCHESTER NH,12 UROLOGY,-,-,-,0.6,-,
(V01) (608) MC MANCHESTER NH,21 GEN INTERNAL MED,0.1132,0.0674,0.2081,0.0755,0.2945,
(V01) (608) MC MANCHESTER NH,31 PSYCHIATRY,-,0.8571,-,-,-,
(V01) (608) MC MANCHESTER NH,51 CHIEF OF STAFF,-,-,-,-,1,
(V01) (608) MC MANCHESTER NH,55 DIRECTOR,-,1,-,-,-,
(V01) (608) MC MANCHESTER NH,E6 CARDIOLOGY NON-INTER,-,-,1,-,-,
(V01) (608) MC MANCHESTER NH,P1 PRIMARY CARE,0.2124,-,0.1379,0.1481,0.1818,
(V01) (631) MC NORTHAMPTON MA,0602 Physician (All Specialties),0.0928,0.0492,0.1134,0.1351,0.0862,
(V01) (631) MC NORTHAMPTON MA,21 GEN INTERNAL MED,0.06,0.0467,0.1446,0.1446,0.1259,
(V01) (631) MC NORTHAMPTON MA,30 NEUROLOGY,-,-,-,0.8,-,
(V01) (631) MC NORTHAMPTON MA,31 PSYCHIATRY,0.1714,0.0857,0.0779,0.0702,-,
(V01) (631) MC NORTHAMPTON MA,43 PATHOLOGY,-,-,1,-,-,
(V01) (631) MC NORTHAMPTON MA,44 PHYS MED & REHAB,-,-,-,-,0.5217,
(V01) (631) MC NORTHAMPTON MA,"57 PHYS--ADMIN, OTHER",-,-,-,0.75,-,
(V01) (650) MC PROVIDENCE RI,0602 Physician (All Specialties),0.0519,0.0815,0.0309,0.0879,0.0927,
(V01) (650) MC PROVIDENCE RI,01 ANESTHESIOLOGY,-,0.3429,-,-,-,
(V01) (650) MC PROVIDENCE RI,02 SURGERY,-,0.2449,-,0.4138,0.2449,
(V01) (650) MC PROVIDENCE RI,06 OPHTHALMOLOGY,-,-,0.1319,0.1026,0.0976,
(V01) (650) MC PROVIDENCE RI,07 ORTHOPEDIC SURGERY,-,0.2857,0.4286,-,-,
(V01) (650) MC PROVIDENCE RI,09 PLASTIC SURGERY,-,0.6667,-,-,-,
(V01) (650) MC PROVIDENCE RI,16 EMERGENCY MEDICINE,-,0.0828,0.1548,0.0795,0.4412,
(V01) (650) MC PROVIDENCE RI,19 INFECTIOUS DISEASES,-,0.8,-,-,-,
(V01) (650) MC PROVIDENCE RI,21 GEN INTERNAL MED,0.0645,0.065,-,0.0583,0.0867,
(V01) (650) MC PROVIDENCE RI,25 GASTROENTEROLOGY,-,0.3333,-,-,-,
(V01) (650) MC PROVIDENCE RI,28 RHEUMATOLOGY,0.3529,-,-,1.4118,-,
(V01) (650) MC PROVIDENCE RI,30 NEUROLOGY,-,-,-,-,0.2727,
(V01) (650) MC PROVIDENCE RI,31 PSYCHIATRY,0.1244,0.0571,-,0.0896,0.0941,
(V01) (650) MC PROVIDENCE RI,45 RADIOLOGY-INTERVENT,0.6316,-,-,0.2791,-,
(V01) (650) MC PROVIDENCE RI,P1 PRIMARY CARE,-,-,-,0.2609,-,
(V01) (689) HCS WEST HAVEN CT,0602 Physician (All Specialties),0.0719,0.0826,0.0601,0.0781,0.0683,
(V01) (689) HCS WEST HAVEN CT,01 ANESTHESIOLOGY,0.0588,0.127,0.2045,0.1311,-,
(V01) (689) HCS WEST HAVEN CT,02 SURGERY,-,-,0.0698,0.1371,0.0682,
(V01) (689) HCS WEST HAVEN CT,05 MEDICAL ONCOLOGY,1,-,-,-,1.0435,
(V01) (689) HCS WEST HAVEN CT,06 OPHTHALMOLOGY,0.2264,0.3333,-,-,0.1143,
(V01) (689) HCS WEST HAVEN CT,09 PLASTIC SURGERY,-,-,1,-,-,
(V01) (689) HCS WEST HAVEN CT,12 UROLOGY,-,0.3077,-,0.1714,-,
(V01) (689) HCS WEST HAVEN CT,13 PHYSIATRY,0.3333,0.5,-,-,-,
(V01) (689) HCS WEST HAVEN CT,16 EMERGENCY MEDICINE,-,-,-,0.0992,0.2105,
(V01) (689) HCS WEST HAVEN CT,18 HEMATOLOGY,-,-,-,-,0.5217,
(V01) (689) HCS WEST HAVEN CT,19 INFECTIOUS DISEASES,-,-,-,-,0.24,
(V01) (689) HCS WEST HAVEN CT,20 DERMATOLOGY,-,-,-,-,0.2105,
(V01) (689) HCS WEST HAVEN CT,21 GEN INTERNAL MED,0.0286,0.0538,-,0.043,0.0611,
(V01) (689) HCS WEST HAVEN CT,25 GASTROENTEROLOGY,0.1678,0.087,0.093,-,0.0896,
(V01) (689) HCS WEST HAVEN CT,26 PULMONARY DISEASES,-,0.1875,-,-,0.0779,
(V01) (689) HCS WEST HAVEN CT,27 NEPHROLOGY,0.1121,-,0.1034,0.1165,0.0945,
(V01) (689) HCS WEST HAVEN CT,28 RHEUMATOLOGY,-,0.2,0.1905,0.3429,-,
(V01) (689) HCS WEST HAVEN CT,29 ENDOCRIN AND METAB,-,-,-,0.4364,-,
(V01) (689) HCS WEST HAVEN CT,31 PSYCHIATRY,0.0688,0.0204,0.0743,0.0544,0.0347,
(V01) (689) HCS WEST HAVEN CT,32 ANATOMIC PATHOLOGY,-,0.5455,-,-,-,
