Facility for October,"Total Appts
Completed
1","Appts
completed
in 30 Days
or under2","Percent
Appts
completed
in 30 Days
or under3","Appts
completed
in over 30
Days4","Percent
Appts
completed
in over 30
Days5",,"Appts
Completed
Between
0 - 14
Days6","Appts
Completed
Between
15 - 30
Days7","Appts
Completed
Between
31 - 60
days8","Appts
Completed
Between
61 - 90
Days9","Appts
Completed
Between
91 - 120
Days10","Appts
Completed
Beyond
120 Days11",,"PC Avg
Wait Time
in Days12","SC Avg
Wait Time
in Days13","MH Avg
Wait Time
in Days14"
"(V16) (520) Gulf Coast HCS, MS","54,647","51,901",94.98%,"2,746",5.02%,,"48,975","2,926","2,189",474,81,2,,5.81,7.38,4.18
"(V16) (564) Fayetteville, AR","32,989","32,060",97.18%,929,2.82%,,"30,324","1,736",714,176,19,20,,1.9,5.7,3.76
"(V16) (580) Houston, TX","79,606","77,373",97.19%,"2,233",2.81%,,"74,849","2,524","1,759",429,43,2,,4.34,3.16,2.01
"(V16) (586) Jackson, MS","33,061","32,626",98.68%,435,1.32%,,"31,865",761,364,67,3,1,,2.6,2.13,0.84
"(V16) (598) Little Rock, AR","46,527","45,701",98.22%,826,1.78%,,"43,925","1,776",639,160,22,5,,4.56,2.48,3.98
"(V16) (623) Muskogee, OK","25,256","24,766",98.06%,490,1.94%,,"23,662","1,104",440,50,0,0,,3.44,3.39,2.03
(V16) (623) Muskogee,"12,369","12,252",99.05%,117,0.95%,,"11,849",403,113,4,0,0,,0.89,2.57,1.77
(V16) (623BY) Tulsa,"9,201","8,918",96.92%,283,3.08%,,"8,269",649,272,11,0,0,,4.88,4.58,2.03
(V16) (623GA) Hartshorne,673,673,100.00%,0,0.00%,,671,2,0,0,0,0,,0.41,0.32,1.29
(V16) (623GB) Vinita,864,802,92.82%,62,7.18%,,784,18,40,22,0,0,,9.39,1.15,3.23
"(V16) (629) New Orleans, LA","38,352","36,745",95.81%,"1,607",4.19%,,"34,431","2,314","1,034",567,6,0,,7.55,6.77,3.58
"(V16) (635) Oklahoma City, OK","41,336","40,688",98.43%,648,1.57%,,"39,360","1,328",439,198,7,4,,2.37,4.37,0.92
"(V16) (667) Shreveport, LA","27,200","26,843",98.69%,357,1.31%,,"26,205",638,230,103,24,0,,4.15,1.65,2.26
"(V17) (549) Dallas, TX","83,943","82,762",98.59%,"1,181",1.41%,,"80,041","2,721","1,022",156,3,0,,2.74,2.8,2.21
"(V17) (671) San Antonio, TX","60,981","59,584",97.71%,"1,397",2.29%,,"57,101","2,483","1,146",249,2,0,,3.91,2.99,4.95
"(V17) (674) Temple, TX","71,563","68,752",96.07%,"2,811",3.93%,,"63,979","4,773","2,204",540,59,8,,6.41,5.33,6.9
(V17) (740) VA Texas Valley Coastal Bend HCS,"18,987","18,199",95.85%,788,4.15%,,"17,229",970,458,246,71,13,,5.16,5.37,3.45
(V18) (501) New Mexico HCS,"43,247","41,051",94.92%,"2,196",5.08%,,"38,685","2,366","1,284",801,105,6,,5.73,6.82,5.73
"(V18) (504) Amarillo, TX","16,700","16,590",99.34%,110,0.66%,,"16,356",234,99,11,0,0,,1.51,1.83,0.39
"(V18) (519) Big Spring, TX","9,019","8,866",98.30%,153,1.70%,,"8,346",520,125,13,9,6,,3.19,5.38,5.65
"(V18) (644) Phoenix, AZ","62,443","59,495",95.28%,"2,948",4.72%,,"54,648","4,847","2,136",568,183,61,,4.56,10.57,4.46
(V18) (649) Northern Arizona HCS,"17,168","16,685",97.19%,483,2.81%,,"16,137",548,323,155,4,1,,2.86,7.01,0.09
(V18) (678) Southern Arizona HCS,"39,195","38,489",98.20%,706,1.80%,,"37,230","1,259",510,124,67,5,,3.33,2.91,4.37
"(V18) (756) El Paso, TX","22,379","21,444",95.82%,935,4.18%,,"19,675","1,769",667,185,79,4,,5.09,4.71,9.44
(V19) (436) Montana HCS,"27,700","27,059",97.69%,641,2.31%,,"26,287",772,442,153,32,14,,3.2,2.38,3.15
"(V19) (442) Cheyenne, WY","16,607","16,356",98.49%,251,1.51%,,"15,819",537,163,87,1,0,,1.6,3.61,2.5
"(V19) (554) Denver, CO","52,813","50,181",95.02%,"2,632",4.98%,,"46,819","3,362","2,024",441,127,40,,6.79,6.09,6.78
"(V19) (575) Grand Junction, CO","10,775","10,653",98.87%,122,1.13%,,"10,389",264,114,5,3,0,,1.33,2.79,2.51
"(V19) (660) Salt Lake City, UT","34,365","33,086",96.28%,"1,279",3.72%,,"31,012","2,074",933,299,32,15,,3.9,5.71,2.35
"(V19) (666) Sheridan, WY","8,413","8,299",98.64%,114,1.36%,,"8,052",247,82,31,0,1,,2.76,2.6,1.84
"(V20) (463) Anchorage, AK","8,777","8,751",99.70%,26,0.30%,,"8,605",146,23,1,2,0,,1.36,1.26,0.34
"(V20) (531) Boise, ID","21,581","20,409",94.57%,"1,172",5.43%,,"19,703",706,633,331,154,54,,0.98,9.42,0.64
"(V20) (648) Portland, OR","55,015","53,543",97.32%,"1,472",2.68%,,"50,006","3,537","1,238",208,26,0,,5.77,5.05,1.07
"(V20) (653) Roseburg, OR","18,659","18,231",97.71%,428,2.29%,,"17,409",822,352,60,12,4,,3.53,5.28,0.85
"(V20) (663) VA Puget Sound, WA","67,559","66,423",98.32%,"1,136",1.68%,,"63,656","2,767",857,245,25,9,,3.94,4.08,0.67
"(V20) (668) Spokane, WA","21,528","21,130",98.15%,398,1.85%,,"20,607",523,261,100,36,1,,1.74,3.82,2.55
"(V20) (687) Walla Walla, WA","11,540","11,347",98.33%,193,1.67%,,"10,943",404,138,43,12,0,,2.56,9.27,1.44
"(V20) (692) White City, OR","12,069","11,848",98.17%,221,1.83%,,"11,663",185,157,28,14,22,,2.21,4.45,0.49
"(V21) (358) Manila, PI","2,632","2,584",98.18%,48,1.82%,,"2,459",125,48,0,0,0,,5.53,3.82,6.57
(V21) (459) Pacific Islands HCS (Honolulu),"9,515","9,508",99.93%,7,0.07%,,"9,324",184,7,0,0,0,,2.27,0.47,0.95
"(V21) (570) Fresno, CA","20,148","19,341",95.99%,807,4.01%,,"18,535",806,626,142,33,6,,0.35,9.01,1.14
"(V21) (612) N. California, CA","72,482","69,764",96.25%,"2,718",3.75%,,"66,376","3,388","2,121",438,136,23,,2.29,6.63,1.13
"(V21) (640) Palo Alto, CA","47,758","46,705",97.80%,"1,053",2.20%,,"44,669","2,036",905,105,40,3,,2.51,4.01,2.07
"(V21) (654) Reno, NV","25,409","24,312",95.68%,"1,097",4.32%,,"22,977","1,335",675,370,49,3,,6.53,8.06,2.29
"(V21) (662) San Francisco, CA","43,091","42,460",98.54%,631,1.46%,,"41,171","1,289",515,97,15,4,,4.14,2.8,1.71
"(V22) (593) Las Vegas, NV","44,796","43,463",97.02%,"1,333",2.98%,,"41,928","1,535","1,054",252,27,0,,4.38,3.01,2.32
"(V22) (600) Long Beach, CA","52,148","51,585",98.92%,563,1.08%,,"49,638","1,947",540,18,4,1,,5.33,2.09,2.28
"(V22) (605) Loma Linda, CA","58,421","56,675",97.01%,"1,746",2.99%,,"53,824","2,851","1,317",223,77,129,,3,6.4,2.95
"(V22) (664) San Diego, CA","66,870","65,616",98.12%,"1,254",1.88%,,"63,627","1,989",862,237,132,23,,1.57,3.6,3.04
(V22) (691) Greater Los Angeles HCS,"69,195","66,467",96.06%,"2,728",3.94%,,"62,243","4,224","1,956",637,133,2,,4.06,6.85,4.03
"(V23) (437) Fargo, ND","21,939","21,555",98.25%,384,1.75%,,"20,998",557,332,50,2,0,,1.22,3.58,1.49
"(V23) (636) Iowa City, IA","26,736","26,088",97.58%,648,2.42%,,"24,839","1,249",503,102,41,2,,4.07,4.29,1.69
"(V23) (636) Nebraska-W Iowa, NE","49,438","49,315",99.75%,123,0.25%,,"48,654",661,107,9,4,3,,1.04,1.8,0.75
"(V23) (656) St. Cloud, MN","37,167","36,572",98.40%,595,1.60%,,"35,511","1,061",468,120,7,0,,1.35,4.62,3.68
