,VA Medical Center or System,City,State,12/31/2015 Star Rating (4th qtr),6/30/2016 Star Rating (2nd qtr),for_dups
29,Baltimore VA Medical Center,Baltimore,Maryland,2,*,512
130,VA Central Western Massachusetts Healthcare System,Leeds,Massachusetts,4,5,631
133,VA Boston Healthcare System,Boston,Massachusetts,5,5,523
134,Edith Nourse Rogers Memorial Veterans Hospital,Bedford,Massachusetts,5,5,518
8,John D. Dingell VA Medical Center,Detroit,Michigan,2,1,553
31,Battle Creek VA Medical Center,Battle Creek,Michigan,2,*,515
102,VA Ann Arbor Healthcare System,Ann Arbor,Michigan,4,*,506
103,Oscar G. Johnson VA Medical Center,Iron Mountain,Michigan,4,*,585
135,Aleda E. Lutz VA Medical Center,Saginaw,Michigan,5,5,655
136,Minneapolis VA Health Care System,Minneapolis,Minnesota,5,5,618
137,St. Cloud VA Health Care System,St Cloud,Minnesota,5,5,656
33,Gulf Coast Veterans Health Care System,Biloxi,Mississippi,2,*,520
72,G.V. (Sonny) Montgomery VA Medical Center,Jackson,Mississippi,3,*,586
32,VA St. Louis Health Care System,St. Louis,Missouri,2,*,657st
70,Kansas City VA Medical Center,Kansas City,Missouri,3,*,589ka
71,Harry S. Truman Memorial Veterans' Hospital,Columbia,Missouri,3,*,589co
104,John J. Pershing VA Medical Center,Poplar Bluff,Missouri,4,*,657po
34,VA Montana Health Care System,Fort Harrison,Montana,2,*,436
75,Omaha VA Medical Center,Omaha,Nebraska,3,*,636ne
36,VA Sierra Nevada Health Care System,Reno,Nevada,2,*,654
37,VA Southern Nevada Healthcare System,Las Vegas,Nevada,2,*,593
105,Manchester VA Medical Center,Manchester,New Hampshire,4,*,608
76,VA New Jersey Health Care System,East Orange,New Jersey,3,*,561
9,Raymond G. Murphy VA Medical Center,Albuquerque,New Mexico,2,1,501
77,Syracuse VA Medical Center,Syracuse,New York,3,*,528sy
78,Northport VA Medical Center,Northport,New York,3,*,632
79,VA NY Harbor Healthcare System,Brooklyn,New York,3,*,
80,VA Western New York Healthcare System,Buffalo,New York,3,*,528we
81,James J. Peters VA Medical Center,Bronx,New York,3,*,526
106,VA NY Harbor Healthcare System-Manhattan campus,New York,New York,4,*,
107,Bath VA Medical Center,Bath,New York,4,*,528ba
108,Canandaigua VA Medical Center,Canandaigua,New York,4,*,528ca
109,Albany Stratton VA Medical Center,Albany,New York,4,*,528al
139,VA Hudson Valley Health Care System,Montrose,New York,5,5,620
35,Fayetteville VA Medical Center,Fayetteville,North Carolina,2,*,565
73,Durham VA Medical Center,Durham,North Carolina,3,*,558
74,W.G. (Bill) Hefner VA Medical Center,Salisbury,North Carolina,3,*,659
138,Charles George VA Medical Center,Asheville,North Carolina,5,5,637
127,Fargo VA Health Care System,Fargo,North Dakota,5,*,437
82,Dayton VA Medical Center,Dayton,Ohio,3,*,552
83,Chillicothe VA Medical Center,Chillicothe,Ohio,3,*,538
110,Cincinnati VA Medical Center,Cincinnati,Ohio,4,*,539
128,Chalmers P. Wylie VA Ambulatory Care Center,Columbus,Ohio,5,*,541
140,Louis Stokes Cleveland VA Medical Center,Cleveland,Ohio,5,5,757
38,Oklahoma City VA Health Care System,Oklahoma City,Oklahoma,2,*,635
84,Jack C. Montgomery VA Medical Center,Muskogee,Oklahoma,3,*,623
1,Southern Oregon - White City VA Rehabilitation Center & Clinics,White City,Oregon,1,1,653
13,Roseburg VA Medical Center,Roseburg,Oregon,1,2,692
39,VA Portland Health Care System,Portland,Oregon,2,*,648
85,Philadelphia VA Medical Center,Philadelphia,Pennsylvania,3,*,642
111,Lebanon VA Medical Center,Lebanon,Pennsylvania,4,*,595
112,James E. Van Zandt VA Medical Center,Altoona,Pennsylvania,4,*,503
113,Wilkes-Barre VA Medical Center,Wilkes-Barre,Pennsylvania,4,*,693
131,VA Pittsburgh Healthcare System,Pittsburgh,Pennsylvania,4,5,646
141,VA Butler Healthcare,Butler,Pennsylvania,5,5,529
142,Coatesville VA Medical Center,Coatesville,Pennsylvania,5,5,542
143,Erie VA Medical Center,Erie,Pennsylvania,5,5,562
86,VA Caribbean Healthcare System,San Juan,Puerto Rico,3,*,672
114,Providence VA Medical Center,Providence,Rhode Island,4,*,650
87,Wm. Jennings Bryan Dorn VA Medical Center,Columbia,South Carolina,3,*,544
115,Ralph H. Johnson VA Medical Center,Charleston,South Carolina,4,*,534
116,Sioux Falls VA Health Care System,Sioux Falls,South Dakota,4,*,438
144,VA Black Hills Health Care System,Fort Meade,South Dakota,5,5,
145,VA Black Hills Health Care System,Hot Springs,South Dakota,5,5,
2,Memphis VA Medical Center,Memphis,Tennessee,1,1,614
3,Tennessee Valley Healthcare System - Nashville VA Medical Center,Nashville,Tennessee,1,1,
4,Tennessee Valley Healthcare System - Alvin C. York Campus,Murfreesboro,Tennessee,1,1,
117,Mountain Home VA Medical Center,Mountain Home,Tennessee,4,*,621
5,Dallas VA Medical Center,Dallas,Texas,1,1,549
6,El Paso VA Medical Center,El Paso,Texas,1,1,756
14,"George H. O'Brien, Jr.Â VA Medical Center",Big Spring,Texas,1,2,519
15,VA Health Care Center at Harlingen,Harlingen,Texas,1,2,740
40,Central Texas Veterans Health Care System,Temple,Texas,2,*,674
88,South Texas Veterans Health Care System,San Antonio,Texas,3,*,671
89,Thomas E. Creek VA Medical Center,Amarillo,Texas,3,*,504
118,Michael E. DeBakey VA Medical Center,Houston,Texas,4,*,580
119,George E. Wahlen VA Medical Center,Salt Lake City,Utah,4,*,660
121,White River Junction VA Medical Center,White River Junction,Vermont,4,*,405
41,Hampton VA Medical Center,Hampton,Virginia,2,*,590
90,Salem VA Medical Center,Salem,Virginia,3,*,658
120,Hunter Holmes McGuire VA Medical Center,Richmond,Virginia,4,*,652
42,Mann-Grandstaff VA Medical Center,Spokane,Washington,2,*,668
43,VA Puget Sound Health Care System,Seattle,Washington,2,*,663
91,Jonathan M. Wainwright Memorial VA Medical Center,Walla Walla,Washington,3,*,687
93,Huntington VA Medical Center,Huntington,West Virginia,3,*,581
94,Martinsburg VA Medical Center,Martinsburg,West Virginia,3,*,613
95,Louis A. Johnson VA Medical Center,Clarksburg,West Virginia,3,*,540
96,Beckley VA Medical Center,Beckley,West Virginia,3,*,517
92,Tomah VA Medical Center,Tomah,Wisconsin,3,*,676
122,William S. Middleton Memorial Veterans Hospital,Madison,Wisconsin,4,*,607
123,Milwaukee VA Medical Center (Zablocki),Milwaukee,Wisconsin,4,*,695
97,Cheyenne VA Medical Center,Cheyenne,Wyoming,3,*,442
124,Sheridan VA Medical Center,Sheridan,Wyoming,4,*,666
