station_id,facility_id,name,visn_id,ref_date,main_facility,tot_appts,appts_under_7,appts_under_14,appts_under_30,appts_under_60,appts_under_90,appts_under_120,appts_over_120,pc_avg_wait,sc_avg_wait,mh_avg_wait
528A8,528GT,glens falls,02,2015-04-01,0,710,700,6,3,1,0,0,0,0.81,0.00,0.00
528A8,528GV,plattsburgh,02,2015-04-01,0,631,513,96,22,0,0,0,0,4.43,0.00,0.26
528A8,528GW,schenectady,02,2015-04-01,0,467,462,4,1,0,0,0,0,0.23,0,0.62
528A8,528GX,troy,02,2015-04-01,0,299,290,8,1,0,0,0,0,1.36,0,1.63
528A8,528GY,clifton park,02,2015-04-01,0,382,346,18,17,1,0,0,0,2.97,0.00,0.00
528A8,528GZ,kingston,02,2015-04-01,0,506,506,0,0,0,0,0,0,0.11,0.00,0.00
528A6,99999,"bath, ny",02,2015-04-01,0,16041,15037,379,400,172,46,6,1,2.77,3.85,4.42
528A6,528A6,bath,02,2015-04-01,1,14308,13529,278,305,150,40,5,1,2.10,3.55,5.44
528A6,528G4,elmira,02,2015-04-01,0,1118,946,76,84,10,1,1,0,4.58,5.88,1.35
528A6,528G8,wellsville,02,2015-04-01,0,615,562,25,11,12,5,0,0,2.29,12.52,0.02
528,99999,"western new york, ny",02,2015-04-01,0,37052,33728,1619,1164,414,96,27,4,3.06,2.89,2.64
528,528,"upstate new york hcs, buffalo ny",02,2015-04-01,1,29516,26859,1200,949,384,93,27,4,3.52,3.03,2.62
528,528A4,upstate new york hcs-batavia,02,2015-04-01,0,3470,3096,219,148,7,0,0,0,4.84,1.53,2.64
528,528GB,jamestown,02,2015-04-01,0,936,908,15,7,5,1,0,0,0.28,1.36,2.19
528,528GC,dunkirk,02,2015-04-01,0,613,562,35,15,1,0,0,0,1.23,0,5.21
528,528GD,niagara falls,02,2015-04-01,0,442,393,28,10,11,0,0,0,3.39,3.09,2.99
528,528GK,lockport,02,2015-04-01,0,443,422,14,4,2,1,0,0,1.55,0.83,7.03
528,528GQ,lackawanna,02,2015-04-01,0,786,681,78,25,1,1,0,0,3.05,0.96,1.68
528,528GR,olean,02,2015-04-01,0,846,807,30,6,3,0,0,0,1.73,1.08,1.13
528A5,99999,"canandaigua, ny",02,2015-04-01,0,13580,11810,835,754,169,10,2,0,4.06,3.83,1.56
528A5,528A5,canandaigua,02,2015-04-01,1,6356,5489,381,376,101,8,1,0,4.03,5.33,1.34
528A5,528GE,rochester,02,2015-04-01,0,7222,6319,454,378,68,2,1,0,4.07,2.79,1.79
528A5,528QM,canandaigua mobile medical unit,02,2015-04-01,0,2,2,0,0,0,0,0,0,0.00,0.00,0.00
528A7,99999,"syracuse, ny",02,2015-04-01,0,32678,29406,1525,1212,364,58,39,74,1.96,5.35,2.31
528A7,528A7,syracuse,02,2015-04-01,1,22156,19852,978,847,315,54,38,72,2.21,5.72,2.13
528A7,528G5,auburn,02,2015-04-01,0,575,565,4,5,1,0,0,0,0.67,0.13,0.15
528A7,528G9,cortland,02,2015-04-01,0,892,828,45,16,2,1,0,0,1.54,1.85,1.02
528A7,528GL,massena,02,2015-04-01,0,749,709,14,21,3,1,1,0,1.21,10.61,0.91
528A7,528GM,rome,02,2015-04-01,0,3997,3534,263,172,27,0,0,1,2.34,3.71,5.11
528A7,528GN,binghamton,02,2015-04-01,0,2235,2044,114,71,4,1,0,1,1.38,4.54,0.32
528A7,528GO,carthage,02,2015-04-01,0,1358,1203,76,66,12,1,0,0,2.66,2.96,3.44
528A7,528GP,oswego,02,2015-04-01,0,644,601,30,13,0,0,0,0,1.87,2.97,1.40
528A7,528MA,watertown des,02,2015-04-01,0,72,70,1,1,0,0,0,0,0,0.53,0
526,99999,"bronx, ny",03,2015-04-01,0,26472,23838,1401,1004,222,5,1,1,4.27,3.07,1.18
526,526,bronx,03,2015-04-01,1,25662,23144,1335,955,221,5,1,1,4.66,3.08,1.00
526,526GA,white plains,03,2015-04-01,0,444,344,58,41,1,0,0,0,4.92,1.75,5.70
526,526GB,yonkers,03,2015-04-01,0,289,273,8,8,0,0,0,0,0.66,0.00,2.19
526,526GD,queens,03,2015-04-01,0,77,77,0,0,0,0,0,0,0.15,0.57,0.00
561,99999,"new jersey hcs, nj",03,2015-04-01,0,43581,40295,1886,1117,254,19,6,4,1.02,2.52,2.42
561,561,new jersey hcs-east orange campus,03,2015-04-01,1,22803,21110,1003,580,95,8,5,2,1.05,2.30,2.61
561,561A4,"new jersey hcs, nj - lyons campus",03,2015-04-01,0,8043,7132,517,305,79,9,0,1,0.52,3.25,3.73
561,561BY,newark,03,2015-04-01,0,562,558,2,0,2,0,0,0,0,0,0
561,561BZ,brick,03,2015-04-01,0,6173,5780,186,149,55,2,1,0,1.23,2.76,0.77
561,561GA,hamilton,03,2015-04-01,0,647,577,65,4,1,0,0,0,2.94,0.50,2.04
561,561GB,elizabeth,03,2015-04-01,0,259,225,20,9,5,0,0,0,4.72,0.00,0.00
561,561GD,hackensack/bergen county,03,2015-04-01,0,2283,2261,12,7,3,0,0,0,0.10,0.24,0.58
561,561GE,jersey city,03,2015-04-01,0,405,399,4,2,0,0,0,0,0.05,6.00,1.20
561,561GF,piscataway,03,2015-04-01,0,591,512,39,38,2,0,0,0,3.12,0.00,4.28
561,561GH,morristown,03,2015-04-01,0,507,505,0,1,1,0,0,0,0.07,0.00,0.38
561,561GI,tinton falls,03,2015-04-01,0,950,883,33,22,11,0,0,1,1.17,1.65,3.67
561,561GJ,paterson,03,2015-04-01,0,358,353,5,0,0,0,0,0,0.27,0.00,0.00
620,99999,"va hudson valley hcs, ny",03,2015-04-01,0,26200,23859,1110,1070,149,9,2,1,3.18,3.21,1.31
620,620,va hudson valley hcs-montrose campus,03,2015-04-01,1,8186,7736,196,216,36,1,1,0,3.36,2.70,2.14
620,620A4,va hudson valley hcs-castle point div,03,2015-04-01,0,10768,9633,586,507,35,6,1,0,2.62,2.83,0.69
620,620BU,vadom montrose,03,2015-04-01,0,1608,1602,2,3,1,0,0,0,0,0,0
620,620GA,new city (rockland county),03,2015-04-01,0,1503,1294,115,91,3,0,0,0,4.78,2.65,0.72
620,620GB,carmel (putnam county),03,2015-04-01,0,800,743,40,15,1,0,0,1,1.37,3.97,0.97
620,620GD,goshen,03,2015-04-01,0,1150,907,95,100,46,2,0,0,5.51,11.84,1.13
620,620GE,port jervis,03,2015-04-01,0,980,832,41,93,14,0,0,0,3.45,4.89,1.96
620,620GF,harris (monticello),03,2015-04-01,0,473,448,6,9,10,0,0,0,0.78,5.55,3.46
620,620GG,poughkeepsie,03,2015-04-01,0,550,491,28,29,2,0,0,0,2.22,4.17,0.88
620,620GH,eastern dutchess,03,2015-04-01,0,177,168,1,7,1,0,0,0,2.84,1.37,0.00
620,620MA,ides west point,03,2015-04-01,0,5,5,0,0,0,0,0,0,0,0,0
630,99999,"new york harbor hcs, ny",03,2015-04-01,0,50305,47681,1372,978,269,2,0,3,0.64,1.69,1.18
630,630,new york harbor hcs-new york campus,03,2015-04-01,1,22420,20964,713,548,194,1,0,0,0.73,2.11,1.42
630,630A4,new york harbor hcs-brooklyn campus,03,2015-04-01,0,23176,22107,599,399,68,1,0,2,0.74,1.36,1.08
630,630A5,new york harbor hcs-st. albans campus,03,2015-04-01,0,3215,3133,48,28,5,0,0,1,0.33,1.04,0.29
630,630GA,harlem cboc,03,2015-04-01,0,135,134,1,0,0,0,0,0,0.00,0.00,0.78
630,630GB,staten island cboc,03,2015-04-01,0,1136,1121,11,2,2,0,0,0,0.15,0.55,0.95
630,630GC,chapel st cboc,03,2015-04-01,0,223,222,0,1,0,0,0,0,0.87,0,0.27
632,99999,"northport, ny",03,2015-04-01,0,32193,28815,1796,1243,318,16,5,0,4.00,3.21,1.23
632,632,northport,03,2015-04-01,1,28353,25510,1492,1069,266,12,4,0,3.73,3.20,0.94
632,632BU,northport vadom,03,2015-04-01,0,203,203,0,0,0,0,0,0,0,0,0
632,632GA,east meadow,03,2015-04-01,0,1192,1057,96,37,1,0,1,0,3.11,3.57,0.90
632,632HA,valley stream,03,2015-04-01,0,318,289,22,2,5,0,0,0,2.31,0.00,3.55
632,632HB,riverhead,03,2015-04-01,0,780,633,73,56,18,0,0,0,5.78,2.35,3.87
632,632HC,bay shore,03,2015-04-01,0,406,353,36,12,1,4,0,0,3.57,0,2.34
632,632HD,patchoque,03,2015-04-01,0,941,770,77,67,27,0,0,0,6.48,6.64,0.61
460,99999,"wilmington, de",04,2015-04-01,0,17799,14080,1350,1707,574,58,29,1,4.97,6.33,4.30
460,460,wilmington,04,2015-04-01,1,13078,10241,1067,1329,376,44,21,0,3.70,6.42,3.68
460,460GA,sussex county,04,2015-04-01,0,1168,917,72,110,58,9,1,1,8.52,2.39,9.80
460,460GC,kent county,04,2015-04-01,0,1397,1186,91,71,40,3,6,0,3.51,2.84,5.26
460,460GD,cape may uscg,04,2015-04-01,0,332,313,8,10,1,0,0,0,1.22,1.55,1.46
460,460HE,atlantic county,04,2015-04-01,0,854,734,47,60,13,0,0,0,3.82,6.18,3.11
460,460HG,cumberland county,04,2015-04-01,0,903,648,62,104,86,2,1,0,10.73,11.27,3.65
460,460HK,moc wilmington,04,2015-04-01,0,41,41,0,0,0,0,0,0,0.00,0,0
460,460MA,ides dover afb,04,2015-04-01,0,26,0,3,23,0,0,0,0,0,16.76,15.44
503,99999,"altoona, pa",04,2015-04-01,0,16506,15021,928,499,20,29,6,3,3.01,3.49,1.05
503,503,james e. van zandt va(altoona),04,2015-04-01,1,10758,10034,458,251,11,2,0,2,2.57,2.42,0.99
503,503GA,johnstown,04,2015-04-01,0,1912,1609,185,116,2,0,0,0,4.03,5.82,0.98
503,503GB,dubois (clearfield),04,2015-04-01,0,2040,1808,144,65,3,13,6,1,2.82,10.66,1.17
503,503GC,state college (centre county),04,2015-04-01,0,1266,1091,102,55,4,14,0,0,3.59,10.05,1.68
503,503GD,huntingdon,04,2015-04-01,0,253,229,15,9,0,0,0,0,3.02,0.00,0
503,503GE,indiana,04,2015-04-01,0,277,250,24,3,0,0,0,0,2.45,0,0.45
529,99999,"butler, pa",04,2015-04-01,0,8948,8765,86,68,23,2,1,3,0.56,1.00,0.41
529,529,butler,04,2015-04-01,1,6624,6479,59,58,23,2,0,3,0.73,1.02,0.47
529,529GA,mercer county,04,2015-04-01,0,924,914,10,0,0,0,0,0,0.15,0.76,0.02
529,529GB,lawrence county,04,2015-04-01,0,445,443,2,0,0,0,0,0,0.12,1.13,0.16
529,529GC,armstrong county (kittanning),04,2015-04-01,0,279,278,0,0,0,0,1,0,0.49,0.00,0.18
529,529GD,clarion county,04,2015-04-01,0,194,189,4,1,0,0,0,0,0.47,0.00,0.00
529,529GF,cranberry township,04,2015-04-01,0,482,462,11,9,0,0,0,0,0.75,0.00,0.00
540,99999,"clarksburg, wv",04,2015-04-01,0,18578,15599,1006,1070,600,249,47,7,4.82,6.85,4.44
540,540,clarksburg,04,2015-04-01,1,15083,12588,781,895,523,242,47,7,5.09,6.86,5.29
540,540GA,tucker county,04,2015-04-01,0,346,259,35,29,19,4,0,0,7.48,0,10.54
540,540GB,wood county veterans center,04,2015-04-01,0,1427,1247,79,64,35,2,0,0,4.33,7.50,2.11
540,540GC,braxton,04,2015-04-01,0,606,507,43,44,12,0,0,0,4.30,6.63,6.68
540,540GD,monongalia,04,2015-04-01,0,1033,964,37,22,9,1,0,0,1.58,4.00,3.18
540,540HK,rmu,04,2015-04-01,0,83,34,31,16,2,0,0,0,10.34,0,0
542,99999,"coatesville, pa",04,2015-04-01,0,15925,14878,555,375,90,25,2,0,1.73,3.82,2.69
542,542,coatesville,04,2015-04-01,1,14362,13421,494,339,81,25,2,0,1.69,3.83,2.58
542,542BU,vadom coatesville,04,2015-04-01,0,64,64,0,0,0,0,0,0,0.00,0.00,0.00
542,542GA,springfield,04,2015-04-01,0,993,920,41,25,7,0,0,0,1.90,0.00,3.31
542,542GE,spring city,04,2015-04-01,0,506,473,20,11,2,0,0,0,1.68,0.00,2.80
562,99999,"erie, pa",04,2015-04-01,0,15423,14369,463,346,200,44,1,0,2.87,3.14,0.43
562,562,erie,04,2015-04-01,1,11748,10886,375,271,175,41,0,0,3.68,3.15,0.40
562,562GA,crawford county primary care clinic,04,2015-04-01,0,976,888,25,49,13,1,0,0,3.86,3.98,0.47
562,562GB,ashtabula county primary care clinic,04,2015-04-01,0,743,715,12,7,7,1,1,0,1.85,0.00,0.65
562,562GC,mckean county primary care clinic,04,2015-04-01,0,237,228,5,2,1,1,0,0,1.75,0,0.00
562,562GD,venango,04,2015-04-01,0,1013,985,18,8,2,0,0,0,1.12,3.15,0.51
562,562GE,warren,04,2015-04-01,0,706,667,28,9,2,0,0,0,1.41,0.00,0.50
595,99999,"lebanon, pa",04,2015-04-01,0,28091,23421,1925,1995,593,135,17,5,3.40,5.06,5.13
595,595,lebanon,04,2015-04-01,1,19174,15864,1324,1419,443,103,16,5,3.96,5.19,4.45
595,595GA,camp hill outpatient clinic,04,2015-04-01,0,3434,2859,235,261,67,11,1,0,2.93,5.04,6.16
595,595GC,lancaster,04,2015-04-01,0,1318,1131,92,77,17,1,0,0,3.13,7.03,4.77
595,595GD,reading,04,2015-04-01,0,1002,837,82,60,19,4,0,0,3.54,5.61,4.49
595,595GE,york county,04,2015-04-01,0,2580,2234,139,149,42,16,0,0,2.79,3.19,6.58
595,595GF,pottsville/fracksville,04,2015-04-01,0,583,496,53,29,5,0,0,0,3.42,0,4.82
642,99999,"philadelphia, pa",04,2015-04-01,0,41501,35696,1587,2392,1353,236,49,188,3.13,7.13,3.84
642,642,philadelphia,04,2015-04-01,1,35124,30128,1287,2129,1157,190,46,187,3.62,6.87,3.77
642,642GA,outpatient clinic at marshall hall,04,2015-04-01,0,1913,1803,41,46,21,0,2,0,1.40,5.16,1.98
642,642GC,willow grove pa,04,2015-04-01,0,2283,1816,200,133,127,5,1,1,3.05,14.32,7.62
642,642GD,gloucester,04,2015-04-01,0,2181,1949,59,84,48,41,0,0,1.70,12.42,2.77
646,99999,"pittsburgh, pa",04,2015-04-01,0,39754,33695,2579,2618,695,142,13,12,5.80,4.53,1.20
646,646,pittsburgh hcs-univ dr,04,2015-04-01,1,25165,20980,1762,1883,472,58,6,4,8.35,4.90,1.04
646,646A4,heinz division hcs,04,2015-04-01,0,7783,6642,526,489,96,23,3,4,5.44,3.90,2.10
646,646GA,belmont,04,2015-04-01,0,1389,1078,100,81,81,49,0,0,12.94,2.24,1.61
646,646GB,westmoreland,04,2015-04-01,0,1661,1592,32,33,4,0,0,0,1.36,0.49,0.12
646,646GC,beaver cboc,04,2015-04-01,0,1194,1058,82,53,1,0,0,0,2.25,3.64,1.69
646,646GD,washington county,04,2015-04-01,0,1433,1340,41,23,13,11,4,1,2.92,2.58,0.91
646,646GE,fayette county,04,2015-04-01,0,1129,1005,36,56,28,1,0,3,3.79,6.57,0.28
693,99999,"wilkes-barre, pa",04,2015-04-01,0,26665,24463,1117,884,177,18,6,0,3.14,2.01,1.21
693,693,wilkes barre,04,2015-04-01,1,18965,17549,753,553,104,4,2,0,2.97,1.98,0.52
693,693B4,allentown,04,2015-04-01,0,4734,4244,194,220,61,14,1,0,4.27,2.35,2.77
693,693GA,sayre,04,2015-04-01,0,1181,1074,68,31,8,0,0,0,2.08,1.70,1.04
693,693GB,williamsport,04,2015-04-01,0,906,833,48,22,2,0,1,0,1.64,2.80,0.83
693,693GC,tobyhanna,04,2015-04-01,0,109,100,4,5,0,0,0,0,1.90,9.50,0.00
693,693GF,berwick (columbia co.),04,2015-04-01,0,390,373,12,5,0,0,0,0,0.70,0,0.56
693,693GG,northampton county,04,2015-04-01,0,380,290,38,48,2,0,2,0,6.19,0.19,0.00
512,99999,"baltimore hcs, md",05,2015-04-01,0,47015,40693,2117,2541,1247,306,100,11,8.97,5.36,2.23
512,512,baltimore,05,2015-04-01,1,28172,24663,1163,1428,703,168,41,6,9.83,5.32,0.96
512,512A5,perry point,05,2015-04-01,0,7278,6705,223,209,96,37,6,2,8.75,4.33,1.66
512,512GA,cambridge,05,2015-04-01,0,2842,2169,199,239,135,60,37,3,9.00,19.80,6.05
512,512GC,glen burnie,05,2015-04-01,0,1933,1480,129,190,120,14,0,0,8.46,7.67,4.57
512,512GD,loch raven,05,2015-04-01,0,3926,3509,131,174,75,22,15,0,8.65,2.54,1.33
512,512GE,pocomoke city,05,2015-04-01,0,589,463,54,56,14,1,1,0,4.99,2.65,9.31
512,512GF,fort howard,05,2015-04-01,0,837,584,125,101,26,1,0,0,6.56,12.90,3.39
512,512GG,fort meade,05,2015-04-01,0,1438,1120,93,144,78,3,0,0,9.78,2.62,9.58
613,99999,"martinsburg, wv",05,2015-04-01,0,37571,33552,1932,1610,374,77,14,12,2.68,4.50,3.07
613,613,martinsburg,05,2015-04-01,1,26888,23860,1428,1262,253,66,8,11,2.96,4.45,2.53
613,613BU,vadom martinsburg,05,2015-04-01,0,1865,1839,15,7,4,0,0,0,0,0.05,2.68
613,613GA,cumberland,05,2015-04-01,0,1670,1406,101,109,45,6,3,0,3.85,9.17,4.55
613,613GB,hagerstown,05,2015-04-01,0,1309,1179,74,27,24,3,2,0,1.29,8.73,9.32
613,613GC,stephens city,05,2015-04-01,0,1864,1686,98,70,10,0,0,0,2.75,1.58,2.71
613,613GD,franklin,05,2015-04-01,0,102,98,3,0,0,1,0,0,2.22,0.00,0.00
613,613GE,petersburg,05,2015-04-01,0,411,370,25,12,3,0,1,0,4.20,0.00,0.52
613,613GF,harrisonburg,05,2015-04-01,0,1401,1316,58,22,5,0,0,0,2.12,0.20,2.52
613,613GG,fort detrick,05,2015-04-01,0,2061,1798,130,101,30,1,0,1,1.96,5.03,3.50
688,99999,"washington, dc",05,2015-04-01,0,49660,43909,2313,2583,742,76,0,37,3.38,3.85,3.61
688,688,washington,05,2015-04-01,1,43196,38107,1967,2343,670,72,0,37,4.07,3.87,3.87
688,688GA,fort belvoir,05,2015-04-01,0,2745,2357,217,144,27,0,0,0,2.80,4.72,3.76
688,688GB,southeast washington,05,2015-04-01,0,278,270,4,2,2,0,0,0,0.65,3.20,0.36
688,688GC,landover/greenbelt (prince georges county),05,2015-04-01,0,485,464,14,7,0,0,0,0,0.73,3.04,0.04
688,688GD,charlotte hall,05,2015-04-01,0,1175,1019,83,51,19,3,0,0,3.01,5.62,3.93
688,688GE,southern prince georges county,05,2015-04-01,0,1781,1692,28,36,24,1,0,0,2.17,1.41,0.41
517,99999,"beckley, wv",06,2015-04-01,0,12221,10492,723,728,222,41,7,8,4.04,5.72,2.11
517,517,beckley,06,2015-04-01,1,11541,9920,655,704,214,39,7,2,3.66,5.67,2.05
517,517GB,greenbrier county,06,2015-04-01,0,547,499,28,9,3,2,0,6,6.76,1.89,2.93
517,517HK,beckley moc,06,2015-04-01,0,133,73,40,15,5,0,0,0,6.90,16.29,0
558,99999,"durham, nc",06,2015-04-01,0,48368,38959,3004,3665,2317,336,76,11,8.04,7.36,1.65
558,558,durham,06,2015-04-01,1,34024,27239,2175,2733,1610,226,30,11,6.42,7.75,0.86
558,558GA,greenville,06,2015-04-01,0,7188,5727,478,467,380,92,44,0,11.37,4.82,3.10
558,558GB,raleigh,06,2015-04-01,0,5235,4352,230,344,289,18,2,0,9.43,4.36,1.30
558,558GC,morehead city,06,2015-04-01,0,1921,1641,121,121,38,0,0,0,3.22,5.61,2.40
565,99999,"fayetteville, nc",06,2015-04-01,0,37206,28085,2374,2943,2537,1170,40,57,15.31,11.91,5.37
565,565,fayetteville nc,06,2015-04-01,1,26779,20528,1657,2068,1680,792,16,38,14.58,12.34,3.50
565,565GA,jacksonville,06,2015-04-01,0,2422,1789,102,122,261,127,16,5,18.04,12.50,12.75
565,565GC,new hanover county ( wilmington),06,2015-04-01,0,5582,4121,414,522,420,86,5,14,12.17,9.70,7.63
565,565GD,hamlet,06,2015-04-01,0,515,321,69,49,55,19,2,0,21.65,16.00,8.37
565,565GE,robeson county,06,2015-04-01,0,679,555,18,48,15,43,0,0,15.77,0.67,4.32
565,565GF,goldsboro,06,2015-04-01,0,1028,676,60,82,106,103,1,0,23.90,3.86,6.43
565,565MB,ides fort bragg,06,2015-04-01,0,104,17,35,52,0,0,0,0,0,13.2,0
