Location 102016 Pending,"1. Total Appts
Scheduled","2. Appts
Scheduled 30
Days or Under","3. Percent
Appts
Scheduled
30 Days or
Under","4. Appts
Scheduled Over
30 Days","5. Percent
Appts
Scheduled
Over 30
Days","6. New
Enroll Appt
Req","7. EWL
Count","8. Appts
Between 0å_14
Days","9. EWL 0å_
14 Days","10. Appts
Between 15å_30
Days","11. EWL 15
å_30 days","12. Appts
Between 31å_60
Days","13. EWL 31
å_60 Days","14. Appts
Between 61å_90
Days","15. EWL 61
å_90 Days","16. Appts
Between 91å_
120 Days","17. EWL 91
å_120 Days","18. Appts
Beyond 120
Days","19. EWL
Greater
than 120
Days","20. PC
Avg
Wait
Time","21. SC
Avg
Wait
Time","22. MH
Avg
Wait
Time"
"(V01) (405) White River Junction, VT","21,091","20,284",96.17%,807,3.83%,13,125,"18,437",21,"1,847",20,619,23,129,18,47,30,12,13,6.09,7.09,1.86
(V01) (405) White River Jct VAMC,"15,296","14,707",96.15%,589,3.85%,0,111,"13,345",13,"1,362",19,470,21,83,17,26,30,10,11,6.05,7.14,2.26
(V01) (405GA) Bennington,680,678,99.71%,2,0.29%,0,0,657,0,21,0,2,0,0,0,0,0,0,0,4.66,1.45,1.59
(V01) (405GC) Brattleboro,372,371,99.73%,1,0.27%,0,0,351,0,20,0,1,0,0,0,0,0,0,0,5.57,0.15,0.31
(V01) (405HA) Burlington Lakeside,"2,782","2,587",92.99%,195,7.01%,0,6,"2,276",3,311,1,130,1,45,1,19,0,1,0,7.88,9.21,0.55
"(V01) (405HC) VICC - St. Johnsbury -
Littleton",928,925,99.68%,3,0.32%,0,1,892,0,33,0,0,1,0,0,2,0,1,0,3.07,0.8,2.91
(V01) (405HE) KEENE (ORC),304,292,96.05%,12,3.95%,0,4,241,2,51,0,12,0,0,0,0,0,0,2,11.31,0,2.13
(V01) (405HF) Rutland,729,724,99.31%,5,0.69%,0,3,675,3,49,0,4,0,1,0,0,0,0,0,4.95,3.74,2.27
"(V01) (518) Bedford, MA","14,456","13,366",92.46%,"1,090",7.54%,27,82,"12,331",8,"1,035",5,631,9,269,11,102,9,88,40,0.6,11.21,3.07
(V01) (518) Edith Nourse Rogers VAMC,"13,213","12,146",91.92%,"1,067",8.08%,0,81,"11,139",8,"1,007",5,613,9,267,11,101,8,86,40,0.74,11.21,2.94
(V01) (518GA) Lynn,611,602,98.53%,9,1.47%,0,0,589,0,13,0,6,0,1,0,0,0,2,0,0.36,7.29,3.56
(V01) (518GB) Haverhill,490,477,97.35%,13,2.65%,0,1,464,0,13,0,11,0,1,0,1,1,0,0,0.33,12,3.81
(V01) (518GE) Gloucester,142,141,99.30%,1,0.70%,0,0,139,0,2,0,1,0,0,0,0,0,0,0,0.48,12.88,3.5
"(V01) (523) VA Boston HCS, MA","84,373","80,635",95.57%,"3,738",4.43%,6,95,"74,116",15,"6,519",21,"2,418",23,656,9,282,8,382,19,14.46,6.76,3.08
(V01) (523) Jamaica Plain VAMC,52,51,98.08%,1,1.92%,0,50,0,4,0,12,1,17,0,5,0,4,0,8,9.24,6.75,2.41
(V01) (523) Jamaica Plain VAMC,"36,911","35,390",95.88%,"1,521",4.12%,0,50,"32,403",4,"2,987",12,"1,053",17,211,5,96,4,160,8,9.24,6.75,2.41
(V01) (523A4) West Roxbury VAMC,"14,194","13,561",95.54%,633,4.46%,0,16,"12,224",0,"1,337",4,442,2,94,2,30,3,67,5,16.1,6.33,2.77
(V01) (523A5) Brockton VAMC,"22,999","21,814",94.85%,"1,185",5.15%,0,19,"20,111",6,"1,703",2,638,3,278,2,137,0,132,6,21.55,7.69,2.64
(V01) (523BY) Lowell,"3,957","3,744",94.62%,213,5.38%,0,4,"3,495",2,249,0,141,1,47,0,13,1,12,0,14.52,5.83,6.53
(V01) (523BZ) Causeway,"5,341","5,201",97.38%,140,2.62%,0,6,"5,057",3,144,3,111,0,16,0,5,0,8,0,12.18,2.99,2.95
(V01) (523GA) Framingham,427,400,93.68%,27,6.32%,0,0,363,0,37,0,22,0,5,0,0,0,0,0,7.06,0,5.51
(V01) (523GC) Quincy,182,172,94.51%,10,5.49%,0,0,136,0,36,0,7,0,3,0,0,0,0,0,9.32,,
(V01) (523GD) Plymouth,353,343,97.17%,10,2.83%,0,0,317,0,26,0,4,0,2,0,1,0,3,0,8.26,4.85,
(V01) (523MA) IDES Hanscom AFB,10,10,100.00%,0,0.00%,0,0,10,0,0,0,0,0,0,0,0,0,0,0,,0,0
"(V01) (608) Manchester, NH","25,424","24,384",95.91%,"1,040",4.09%,10,128,"22,824",18,"1,560",10,899,21,86,30,26,10,29,39,5.75,4.58,5.21
(V01) (608) Manchester VAMC,"22,863","21,961",96.05%,902,3.95%,0,128,"20,721",18,"1,240",10,775,21,78,30,20,10,29,39,4.92,4.44,5.43
(V01) (608GA) Portsmouth,563,549,97.51%,14,2.49%,0,0,476,0,73,0,14,0,0,0,0,0,0,0,5.42,13.74,5.86
(V01) (608GC) Somersworth,"1,198","1,086",90.65%,112,9.35%,0,0,904,0,182,0,101,0,7,0,4,0,0,0,12.3,15.78,5.28
(V01) (608GD) Conway,286,283,98.95%,3,1.05%,0,0,247,0,36,0,3,0,0,0,0,0,0,0,6.3,10.75,3.29
(V01) (608HA) Tilton,510,501,98.24%,9,1.76%,0,0,472,0,29,0,6,0,1,0,2,0,0,0,4.68,12.78,1.97
(V01) (608MA) IDES Manchester VAMC,4,4,100.00%,0,0.00%,0,0,4,0,0,0,0,0,0,0,0,0,0,0,,0,0
"(V01) (631) VA Central Western Massachusetts
HCS","28,207","26,256",93.08%,"1,951",6.92%,56,67,"23,862",8,"2,394",17,"1,312",16,421,13,149,12,69,1,7.88,8.92,5.17
(V01) (631) Edward P Boland VAMC,"12,550","11,363",90.54%,"1,187",9.46%,0,66,"9,953",7,"1,410",17,803,16,283,13,53,12,48,1,12.67,10.09,6.61
(V01) (631BY) Springfield,"4,499","4,296",95.49%,203,4.51%,0,0,"3,973",0,323,0,168,0,31,0,3,0,1,0,8.46,3.55,4.02
(V01) (631GC) Pittsfield,860,808,93.95%,52,6.05%,0,0,762,0,46,0,43,0,6,0,1,0,2,0,10.92,7.5,2.78
"(V01) (631GD) Greenfield (Franklin
County)",875,861,98.40%,14,1.60%,0,0,792,0,69,0,12,0,1,0,0,0,1,0,3.62,4,5.13
(V01) (631GE) Worcester,"6,469","6,124",94.67%,345,5.33%,0,1,"5,734",1,390,0,168,0,78,0,84,0,15,0,4.45,14.72,5.35
(V01) (631GF) Fitchburg,581,563,96.90%,18,3.10%,0,0,513,0,50,0,18,0,0,0,0,0,0,0,5.27,3.72,3.48
"(V01) (631MA) IDES Keller Army
Community Hospital",6,6,100.00%,0,0.00%,0,0,6,0,0,0,0,0,0,0,0,0,0,0,,0,0
(V01) (631PA) 631PA,2,2,100.00%,0,0.00%,0,0,2,0,0,0,0,0,0,0,0,0,0,0,,,
(V01) (631QA) Plantation Street,"2,365","2,233",94.42%,132,5.58%,0,0,"2,127",0,106,0,100,0,22,0,8,0,2,0,,5.31,
"(V01) (650) Providence, RI","55,615","53,872",96.87%,"1,743",3.13%,12,23,"50,799",13,"3,073",6,"1,156",2,333,1,132,1,122,0,7,5.15,4.35
(V01) (650) Providence VAMC,"45,778","44,370",96.92%,"1,408",3.08%,0,21,"41,809",13,"2,561",5,964,1,261,1,101,1,82,0,8.88,5.2,3.01
"(V01) (650GA) New Bedford Primary Care
Ctr.","4,579","4,368",95.39%,211,4.61%,0,2,"4,110",0,258,1,116,1,59,0,14,0,22,0,4.39,1.47,12.08
(V01) (650GB) Hyannis,"4,249","4,150",97.67%,99,2.33%,0,0,"3,909",0,241,0,57,0,10,0,16,0,16,0,7,8.85,1.83
(V01) (650GD) Middletown,"1,009",984,97.52%,25,2.48%,0,0,971,0,13,0,19,0,3,0,1,0,2,0,4.88,2.66,2.47
"(V01) (689) VA Connecticut HCS, CT","55,207","53,335",96.61%,"1,872",3.39%,3,8,"50,101",2,"3,234",3,"1,289",2,437,0,94,0,52,0,1.96,6.03,2.27
(V01) (689) West Haven VAMC,"29,271","28,249",96.51%,"1,022",3.49%,0,8,"26,114",2,"2,135",3,807,2,149,0,48,0,18,0,2.04,6.26,2.71
(V01) (689A4) Newington VAMC,"22,348","21,530",96.34%,818,3.66%,0,0,"20,532",0,998,0,457,0,283,0,45,0,33,0,2.3,5.75,1.22
(V01) (689GA) Waterbury,529,526,99.43%,3,0.57%,0,0,519,0,7,0,2,0,0,0,0,0,1,0,0.62,,2.17
(V01) (689GB) Stamford,438,436,99.54%,2,0.46%,0,0,428,0,8,0,1,0,1,0,0,0,0,0,0.2,,2.07
(V01) (689GC) Willimantic,419,417,99.52%,2,0.48%,0,0,413,0,4,0,1,0,0,0,1,0,0,0,0.94,0,1.11
(V01) (689GD) Winsted,403,398,98.76%,5,1.24%,0,0,388,0,10,0,5,0,0,0,0,0,0,0,0.78,4.29,4.16
(V01) (689GE) Danbury,377,373,98.94%,4,1.06%,0,0,358,0,15,0,4,0,0,0,0,0,0,0,1.46,,3.96
"(V01) (689HC) New London VA Primary
Care Center","1,422","1,406",98.87%,16,1.13%,0,0,"1,349",0,57,0,12,0,4,0,0,0,0,0,2.01,0,3.51
"(V02) (528) Albany, NY","41,366","38,275",92.53%,"3,091",7.47%,4,37,"36,001",8,"2,274",5,"1,582",4,903,4,359,0,247,16,5.72,9.63,7.45
(V02) (528A8) Samuel S Stratton VAMC,"32,857","30,040",91.43%,"2,817",8.57%,0,36,"28,031",7,"2,009",5,"1,400",4,841,4,345,0,231,16,8.22,9.68,8.39
(V02) (528G2) Westport,402,390,97.01%,12,2.99%,0,0,350,0,40,0,10,0,0,0,1,0,1,0,7.11,6.42,1.32
(V02) (528G3) Bainbridge,998,972,97.39%,26,2.61%,0,0,942,0,30,0,20,0,1,0,1,0,4,0,3.57,0,4.59
(V02) (528G6) Fonda,388,378,97.42%,10,2.58%,0,0,374,0,4,0,10,0,0,0,0,0,0,0,1.59,9.2,0.66
(V02) (528G7) Catskill,972,955,98.25%,17,1.75%,0,0,918,0,37,0,11,0,3,0,2,0,1,0,3.98,3.6,4.63
(V02) (528GT) Glens Falls,920,918,99.78%,2,0.22%,0,0,915,0,3,0,2,0,0,0,0,0,0,0,0.9,1.24,0.3
(V02) (528GV) Plattsburgh,"1,509","1,502",99.54%,7,0.46%,0,0,"1,459",0,43,0,3,0,1,0,3,0,0,0,2.95,1,0.67
(V02) (528GW) Schenectady,625,616,98.56%,9,1.44%,0,0,612,0,4,0,6,0,1,0,1,0,1,0,1.14,8.4,0
(V02) (528GX) Troy,848,839,98.94%,9,1.06%,0,0,829,0,10,0,4,0,2,0,2,0,1,0,2.84,63,0
(V02) (528GY) Clifton Park,937,761,81.22%,176,18.78%,0,0,695,0,66,0,112,0,52,0,4,0,8,0,15.15,0.44,1.26
(V02) (528GZ) Kingston,910,904,99.34%,6,0.66%,0,1,876,1,28,0,4,0,2,0,0,0,0,0,0.56,0,7.61
"(V02) (528) Bath, NY","15,486","14,854",95.92%,632,4.08%,1,42,"14,035",20,819,4,312,8,224,2,68,8,28,0,7.02,8.97,4.16
(V02) (528A6) Bath VA Medical Center,"13,413","12,910",96.25%,503,3.75%,0,42,"12,319",20,591,4,211,8,200,2,65,8,27,0,3.65,9.09,4.49
(V02) (528G4) Elmira,"1,555","1,431",92.03%,124,7.97%,0,0,"1,238",0,193,0,96,0,24,0,3,0,1,0,10.88,7.57,2.61
(V02) (528G8) Wellsville,518,513,99.03%,5,0.97%,0,0,478,0,35,0,5,0,0,0,0,0,0,0,4.08,6.63,0.88
"(V02) (528) Western New York, NY","55,589","50,761",91.31%,"4,828",8.69%,22,39,"47,670",9,"3,091",11,"2,754",5,"1,278",5,473,8,323,1,6.4,10.7,3.34
(V02) (528) Buffalo VA Medical Center,"43,028","38,718",89.98%,"4,310",10.02%,0,33,"36,308",7,"2,410",9,"2,417",4,"1,226",4,402,8,263,1,6.38,11.3,2.72
"(V02) (528A4) Upstate New York HCS-
Batavia","7,481","7,049",94.23%,432,5.77%,0,4,"6,575",2,474,1,265,1,42,0,66,0,59,0,11.44,4.09,4.17
(V02) (528GB) Jamestown,"1,148","1,097",95.56%,51,4.44%,0,0,"1,030",0,67,0,39,0,7,0,4,0,1,0,3.69,17.85,6.85
(V02) (528GC) Dunkirk,"1,084","1,079",99.54%,5,0.46%,0,0,"1,042",0,37,0,5,0,0,0,0,0,0,0,1.45,0,5.55
(V02) (528GD) Niagara Falls,795,779,97.99%,16,2.01%,0,0,732,0,47,0,16,0,0,0,0,0,0,0,2.15,16.74,7.24
(V02) (528GK) Lockport,449,447,99.55%,2,0.45%,0,0,432,0,15,0,2,0,0,0,0,0,0,0,2.95,13.83,5.14
(V02) (528GQ) Lackawanna,883,881,99.77%,2,0.23%,0,2,855,0,26,1,2,0,0,1,0,0,0,0,2.43,0,1.97
(V02) (528GR) Olean,723,711,98.34%,12,1.66%,0,0,696,0,15,0,8,0,3,0,1,0,0,0,1.83,5.66,2.62
"(V02) (528) Canandaigua, NY","19,211","17,489",91.04%,"1,722",8.96%,18,44,"15,918",16,"1,571",7,"1,245",9,357,4,60,2,60,6,10.24,9.45,3.47
"(V02) (528A5) Canandaigua VA Medical
Center","7,454","6,675",89.55%,779,10.45%,0,34,"6,081",16,594,4,610,4,110,4,24,0,35,6,13.35,9.75,2.08
(V02) (528GE) Rochester,"11,757","10,814",91.98%,943,8.02%,0,10,"9,837",0,977,3,635,5,247,0,36,2,25,0,8.75,9.23,4.33
"(V02) (528) Syracuse, NY","51,338","48,076",93.65%,"3,262",6.35%,20,158,"44,097",41,"3,979",26,"2,229",49,709,2,207,14,117,26,4.38,9.6,4.26
"(V02) (528A7) Syracuse VA Medical
Center","31,992","29,674",92.75%,"2,318",7.25%,0,153,"27,042",38,"2,632",25,"1,633",49,458,1,125,14,102,26,3.36,9.09,4.36
(V02) (528G5) Auburn,697,683,97.99%,14,2.01%,0,0,670,0,13,0,3,0,7,0,2,0,2,0,1.06,8.96,4.29
(V02) (528G9) Tompkins County,"1,797","1,778",98.94%,19,1.06%,0,1,"1,757",1,21,0,6,0,7,0,4,0,2,0,1.05,8.21,3.34
(V02) (528GL) Massena,"2,605","2,513",96.47%,92,3.53%,0,0,"2,343",0,170,0,61,0,19,0,10,0,2,0,4.79,23.09,3.24
(V02) (528GM) Donald J Mitchell VA OPC,"4,421","3,920",88.67%,501,11.33%,0,4,"3,460",2,460,1,275,0,173,1,49,0,4,0,9.7,17.97,2.99
(V02) (528GN) Binghamton,"3,481","3,407",97.87%,74,2.13%,0,0,"3,223",0,184,0,60,0,5,0,6,0,3,0,2.64,6.07,2.59
(V02) (528GO) Watertown,"4,212","4,019",95.42%,193,4.58%,0,0,"3,644",0,375,0,144,0,37,0,10,0,2,0,9.24,8.78,4.82
(V02) (528GP) Oswego,"2,115","2,064",97.59%,51,2.41%,0,0,"1,940",0,124,0,47,0,3,0,1,0,0,0,3.02,2.87,9.67
(V02) (528MA) Watertown DES,2,2,100.00%,0,0.00%,0,0,2,0,0,0,0,0,0,0,0,0,0,0,,0,
(V02) (528QN) Watertown 2,16,16,100.00%,0,0.00%,0,0,16,0,0,0,0,0,0,0,0,0,0,0,,0,0
"(V03) (526) Bronx, NY","31,772","31,241",98.33%,531,1.67%,3,25,"29,397",2,"1,844",3,432,6,58,2,8,1,33,11,5.04,3.95,3.5
(V03) (526) James J. Peters VAMC,"30,225","29,715",98.31%,510,1.69%,0,25,"27,989",2,"1,726",3,423,6,52,2,7,1,28,11,5.69,3.91,3.07
(V03) (526GA) White Plains,738,729,98.78%,9,1.22%,0,0,645,0,84,0,3,0,5,0,1,0,0,0,3.45,0,10.03
(V03) (526GB) Yonkers,629,617,98.09%,12,1.91%,0,0,601,0,16,0,6,0,1,0,0,0,5,0,1.68,25.36,2.67
"(V03) (526GD) Thomas P. Noonan Jr. VA
OPC",180,180,100.00%,0,0.00%,0,0,162,0,18,0,0,0,0,0,0,0,0,0,3.93,1.06,
"(V03) (561) New Jersey HCS, NJ","49,662","47,136",94.91%,"2,526",5.09%,0,548,"44,550",77,"2,586",64,"2,019",82,377,43,92,27,38,255,1.78,7.54,1.71
(V03) (561) East Orange VAMC,"22,850","21,302",93.23%,"1,548",6.77%,0,44,"19,644",16,"1,658",8,"1,245",20,239,0,38,0,26,0,2.42,7.96,2.76
"(V03) (561A4) New Jersey HCS, NJ -
Lyons Campus","8,106","7,594",93.68%,512,6.32%,0,502,"7,182",59,412,56,420,62,54,43,37,27,1,255,0.5,8.67,0.77
(V03) (561BY) Newark,2,2,100.00%,0,0.00%,0,0,2,0,0,0,0,0,0,0,0,0,0,0,,,
(V03) (561BZ) Brick,"10,496","10,074",95.98%,422,4.02%,0,2,"9,681",2,393,0,324,0,80,0,11,0,7,0,3.48,6.18,2.23
(V03) (561GA) Hamilton,611,607,99.35%,4,0.65%,0,0,599,0,8,0,4,0,0,0,0,0,0,0,0.38,1.17,2.46
(V03) (561GB) Elizabeth,455,453,99.56%,2,0.44%,0,0,439,0,14,0,0,0,0,0,2,0,0,0,0.56,0,2.45
(V03) (561GD) Hackensack,"2,459","2,450",99.63%,9,0.37%,0,0,"2,441",0,9,0,4,0,1,0,0,0,4,0,0.68,0.45,0.65
(V03) (561GE) Jersey City,752,750,99.73%,2,0.27%,0,0,743,0,7,0,2,0,0,0,0,0,0,0,0.42,1.55,0.35
(V03) (561GF) Piscataway,969,966,99.69%,3,0.31%,0,0,965,0,1,0,2,0,1,0,0,0,0,0,0.2,4.33,0.97
(V03) (561GH) Morristown,"1,058","1,053",99.53%,5,0.47%,0,0,"1,020",0,33,0,5,0,0,0,0,0,0,0,1.59,1.28,2.28
(V03) (561GI) Tinton Falls,"1,317","1,303",98.94%,14,1.06%,0,0,"1,266",0,37,0,12,0,1,0,1,0,0,0,2.73,1.12,1.71
(V03) (561GJ) Paterson,587,582,99.15%,5,0.85%,0,0,568,0,14,0,1,0,1,0,3,0,0,0,0.93,1,2
"(V03) (620) VA Hudson Valley HCS, NY","21,020","20,824",99.07%,196,0.93%,0,38,"19,791",4,"1,033",10,163,12,20,0,8,3,5,9,3.29,3.62,2.73
"(V03) (620) Franklin Delano Roosevelt
Hospital","5,365","5,315",99.07%,50,0.93%,0,37,"5,136",4,179,9,46,12,3,0,0,3,1,9,2.84,2.93,3.23
(V03) (620A4) Castle Point VAMC,"9,641","9,541",98.96%,100,1.04%,0,1,"9,002",0,539,1,72,0,16,0,8,0,4,0,4.38,3.39,1.19
(V03) (620BU) VADOM Montrose,208,208,100.00%,0,0.00%,0,0,206,0,2,0,0,0,0,0,0,0,0,0,,,
(V03) (620GA) New City,"1,594","1,589",99.69%,5,0.31%,0,0,"1,538",0,51,0,5,0,0,0,0,0,0,0,1.63,3.62,3.78
(V03) (620GB) Carmel,521,518,99.42%,3,0.58%,0,0,494,0,24,0,3,0,0,0,0,0,0,0,1.39,3.81,5.21
(V03) (620GD) Goshen,"1,524","1,510",99.08%,14,0.92%,0,0,"1,421",0,89,0,14,0,0,0,0,0,0,0,3.21,5.37,2.58
(V03) (620GE) Port Jervis,"1,021","1,014",99.31%,7,0.69%,0,0,934,0,80,0,7,0,0,0,0,0,0,0,2.83,4.63,5.6
(V03) (620GF) Monticello,426,416,97.65%,10,2.35%,0,0,403,0,13,0,9,0,1,0,0,0,0,0,1.29,4.39,6.54
(V03) (620GG) Poughkeepsie,461,455,98.70%,6,1.30%,0,0,427,0,28,0,6,0,0,0,0,0,0,0,3.6,5.13,3.55
(V03) (620GH) Eastern Dutchess,227,226,99.56%,1,0.44%,0,0,202,0,24,0,1,0,0,0,0,0,0,0,4.42,7.24,5
(V03) (620MA) IDES West Point,1,1,100.00%,0,0.00%,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,0,
"(V03) (620QA) Montrose 1 VA Mobile
Clinic",3,3,100.00%,0,0.00%,0,0,3,0,0,0,0,0,0,0,0,0,0,0,,,
"(V03) (620QB) Montrose 2 VA Mobile
Clinic",28,28,100.00%,0,0.00%,0,0,24,0,4,0,0,0,0,0,0,0,0,0,,3.93,
"(V03) (630) New York Harbor HCS, NY","46,766","45,542",97.38%,"1,224",2.62%,1,8,"43,890",1,"1,652",1,934,1,122,1,62,1,106,3,4.02,3.32,1.94
(V03) (630) Manhattan VAMC,"21,033","20,201",96.04%,832,3.96%,0,2,"19,256",0,945,0,653,0,61,1,37,0,81,1,3.87,4.07,2.48
"(V03) (630A4) New York Harbor HCS-
Brooklyn Campus","23,251","22,899",98.49%,352,1.51%,0,4,"22,253",0,646,0,253,1,56,0,22,1,21,2,4.72,2.62,1.25
(V03) (630A5) St. Albans VAMC,"1,559","1,541",98.85%,18,1.15%,0,2,"1,508",1,33,1,13,0,1,0,0,0,4,0,1.49,1.97,1.34
(V03) (630GA) Harlem CBOC,187,183,97.86%,4,2.14%,0,0,181,0,2,0,1,0,2,0,1,0,0,0,2.01,,0
(V03) (630GB) Staten Island CBOC,736,718,97.55%,18,2.45%,0,0,692,0,26,0,14,0,2,0,2,0,0,0,1.21,4.03,3.19
"(V03) (632) Northport, NY","39,218","37,759",96.28%,"1,459",3.72%,8,256,"35,415",19,"2,344",16,"1,138",47,190,21,52,15,79,138,6.02,7.26,3.65
(V03) (632) Northport VAMC,"33,035","31,746",96.10%,"1,289",3.90%,0,253,"29,827",19,"1,919",15,"1,005",47,173,19,49,15,62,138,6.36,7.16,3.91
(V03) (632BU) Northport VADOM,734,734,100.00%,0,0.00%,0,0,734,0,0,0,0,0,0,0,0,0,0,0,,,
(V03) (632GA) East Meadow,"1,511","1,500",99.27%,11,0.73%,0,0,"1,424",0,76,0,9,0,1,0,0,0,1,0,3.56,10.94,1.47
(V03) (632HA) Valley Stream,619,609,98.38%,10,1.62%,0,3,563,0,46,1,4,0,3,2,1,0,2,0,5.94,0,4.07
(V03) (632HB) Riverhead,935,880,94.12%,55,5.88%,0,0,791,0,89,0,48,0,7,0,0,0,0,0,8.02,8.5,5.02
(V03) (632HC) Bay Shore,927,899,96.98%,28,3.02%,0,0,861,0,38,0,8,0,5,0,1,0,14,0,5.92,,1.21
(V03) (632HD) Patchoque,"1,199","1,175",98.00%,24,2.00%,0,0,"1,049",0,126,0,24,0,0,0,0,0,0,0,5.82,6.43,6.12
"(V03) (632QA) Northport 1 VA Mobile
Clinic",177,172,97.18%,5,2.82%,0,0,141,0,31,0,5,0,0,0,0,0,0,0,,7.08,
"(V03) (632QB) Northport 2 VA Mobile
Clinic",81,44,54.32%,37,45.68%,0,0,25,0,19,0,35,0,1,0,1,0,0,0,,26.99,
"(V04) (460) Wilmington, DE","32,710","30,414",92.98%,"2,296",7.02%,10,206,"27,951",12,"2,463",8,"1,512",38,469,16,200,19,115,113,4.06,9.63,10.91
(V04) (460) Wilmington VAMC,"21,899","20,285",92.63%,"1,614",7.37%,0,199,"18,528",12,"1,757",7,"1,016",37,363,16,149,19,86,108,4.13,9.57,10.75
(V04) (460GA) Sussex County,"3,228","3,117",96.56%,111,3.44%,0,3,"2,970",0,147,0,100,0,3,0,5,0,3,3,2.37,6.68,8.98
(V04) (460GC) Kent County,"3,151","2,769",87.88%,382,12.12%,0,4,"2,577",0,192,1,232,1,83,0,44,0,23,2,7.37,5.46,15.49
(V04) (460GD) Cape May USCG,835,799,95.69%,36,4.31%,0,0,726,0,73,0,33,0,3,0,0,0,0,0,3.99,11.8,5.44
(V04) (460HE) Atlantic County,"1,277","1,209",94.68%,68,5.32%,0,0,"1,089",0,120,0,57,0,10,0,1,0,0,0,2.94,14.68,7.43
(V04) (460HG) Cumberland County,"2,271","2,186",96.26%,85,3.74%,0,0,"2,012",0,174,0,74,0,7,0,1,0,3,0,4.38,15.91,3.3
"(V04) (460HK) Wilmington VA Mobile
Clinic",49,49,100.00%,0,0.00%,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0.65,,
"(V04) (503) Altoona, PA","23,642","23,516",99.47%,126,0.53%,7,2,"22,114",2,"1,402",0,77,0,10,0,9,0,30,0,4.45,4.27,1.29
(V04) (503) James E. Van Zandt VAMC,"14,742","14,691",99.65%,51,0.35%,0,2,"13,876",2,815,0,37,0,2,0,6,0,6,0,3.86,3.57,1.51
(V04) (503GA) Johnstown,"1,949","1,940",99.54%,9,0.46%,0,0,"1,761",0,179,0,8,0,0,0,0,0,1,0,4.7,12.88,0.91
(V04) (503GB) DuBois (Clearfield),"3,633","3,600",99.09%,33,0.91%,0,0,"3,374",0,226,0,23,0,7,0,1,0,2,0,4.42,9.68,0.92
"(V04) (503GC) State College (Centre
County)","1,531","1,522",99.41%,9,0.59%,0,0,"1,377",0,145,0,9,0,0,0,0,0,0,0,4.75,10.51,1.13
(V04) (503GD) Huntingdon County,773,761,98.45%,12,1.55%,0,0,755,0,6,0,0,0,1,0,1,0,10,0,6.24,6.5,1.08
(V04) (503GE) Indiana County,"1,014","1,002",98.82%,12,1.18%,0,0,971,0,31,0,0,0,0,0,1,0,11,0,5.91,0,0.2
"(V04) (529) Butler, PA","25,791","25,682",99.58%,109,0.42%,11,0,"25,308",0,374,0,26,0,5,0,11,0,67,0,1.48,2,1.23
