Location,Appts_Total_2016,PC_Wait_2016,Appts<31_16,%Appts<31_16
"(V02) (528) Bath, NY","15,486",7.02,"14,854",0.96
(V02) (528A6) Bath VA Medical Center,"13,413",3.65,"12,910",0.96
(V02) (528G4) Elmira,"1,555",10.88,"1,431",0.92
(V02) (528G8) Wellsville,518,4.08,513,0.99
"(V02) (528) Western New York, NY","55,589",6.4,"50,761",0.91
(V02) (528) Buffalo VA Medical Center,"43,028",6.38,"38,718",0.90
"(V02) (528A4) Upstate New York HCS-
Batavia","7,481",11.44,"7,049",0.94
(V02) (528GB) Jamestown,"1,148",3.69,"1,097",0.96
(V02) (528GC) Dunkirk,"1,084",1.45,"1,079",1.00
(V02) (528GD) Niagara Falls,795,2.15,779,0.98
(V02) (528GK) Lockport,449,2.95,447,1.00
(V02) (528GQ) Lackawanna,883,2.43,881,1.00
(V02) (528GR) Olean,723,1.83,711,0.98
"(V02) (528) Canandaigua, NY","19,211",10.24,"17,489",0.91
"(V02) (528A5) Canandaigua VA Medical
Center","7,454",13.35,"6,675",0.90
(V02) (528GE) Rochester,"11,757",8.75,"10,814",0.92
"(V02) (528) Syracuse, NY","51,338",4.38,"48,076",0.94
"(V02) (528A7) Syracuse VA Medical
Center","31,992",3.36,"29,674",0.93
(V02) (528G5) Auburn,697,1.06,683,0.98
(V02) (528G9) Tompkins County,"1,797",1.05,"1,778",0.99
(V02) (528GL) Massena,"2,605",4.79,"2,513",0.96
(V02) (528GM) Donald J Mitchell VA OPC,"4,421",9.7,"3,920",0.89
(V02) (528GN) Binghamton,"3,481",2.64,"3,407",0.98
(V02) (528GO) Watertown,"4,212",9.24,"4,019",0.95
(V02) (528GP) Oswego,"2,115",3.02,"2,064",0.98
(V02) (528MA) Watertown DES,2,,2,1.00
(V02) (528QN) Watertown 2,16,,16,1.00
"(V03) (526) Bronx, NY","31,772",5.04,"31,241",0.98
(V03) (526) James J. Peters VAMC,"30,225",5.69,"29,715",0.98
(V03) (526GA) White Plains,738,3.45,729,0.99
(V03) (526GB) Yonkers,629,1.68,617,0.98
"(V03) (526GD) Thomas P. Noonan Jr. VA
OPC",180,3.93,180,1.00
"(V03) (561) New Jersey HCS, NJ","49,662",1.78,"47,136",0.95
(V03) (561) East Orange VAMC,"22,850",2.42,"21,302",0.93
"(V03) (561A4) New Jersey HCS, NJ -
Lyons Campus","8,106",0.5,"7,594",0.94
(V03) (561BY) Newark,2,,2,1.00
(V03) (561BZ) Brick,"10,496",3.48,"10,074",0.96
(V03) (561GA) Hamilton,611,0.38,607,0.99
(V03) (561GB) Elizabeth,455,0.56,453,1.00
(V03) (561GD) Hackensack,"2,459",0.68,"2,450",1.00
(V03) (561GE) Jersey City,752,0.42,750,1.00
(V03) (561GF) Piscataway,969,0.2,966,1.00
(V03) (561GH) Morristown,"1,058",1.59,"1,053",1.00
(V03) (561GI) Tinton Falls,"1,317",2.73,"1,303",0.99
(V03) (561GJ) Paterson,587,0.93,582,0.99
"(V03) (620) VA Hudson Valley HCS, NY","21,020",3.29,"20,824",0.99
"(V03) (620) Franklin Delano Roosevelt
Hospital","5,365",2.84,"5,315",0.99
(V03) (620A4) Castle Point VAMC,"9,641",4.38,"9,541",0.99
(V03) (620BU) VADOM Montrose,208,,208,1.00
(V03) (620GA) New City,"1,594",1.63,"1,589",1.00
(V03) (620GB) Carmel,521,1.39,518,0.99
(V03) (620GD) Goshen,"1,524",3.21,"1,510",0.99
(V03) (620GE) Port Jervis,"1,021",2.83,"1,014",0.99
(V03) (620GF) Monticello,426,1.29,416,0.98
(V03) (620GG) Poughkeepsie,461,3.6,455,0.99
(V03) (620GH) Eastern Dutchess,227,4.42,226,1.00
(V03) (620MA) IDES West Point,1,,1,1.00
"(V03) (620QA) Montrose 1 VA Mobile
Clinic",3,,3,1.00
"(V03) (620QB) Montrose 2 VA Mobile
Clinic",28,,28,1.00
"(V03) (630) New York Harbor HCS, NY","46,766",4.02,"45,542",0.97
(V03) (630) Manhattan VAMC,"21,033",3.87,"20,201",0.96
"(V03) (630A4) New York Harbor HCS-
Brooklyn Campus","23,251",4.72,"22,899",0.98
(V03) (630A5) St. Albans VAMC,"1,559",1.49,"1,541",0.99
(V03) (630GA) Harlem CBOC,187,2.01,183,0.98
(V03) (630GB) Staten Island CBOC,736,1.21,718,0.98
"(V03) (632) Northport, NY","39,218",6.02,"37,759",0.96
(V03) (632) Northport VAMC,"33,035",6.36,"31,746",0.96
(V03) (632BU) Northport VADOM,734,,734,1.00
(V03) (632GA) East Meadow,"1,511",3.56,"1,500",0.99
(V03) (632HA) Valley Stream,619,5.94,609,0.98
(V03) (632HB) Riverhead,935,8.02,880,0.94
(V03) (632HC) Bay Shore,927,5.92,899,0.97
(V03) (632HD) Patchoque,"1,199",5.82,"1,175",0.98
"(V03) (632QA) Northport 1 VA Mobile
Clinic",177,,172,0.97
"(V03) (632QB) Northport 2 VA Mobile
Clinic",81,,44,0.54
"(V04) (460) Wilmington, DE","32,710",4.06,"30,414",0.93
(V04) (460) Wilmington VAMC,"21,899",4.13,"20,285",0.93
(V04) (460GA) Sussex County,"3,228",2.37,"3,117",0.97
(V04) (460GC) Kent County,"3,151",7.37,"2,769",0.88
(V04) (460GD) Cape May USCG,835,3.99,799,0.96
(V04) (460HE) Atlantic County,"1,277",2.94,"1,209",0.95
(V04) (460HG) Cumberland County,"2,271",4.38,"2,186",0.96
"(V04) (460HK) Wilmington VA Mobile
Clinic",49,0.65,49,1.00
"(V04) (503) Altoona, PA","23,642",4.45,"23,516",0.99
(V04) (503) James E. Van Zandt VAMC,"14,742",3.86,"14,691",1.00
(V04) (503GA) Johnstown,"1,949",4.7,"1,940",1.00
(V04) (503GB) DuBois (Clearfield),"3,633",4.42,"3,600",0.99
"(V04) (503GC) State College (Centre
County)","1,531",4.75,"1,522",0.99
(V04) (503GD) Huntingdon County,773,6.24,761,0.98
(V04) (503GE) Indiana County,"1,014",5.91,"1,002",0.99
"(V04) (529) Butler, PA","25,791",1.48,"25,682",1.00
(V04) (529) Butler VAMC,"15,405",1.09,"15,351",1.00
"(V04) (529GA) Michael A. Marzano VA
OPC","3,087",0.41,"3,083",1.00
(V04) (529GB) Lawrence County,"1,992",0.94,"1,990",1.00
(V04) (529GC) Armstrong County,"1,717",4.4,"1,699",0.99
(V04) (529GD) Clarion County,"1,259",2.42,"1,242",0.99
(V04) (529GF) Cranberry Township,"2,331",2.06,"2,317",0.99
"(V04) (540) Clarksburg, WV","25,791",5.59,"23,825",0.92
(V04) (540) Louis A Johnson VAMC,"21,149",5.33,"19,331",0.91
(V04) (540GA) Tucker County,291,8.99,281,0.97
"(V04) (540GB) Wood County Veterans
Center","2,204",4.74,"2,130",0.97
(V04) (540GC) Braxton County,625,7.83,600,0.96
(V04) (540GD) Monongalia County,"1,445",2.75,"1,422",0.98
"(V04) (540HK) Clarksburg VA Mobile
Clinic",77,20.3,61,0.79
"(V04) (542) Coatesville, PA","14,753",1.65,"14,324",0.97
(V04) (542) Coatesville VAMC,"11,913",1.78,"11,512",0.97
(V04) (542BU) VADOM Coatesville,96,,96,1.00
(V04) (542GA) Springfield,"1,477",1.71,"1,458",0.99
(V04) (542GE) Spring City,"1,267",1,"1,258",0.99
"(V04) (562) Erie, PA","23,486",7.01,"22,245",0.95
(V04) (562) Erie VAMC,"16,657",8.02,"15,666",0.94
(V04) (562GA) Crawford County,"1,617",15.27,"1,442",0.89
(V04) (562GB) Ashtabula County,"1,874",4.26,"1,817",0.97
(V04) (562GC) McKean County,817,1,816,1.00
(V04) (562GD) Venango County,"1,095",3.18,"1,085",0.99
(V04) (562GE) Warren,"1,426",4.13,"1,419",1.00
"(V04) (595) Lebanon, PA","69,663",3.03,"67,773",0.97
(V04) (595) Lebanon VAMC,"44,081",2.7,"42,572",0.97
(V04) (595GA) Camp Hill,"8,624",3.73,"8,437",0.98
(V04) (595GC) Lancaster,"4,994",1.97,"4,962",0.99
(V04) (595GD) Berks County,"4,079",2.92,"4,034",0.99
(V04) (595GE) York,"5,735",2.31,"5,641",0.98
(V04) (595GF) Pottsville,"2,150",6.19,"2,127",0.99
"(V04) (642) Philadelphia, PA","69,426",5.28,"65,672",0.95
"(V04) (642) Corporal M. J. Crescenz
VAMC","54,565",5.8,"51,484",0.94
"(V04) (642GA) Burlington County VA
Clinic","2,116",7.84,"2,022",0.96
(V04) (642GC) Victor J. Saracini VA OPC,"8,621",4.84,"8,202",0.95
(V04) (642GD) Gloucester County,"4,124",1.95,"3,964",0.96
"(V04) (646) Pittsburgh, PA","79,920",4.92,"76,170",0.95
"(V04) (646) Pittsburgh VAMC University
Dr","42,978",8.68,"40,296",0.94
(V04) (646A4) H. John Heinz III VAMC,"13,085",5.5,"12,439",0.95
(V04) (646GA) Belmont County,"4,438",4.82,"4,306",0.97
(V04) (646GB) Westmoreland County,"7,394",1.38,"7,367",1.00
(V04) (646GC) Beaver County,"4,139",2.72,"4,098",0.99
(V04) (646GD) Washington County,"4,564",6.16,"4,356",0.95
(V04) (646GE) Fayette County,"3,322",1.6,"3,308",1.00
"(V04) (693) Wilkes-Barre, PA","49,051",2.02,"47,310",0.96
(V04) (693) Wilkes-Barre VAMC,"31,792",1.76,"30,833",0.97
(V04) (693B4) Allentown,"11,060",2.23,"10,495",0.95
(V04) (693GA) Sayre,"1,809",1.51,"1,743",0.96
(V04) (693GB) Williamsport,"3,040",2.47,"2,901",0.95
(V04) (693GC) Tobyhanna,299,1.61,297,0.99
(V04) (693GF) Columbia County,226,0.05,221,0.98
(V04) (693GG) Northampton County,825,2.4,820,0.99
"(V05) (512) Baltimore HCS, MD","53,145",4.81,"49,070",0.92
(V05) (512) Baltimore VA Medical Center,"34,562",5.3,"31,242",0.90
(V05) (512A5) Perry Point,"6,793",2.54,"6,704",0.99
(V05) (512GA) Cambridge,"2,584",3.07,"2,465",0.95
(V05) (512GC) Glen Burnie,"2,494",7.78,"2,186",0.88
(V05) (512GD) Loch Raven,"4,327",4.21,"4,137",0.96
(V05) (512GE) Pocomoke City,598,2.48,579,0.97
(V05) (512GF) Fort Howard,512,2.39,504,0.98
(V05) (512GG) Fort Meade,"1,275",7.74,"1,253",0.98
"(V05) (613) Martinsburg, WV","39,979",3.39,"37,409",0.94
"(V05) (613) Martinsburg VA Medical
Center","28,109",2.45,"26,002",0.93
(V05) (613BU) VADOM Martinsburg,398,,390,0.98
(V05) (613GA) Cumberland,"1,732",6.42,"1,698",0.98
(V05) (613GB) Hagerstown,"1,963",2.42,"1,950",0.99
(V05) (613GC) Stephens City,"2,860",5.07,"2,748",0.96
(V05) (613GD) Franklin,136,6.76,136,1.00
(V05) (613GE) Petersburg,515,2.55,511,0.99
(V05) (613GF) Harrisonburg,"1,725",6.23,"1,651",0.96
(V05) (613GG) Fort Detrick,"2,541",2.47,"2,323",0.91
"(V05) (688) Washington, DC","50,602",4.81,"48,317",0.95
"(V05) (688) Washington VA Medical
Center","42,906",5.01,"40,961",0.95
"(V05) (688DV) Charlotte Hall State
Veterans Home",4,,4,1.00
(V05) (688GA) Fort Belvoir,"2,870",5.1,"2,715",0.95
(V05) (688GB) Southeast Washington,456,0.77,454,1.00
(V05) (688GD) Charlotte Hall,"1,940",6.93,"1,809",0.93
"(V05) (688GE) Southern Prince Georges
County","2,426",2.48,"2,374",0.98
"(V06) (517) Beckley, WV","14,034",5.07,"13,009",0.93
(V06) (517) Beckley VAMC,"12,997",4.95,"11,979",0.92
(V06) (517GB) Greenbrier County,617,6.02,613,0.99
(V06) (517QA) Princeton,420,5.46,417,0.99
"(V06) (558) Durham, NC","75,922",6.41,"67,219",0.89
(V06) (558) Durham VAMC,"50,088",5.57,"44,510",0.89
(V06) (558GA) Greenville,"16,480",8.51,"13,812",0.84
(V06) (558GB) Raleigh,"6,136",6.93,"5,861",0.96
(V06) (558GC) Morehead City,"3,218",4.82,"3,036",0.94
"(V06) (565) Fayetteville, NC","73,949",5.5,"63,304",0.86
(V06) (565) Fayetteville VAMC,"13,829",0,"11,390",0.82
(V06) (565GA) Jacksonville VA Clinic,"3,221",7.57,"3,050",0.95
(V06) (565GC) Wilmington,"16,222",8.45,"12,996",0.80
(V06) (565GD) Hamlet,"1,738",12.76,"1,532",0.88
(V06) (565GE) Robeson County,"2,143",1.48,"2,094",0.98
(V06) (565GF) Goldsboro,"1,017",15.09,958,0.94
(V06) (565GG) Lee County,"1,636",2.88,"1,613",0.99
(V06) (565GL) Cumberland County,"34,003",4.2,"29,537",0.87
(V06) (565MB) IDES Fort Bragg,42,,41,0.98
(V06) (565MD) IDES Camp Lejeune,98,,93,0.95
"(V06) (590) Hampton, VA","62,269",7.86,"56,174",0.90
(V06) (590) Hampton VAMC,"48,083",7.62,"43,147",0.90
(V06) (590GB) Virginia Beach,"6,873",8.51,"6,290",0.92
(V06) (590GC) Albemarle,"2,077",4.58,"1,996",0.96
(V06) (590GD) Chesapeake,"5,134",9.39,"4,647",0.91
(V06) (590MA) IDES Portsmouth,60,,52,0.87
(V06) (590MB) IDES Langley,17,,17,1.00
(V06) (590MC) IDES Fort Eustis,25,,25,1.00
"(V06) (637) Asheville, NC","48,628",6.54,"42,816",0.88
(V06) (637) Charles George VAMC,"41,490",5.38,"36,023",0.87
(V06) (637GA) Franklin,"1,809",5.26,"1,777",0.98
(V06) (637GB) Rutherford County,"1,752",6.54,"1,698",0.97
(V06) (637GC) Hickory,"3,577",11.56,"3,318",0.93
"(V06) (652) Richmond, VA","77,942",5.21,"70,240",0.90
"(V06) (652) Hunter Holmes McGuire
Hospital","71,000",6.03,"63,376",0.89
(V06) (652GA) Fredericksburg,"2,139",2.78,"2,115",0.99
(V06) (652GB) Fredericksburg 2 VA Clinic,"1,635",4.97,"1,628",1.00
(V06) (652GE) Charlottesville,"2,295",2.2,"2,267",0.99
(V06) (652GF) Emporia,873,2.26,854,0.98
"(V06) (658) Salem, VA","58,989",5.64,"52,689",0.89
(V06) (658) Salem VAMC,"48,578",6.5,"42,514",0.88
(V06) (658GA) Tazewell,442,3.41,439,0.99
(V06) (658GB) Danville,"2,636",2.51,"2,610",0.99
(V06) (658GC) Lynchburg,"2,708",13.09,"2,532",0.94
(V06) (658GD) Staunton,"2,166",3.81,"2,156",1.00
(V06) (658GE) Wytheville,"2,459",1.33,"2,438",0.99
"(V06) (659) Salisbury, NC","90,192",4.25,"80,622",0.89
"(V06) (659) W.G. (Bill) Hefner Salisbury
VAMC","46,762",3.75,"40,539",0.87
(V06) (659BY) Kernersville,"23,465",3.67,"21,973",0.94
(V06) (659BZ) South Charlotte,"18,020",6.38,"16,267",0.90
(V06) (659GA) North Charlotte,"1,945",4.66,"1,843",0.95
"(V07) (508) Atlanta, GA","121,853",7.07,"112,734",0.93
(V07) (508) Atlanta VA Medical Center,"73,401",8,"67,269",0.92
(V07) (508GA) Fort McPherson,"7,599",6.38,"7,317",0.96
(V07) (508GE) Oakwood,"3,962",7.3,"3,820",0.96
(V07) (508GF) Austell,"2,717",2.96,"2,701",0.99
(V07) (508GG) Stockbridge,"2,797",1.72,"2,728",0.98
(V07) (508GH) Lawrenceville,"2,522",2.99,"2,507",0.99
(V07) (508GI) Newnan,"2,815",4.76,"2,767",0.98
(V07) (508GJ) Blairsville,"1,690",5.35,"1,637",0.97
"(V07) (508GK) Trinka Davis Veterans
Village","4,195",10.27,"3,906",0.93
(V07) (508QF) Atlanta VA Clinic,"20,155",10.49,"18,082",0.90
"(V07) (509) Augusta, GA","47,675",9.58,"44,265",0.93
"(V07) (509) Charlie Norwood VA Medical
Center","23,112",,"21,107",0.91
(V07) (509A0) Lenwood (Uptown),"20,699",10.45,"19,399",0.94
(V07) (509GA) Athens,"2,383",9.89,"2,290",0.96
(V07) (509GB) Aiken,"1,481",3.68,"1,469",0.99
"(V07) (521) Birmingham, AL","71,558",6.83,"66,458",0.93
"(V07) (521) Birmingham VA Medical
Center","45,001",11.89,"41,027",0.91
(V07) (521GA) Huntsville AL,"9,344",13.2,"8,554",0.92
(V07) (521GB) Decatur AL/Madison,0,,0,0.00
(V07) (521GC) Florence AL (Shoals Area),"1,782",5.99,"1,768",0.99
(V07) (521GD) Rainbow City,"1,709",1.03,"1,701",1.00
(V07) (521GE) Anniston/Oxford AL,"1,653",2.96,"1,646",1.00
(V07) (521GF) Jasper AL,"1,402",0.92,"1,382",0.99
(V07) (521GG) Bessemer,"1,852",4.23,"1,817",0.98
(V07) (521GH) Childersburg,"1,820",2.77,"1,817",1.00
(V07) (521GI) Guntersville,"1,886",1.07,"1,885",1.00
(V07) (521GJ) Birmingham VA Clinic,"5,109",1.16,"4,861",0.95
"(V07) (534) Charleston, SC","64,443",3.77,"60,847",0.94
"(V07) (534) Ralph H Johnsons VA
Medical Center","34,312",4.64,"31,837",0.93
(V07) (534BY) Savannah,"8,079",4.16,"7,942",0.98
(V07) (534GB) Myrtle Beach,"7,919",5.18,"7,325",0.93
(V07) (534GC) Beaufort,"1,946",4.65,"1,916",0.98
(V07) (534GD) Goose Creek,"7,837",2.67,"7,557",0.96
(V07) (534GE) Hinesville,"4,320",2.43,"4,240",0.98
(V07) (534QC) Charleston,30,,30,1.00
"(V07) (544) Columbia, SC","86,056",8.89,"76,584",0.89
"(V07) (544) Wm. Jennings Bryan Dorn VA
Medical Center","57,013",9.49,"49,828",0.87
(V07) (544BZ) Greenville SC,"8,620",10.12,"7,578",0.88
(V07) (544GB) Florence,"3,336",7.28,"3,119",0.94
(V07) (544GC) Rock Hill,"6,716",2.69,"6,651",0.99
(V07) (544GD) Anderson,"2,533",36.11,"1,875",0.74
(V07) (544GE) Orangeburg,"1,361",9.99,"1,280",0.94
(V07) (544GF) Sumter,"2,643",10.09,"2,481",0.94
(V07) (544GG) Spartanburg,"3,349",3.92,"3,293",0.98
(V07) (544HK) Columbia VA Mobile Clinic,485,,479,0.99
"(V07) (557) Dublin, GA","28,284",12.53,"22,968",0.81
"(V07) (557) Carl Vinson VA Medical
Center","19,378",10.72,"15,117",0.78
(V07) (557GA) Macon,"2,355",10.27,"2,056",0.87
(V07) (557GB) Albany,"2,066",26.01,"1,726",0.84
(V07) (557GC) Milledgeville,540,3.77,535,0.99
(V07) (557GE) Brunswick,"1,432",2.56,"1,399",0.98
(V07) (557GF) Tift County,617,11.59,558,0.90
(V07) (557HA) Perry,"1,896",21.44,"1,577",0.83
"(V07) (619) Central Alabama Veterans HCS, AL","50,845",7.57,"43,888",0.86
"(V07) (619) Central Alabama VAMC -
Montgomery","9,171",,"7,640",0.83
"(V07) (619A4) Central Alabama VAMC -
Tuskegee","13,445",7.1,"11,105",0.83
(V07) (619GA) Columbus,"2,765",25.02,"2,268",0.82
(V07) (619GB) Dothan 1,"4,686",3.33,"4,425",0.94
(V07) (619GD) Wiregrass,"3,367",3.48,"3,269",0.97
(V07) (619GE) Monroe County,"1,065",0.85,"1,063",1.00
"(V07) (619GF) Central Alabama
Montgomery VA Clinic","10,117",7.01,"8,707",0.86
(V07) (619QB) Fort Benning,"6,229",10.17,"5,411",0.87
"(V07) (679) Tuscaloosa, AL","7,010",10,"6,224",0.89
"(V07) (679) Tuscaloosa VA Medical
Center","6,865",10.03,"6,094",0.89
(V07) (679BU) Tuscaloosa DCHV,1,,1,1.00
"(V07) (679HK) Tuscaloosa VA Mobile
Clinic",144,9.56,129,0.90
"(V08) (516) Bay Pines, FL","183,958",3.19,"178,785",0.97
(V08) (516) C.W. Bill Young VAMC,"86,397",3.47,"83,976",0.97
(V08) (516BZ) Lee County,"43,577",3.22,"41,684",0.96
(V08) (516GA) Sarasota,"11,228",2.57,"11,090",0.99
(V08) (516GB) St. Petersburg,"2,395",1.39,"2,375",0.99
(V08) (516GC) Palm Harbor,"6,571",3.39,"6,391",0.97
(V08) (516GD) Bradenton,"13,761",1.73,"13,591",0.99
(V08) (516GE) Port Charlotte,"9,255",4.16,"9,051",0.98
(V08) (516GF) Naples,"7,236",1.55,"7,219",1.00
(V08) (516GH) Sebring,"3,538",9.09,"3,408",0.96
"(V08) (546) Miami, FL","91,599",5.88,"86,634",0.95
(V08) (546) Bruce W Carter VAMC,"47,036",11.14,"44,569",0.95
(V08) (546BZ) William Bill Kling VAOC,"30,068",4.9,"27,778",0.92
(V08) (546GA) Miami,145,0.83,143,0.99
(V08) (546GB) Key West,"1,958",4.92,"1,906",0.97
(V08) (546GC) Homestead,"4,079",3.55,"3,999",0.98
(V08) (546GD) Pembroke Pines,"2,630",1.59,"2,612",0.99
(V08) (546GE) Key Largo,795,2.39,774,0.97
(V08) (546GF) Hollywood,"3,096",1.82,"3,072",0.99
(V08) (546GH) Deerfield Beach,"1,792",1.26,"1,781",0.99
"(V08) (548) West Palm Beach, FL","114,513",2.58,"109,719",0.96
(V08) (548) West Palm Beach VAMC,"82,492",4.04,"77,911",0.94
(V08) (548GA) Fort Pierce,"5,628",1.16,"5,568",0.99
(V08) (548GB) Delray Beach,"8,175",0.72,"8,135",1.00
(V08) (548GC) Stuart,"7,213",2.25,"7,172",0.99
(V08) (548GD) Boca Raton,"4,032",1.76,"4,008",0.99
(V08) (548GE) Vero Beach,"4,634",1.14,"4,610",0.99
(V08) (548GF) Okeechobee,"2,339",1.94,"2,315",0.99
"(V08) (573) Gainesville, FL","257,426",5.43,"243,224",0.94
(V08) (573) Malcolm Randall VAMC,"73,279",4.92,"68,705",0.94
(V08) (573A4) Lake City VAMC,"26,480",10.86,"24,772",0.94
(V08) (573BY) Jacksonville 1 VA Clinic,"57,498",5.29,"52,005",0.90
(V08) (573GA) Valdosta,"4,375",1.72,"4,341",0.99
(V08) (573GD) Ocala,"14,571",3.04,"14,362",0.99
(V08) (573GE) Saint Augustine,"8,416",3.76,"8,327",0.99
(V08) (573GF) Tallahassee,"22,217",8.89,"21,189",0.95
(V08) (573GG) Lecanto,"7,985",6.59,"7,794",0.98
(V08) (573GI) The Villages,"24,509",2.93,"24,076",0.98
(V08) (573GJ) Saint Marys,"3,621",7.75,"3,510",0.97
(V08) (573GK) Marianna,"3,151",3.66,"3,121",0.99
(V08) (573GL) Palatka,"3,160",6.96,"3,075",0.97
(V08) (573GM) Waycross,"2,420",1.11,"2,412",1.00
(V08) (573GN) Perry,459,3.12,455,0.99
"(V08) (573MA) IDES Naval Hospital
Jacksonville",10,,9,0.90
(V08) (573QJ) Jacksonville 2,"5,275",5.63,"5,071",0.96
"(V08) (672) San Juan, PR","147,554",5.55,"141,521",0.96
(V08) (672) San Juan VAMC,"95,908",8.56,"90,404",0.94
(V08) (672B0) Ponce,"19,736",1.11,"19,607",0.99
(V08) (672BZ) Mayaguez,"18,026",1.73,"17,862",0.99
(V08) (672GA) St Croix,948,6.99,903,0.95
(V08) (672GB) St Thomas,804,4.06,775,0.96
(V08) (672GC) Arecibo,"5,626",2.44,"5,558",0.99
(V08) (672GD) Ceiba,"4,020",7.93,"3,948",0.98
(V08) (672GE) Guayama,"2,486",1.83,"2,464",0.99
