,Organization,Specialty,FY11,FY12,FY13,FY14,FY15,ID,Station,for_dups
233,(V01) (523) HCS BOSTON MA,21 GEN INTERNAL MED,11.43,0.0,3.45,3.24,9.28,,523,523
234,(V01) (523) HCS BOSTON MA,23 ALLERGY & IMMUNOLOGY,0.0,0.0,0.0,100.0,0.0,,523,523
235,(V01) (523) HCS BOSTON MA,25 GASTROENTEROLOGY,0.0,0.0,24.0,0.0,0.0,,523,523
236,(V01) (523) HCS BOSTON MA,26 PULMONARY DISEASES,0.0,12.63,0.0,12.77,0.0,,523,523
237,(V01) (523) HCS BOSTON MA,28 RHEUMATOLOGY,0.0,0.0,0.0,29.27,0.0,,523,523
238,(V01) (523) HCS BOSTON MA,29 ENDOCRIN AND METAB,0.0,28.57,0.0,0.0,32.43,,523,523
239,(V01) (523) HCS BOSTON MA,30 NEUROLOGY,0.0,0.0,0.0,0.0,16.67,,523,523
240,(V01) (523) HCS BOSTON MA,31 PSYCHIATRY,14.66,15.45,7.32,11.95,4.6,,523,523
241,(V01) (523) HCS BOSTON MA,32 ANATOMIC PATHOLOGY,0.0,0.0,0.0,0.0,26.67,,523,523
242,(V01) (523) HCS BOSTON MA,33 CLINICAL PATHOLOGY,0.0,0.0,0.0,0.0,100.0,,523,523
243,(V01) (523) HCS BOSTON MA,34 ADV GERIATRIC FELLOW,0.0,0.0,0.0,100.0,0.0,,523,523
244,(V01) (523) HCS BOSTON MA,38 RADIOLOGY-DIAGNOSTIC,7.64,7.74,8.51,9.09,0.0,,523,523
245,(V01) (523) HCS BOSTON MA,40 GERIATRICS,19.67,22.22,0.0,17.65,12.37,,523,523
246,(V01) (523) HCS BOSTON MA,43 PATHOLOGY,0.0,18.46,0.0,0.0,0.0,,523,523
247,(V01) (523) HCS BOSTON MA,44 PHYS MED & REHAB,0.0,23.53,0.0,20.0,19.05,,523,523
248,(V01) (523) HCS BOSTON MA,46 NUCLEAR MEDICINE,0.0,0.0,44.44,0.0,0.0,,523,523
249,(V01) (523) HCS BOSTON MA,53 ASSOC CH/STAFF--EDUC,0.0,100.0,0.0,0.0,0.0,,523,523
250,(V01) (523) HCS BOSTON MA,E5 NEUROSURGERY,0.0,100.0,0.0,0.0,0.0,,523,523
251,(V01) (523) HCS BOSTON MA,E6 CARDIOLOGY NON-INTER,0.0,5.41,5.22,15.0,5.88,,523,523
252,(V01) (523) HCS BOSTON MA,G9 RADIATION ONCOLOGY,60.0,0.0,0.0,54.55,0.0,,523,523
253,(V01) (523) HCS BOSTON MA,H1 PSYCHIATRY FELW,0.0,0.0,54.55,100.0,0.0,,523,523
254,(V01) (523) HCS BOSTON MA,H6 NEUROLOGY FELLOW,80.0,42.86,0.0,64.86,31.58,,523,523
255,(V01) (523) HCS BOSTON MA,H7 HLTH SVCS RESCH FELW,34.29,44.44,91.67,0.0,0.0,,523,523
256,(V01) (523) HCS BOSTON MA,H9 WOMEN VETS HLTH FELW,0.0,0.0,0.0,50.0,48.0,,523,523
257,(V01) (523) HCS BOSTON MA,M9 CARDIOLOGY-INTERVEN,0.0,0.0,0.0,46.15,0.0,,523,523
258,(V01) (523) HCS BOSTON MA,P1 PRIMARY CARE,8.05,0.0,8.89,4.51,0.0,,523,523
259,(V01) (523) HCS BOSTON MA,R4 VASCULAR SURGERY,0.0,34.29,0.0,0.0,0.0,,523,523
260,(V01) (608) MC MANCHESTER NH,0602 Physician (All Specialties),7.74,11.34,11.19,9.09,13.43,,608,608
261,(V01) (608) MC MANCHESTER NH,02 SURGERY,0.0,100.0,0.0,0.0,0.0,,608,608
262,(V01) (608) MC MANCHESTER NH,07 ORTHOPEDIC SURGERY,0.0,0.0,0.0,100.0,0.0,,608,608
263,(V01) (608) MC MANCHESTER NH,12 UROLOGY,0.0,0.0,0.0,60.0,0.0,,608,608
264,(V01) (608) MC MANCHESTER NH,21 GEN INTERNAL MED,11.32,6.74,20.81,7.55,29.45,,608,608
265,(V01) (608) MC MANCHESTER NH,31 PSYCHIATRY,0.0,85.71,0.0,0.0,0.0,,608,608
266,(V01) (608) MC MANCHESTER NH,51 CHIEF OF STAFF,0.0,0.0,0.0,0.0,100.0,,608,608
267,(V01) (608) MC MANCHESTER NH,55 DIRECTOR,0.0,100.0,0.0,0.0,0.0,,608,608
268,(V01) (608) MC MANCHESTER NH,E6 CARDIOLOGY NON-INTER,0.0,0.0,100.0,0.0,0.0,,608,608
269,(V01) (608) MC MANCHESTER NH,P1 PRIMARY CARE,21.24,0.0,13.79,14.81,18.18,,608,608
270,(V01) (631) MC NORTHAMPTON MA,0602 Physician (All Specialties),9.28,4.92,11.34,13.51,8.62,,631,631
271,(V01) (631) MC NORTHAMPTON MA,21 GEN INTERNAL MED,6.0,4.67,14.46,14.46,12.59,,631,631
272,(V01) (631) MC NORTHAMPTON MA,30 NEUROLOGY,0.0,0.0,0.0,80.0,0.0,,631,631
273,(V01) (631) MC NORTHAMPTON MA,31 PSYCHIATRY,17.14,8.57,7.79,7.02,0.0,,631,631
274,(V01) (631) MC NORTHAMPTON MA,43 PATHOLOGY,0.0,0.0,100.0,0.0,0.0,,631,631
275,(V01) (631) MC NORTHAMPTON MA,44 PHYS MED & REHAB,0.0,0.0,0.0,0.0,52.17,,631,631
276,(V01) (631) MC NORTHAMPTON MA,"57 PHYS--ADMIN, OTHER",0.0,0.0,0.0,75.0,0.0,,631,631
277,(V01) (650) MC PROVIDENCE RI,0602 Physician (All Specialties),5.19,8.15,3.09,8.79,9.27,,650,650
278,(V01) (650) MC PROVIDENCE RI,01 ANESTHESIOLOGY,0.0,34.29,0.0,0.0,0.0,,650,650
279,(V01) (650) MC PROVIDENCE RI,02 SURGERY,0.0,24.49,0.0,41.38,24.49,,650,650
280,(V01) (650) MC PROVIDENCE RI,06 OPHTHALMOLOGY,0.0,0.0,13.19,10.26,9.76,,650,650
281,(V01) (650) MC PROVIDENCE RI,07 ORTHOPEDIC SURGERY,0.0,28.57,42.86,0.0,0.0,,650,650
282,(V01) (650) MC PROVIDENCE RI,09 PLASTIC SURGERY,0.0,66.67,0.0,0.0,0.0,,650,650
283,(V01) (650) MC PROVIDENCE RI,16 EMERGENCY MEDICINE,0.0,8.28,15.48,7.95,44.12,,650,650
284,(V01) (650) MC PROVIDENCE RI,19 INFECTIOUS DISEASES,0.0,80.0,0.0,0.0,0.0,,650,650
285,(V01) (650) MC PROVIDENCE RI,21 GEN INTERNAL MED,6.45,6.5,0.0,5.83,8.67,,650,650
286,(V01) (650) MC PROVIDENCE RI,25 GASTROENTEROLOGY,0.0,33.33,0.0,0.0,0.0,,650,650
287,(V01) (650) MC PROVIDENCE RI,28 RHEUMATOLOGY,35.29,0.0,0.0,141.18,0.0,,650,650
288,(V01) (650) MC PROVIDENCE RI,30 NEUROLOGY,0.0,0.0,0.0,0.0,27.27,,650,650
289,(V01) (650) MC PROVIDENCE RI,31 PSYCHIATRY,12.44,5.71,0.0,8.96,9.41,,650,650
290,(V01) (650) MC PROVIDENCE RI,45 RADIOLOGY-INTERVENT,63.16,0.0,0.0,27.91,0.0,,650,650
291,(V01) (650) MC PROVIDENCE RI,P1 PRIMARY CARE,0.0,0.0,0.0,26.09,0.0,,650,650
292,(V01) (689) HCS WEST HAVEN CT,0602 Physician (All Specialties),7.19,8.26,6.01,7.81,6.83,,689,689
293,(V01) (689) HCS WEST HAVEN CT,01 ANESTHESIOLOGY,5.88,12.7,20.45,13.11,0.0,,689,689
294,(V01) (689) HCS WEST HAVEN CT,02 SURGERY,0.0,0.0,6.98,13.71,6.82,,689,689
295,(V01) (689) HCS WEST HAVEN CT,05 MEDICAL ONCOLOGY,100.0,0.0,0.0,0.0,104.35,,689,689
296,(V01) (689) HCS WEST HAVEN CT,06 OPHTHALMOLOGY,22.64,33.33,0.0,0.0,11.43,,689,689
297,(V01) (689) HCS WEST HAVEN CT,09 PLASTIC SURGERY,0.0,0.0,100.0,0.0,0.0,,689,689
298,(V01) (689) HCS WEST HAVEN CT,12 UROLOGY,0.0,30.77,0.0,17.14,0.0,,689,689
299,(V01) (689) HCS WEST HAVEN CT,13 PHYSIATRY,33.33,50.0,0.0,0.0,0.0,,689,689
300,(V01) (689) HCS WEST HAVEN CT,16 EMERGENCY MEDICINE,0.0,0.0,0.0,9.92,21.05,,689,689
301,(V01) (689) HCS WEST HAVEN CT,18 HEMATOLOGY,0.0,0.0,0.0,0.0,52.17,,689,689
302,(V01) (689) HCS WEST HAVEN CT,19 INFECTIOUS DISEASES,0.0,0.0,0.0,0.0,24.0,,689,689
303,(V01) (689) HCS WEST HAVEN CT,20 DERMATOLOGY,0.0,0.0,0.0,0.0,21.05,,689,689
304,(V01) (689) HCS WEST HAVEN CT,21 GEN INTERNAL MED,2.86,5.38,0.0,4.3,6.11,,689,689
305,(V01) (689) HCS WEST HAVEN CT,25 GASTROENTEROLOGY,16.78,8.7,9.3,0.0,8.96,,689,689
306,(V01) (689) HCS WEST HAVEN CT,26 PULMONARY DISEASES,0.0,18.75,0.0,0.0,7.79,,689,689
307,(V01) (689) HCS WEST HAVEN CT,27 NEPHROLOGY,11.21,0.0,10.34,11.65,9.45,,689,689
308,(V01) (689) HCS WEST HAVEN CT,28 RHEUMATOLOGY,0.0,20.0,19.05,34.29,0.0,,689,689
309,(V01) (689) HCS WEST HAVEN CT,29 ENDOCRIN AND METAB,0.0,0.0,0.0,43.64,0.0,,689,689
310,(V01) (689) HCS WEST HAVEN CT,31 PSYCHIATRY,6.88,2.04,7.43,5.44,3.47,,689,689
311,(V01) (689) HCS WEST HAVEN CT,32 ANATOMIC PATHOLOGY,0.0,54.55,0.0,0.0,0.0,,689,689
312,(V01) (689) HCS WEST HAVEN CT,35 CLINICAL SCHOLAR-RWJ,29.63,57.14,63.16,26.67,51.43,,689,689
313,(V01) (689) HCS WEST HAVEN CT,36 PREVENTIVE MEDICINE,100.0,0.0,0.0,0.0,0.0,,689,689
314,(V01) (689) HCS WEST HAVEN CT,38 RADIOLOGY-DIAGNOSTIC,8.89,0.0,0.0,0.0,8.51,,689,689
315,(V01) (689) HCS WEST HAVEN CT,40 GERIATRICS,0.0,12.37,12.77,13.48,0.0,,689,689
316,(V01) (689) HCS WEST HAVEN CT,43 PATHOLOGY,0.0,21.43,25.53,0.0,0.0,,689,689
317,(V01) (689) HCS WEST HAVEN CT,44 PHYS MED & REHAB,0.0,0.0,0.0,25.0,0.0,,689,689
318,(V01) (689) HCS WEST HAVEN CT,47 RESEARCH-CAREER DEV,75.0,0.0,0.0,0.0,0.0,,689,689
319,(V01) (689) HCS WEST HAVEN CT,E4 CARDIOVAS/THOR SGR,54.55,0.0,0.0,0.0,0.0,,689,689
320,(V01) (689) HCS WEST HAVEN CT,E5 NEUROSURGERY,0.0,0.0,0.0,0.0,50.0,,689,689
321,(V01) (689) HCS WEST HAVEN CT,E6 CARDIOLOGY NON-INTER,0.0,0.0,0.0,13.48,0.0,,689,689
322,(V01) (689) HCS WEST HAVEN CT,H1 PSYCHIATRY FELW,87.8,30.77,30.0,34.29,32.43,,689,689
323,(V01) (689) HCS WEST HAVEN CT,H2 SCHIZO RESEARCH FELW,0.0,0.0,25.53,81.08,0.0,,689,689
324,(V01) (689) HCS WEST HAVEN CT,H9 WOMEN VETS HLTH FELW,0.0,150.0,0.0,0.0,0.0,,689,689
325,(V01) (689) HCS WEST HAVEN CT,M5 MEDINFO POSTDOC FELW,0.0,100.0,0.0,0.0,0.0,,689,689
326,(V01) (689) HCS WEST HAVEN CT,P1 PRIMARY CARE,0.0,2.7,2.76,6.08,0.0,,689,689
327,(V01) (689) HCS WEST HAVEN CT,R4 VASCULAR SURGERY,0.0,0.0,0.0,0.0,48.0,,689,689
370,(V02) (479) V2HCNALBANY NY,0602 Physician (All Specialties),0.0,0.0,0.0,80.0,0.0,528al,479,528al
371,(V02) (479) V2HCNALBANY NY,55 DIRECTOR,0.0,0.0,0.0,100.0,0.0,528al,479,528al
372,(V02) (528) HCS BUFFALO NY,0602 Physician (All Specialties),9.62,7.56,9.2,9.81,7.07,528we,528,528we
373,(V02) (528) HCS BUFFALO NY,01 ANESTHESIOLOGY,0.0,19.51,4.56,18.18,3.79,528we,528,528we
374,(V02) (528) HCS BUFFALO NY,02 SURGERY,19.67,0.0,10.0,0.0,8.7,528we,528,528we
375,(V02) (528) HCS BUFFALO NY,03 GYNECOLOGY,0.0,0.0,0.0,36.36,0.0,528we,528,528we
376,(V02) (528) HCS BUFFALO NY,05 MEDICAL ONCOLOGY,36.36,0.0,41.38,0.0,0.0,528we,528,528we
377,(V02) (528) HCS BUFFALO NY,06 OPHTHALMOLOGY,10.3,10.04,10.53,22.33,17.31,528we,528,528we
378,(V02) (528) HCS BUFFALO NY,07 ORTHOPEDIC SURGERY,11.43,0.0,23.76,29.63,27.27,528we,528,528we
379,(V02) (528) HCS BUFFALO NY,08 OTOLARYNGOLOGY,21.05,0.0,24.0,23.08,0.0,528we,528,528we
380,(V02) (528) HCS BUFFALO NY,09 PLASTIC SURGERY,0.0,0.0,0.0,92.31,0.0,528we,528,528we
381,(V02) (528) HCS BUFFALO NY,10 COLON & RECTAL SURG,0.0,0.0,100.0,0.0,0.0,528we,528,528we
382,(V02) (528) HCS BUFFALO NY,11 THORACIC SURGERY,52.17,0.0,0.0,0.0,44.44,528we,528,528we
383,(V02) (528) HCS BUFFALO NY,12 UROLOGY,7.19,0.0,6.63,11.94,11.88,528we,528,528we
384,(V02) (528) HCS BUFFALO NY,16 EMERGENCY MEDICINE,8.16,7.55,0.0,0.0,7.23,528we,528,528we
385,(V02) (528) HCS BUFFALO NY,18 HEMATOLOGY,17.91,0.0,0.0,0.0,21.82,528we,528,528we
386,(V02) (528) HCS BUFFALO NY,19 INFECTIOUS DISEASES,12.5,0.0,0.0,0.0,0.0,528we,528,528we
387,(V02) (528) HCS BUFFALO NY,20 DERMATOLOGY,33.33,57.14,57.14,57.14,0.0,528we,528,528we
388,(V02) (528) HCS BUFFALO NY,21 GEN INTERNAL MED,12.64,4.91,0.0,12.42,12.37,528we,528,528we
389,(V02) (528) HCS BUFFALO NY,25 GASTROENTEROLOGY,28.24,27.91,37.11,0.0,11.54,528we,528,528we
390,(V02) (528) HCS BUFFALO NY,26 PULMONARY DISEASES,0.0,0.0,0.0,9.09,0.0,528we,528,528we
391,(V02) (528) HCS BUFFALO NY,27 NEPHROLOGY,0.0,0.0,11.11,11.54,11.65,528we,528,528we
392,(V02) (528) HCS BUFFALO NY,28 RHEUMATOLOGY,0.0,0.0,24.0,22.22,0.0,528we,528,528we
393,(V02) (528) HCS BUFFALO NY,29 ENDOCRIN AND METAB,0.0,14.81,0.0,0.0,16.44,528we,528,528we
394,(V02) (528) HCS BUFFALO NY,30 NEUROLOGY,8.33,0.0,0.0,8.28,8.33,528we,528,528we
395,(V02) (528) HCS BUFFALO NY,31 PSYCHIATRY,11.25,10.59,16.17,8.98,3.43,528we,528,528we
396,(V02) (528) HCS BUFFALO NY,38 RADIOLOGY-DIAGNOSTIC,5.13,14.63,37.5,0.0,6.56,528we,528,528we
397,(V02) (528) HCS BUFFALO NY,40 GERIATRICS,0.0,10.0,8.33,6.74,8.0,528we,528,528we
398,(V02) (528) HCS BUFFALO NY,43 PATHOLOGY,0.0,10.08,0.0,0.0,0.0,528we,528,528we
399,(V02) (528) HCS BUFFALO NY,44 PHYS MED & REHAB,0.0,18.05,0.0,0.0,0.0,528we,528,528we
400,(V02) (528) HCS BUFFALO NY,45 RADIOLOGY-INTERVENT,21.43,0.0,20.34,0.0,0.0,528we,528,528we
401,(V02) (528) HCS BUFFALO NY,46 NUCLEAR MEDICINE,0.0,0.0,0.0,36.36,50.0,528we,528,528we
402,(V02) (528) HCS BUFFALO NY,49 FAMILY PRACTICE,9.52,8.05,18.75,16.44,0.0,528we,528,528we
403,(V02) (528) HCS BUFFALO NY,51 CHIEF OF STAFF,0.0,0.0,0.0,24.0,0.0,528we,528,528we
404,(V02) (528) HCS BUFFALO NY,54 ASSOC COS RES & DEV,100.0,0.0,0.0,57.14,0.0,528we,528,528we
405,(V02) (528) HCS BUFFALO NY,CA CARDIOLOGY NON-INVAS,0.0,0.0,0.0,0.0,21.95,528we,528,528we
406,(V02) (528) HCS BUFFALO NY,E5 NEUROSURGERY,0.0,100.0,0.0,0.0,0.0,528we,528,528we
407,(V02) (528) HCS BUFFALO NY,E6 CARDIOLOGY NON-INTER,0.0,0.0,6.45,0.0,0.0,528we,528,528we
408,(V02) (528) HCS BUFFALO NY,K6 HOSPITALIST,19.51,7.14,6.45,12.31,0.0,528we,528,528we
409,(V02) (528) HCS BUFFALO NY,M9 CARDIOLOGY-INTERVEN,55.81,44.44,0.0,0.0,0.0,528we,528,528we
410,(V02) (528) HCS BUFFALO NY,P1 PRIMARY CARE,0.0,8.63,8.96,8.39,10.08,528we,528,528we
411,(V02) (528) HCS BUFFALO NY,R3 HEMATOLOGY/ONCOLOGY,0.0,0.0,0.0,0.0,30.0,528we,528,528we
412,(V02) (528) HCS BUFFALO NY,R4 VASCULAR SURGERY,0.0,0.0,32.43,0.0,0.0,,528,528
457,(V03) (480) V3HCNNEW YORK NY,0602 Physician (All Specialties),35.29,0.0,0.0,0.0,0.0,,480,480
458,(V03) (480) V3HCNNEW YORK NY,P3 CHIEF MED OFCR VISN,100.0,0.0,0.0,0.0,0.0,,480,480
459,(V03) (526) MC BRONX NY,0602 Physician (All Specialties),10.75,8.85,5.4,5.09,8.74,,526,526
460,(V03) (526) MC BRONX NY,01 ANESTHESIOLOGY,30.77,35.82,14.29,0.0,0.0,,526,526
461,(V03) (526) MC BRONX NY,02 SURGERY,50.7,0.0,0.0,0.0,40.68,,526,526
462,(V03) (526) MC BRONX NY,03 GYNECOLOGY,0.0,0.0,0.0,0.0,100.0,,526,526
463,(V03) (526) MC BRONX NY,06 OPHTHALMOLOGY,0.0,8.57,0.0,0.0,0.0,,526,526
464,(V03) (526) MC BRONX NY,07 ORTHOPEDIC SURGERY,19.35,0.0,0.0,32.0,0.0,,526,526
465,(V03) (526) MC BRONX NY,08 OTOLARYNGOLOGY,22.22,0.0,0.0,0.0,0.0,,526,526
466,(V03) (526) MC BRONX NY,12 UROLOGY,0.0,0.0,150.0,0.0,24.0,,526,526
467,(V03) (526) MC BRONX NY,16 EMERGENCY MEDICINE,0.0,0.0,0.0,0.0,32.88,,526,526
468,(V03) (526) MC BRONX NY,18 HEMATOLOGY,32.43,34.29,36.36,0.0,0.0,,526,526
469,(V03) (526) MC BRONX NY,21 GEN INTERNAL MED,13.75,15.24,3.96,0.0,3.55,,526,526
470,(V03) (526) MC BRONX NY,25 GASTROENTEROLOGY,26.09,0.0,0.0,0.0,0.0,,526,526
471,(V03) (526) MC BRONX NY,27 NEPHROLOGY,0.0,0.0,0.0,0.0,12.37,,526,526
472,(V03) (526) MC BRONX NY,29 ENDOCRIN AND METAB,0.0,37.5,0.0,0.0,0.0,,526,526
473,(V03) (526) MC BRONX NY,31 PSYCHIATRY,0.0,8.48,4.1,3.81,15.05,,526,526
474,(V03) (526) MC BRONX NY,38 RADIOLOGY-DIAGNOSTIC,46.15,0.0,0.0,0.0,0.0,,526,526
475,(V03) (526) MC BRONX NY,39 RADIOLOGY-THERAPEU,33.33,0.0,0.0,0.0,0.0,,526,526
476,(V03) (526) MC BRONX NY,43 PATHOLOGY,0.0,0.0,26.67,20.34,44.44,,526,526
477,(V03) (526) MC BRONX NY,44 PHYS MED & REHAB,9.52,18.75,19.2,9.76,0.0,,526,526
478,(V03) (526) MC BRONX NY,45 RADIOLOGY-INTERVENT,44.44,0.0,0.0,0.0,0.0,,526,526
479,(V03) (526) MC BRONX NY,H1 PSYCHIATRY FELW,0.0,70.59,0.0,80.0,0.0,,526,526
480,(V03) (526) MC BRONX NY,H4 PALL CARE MED FELLOW,150.0,78.57,42.86,133.33,72.73,,526,526
481,(V03) (526) MC BRONX NY,P1 PRIMARY CARE,0.0,0.0,0.0,0.0,11.01,,526,526
482,(V03) (526) MC BRONX NY,R3 HEMATOLOGY/ONCOLOGY,0.0,0.0,0.0,0.0,60.0,,526,526
483,(V03) (526) MC BRONX NY,R4 VASCULAR SURGERY,0.0,0.0,0.0,100.0,0.0,,526,526
484,(V03) (561) HCS EAST ORANGE NJ,0602 Physician (All Specialties),1.99,5.04,2.98,5.37,7.92,,561,561
485,(V03) (561) HCS EAST ORANGE NJ,01 ANESTHESIOLOGY,0.0,0.0,0.0,0.0,31.17,,561,561
486,(V03) (561) HCS EAST ORANGE NJ,02 SURGERY,0.0,0.0,0.0,27.91,0.0,,561,561
