"Completed Appointment Wait Times National,
Facility, and Division Level Summaries.
Wait Time Measured from Preferred Date
For the Reporting Period Ending: August 2016","Total Completed
Appointments 1","Completed within
30 Days 2","Percent
Appts
Complete
d in 30
Days or
Less 3","Completed in
Over 30 Days 4","Percent
Appts
Complete
d in Over
30 Days 5","Completed 0-7 Days
6","Completed 8-14
Days 7","Completed 15-30
Days 8","Completed 31-60
Days 9","Completed 61-90
Days 10","Completed 91-120
Days 11","Completed in
more than 120
Days 12","PC Avg
Wait Time
in Days
13","SC Avg
Wait Time
in Days
14","MH Avg
Wait Time
in Days
15"
(V01) (523) Jamaica Plain VAMC,"19,960","19,451",97.45%,509,2.55%,"16,412","1,527","1,512",436,50,19,4,7.76,5.66,1.5
(V01) (523A4) West Roxbury VAMC,"7,863","7,650",97.29%,213,2.71%,"6,566",449,635,202,8,2,1,10.24,4.82,0
(V01) (523A5) Brockton VAMC,"11,812","11,421",96.69%,391,3.31%,"10,263",571,587,318,62,9,2,7.02,7.47,2.11
(V01) (523BY) Lowell,"1,595","1,526",95.67%,69,4.33%,"1,258",133,135,60,6,3,0,8.25,5,7.27
(V01) (523BZ) Causeway,"4,206","4,180",99.38%,26,0.62%,"4,042",74,64,22,2,1,1,3.58,2.64,1.64
(V01) (523GA) Framingham,369,356,96.48%,13,3.52%,298,26,32,8,5,0,0,4.57,0,9.44
(V01) (523GC) Quincy,252,221,87.70%,31,12.30%,180,24,17,20,11,0,0,9.91,,
(V01) (523GD) Plymouth,223,221,99.10%,2,0.90%,169,30,22,2,0,0,0,5.62,1.12,
(V01) (523MA) IDES Hanscom AFB,26,26,100.00%,0,0.00%,26,0,0,0,0,0,0,,0,0
"(V01) (608) Manchester, NH","18,849","18,548",98.40%,301,1.60%,"16,481","1,177",890,280,12,8,1,4.99,2.93,2.94
(V01) (608) Manchester VAMC,"17,104","16,856",98.55%,248,1.45%,"15,228",946,682,229,11,7,1,4.27,2.94,2.37
(V01) (608GA) Portsmouth,388,377,97.16%,11,2.84%,259,52,66,11,0,0,0,7.92,2.63,5.19
(V01) (608GC) Somersworth,692,654,94.51%,38,5.49%,443,96,115,36,1,1,0,9.51,1.63,6.86
(V01) (608GD) Conway,192,191,99.48%,1,0.52%,148,34,9,1,0,0,0,3.47,0,6.68
(V01) (608HA) Tilton,469,466,99.36%,3,0.64%,399,49,18,3,0,0,0,3.66,2.33,1.51
"(V01) (608MA) IDES Manchester
VAMC",4,4,100.00%,0,0.00%,4,0,0,0,0,0,0,,0,
"(V01) (631) VA Central Western Massachusetts
HCS","19,521","18,892",96.78%,629,3.22%,"16,187","1,356","1,349",460,148,17,4,5.56,5.98,4
(V01) (631) Edward P Boland VAMC,"8,253","7,873",95.40%,380,4.60%,"6,604",532,737,286,87,4,3,8.52,7.22,4.11
(V01) (631BY) Springfield,"4,447","4,367",98.20%,80,1.80%,"3,901",257,209,65,15,0,0,5.19,2.87,3.42
(V01) (631GC) Pittsfield,660,635,96.21%,25,3.79%,552,33,50,25,0,0,0,6.49,2.7,5.01
"(V01) (631GD) Greenfield (Franklin
County)",767,762,99.35%,5,0.65%,666,57,39,5,0,0,0,4.23,10,2.49
(V01) (631GE) Worcester,"3,498","3,370",96.34%,128,3.66%,"2,790",335,245,78,36,13,1,4.38,9.17,5.31
(V01) (631GF) Fitchburg,802,802,100.00%,0,0.00%,711,58,33,0,0,0,0,3.02,1.74,2.16
"(V01) (631MA) IDES Keller Army
Community Hospital",8,8,100.00%,0,0.00%,6,0,2,0,0,0,0,,5.2,9
(V01) (631PA) 631PA,2,2,100.00%,0,0.00%,2,0,0,0,0,0,0,,,
(V01) (631QA) Plantation Street,"1,084","1,073",98.99%,11,1.01%,955,84,34,1,10,0,0,,2.4,
"(V01) (650) Providence, RI","31,972","31,287",97.86%,685,2.14%,"28,034","1,707","1,546",517,145,20,3,4.47,4.76,2.58
(V01) (650) Providence VAMC,"28,011","27,384",97.76%,627,2.24%,"24,501","1,453","1,430",472,133,19,3,5.27,5.05,2.16
"(V01) (650GA) New Bedford Primary
Care Ctr.","1,816","1,785",98.29%,31,1.71%,"1,587",132,66,27,4,0,0,2.91,0.34,7.78
(V01) (650GB) Hyannis,"1,416","1,405",99.22%,11,0.78%,"1,281",84,40,5,5,1,0,2.82,2.8,1.25
(V01) (650GD) Middletown,729,713,97.81%,16,2.19%,665,38,10,13,3,0,0,2.99,2.57,3.02
"(V01) (689) VA Connecticut HCS, CT","51,874","51,260",98.82%,614,1.18%,"47,286","1,980","1,994",531,69,9,5,1.12,3.81,1.7
(V01) (689) West Haven VAMC,"31,575","31,195",98.80%,380,1.20%,"28,714","1,217","1,264",344,25,7,4,0.88,3.69,2.01
(V01) (689A4) Newington VAMC,"16,993","16,765",98.66%,228,1.34%,"15,463",638,664,182,43,2,1,1.61,4.05,0.89
(V01) (689GA) Waterbury,585,583,99.66%,2,0.34%,566,15,2,2,0,0,0,0.6,,2.31
(V01) (689GB) Stamford,322,322,100.00%,0,0.00%,320,0,2,0,0,0,0,0.23,,0.03
(V01) (689GC) Willimantic,395,395,100.00%,0,0.00%,389,3,3,0,0,0,0,0.54,0,0.56
(V01) (689GD) Winsted,506,506,100.00%,0,0.00%,478,12,16,0,0,0,0,0.7,4.83,2.01
(V01) (689GE) Danbury,446,446,100.00%,0,0.00%,426,15,5,0,0,0,0,0.88,0,2.7
"(V01) (689HC) New London VA
Primary Care Center","1,052","1,048",99.62%,4,0.38%,930,80,38,3,1,0,0,1.53,0.25,3.58
"(V02) (528) Albany, NY","23,419","22,507",96.11%,912,3.89%,"20,278","1,152","1,077",631,214,47,20,4.83,5.39,4.81
"(V02) (528A8) Samuel S Stratton
VAMC","19,633","18,758",95.54%,875,4.46%,"17,006",859,893,599,210,46,20,8.26,5.43,5.22
(V02) (528G2) Westport,201,201,100.00%,0,0.00%,170,16,15,0,0,0,0,3.59,0,0
(V02) (528G3) Bainbridge,375,371,98.93%,4,1.07%,326,19,26,4,0,0,0,3.52,0,0.71
(V02) (528G6) Fonda,179,179,100.00%,0,0.00%,173,4,2,0,0,0,0,0.35,5,0.4
(V02) (528G7) Catskill,289,273,94.46%,16,5.54%,205,52,16,14,1,1,0,6.06,0,12.65
(V02) (528GT) Glens Falls,774,774,100.00%,0,0.00%,745,24,5,0,0,0,0,1.34,0.36,0.07
(V02) (528GV) Plattsburgh,554,554,100.00%,0,0.00%,435,84,35,0,0,0,0,4.46,0,0.42
(V02) (528GW) Schenectady,433,428,98.85%,5,1.15%,404,4,20,5,0,0,0,0.03,0,20.24
(V02) (528GX) Troy,247,246,99.60%,1,0.40%,202,22,22,1,0,0,0,2.66,0,13.92
(V02) (528GY) Clifton Park,262,251,95.80%,11,4.20%,194,22,35,8,3,0,0,7.77,0,1.82
(V02) (528GZ) Kingston,472,472,100.00%,0,0.00%,418,46,8,0,0,0,0,1,0,4.72
"(V02) (528) Bath, NY","15,432","15,154",98.20%,278,1.80%,"14,093",604,457,180,79,18,1,3.47,7.04,2.13
"(V02) (528A6) Bath VA Medical
Center","13,966","13,714",98.20%,252,1.80%,"12,896",490,328,154,79,18,1,2.3,7.04,2.61
(V02) (528G4) Elmira,990,968,97.78%,22,2.22%,767,97,104,22,0,0,0,7.12,7.13,0.67
(V02) (528G8) Wellsville,476,472,99.16%,4,0.84%,430,17,25,4,0,0,0,2.96,7.09,0.31
"(V02) (528) Western New York, NY","38,938","36,983",94.98%,"1,955",5.02%,"32,697","2,018","2,268","1,319",482,117,37,8.16,7.38,2.7
"(V02) (528) Buffalo VA Medical
Center","30,837","29,122",94.44%,"1,715",5.56%,"25,626","1,593","1,903","1,135",439,111,30,10.59,7.86,2.26
"(V02) (528A4) Upstate New York
HCS-Batavia","4,020","3,816",94.93%,204,5.07%,"3,405",177,234,150,42,5,7,16.46,3.06,2.3
(V02) (528GB) Jamestown,941,914,97.13%,27,2.87%,794,54,66,26,0,1,0,4.47,3.72,6.8
(V02) (528GC) Dunkirk,620,618,99.68%,2,0.32%,574,34,10,2,0,0,0,1.2,1.73,4.45
(V02) (528GD) Niagara Falls,504,503,99.80%,1,0.20%,444,34,25,1,0,0,0,1.91,8.57,5.51
(V02) (528GK) Lockport,366,365,99.73%,1,0.27%,352,11,2,1,0,0,0,0.96,0,4.29
(V02) (528GQ) Lackawanna,943,941,99.79%,2,0.21%,831,89,21,2,0,0,0,2.35,2.13,2.19
(V02) (528GR) Olean,707,704,99.58%,3,0.42%,671,26,7,2,1,0,0,1.9,2.23,2.32
"(V02) (528) Canandaigua, NY","14,137","13,470",95.28%,667,4.72%,"11,099",928,"1,443",579,68,17,3,10.11,6,3.29
"(V02) (528A5) Canandaigua VA
Medical Center","6,432","6,122",95.18%,310,4.82%,"5,326",347,449,273,34,3,0,11.51,6.01,1.99
(V02) (528GE) Rochester,"7,705","7,348",95.37%,357,4.63%,"5,773",581,994,306,34,14,3,9.34,5.99,4.46
"(V02) (528) Syracuse, NY","33,523","32,401",96.65%,"1,122",3.35%,"27,866","2,215","2,320",922,159,22,19,4.19,6.82,3.29
"(V02) (528A7) Syracuse VA Medical
Center","22,310","21,543",96.56%,767,3.44%,"18,524","1,374","1,645",620,113,18,16,3.19,6.96,2.46
(V02) (528G5) Auburn,486,485,99.79%,1,0.21%,470,13,2,1,0,0,0,1.21,0.27,1.16
(V02) (528G9) Tompkins County,890,879,98.76%,11,1.24%,839,33,7,6,3,2,0,1.58,8.06,1.8
(V02) (528GL) Massena,"1,182","1,143",96.70%,39,3.30%,945,122,76,33,4,1,1,5.01,20.17,3.1
"(V02) (528GM) Donald J Mitchell VA
OPC","3,716","3,541",95.29%,175,4.71%,"3,019",236,286,154,21,0,0,7,7.26,3.94
(V02) (528GN) Binghamton,"2,092","2,058",98.37%,34,1.63%,"1,811",160,87,32,1,0,1,2.9,5.74,0.91
(V02) (528GO) Watertown,"2,069","1,977",95.55%,92,4.45%,"1,602",217,158,73,17,1,1,6.5,4.41,7.71
(V02) (528GP) Oswego,641,638,99.53%,3,0.47%,520,59,59,3,0,0,0,4.3,6.03,2
(V02) (528MA) Watertown DES,101,101,100.00%,0,0.00%,101,0,0,0,0,0,0,,0,
(V02) (528QN) Watertown 2,36,36,100.00%,0,0.00%,35,1,0,0,0,0,0,,0,1.21
"(V03) (526) Bronx, NY","25,620","25,484",99.47%,136,0.53%,"23,070","1,305","1,109",114,20,2,0,4.91,2.91,1.23
(V03) (526) James J. Peters VAMC,"24,834","24,702",99.47%,132,0.53%,"22,397","1,238","1,067",110,20,2,0,5.3,2.92,0.99
(V03) (526GA) White Plains,401,400,99.75%,1,0.25%,314,48,38,1,0,0,0,4.35,0,7.5
(V03) (526GB) Yonkers,269,267,99.26%,2,0.74%,258,9,0,2,0,0,0,0.94,0,1.04
"(V03) (526GD) Thomas P. Noonan
Jr. VA OPC",116,115,99.14%,1,0.86%,101,10,4,1,0,0,0,3.01,0,0
"(V03) (561) New Jersey HCS, NJ","43,517","42,561",97.80%,956,2.20%,"39,279","1,613","1,669",826,108,17,5,0.93,4.84,0.88
(V03) (561) East Orange VAMC,"22,993","22,369",97.29%,624,2.71%,"20,295",993,"1,081",543,69,7,5,0.96,5.13,1.56
"(V03) (561A4) New Jersey HCS, NJ -
Lyons Campus","8,046","7,834",97.37%,212,2.63%,"7,304",227,303,178,25,9,0,0.09,5.13,0.2
(V03) (561BY) Newark,480,480,100.00%,0,0.00%,479,0,1,0,0,0,0,,,
(V03) (561BZ) Brick,"6,047","5,943",98.28%,104,1.72%,"5,422",310,211,91,13,0,0,2.14,3.78,0.75
(V03) (561GA) Hamilton,548,547,99.82%,1,0.18%,539,5,3,1,0,0,0,0.25,2,0.93
(V03) (561GB) Elizabeth,297,297,100.00%,0,0.00%,294,1,2,0,0,0,0,0.03,5,0.37
(V03) (561GD) Hackensack,"2,127","2,126",99.95%,1,0.05%,"2,114",7,5,1,0,0,0,0.12,0.58,0.02
(V03) (561GE) Jersey City,327,325,99.39%,2,0.61%,323,2,0,2,0,0,0,0.06,9.89,0.3
(V03) (561GF) Piscataway,640,639,99.84%,1,0.16%,628,4,7,1,0,0,0,0.57,0,0.97
(V03) (561GH) Morristown,511,507,99.22%,4,0.78%,467,22,18,3,1,0,0,1.76,0,3.48
(V03) (561GI) Tinton Falls,"1,125","1,119",99.47%,6,0.53%,"1,043",40,36,5,0,1,0,1.81,1.64,1.7
(V03) (561GJ) Paterson,376,375,99.73%,1,0.27%,371,2,2,1,0,0,0,0.17,0,0.58
"(V03) (620) VA Hudson Valley HCS, NY","25,943","25,895",99.81%,48,0.19%,"23,834","1,254",807,48,0,0,0,1.73,2.82,1.93
"(V03) (620) Franklin Delano
Roosevelt Hospital","7,585","7,585",100.00%,0,0.00%,"7,243",225,117,0,0,0,0,1.27,1.58,1.78
(V03) (620A4) Castle Point VAMC,"10,997","10,989",99.93%,8,0.07%,"9,958",613,418,8,0,0,0,1.76,2.72,0.6
(V03) (620BU) VADOM Montrose,"1,455","1,455",100.00%,0,0.00%,"1,451",3,1,0,0,0,0,,,
(V03) (620GA) New City,"1,468","1,464",99.73%,4,0.27%,"1,370",64,30,4,0,0,0,1.51,3,2.09
(V03) (620GB) Carmel,673,673,100.00%,0,0.00%,618,34,21,0,0,0,0,0.65,3.97,1.78
(V03) (620GD) Goshen,"1,338","1,312",98.06%,26,1.94%,"1,062",152,98,26,0,0,0,3.07,6.92,6.17
(V03) (620GE) Port Jervis,"1,087","1,081",99.45%,6,0.55%,930,95,56,6,0,0,0,2.66,3.97,4.15
(V03) (620GF) Monticello,545,541,99.27%,4,0.73%,490,27,24,4,0,0,0,0.4,4.66,5.77
(V03) (620GG) Poughkeepsie,507,507,100.00%,0,0.00%,469,15,23,0,0,0,0,1.04,5.22,1.74
(V03) (620GH) Eastern Dutchess,215,215,100.00%,0,0.00%,181,18,16,0,0,0,0,2.78,7.59,4.81
(V03) (620MA) IDES West Point,7,7,100.00%,0,0.00%,7,0,0,0,0,0,0,,0,0
"(V03) (620QA) Montrose 1 VA Mobile
Clinic",12,12,100.00%,0,0.00%,12,0,0,0,0,0,0,,,
"(V03) (620QB) Montrose 2 VA Mobile
Clinic",54,54,100.00%,0,0.00%,43,8,3,0,0,0,0,,3.07,
"(V03) (630) New York Harbor HCS, NY","47,991","47,668",99.33%,323,0.67%,"45,336","1,203","1,129",301,19,3,0,2.06,1.55,1.08
(V03) (630) Manhattan VAMC,"22,356","22,156",99.11%,200,0.89%,"20,965",530,661,191,9,0,0,2.19,1.89,1.06
"(V03) (630A4) New York Harbor
HCS-Brooklyn Campus","21,294","21,183",99.48%,111,0.52%,"20,160",602,421,99,9,3,0,2.66,1.25,1.17
(V03) (630A5) St. Albans VAMC,"3,122","3,112",99.68%,10,0.32%,"3,041",38,33,9,1,0,0,0.46,0.95,0.61
(V03) (630GA) Harlem CBOC,159,159,100.00%,0,0.00%,158,1,0,0,0,0,0,0.17,,0
(V03) (630GB) Staten Island CBOC,"1,060","1,058",99.81%,2,0.19%,"1,012",32,14,2,0,0,0,1.08,1.26,0.92
"(V03) (632) Northport, NY","30,039","29,456",98.06%,583,1.94%,"26,399","1,702","1,355",530,50,3,0,5.45,4.08,1.53
(V03) (632) Northport VAMC,"25,665","25,160",98.03%,505,1.97%,"22,776","1,309","1,075",456,48,1,0,6.22,3.97,1.07
(V03) (632BU) Northport VADOM,234,234,100.00%,0,0.00%,234,0,0,0,0,0,0,,,
(V03) (632GA) East Meadow,"1,417","1,414",99.79%,3,0.21%,"1,219",119,76,3,0,0,0,3.47,5.67,1.49
(V03) (632HA) Valley Stream,412,411,99.76%,1,0.24%,339,48,24,1,0,0,0,4.74,0,2.9
(V03) (632HB) Riverhead,783,771,98.47%,12,1.53%,635,75,61,12,0,0,0,5.22,4.58,3.38
(V03) (632HC) Bay Shore,391,382,97.70%,9,2.30%,347,19,16,9,0,0,0,5.8,,0.64
(V03) (632HD) Patchoque,899,874,97.22%,25,2.78%,700,115,59,23,0,2,0,5.59,5.6,5.3
(V03) (632HE) Mt. Sinai,5,3,60.00%,2,40.00%,2,0,1,2,0,0,0,17.8,,
"(V03) (632QA) Northport 1 VA Mobile
Clinic",184,174,94.57%,10,5.43%,141,14,19,9,1,0,0,,5.99,
"(V03) (632QB) Northport 2 VA Mobile
Clinic",49,33,67.35%,16,32.65%,6,3,24,15,1,0,0,,24.84,
"(V04) (460) Wilmington, DE","16,633","15,815",95.08%,818,4.92%,"12,592","1,468","1,755",538,137,107,36,4.84,8.58,10.25
(V04) (460) Wilmington VAMC,"11,738","11,145",94.95%,593,5.05%,"8,968",959,"1,218",365,99,97,32,4.27,8.65,10.86
(V04) (460GA) Sussex County,"1,196","1,150",96.15%,46,3.85%,945,106,99,39,7,0,0,4.49,4.41,11.1
(V04) (460GC) Kent County,"1,425","1,317",92.42%,108,7.58%,967,185,165,80,17,7,4,6.7,4.76,13.64
(V04) (460GD) Cape May USCG,364,337,92.58%,27,7.42%,267,30,40,24,3,0,0,11.42,6.65,2.16
(V04) (460HE) Atlantic County,"1,030","1,000",97.09%,30,2.91%,834,78,88,16,11,3,0,2.53,16.66,5.66
(V04) (460HG) Cumberland County,790,776,98.23%,14,1.77%,545,100,131,14,0,0,0,6.4,9.22,4.04
"(V04) (460HK) Wilmington VA Mobile
Clinic",62,62,100.00%,0,0.00%,62,0,0,0,0,0,0,0,,
(V04) (460MA) IDES Dover AFB,28,28,100.00%,0,0.00%,4,10,14,0,0,0,0,,12.13,22.75
"(V04) (503) Altoona, PA","14,544","14,525",99.87%,19,0.13%,"12,729",891,905,19,0,0,0,4.2,4.48,1.28
"(V04) (503) James E. Van Zandt
VAMC","9,239","9,220",99.79%,19,0.21%,"8,126",550,544,19,0,0,0,4.17,4.09,1.5
(V04) (503GA) Johnstown,"1,606","1,606",100.00%,0,0.00%,"1,416",83,107,0,0,0,0,4.11,8.23,1.1
(V04) (503GB) DuBois (Clearfield),"1,682","1,682",100.00%,0,0.00%,"1,440",113,129,0,0,0,0,5.23,5.89,0.92
"(V04) (503GC) State College (Centre
County)","1,306","1,306",100.00%,0,0.00%,"1,068",117,121,0,0,0,0,4.52,6.15,1.12
(V04) (503GD) Huntingdon County,322,322,100.00%,0,0.00%,312,9,1,0,0,0,0,3.02,1,0.58
(V04) (503GE) Indiana County,389,389,100.00%,0,0.00%,367,19,3,0,0,0,0,1.98,0,0.33
"(V04) (529) Butler, PA","10,009","9,945",99.36%,64,0.64%,"9,389",306,250,39,16,3,6,2.17,1.59,1.53
(V04) (529) Butler VAMC,"7,213","7,207",99.92%,6,0.08%,"6,725",265,217,6,0,0,0,0.92,1.73,1.7
"(V04) (529GA) Michael A. Marzano
VA OPC",889,889,100.00%,0,0.00%,878,6,5,0,0,0,0,0.13,0.4,0.84
(V04) (529GB) Lawrence County,418,418,100.00%,0,0.00%,413,2,3,0,0,0,0,0.1,0.6,0.03
(V04) (529GC) Armstrong County,510,467,91.57%,43,8.43%,453,5,9,21,14,2,6,10.48,1.05,1.11
(V04) (529GD) Clarion County,337,336,99.70%,1,0.30%,328,5,3,0,1,0,0,1.06,0.96,0
(V04) (529GF) Cranberry Township,642,628,97.82%,14,2.18%,592,23,13,12,1,1,0,3.16,1.04,0.09
"(V04) (540) Clarksburg, WV","17,909","17,361",96.94%,548,3.06%,"14,969","1,165","1,227",455,71,12,10,4.7,5.72,2.57
(V04) (540) Louis A Johnson VAMC,"14,673","14,165",96.54%,508,3.46%,"12,204",928,"1,033",418,68,12,10,5.2,5.71,2.51
(V04) (540BU) Clarksburg VADOM,1,1,100.00%,0,0.00%,1,0,0,0,0,0,0,,,
(V04) (540GA) Tucker County,268,265,98.88%,3,1.12%,187,43,35,3,0,0,0,6.57,5.75,5.41
"(V04) (540GB) Wood County
Veterans Center","1,278","1,260",98.59%,18,1.41%,"1,145",61,54,17,1,0,0,3.12,2.29,1.63
(V04) (540GC) Braxton County,632,625,98.89%,7,1.11%,557,43,25,7,0,0,0,3.05,10.16,0.18
(V04) (540GD) Monongalia County,"1,025","1,018",99.32%,7,0.68%,861,89,68,5,2,0,0,4.51,0,3.66
"(V04) (540HK) Clarksburg VA Mobile
Clinic",32,27,84.38%,5,15.63%,14,1,12,5,0,0,0,14.48,,
"(V04) (542) Coatesville, PA","16,982","16,844",99.19%,138,0.81%,"15,816",541,487,123,11,1,3,1.23,3.77,3.45
(V04) (542) Coatesville VAMC,"14,964","14,831",99.11%,133,0.89%,"13,880",496,455,118,11,1,3,1.11,3.79,3.99
(V04) (542BU) VADOM Coatesville,555,555,100.00%,0,0.00%,552,3,0,0,0,0,0,,,0.02
(V04) (542GA) Springfield,939,935,99.57%,4,0.43%,880,29,26,4,0,0,0,1.88,0,1.97
(V04) (542GE) Spring City,524,523,99.81%,1,0.19%,504,13,6,1,0,0,0,0.87,0,1.2
"(V04) (562) Erie, PA","16,117","15,817",98.14%,300,1.86%,"14,243",731,843,242,42,12,4,5.74,4.65,1.01
(V04) (562) Erie VAMC,"12,387","12,159",98.16%,228,1.84%,"11,033",497,629,174,39,11,4,6.97,4.51,0.91
(V04) (562GA) Crawford County,824,796,96.60%,28,3.40%,653,64,79,26,2,0,0,7.45,10.04,1.15
(V04) (562GB) Ashtabula County,999,965,96.60%,34,3.40%,812,71,82,34,0,0,0,6.48,0.08,1.06
(V04) (562GC) McKean County,293,291,99.32%,2,0.68%,258,19,14,2,0,0,0,3.49,0.55,0.29
(V04) (562GD) Venango County,918,911,99.24%,7,0.76%,856,38,17,5,1,1,0,1.47,9.56,3.02
(V04) (562GE) Warren,696,695,99.86%,1,0.14%,631,42,22,1,0,0,0,3.22,0.1,0.23
"(V04) (595) Lebanon, PA","29,042","28,172",97.00%,870,3.00%,"24,658","1,738","1,776",666,157,13,34,3.29,6.09,2.5
(V04) (595) Lebanon VAMC,"20,351","19,653",96.57%,698,3.43%,"17,256","1,134","1,263",517,137,10,34,3.07,6.16,1.7
(V04) (595GA) Camp Hill,"3,164","3,086",97.53%,78,2.47%,"2,622",256,208,63,15,0,0,3.62,6.18,4.73
(V04) (595GC) Lancaster,"1,396","1,383",99.07%,13,0.93%,"1,268",64,51,11,0,2,0,2.04,5.58,1.49
(V04) (595GD) Berks County,"1,196","1,181",98.75%,15,1.25%,"1,008",93,80,13,2,0,0,3.31,8.5,3.92
(V04) (595GE) York,"2,579","2,517",97.60%,62,2.40%,"2,240",139,138,59,2,1,0,3.55,5,1.46
(V04) (595GF) Pottsville,356,352,98.88%,4,1.12%,264,52,36,3,1,0,0,6.16,,3.16
"(V04) (642) Philadelphia, PA","38,817","37,962",97.80%,855,2.20%,"33,953","1,893","2,116",612,146,67,30,3.74,4.08,2.54
"(V04) (642) Corporal M. J. Crescenz
VAMC","32,612","31,955",97.99%,657,2.01%,"28,686","1,514","1,755",486,97,44,30,3.58,3.72,2.6
"(V04) (642GA) Burlington County VA
Clinic","1,377","1,353",98.26%,24,1.74%,"1,214",65,74,18,5,1,0,4.57,2.48,1.05
"(V04) (642GC) Victor J. Saracini VA
OPC","2,245","2,165",96.44%,80,3.56%,"1,780",196,189,59,10,11,0,4.7,9.43,4.22
(V04) (642GD) Gloucester County,"2,583","2,489",96.36%,94,3.64%,"2,273",118,98,49,34,11,0,2.86,10.89,1.92
"(V04) (646) Pittsburgh, PA","39,356","38,144",96.92%,"1,212",3.08%,"31,664","3,057","3,423","1,073",111,27,1,5.06,6.81,1.06
"(V04) (646) Pittsburgh VAMC
University Dr","25,020","23,970",95.80%,"1,050",4.20%,"19,280","2,073","2,617",928,96,25,1,6.84,8.09,0.82
"(V04) (646A4) H. John Heinz III
VAMC","7,886","7,776",98.61%,110,1.39%,"6,835",506,435,97,11,2,0,5.74,3.28,1.39
(V04) (646GA) Belmont County,"1,059","1,035",97.73%,24,2.27%,897,69,69,21,3,0,0,4.32,4.67,1.25
(V04) (646GB) Westmoreland County,"1,828","1,824",99.78%,4,0.22%,"1,529",173,122,4,0,0,0,3.59,3.08,1.26
(V04) (646GC) Beaver County,"1,159","1,152",99.40%,7,0.60%,961,114,77,7,0,0,0,4.36,3.5,3.16
