Location_2016,Appts_2016,Appts_Complete_Over_30_Days_%_2016,PC_Wait_2016,SC_Wait_2016,MH_Wait_2016
(V01) (631GC) Pittsfield,660,0.0379,6.49,2.7,5.01
"(V01) (631GD) Greenfield (Franklin
County)",767,0.0065,4.23,10,2.49
(V01) (631GE) Worcester,3498,0.0366,4.38,9.17,5.31
(V01) (631GF) Fitchburg,802,0.0000,3.02,1.74,2.16
"(V01) (631MA) IDES Keller Army
Community Hospital",8,0.0000,,5.2,9
(V01) (631PA) 631PA,2,0.0000,,,
(V01) (631QA) Plantation Street,1084,0.0101,,2.4,
"(V01) (650) Providence, RI",31972,0.0214,4.47,4.76,2.58
(V01) (650) Providence VAMC,28011,0.0224,5.27,5.05,2.16
"(V01) (650GA) New Bedford Primary
Care Ctr.",1816,0.0171,2.91,0.34,7.78
(V01) (650GB) Hyannis,1416,0.0078,2.82,2.8,1.25
(V01) (650GD) Middletown,729,0.0219,2.99,2.57,3.02
"(V01) (689) VA Connecticut HCS, CT",51874,0.0118,1.12,3.81,1.7
(V01) (689) West Haven VAMC,31575,0.0120,0.88,3.69,2.01
(V01) (689A4) Newington VAMC,16993,0.0134,1.61,4.05,0.89
(V01) (689GA) Waterbury,585,0.0034,0.6,,2.31
(V01) (689GB) Stamford,322,0.0000,0.23,,0.03
(V01) (689GC) Willimantic,395,0.0000,0.54,0,0.56
(V01) (689GD) Winsted,506,0.0000,0.7,4.83,2.01
(V01) (689GE) Danbury,446,0.0000,0.88,0,2.7
"(V01) (689HC) New London VA
Primary Care Center",1052,0.0038,1.53,0.25,3.58
"(V02) (528) Albany, NY",23419,0.0389,4.83,5.39,4.81
"(V02) (528A8) Samuel S Stratton
VAMC",19633,0.0446,8.26,5.43,5.22
(V02) (528G2) Westport,201,0.0000,3.59,0,0
(V02) (528G3) Bainbridge,375,0.0107,3.52,0,0.71
(V02) (528G6) Fonda,179,0.0000,0.35,5,0.4
(V02) (528G7) Catskill,289,0.0554,6.06,0,12.65
(V02) (528GT) Glens Falls,774,0.0000,1.34,0.36,0.07
(V02) (528GV) Plattsburgh,554,0.0000,4.46,0,0.42
(V02) (528GW) Schenectady,433,0.0115,0.03,0,20.24
(V02) (528GX) Troy,247,0.0040,2.66,0,13.92
(V02) (528GY) Clifton Park,262,0.0420,7.77,0,1.82
(V02) (528GZ) Kingston,472,0.0000,1,0,4.72
"(V02) (528) Bath, NY",15432,0.0180,3.47,7.04,2.13
"(V02) (528A6) Bath VA Medical
Center",13966,0.0180,2.3,7.04,2.61
(V02) (528G4) Elmira,990,0.0222,7.12,7.13,0.67
(V02) (528G8) Wellsville,476,0.0084,2.96,7.09,0.31
"(V02) (528) Western New York, NY",38938,0.0502,8.16,7.38,2.7
"30,837",29122,25626.0000,7.86,2.26,
,4020,0.0507,16.46,3.06,2.3
(V02) (528GB) Jamestown,941,0.0287,4.47,3.72,6.8
(V02) (528GC) Dunkirk,620,0.0032,1.2,1.73,4.45
(V02) (528GD) Niagara Falls,504,0.0020,1.91,8.57,5.51
(V02) (528GK) Lockport,366,0.0027,0.96,0,4.29
(V02) (528GQ) Lackawanna,943,0.0021,2.35,2.13,2.19
(V02) (528GR) Olean,707,0.0042,1.9,2.23,2.32
"(V02) (528) Canandaigua, NY",14137,0.0472,10.11,6,3.29
"(V02) (528A5) Canandaigua VA
Medical Center",6432,0.0482,11.51,6.01,1.99
(V02) (528GE) Rochester,7705,0.0463,9.34,5.99,4.46
"(V02) (528) Syracuse, NY",33523,0.0335,4.19,6.82,3.29
"(V02) (528A7) Syracuse VA Medical
Center",22310,0.0344,3.19,6.96,2.46
(V02) (528G5) Auburn,486,0.0021,1.21,0.27,1.16
(V02) (528G9) Tompkins County,890,0.0124,1.58,8.06,1.8
(V02) (528GL) Massena,1182,0.0330,5.01,20.17,3.1
"(V02) (528GM) Donald J Mitchell VA
OPC",3716,0.0471,7,7.26,3.94
(V02) (528GN) Binghamton,2092,0.0163,2.9,5.74,0.91
(V02) (528GO) Watertown,2069,0.0445,6.5,4.41,7.71
(V02) (528GP) Oswego,641,0.0047,4.3,6.03,2
(V02) (528MA) Watertown DES,101,0.0000,,0,
(V02) (528QN) Watertown 2,36,0.0000,,0,1.21
"(V03) (526) Bronx, NY",25620,0.0053,4.91,2.91,1.23
(V03) (526) James J. Peters VAMC,24834,0.0053,5.3,2.92,0.99
(V03) (526GA) White Plains,401,0.0025,4.35,0,7.5
(V03) (526GB) Yonkers,269,0.0074,0.94,0,1.04
"(V03) (526GD) Thomas P. Noonan
Jr. VA OPC",116,0.0086,3.01,0,0
"(V03) (561) New Jersey HCS, NJ",43517,0.0220,0.93,4.84,0.88
(V03) (561) East Orange VAMC,22993,0.0271,0.96,5.13,1.56
"(V03) (561A4) New Jersey HCS, NJ -
Lyons Campus",8046,0.0263,0.09,5.13,0.2
(V03) (561BY) Newark,480,0.0000,,,
(V03) (561BZ) Brick,6047,0.0172,2.14,3.78,0.75
(V03) (561GA) Hamilton,548,0.0018,0.25,2,0.93
(V03) (561GB) Elizabeth,297,0.0000,0.03,5,0.37
(V03) (561GD) Hackensack,2127,0.0005,0.12,0.58,0.02
(V03) (561GE) Jersey City,327,0.0061,0.06,9.89,0.3
(V03) (561GF) Piscataway,640,0.0016,0.57,0,0.97
(V03) (561GH) Morristown,511,0.0078,1.76,0,3.48
(V03) (561GI) Tinton Falls,1125,0.0053,1.81,1.64,1.7
(V03) (561GJ) Paterson,376,0.0027,0.17,0,0.58
"(V03) (620) VA Hudson Valley HCS, NY",25943,0.0019,1.73,2.82,1.93
"(V03) (620) Franklin Delano
Roosevelt Hospital",7585,0.0000,1.27,1.58,1.78
(V03) (620A4) Castle Point VAMC,10997,0.0007,1.76,2.72,0.6
,1455,0.0000,,,
(V03) (620GA) New City,1468,0.0027,1.51,3,2.09
(V03) (620GB) Carmel,673,0.0000,0.65,3.97,1.78
(V03) (620GD) Goshen,1338,0.0194,3.07,6.92,6.17
(V03) (620GE) Port Jervis,1087,0.0055,2.66,3.97,4.15
(V03) (620GF) Monticello,545,0.0073,0.4,4.66,5.77
(V03) (620GG) Poughkeepsie,507,0.0000,1.04,5.22,1.74
(V03) (620GH) Eastern Dutchess,215,0.0000,2.78,7.59,4.81
(V03) (620MA) IDES West Point,7,0.0000,,0,0
"(V03) (620QA) Montrose 1 VA Mobile
Clinic",12,0.0000,,,
"(V03) (620QB) Montrose 2 VA Mobile
Clinic",54,0.0000,,3.07,
"(V03) (630) New York Harbor HCS, NY",47991,0.0067,2.06,1.55,1.08
(V03) (630) Manhattan VAMC,22356,0.0089,2.19,1.89,1.06
"(V03) (630A4) New York Harbor
HCS-Brooklyn Campus",21294,0.0052,2.66,1.25,1.17
(V03) (630A5) St. Albans VAMC,3122,0.0032,0.46,0.95,0.61
(V03) (630GA) Harlem CBOC,159,0.0000,0.17,,0
(V03) (630GB) Staten Island CBOC,1060,0.0019,1.08,1.26,0.92
"(V03) (632) Northport, NY",30039,0.0194,5.45,4.08,1.53
(V03) (632) Northport VAMC,25665,0.0197,6.22,3.97,1.07
(V03) (632BU) Northport VADOM,234,0.0000,,,
(V03) (632GA) East Meadow,1417,0.0021,3.47,5.67,1.49
(V03) (632HA) Valley Stream,412,0.0024,4.74,0,2.9
(V03) (632HB) Riverhead,783,0.0153,5.22,4.58,3.38
(V03) (632HC) Bay Shore,391,0.0230,5.8,,0.64
(V03) (632HD) Patchoque,899,0.0278,5.59,5.6,5.3
(V03) (632HE) Mt. Sinai,5,0.4000,17.8,,
"(V03) (632QA) Northport 1 VA Mobile
Clinic",184,0.0543,,5.99,
"(V03) (632QB) Northport 2 VA Mobile
Clinic",49,0.3265,,24.84,
"(V04) (460) Wilmington, DE",16633,0.0492,4.84,8.58,10.25
(V04) (460) Wilmington VAMC,11738,0.0505,4.27,8.65,10.86
(V04) (460GA) Sussex County,1196,0.0385,4.49,4.41,11.1
(V04) (460GC) Kent County,1425,0.0758,6.7,4.76,13.64
(V04) (460GD) Cape May USCG,364,0.0742,11.42,6.65,2.16
(V04) (460HE) Atlantic County,1030,0.0291,2.53,16.66,5.66
(V04) (460HG) Cumberland County,790,0.0177,6.4,9.22,4.04
"(V04) (460HK) Wilmington VA Mobile
Clinic",62,0.0000,0,,
(V04) (460MA) IDES Dover AFB,28,0.0000,,12.13,22.75
"(V04) (503) Altoona, PA",14544,0.0013,4.2,4.48,1.28
"(V04) (503) James E. Van Zandt
VAMC",9239,0.0021,4.17,4.09,1.5
(V04) (503GA) Johnstown,1606,0.0000,4.11,8.23,1.1
(V04) (503GB) DuBois (Clearfield),1682,0.0000,5.23,5.89,0.92
"1,306",1306,1068.0000,6.15,1.12,
,322,0.0000,3.02,1,0.58
(V04) (503GE) Indiana County,389,0.0000,1.98,0,0.33
"(V04) (529) Butler, PA",10009,0.0064,2.17,1.59,1.53
(V04) (529) Butler VAMC,7213,0.0008,0.92,1.73,1.7
"(V04) (529GA) Michael A. Marzano
VA OPC",889,0.0000,0.13,0.4,0.84
(V04) (529GB) Lawrence County,418,0.0000,0.1,0.6,0.03
(V04) (529GC) Armstrong County,510,0.0843,10.48,1.05,1.11
(V04) (529GD) Clarion County,337,0.0030,1.06,0.96,0
(V04) (529GF) Cranberry Township,642,0.0218,3.16,1.04,0.09
"(V04) (540) Clarksburg, WV",17909,0.0306,4.7,5.72,2.57
(V04) (540) Louis A Johnson VAMC,14673,0.0346,5.2,5.71,2.51
(V04) (540BU) Clarksburg VADOM,1,0.0000,,,
(V04) (540GA) Tucker County,268,0.0112,6.57,5.75,5.41
"(V04) (540GB) Wood County
Veterans Center",1278,0.0141,3.12,2.29,1.63
(V04) (540GC) Braxton County,632,0.0111,3.05,10.16,0.18
(V04) (540GD) Monongalia County,1025,0.0068,4.51,0,3.66
"(V04) (540HK) Clarksburg VA Mobile
Clinic",32,0.1563,14.48,,
"(V04) (542) Coatesville, PA",16982,0.0081,1.23,3.77,3.45
(V04) (542) Coatesville VAMC,14964,0.0089,1.11,3.79,3.99
(V04) (542BU) VADOM Coatesville,555,0.0000,,,0.02
(V04) (542GA) Springfield,939,0.0043,1.88,0,1.97
(V04) (542GE) Spring City,524,0.0019,0.87,0,1.2
"(V04) (562) Erie, PA",16117,0.0186,5.74,4.65,1.01
(V04) (562) Erie VAMC,12387,0.0184,6.97,4.51,0.91
(V04) (562GA) Crawford County,824,0.0340,7.45,10.04,1.15
(V04) (562GB) Ashtabula County,999,0.0340,6.48,0.08,1.06
(V04) (562GC) McKean County,293,0.0068,3.49,0.55,0.29
(V04) (562GD) Venango County,918,0.0076,1.47,9.56,3.02
(V04) (562GE) Warren,696,0.0014,3.22,0.1,0.23
"(V04) (595) Lebanon, PA",29042,0.0300,3.29,6.09,2.5
(V04) (595) Lebanon VAMC,20351,0.0343,3.07,6.16,1.7
(V04) (595GA) Camp Hill,3164,0.0247,3.62,6.18,4.73
(V04) (595GC) Lancaster,1396,0.0093,2.04,5.58,1.49
(V04) (595GD) Berks County,1196,0.0125,3.31,8.5,3.92
(V04) (595GE) York,2579,0.0240,3.55,5,1.46
(V04) (595GF) Pottsville,356,0.0112,6.16,,3.16
"(V04) (642) Philadelphia, PA",38817,0.0220,3.74,4.08,2.54
"(V04) (642) Corporal M. J. Crescenz
VAMC",32612,0.0201,3.58,3.72,2.6
"(V04) (642GA) Burlington County VA
Clinic",1377,0.0174,4.57,2.48,1.05
"(V04) (642GC) Victor J. Saracini VA
OPC",2245,0.0356,4.7,9.43,4.22
(V04) (642GD) Gloucester County,2583,0.0364,2.86,10.89,1.92
"(V04) (646) Pittsburgh, PA",39356,0.0308,5.06,6.81,1.06
,25020,0.0420,6.84,8.09,0.82
"(V04) (646A4) H. John Heinz III
VAMC",7886,0.0139,5.74,3.28,1.39
(V04) (646GA) Belmont County,1059,0.0227,4.32,4.67,1.25
(V04) (646GB) Westmoreland County,1828,0.0022,3.59,3.08,1.26
(V04) (646GC) Beaver County,1159,0.0060,4.36,3.5,3.16
(V04) (646GD) Washington County,1244,0.0088,4.03,2.45,1.09
(V04) (646GE) Fayette County,1160,0.0052,1.4,4.66,0.6
"(V04) (693) Wilkes-Barre, PA",26602,0.0203,1.86,3.97,6.13
(V04) (693) Wilkes-Barre VAMC,19368,0.0183,1.45,4.1,4.36
(V04) (693B4) Allentown,4426,0.0316,3.32,4.39,10.33
(V04) (693GA) Sayre,993,0.0151,1.38,1.63,1.1
(V04) (693GB) Williamsport,1089,0.0239,1.07,0.15,9.22
(V04) (693GC) Tobyhanna,100,0.0000,2.34,,0
(V04) (693GF) Columbia County,317,0.0095,0,,3.64
(V04) (693GG) Northampton County,309,0.0032,1.78,0.26,6.09
"(V05) (512) Baltimore HCS, MD",47872,0.0273,3.72,6.35,1.8
"(V05) (512) Baltimore VA Medical
Center",29465,0.0328,4.63,6.36,0.6
(V05) (512A5) Perry Point,8030,0.0022,2.05,2.42,1.34
(V05) (512GA) Cambridge,2441,0.0352,1.8,15.16,4.94
(V05) (512GC) Glen Burnie,1951,0.0748,5.12,16.59,8.94
(V05) (512GD) Loch Raven,3377,0.0207,3.09,6.03,1.32
(V05) (512GE) Pocomoke City,589,0.0068,2.58,,8.68
(V05) (512GF) Fort Howard,642,0.0047,4.78,11.38,0.95
(V05) (512GG) Fort Meade,1377,0.0087,5.08,4.68,4.57
"(V05) (613) Martinsburg, WV",35044,0.0404,4.73,7.51,4.97
"(V05) (613) Martinsburg VA Medical
Center",25772,0.0466,4.13,7.9,3.86
(V05) (613BU) VADOM Martinsburg,723,0.0000,,0.02,4.22
(V05) (613GA) Cumberland,1365,0.0374,6.45,5.23,9.63
(V05) (613GB) Hagerstown,1390,0.0194,5.26,6,5.54
(V05) (613GC) Stephens City,2025,0.0217,3.82,5.14,8.2
(V05) (613GD) Franklin,92,0.0109,3.37,,0.62
(V05) (613GE) Petersburg,405,0.0049,4.96,2.77,0.44
(V05) (613GF) Harrisonburg,1373,0.0233,5.86,0.86,6.99
(V05) (613GG) Fort Detrick,1899,0.0305,4.54,5.35,7.53
"(V05) (688) Washington, DC",48333,0.0081,3.08,2.54,2.31
"(V05) (688) Washington VA Medical
Center",41762,0.0074,3.41,2.44,1.96
"(V05) (688DV) Charlotte Hall State
Veterans Home",3,0.0000,,,6
(V05) (688GA) Fort Belvoir,2575,0.0194,3.25,6.53,3.84
(V05) (688GB) Southeast Washington,347,0.0000,0.87,0.25,0.48
(V05) (688GD) Charlotte Hall,1436,0.0146,3.55,3.77,9.28
"(V05) (688GE) Southern Prince
Georges County",2210,0.0059,1.54,3.07,0.54
"(V06) (517) Beckley, WV",12890,0.0237,4.24,6.7,2.87
,12210,0.0236,4.09,6.79,2.87
(V06) (517GB) Greenbrier County,480,0.0021,2.62,0.19,2.75
(V06) (517QA) Princeton,200,0.0800,8.73,14.87,
"(V06) (558) Durham, NC",51307,0.0680,5.9,10.89,3.84
(V06) (558) Durham VAMC,34562,0.0613,4.74,9.04,2.63
(V06) (558GA) Greenville,9512,0.1263,8.34,19.45,4.66
(V06) (558GB) Raleigh,5549,0.0207,6.23,5.63,4.66
(V06) (558GC) Morehead City,1684,0.0327,4.51,2.11,4.57
"(V06) (565) Fayetteville, NC",43304,0.0923,6.9,17.76,4.69
(V06) (565) Fayetteville VAMC,11609,0.0684,0.22,16.71,4.13
(V06) (565GA) Jacksonville VA Clinic,2505,0.0287,5.54,10.64,6.26
(V06) (565GC) Wilmington,7318,0.0977,7.02,17.05,6.01
(V06) (565GD) Hamlet,742,0.0687,10.1,35.5,3.48
(V06) (565GE) Robeson County,1021,0.0157,1.42,30.6,3.05
(V06) (565GF) Goldsboro,1036,0.0347,6.2,15.17,2.24
(V06) (565GG) Lee County,740,0.0135,5.22,7,3.2
(V06) (565GL) Cumberland County,17941,0.1266,7.76,18.9,3.25
(V06) (565MB) IDES Fort Bragg,145,0.0000,,8.97,
(V06) (565MD) IDES Camp Lejeune,247,0.1336,,6.64,25.54
"(V06) (590) Hampton, VA",33451,0.0529,9.27,7.11,5.76
(V06) (590) Hampton VAMC,27945,0.0488,8.6,7.16,4.87
(V06) (590GB) Virginia Beach,2620,0.0718,12.19,4.78,10.79
(V06) (590GC) Albemarle,992,0.0464,8.27,0,1.67
(V06) (590GD) Chesapeake,1669,0.1025,9.95,0.82,3.85
(V06) (590MA) IDES Portsmouth,92,0.0000,,14.61,15.74
(V06) (590MB) IDES Langley,44,0.0000,,8.14,
(V06) (590MC) IDES Fort Eustis,89,0.0000,,8.86,8.68
"(V06) (637) Asheville, NC",33643,0.0601,6.29,9.38,3.07
(V06) (637) Charles George VAMC,27471,0.0664,6.19,9.87,2.88
(V06) (637GA) Franklin,1510,0.0146,4.26,1.53,2.63
(V06) (637GB) Rutherford County,1269,0.0189,5.01,2.86,3.43
(V06) (637GC) Hickory,3393,0.0445,8.43,4.12,3.8
"(V06) (652) Richmond, VA",49828,0.0298,3.59,6.55,2.83
"(V06) (652) Hunter Holmes McGuire
Hospital",44186,0.0331,4.11,6.59,3.13
(V06) (652GA) Fredericksburg,2026,0.0054,2.36,7.16,3.31
"(V06) (652GB) Fredericksburg 2 VA
Clinic",1167,0.0026,3.14,2.32,2.33
(V06) (652GE) Charlottesville,1786,0.0017,1.61,3.39,0.95
(V06) (652GF) Emporia,663,0.0090,1.53,9.53,1.52
"(V06) (658) Salem, VA",33301,0.0542,4.14,11.11,2.11
(V06) (658) Salem VAMC,27114,0.0654,5.29,11.47,2.25
(V06) (658GA) Tazewell,232,0.0086,2.87,,0.29
(V06) (658GB) Danville,1984,0.0000,1.63,0,2.39
(V06) (658GC) Lynchburg,1646,0.0170,5.03,0,3.89
,1101,0.0000,3.57,0.81,0.01
(V06) (658GE) Wytheville,1224,0.0000,1.04,0.81,0.26
"(V06) (659) Salisbury, NC",56948,0.0498,4.96,8.66,4.53
"(V06) (659) W.G. (Bill) Hefner
Salisbury VAMC",29868,0.0666,4.29,9.34,3.35
(V06) (659BY) Kernersville,12114,0.0300,4.91,6.87,5.82
(V06) (659BZ) South Charlotte,12192,0.0372,5.36,8.69,4.71
(V06) (659GA) North Charlotte,2774,0.0108,5.65,5.32,4.61
"(V07) (508) Atlanta, GA",82629,0.0492,5.75,10.12,1.62
"(V07) (508) Atlanta VA Medical
Center",45636,0.0554,7.53,10.34,1.62
(V07) (508GA) Fort McPherson,6413,0.0211,3.66,11.82,1.68
(V07) (508GE) Oakwood,3636,0.0297,6.4,5.67,1.45
(V07) (508GF) Austell,2622,0.0019,3.98,6.39,1.09
(V07) (508GG) Stockbridge,2549,0.0031,2.6,5.8,1.03
(V07) (508GH) Lawrenceville,2892,0.0010,2.99,3.85,1.82
(V07) (508GI) Newnan,1964,0.0173,5.22,5.67,2.24
(V07) (508GJ) Blairsville,1065,0.0169,2.92,2.31,1.1
"(V07) (508GK) Trinka Davis Veterans
Village",2832,0.0699,8.84,11.45,2.83
(V07) (508QF) Atlanta VA Clinic,13020,0.0788,7.87,10.25,1.59
"(V07) (509) Augusta, GA",32329,0.0576,8.64,8.33,2.28
"(V07) (509) Charlie Norwood VA
Medical Center",14832,0.0653,,8.98,3
(V07) (509A0) Lenwood (Uptown),13180,0.0586,9.46,6.11,2.31
(V07) (509GA) Athens,2346,0.0448,8.38,8.4,2.02
(V07) (509GB) Aiken,1971,0.0081,4.32,1.93,2.24
"(V07) (521) Birmingham, AL",55964,0.0551,3.02,11.79,2.53
"(V07) (521) Birmingham VA Medical
Center",37852,0.0703,3.4,12.31,2.44
(V07) (521GA) Huntsville AL,7283,0.0485,4.39,10.82,3.91
"(V07) (521GC) Florence AL (Shoals
Area)",1794,0.0000,3.57,0.41,2.59
(V07) (521GD) Rainbow City,1881,0.0000,0.28,1.58,1.74
(V07) (521GE) Anniston/Oxford AL,1840,0.0000,2.83,2.48,4.01
(V07) (521GF) Jasper AL,1134,0.0220,0.29,11.69,0.4
(V07) (521GG) Bessemer,1149,0.0113,3.31,3.5,0.72
(V07) (521GH) Childersburg,1350,0.0000,1.57,0.3,1.32
(V07) (521GI) Guntersville,1427,0.0119,1.15,10.2,1.52
(V07) (521GJ) Birmingham VA Clinic,254,0.0591,,15.31,2.41
"(V07) (534) Charleston, SC",57170,0.0305,3.2,8.5,2.16
"(V07) (534) Ralph H Johnsons VA
Medical Center",30970,0.0407,3.38,8.26,1.58
(V07) (534BY) Savannah,6897,0.0135,4.32,8.83,2.53
(V07) (534GB) Myrtle Beach,7180,0.0350,3.76,15.06,3.67
(V07) (534GC) Beaufort,2651,0.0057,3.34,2.1,1.96
(V07) (534GD) Goose Creek,5603,0.0178,2.42,6.54,2.68
(V07) (534GE) Hinesville,3718,0.0056,0.95,2.54,1.98
(V07) (534QC) Charleston,151,0.0000,,,
,57516,0.0717,7.85,13.36,3.48
"(V07) (544) Wm. Jennings Bryan
Dorn VA Medical Center",39172,0.0702,5.96,13.09,3.32
(V07) (544BZ) Greenville SC,6851,0.0993,9.91,15.28,4.84
(V07) (544GB) Florence,2178,0.0542,8.96,9.65,0.67
(V07) (544GC) Rock Hill,2846,0.0095,3.32,,2.32
(V07) (544GD) Anderson,1701,0.1928,17.57,15.59,12.51
(V07) (544GE) Orangeburg,925,0.0400,8.77,,2.47
(V07) (544GF) Sumter,1888,0.0636,10.37,,2.45
(V07) (544GG) Spartanburg,1772,0.0124,6.13,5.31,3.06
"(V07) (544HK) Columbia VA Mobile
Clinic",183,0.2350,,13.4,
"(V07) (557) Dublin, GA",28073,0.0726,7.06,14.3,4.54
"(V07) (557) Carl Vinson VA Medical
Center",20177,0.0779,6.6,15.24,3.41
(V07) (557GA) Macon,1976,0.0628,4.69,0.79,10.98
(V07) (557GB) Albany,2316,0.0898,12.93,13.91,1.24
(V07) (557GC) Milledgeville,648,0.0062,4.56,0.17,2.38
(V07) (557GE) Brunswick,1786,0.0134,2.22,5.27,4.8
(V07) (557GF) Tift County,85,0.0000,1.44,0,0.09
(V07) (557HA) Perry,1085,0.0968,12.8,9.48,7.61
"(V07) (619) Central Alabama Veterans HCS, AL",33410,0.0812,8.54,14.38,5.96
"(V07) (619) Central Alabama VAMC -
Montgomery",8080,0.0738,,12.38,6.63
"(V07) (619A4) Central Alabama
VAMC - Tuskegee",11128,0.0690,6.67,15.25,3.25
(V07) (619GA) Columbus,1835,0.1030,16.61,8.35,5.74
(V07) (619GB) Dothan 1,1855,0.0383,7.89,,9.85
(V07) (619GD) Wiregrass,2118,0.1034,6.4,20.78,0.97
(V07) (619GE) Monroe County,739,0.0054,1.66,,2.87
"(V07) (619GF) Central Alabama
Montgomery VA Clinic",5172,0.1083,7.51,15.78,6.44
(V07) (619QB) Fort Benning,2483,0.1228,11.47,6.22,23.08
"(V07) (679) Tuscaloosa, AL",11996,0.0308,6.4,4.99,2.77
"(V07) (679) Tuscaloosa VA Medical
Center",11829,0.0313,6.77,4.99,2.78
"(V07) (679HK) Tuscaloosa VA Mobile
Clinic",158,0.0000,1.54,,
(V07) (679MA) IDES Columbus,9,0.0000,,4,0
"(V08) (516) Bay Pines, FL",85013,0.0182,2.57,4.62,1.95
(V08) (516) C.W. Bill Young VAMC,47850,0.0158,2.65,4.72,1.9
(V08) (516BZ) Lee County,19071,0.0348,2.66,5.79,1.75
(V08) (516GA) Sarasota,3881,0.0098,2.97,1.29,1.37
(V08) (516GB) St. Petersburg,636,0.0016,1.78,,1.95
(V08) (516GC) Palm Harbor,2410,0.0195,3.2,0.41,1.26
(V08) (516GD) Bradenton,4412,0.0002,1.88,0.94,3.47
(V08) (516GE) Port Charlotte,3098,0.0119,4.23,2.71,2.24
(V08) (516GF) Naples,2255,0.0004,0.7,3.76,3.07
(V08) (516GH) Sebring,1400,0.0043,1.28,6.36,1.33
"56,986",55824,52198.0000,3.54,1.16,
,33969,0.0175,5.55,2.51,0.28
"(V08) (546BZ) William Bill Kling
VAOC",14994,0.0352,4.51,6.96,1.45
(V08) (546GA) Miami,1068,0.0009,0.08,,0.73
(V08) (546GB) Key West,1438,0.0070,2.64,1.14,5.67
(V08) (546GC) Homestead,2016,0.0079,2.31,1.9,4.07
(V08) (546GD) Pembroke Pines,1035,0.0019,1.82,1.75,1.71
(V08) (546GE) Key Largo,281,0.0107,1.41,4.1,3.68
(V08) (546GF) Hollywood,1452,0.0007,1.1,1.06,0.59
(V08) (546GH) Deerfield Beach,733,0.0082,1.51,1.49,3.92
"(V08) (548) West Palm Beach, FL",57319,0.0283,2.05,5.58,3.37
(V08) (548) West Palm Beach VAMC,43534,0.0365,3.12,6.07,3.6
(V08) (548GA) Fort Pierce,2491,0.0024,0.82,2.34,4.44
(V08) (548GB) Delray Beach,3634,0.0017,0.5,1.32,0.77
