"",,"Total ApptsCompleted1","Apptscompletedin 30 Daysor under2","PercentApptscompletedin 30 Daysor under3","Apptscompletedin over 30Days4","PercentApptscompletedin over 30Days5",,"ApptsCompletedBetween0 - 14Days6","ApptsCompletedBetween15 - 30Days7","ApptsCompletedBetween31 - 60days8","ApptsCompletedBetween61 - 90Days9","ApptsCompletedBetween91 - 120Days10","ApptsCompletedBeyond 120Days11",,"PC AvgWait Timein Days12","SC AvgWait Timein Days13","MH AvgWait Timein Days14"
"(V01) (631GF) Fitchburg",787,770,97.84%,17,2.16%,,708,62,16,1,0,0,,6.45,4.55,2.32,
"",(V01) (631MA) IDES Keller Army Community Hospital,4,4,100.00%,0,0.00%,,3,1,0,0,0,0,,,,
"",(V01) (631PA) 631PA,4,4,100.00%,0,0.00%,,4,0,0,0,0,0,,,,
"(V01) (","50) Providence, RI","28,521","28,115",98.58%,406,1.42%,,"27,104","1,011",336,56,6,8,,2.35,3.65,4.05
"",(V01) (650) Providence,"25,479","25,119",98.59%,360,1.41%,,"24,184",935,306,40,6,8,,2.99,3.67,4.00
"",(V01) (650GA) New Bedford Primary Care Ctr.,"1,240","1,220",98.39%,20,1.61%,,"1,203",17,16,4,0,0,,1.55,2.22,2.03
"",(V01) (650GB) Hyannis Primary Care Center,"1,056","1,037",98.20%,19,1.80%,,994,43,9,10,0,0,,0.86,0.73,8.49
"",(V01) (650GD) Middletown,746,739,99.06%,7,0.94%,,723,16,5,2,0,0,,1.03,2.00,2.25
"(V01) (689) VA Connecticut HCS, CT","48,622","47,894",98.50%,728,1.50%,,"46,505","1,389",609,83,32,4,,1.34,3.42,2.99,
"",(V01) (689) West Haven,"30,208","29,868",98.87%,340,1.13%,,"28,999",869,273,47,18,2,,1.27,3.06,3.15
"",(V01) (689A4) Newington Campus,"14,882","14,507",97.48%,375,2.52%,,"14,046",461,330,34,9,2,,1.63,4.07,2.90
"",(V01) (689GA) Waterbury VA Primary Care Center,568,568,100.00%,0,0.00%,,550,18,0,0,0,0,,1.43,0.00,1.59
"",(V01) (689GB) Stamford VA Primary Care Center,364,364,100.00%,0,0.00%,,362,2,0,0,0,0,,0.96,0.00,0.29
"",(V01) (689GC) Willimantic CBOC,509,508,99.80%,1,0.20%,,502,6,1,0,0,0,,0.80,0.00,0.75
"",(V01) (689GD) Winsted VA Primary Care,514,509,99.03%,5,0.97%,,504,5,0,0,5,0,,0.75,0.00,8.02
"",(V01) (689GE) Danbury,454,454,100.00%,0,0.00%,,451,3,0,0,0,0,,0.75,0.00,3.15
"","(V01) (689HA) WILLIAMATIC, CT (ORC)",1,1,100.00%,0,0.00%,,1,0,0,0,0,0,,,,
"",(V01) (689HC) New London VA Primary Care Center,"1,122","1,115",99.38%,7,0.62%,,"1,090",25,5,2,0,0,,1.56,0.00,1.89
"(V02) (528) Albany, NY","24,865","24,646",99.12%,219,0.88%,,"23,983",663,163,33,17,6,,1.28,1.86,3.02,
"",(V02) (528A8) Albany,"20,636","20,430",99.00%,206,1.00%,,"19,809",621,151,32,17,6,,1.70,1.87,3.57
"",(V02) (528G1) Malone,137,137,100.00%,0,0.00%,,137,0,0,0,0,0,,0.29,,
"",(V02) (528G2) Westport,306,306,100.00%,0,0.00%,,306,0,0,0,0,0,,0.52,1.83,0.12
"",(V02) (528G3) Bainbridge,308,307,99.68%,1,0.32%,,304,3,1,0,0,0,,0.20,2.67,0.74
"",(V02) (528G6) Fonda,278,278,100.00%,0,0.00%,,275,3,0,0,0,0,,0.29,0.00,1.32
"",(V02) (528G7) Catskill,303,299,98.68%,4,1.32%,,292,7,3,1,0,0,,2.54,2.50,3.18
"",(V02) (528GT) Glens Falls,711,710,99.86%,1,0.14%,,707,3,1,0,0,0,,0.60,0.88,1.40
"",(V02) (528GV) Plattsburgh,620,618,99.68%,2,0.32%,,601,17,2,0,0,0,,2.49,0.00,0.31
"",(V02) (528GW) Schenectady,405,404,99.75%,1,0.25%,,403,1,1,0,0,0,,0.59,,1.00
"",(V02) (528GX) Troy,317,317,100.00%,0,0.00%,,316,1,0,0,0,0,,0.78,,1.79
"",(V02) (528GY) Clifton Park,346,342,98.84%,4,1.16%,,335,7,4,0,0,0,,1.99,1.00,0.00
"",(V02) (528GZ) Kingston,498,498,100.00%,0,0.00%,,498,0,0,0,0,0,,0.33,0.00,0.00
"(V02) (528) Bath, NY","13,553","13,302",98.15%,251,1.85%,,"13,067",235,138,96,16,1,,3.05,5.33,0.13,
"",(V02) (528A6) Bath,"12,042","11,819",98.15%,223,1.85%,,"11,636",183,123,87,13,0,,3.06,4.97,0.14
"",(V02) (528G4) Elmira,990,979,98.89%,11,1.11%,,950,29,6,5,0,0,,3.33,6.27,0.15
"",(V02) (528G8) Wellsville,521,504,96.74%,17,3.26%,,481,23,9,4,3,1,,2.51,27.28,0.00
"(V02) (528) Western New York, NY","37,616","36,729",97.64%,887,2.36%,,"35,159","1,570",771,85,25,6,,3.26,3.52,3.91,
"","(V02) (528) Upstate New York HCS, Buffalo NY","29,808","28,980",97.22%,828,2.78%,,"27,626","1,354",719,80,24,5,,4.92,3.65,4.41
"",(V02) (528A4) Upstate New York HCS-Batavia,"3,405","3,367",98.88%,38,1.12%,,"3,200",167,36,2,0,0,,4.78,2.02,3.97
"",(V02) (528GB) Jamestown,920,916,99.57%,4,0.43%,,908,8,3,1,0,0,,0.65,0.41,2.01
"",(V02) (528GC) Dunkirk,717,711,99.16%,6,0.84%,,704,7,5,0,0,1,,1.58,21.00,4.26
"",(V02) (528GD) Niagara Falls,640,638,99.69%,2,0.31%,,637,1,1,1,0,0,,0.59,5.78,1.54
"",(V02) (528GK) Lockport,440,437,99.32%,3,0.68%,,425,12,3,0,0,0,,2.03,6.00,10.33
"",(V02) (528GQ) Lackawanna,853,849,99.53%,4,0.47%,,837,12,4,0,0,0,,0.36,0.00,2.04
"",(V02) (528GR) Olean,833,831,99.76%,2,0.24%,,822,9,0,1,1,0,,1.30,4.69,1.97
"(V02) (528) Canandaigua, NY","13,449","13,183",98.02%,266,1.98%,,"12,559",624,247,18,0,1,,3.65,3.71,1.61,
"",(V02) (528A5) Canandaigua,"6,127","6,000",97.93%,127,2.07%,,"5,810",190,112,15,0,0,,3.14,3.97,0.72
"(V02) (528GE) Rochester","7,322","7,183",98.10%,139,1.90%,,"6,749",434,135,3,0,1,,3.97,3.52,2.55,
"(V02) (528) Syracuse, NY","31,918","30,640",96.00%,"1,278",4.00%,,"29,433","1,207",856,255,106,61,,2.34,8.06,2.33,
"(V02) (528A7) Syracuse","21,143","20,128",95.20%,"1,015",4.80%,,"19,280",848,648,218,98,51,,2.54,8.32,2.61,
"(V02) (528G5) Auburn",485,484,99.79%,1,0.21%,,481,3,0,1,0,0,,1.37,1.00,0.91,
"(V02) (528G9) Cortland",891,889,99.78%,2,0.22%,,883,6,0,0,1,1,,0.90,0.21,0.14,
"",(V02) (528GL) Massena,"1,025","1,018",99.32%,7,0.68%,,"1,005",13,4,3,0,0,,1.29,7.43,0.46
"",(V02) (528GM) Rome,"3,407","3,393",99.59%,14,0.41%,,"3,287",106,12,1,0,1,,1.18,2.86,4.56
"",(V02) (528GN) Binghamton,"2,164","2,068",95.56%,96,4.44%,,"1,964",104,59,31,6,0,,2.22,15.43,1.29
"",(V02) (528GO) Carthage,"2,167","2,045",94.37%,122,5.63%,,"1,923",122,122,0,0,0,,4.08,8.20,2.74
"",(V02) (528GP) Oswego,587,566,96.42%,21,3.58%,,561,5,11,1,1,8,,5.55,2.02,1.18
"",(V02) (528MA) Watertown DES,49,49,100.00%,0,0.00%,,49,0,0,0,0,0,,,,
"(V03) (526) Bronx, NY","25,650","25,515",99.47%,135,0.53%,,"24,971",544,129,6,0,0,,1.50,1.88,1.09,
"",(V03) (526) Bronx,"24,902","24,769",99.47%,133,0.53%,,"24,241",528,127,6,0,0,,1.61,1.88,1.05
"",(V03) (526GA) White Plains,397,397,100.00%,0,0.00%,,395,2,0,0,0,0,,0.82,0.00,0.52
"",(V03) (526GB) Yonkers,267,266,99.63%,1,0.37%,,256,10,1,0,0,0,,0.68,0.00,2.99
"",(V03) (526GD) Queens,84,83,98.81%,1,1.19%,,79,4,1,0,0,0,,2.36,0.00,7.14
"(V03) (561) New Jersey HCS, NJ","43,772","42,381",96.82%,"1,391",3.18%,,"40,467","1,914","1,243",128,17,3,,1.25,6.03,2.20,
"",(V03) (561) New Jersey HCS-East Orange Campus,"23,633","22,748",96.26%,885,3.74%,,"21,477","1,271",801,73,9,2,,0.83,6.33,2.77
"","(V03) (561A4) New Jersey HCS, NJ - Lyons Campus","8,071","7,739",95.89%,332,4.11%,,"7,271",468,308,24,0,0,,3.40,6.43,3.00
"",(V03) (561BU) Lyons DCHV,176,176,100.00%,0,0.00%,,176,0,0,0,0,0,,,,
"",(V03) (561BZ) Brick,"5,798","5,645",97.36%,153,2.64%,,"5,517",128,115,29,8,1,,1.64,4.40,1.44
"",(V03) (561GA) Hamilton,519,519,100.00%,0,0.00%,,514,5,0,0,0,0,,0.18,0.77,1.41
"",(V03) (561GB) Elizabeth,382,382,100.00%,0,0.00%,,371,11,0,0,0,0,,1.79,10.80,1.73
"",(V03) (561GD) Hackensack/Bergen County,"2,183","2,171",99.45%,12,0.55%,,"2,163",8,12,0,0,0,,0.12,3.15,0.42
"",(V03) (561GE) Jersey City,415,414,99.76%,1,0.24%,,410,4,1,0,0,0,,0.42,1.67,1.24
"",(V03) (561GF) Piscataway,646,646,100.00%,0,0.00%,,637,9,0,0,0,0,,0.40,0.00,1.92
"",(V03) (561GH) Morristown,628,628,100.00%,0,0.00%,,627,1,0,0,0,0,,0.30,0.19,0.69
"",(V03) (561GI) Tinton Falls,882,874,99.09%,8,0.91%,,868,6,6,2,0,0,,0.28,2.34,1.75
"",(V03) (561GJ) Paterson,439,439,100.00%,0,0.00%,,436,3,0,0,0,0,,0.51,0.48,0.39
"(V03) (620) VA Hudson Valley HCS, NY","26,650","26,409",99.10%,241,0.90%,,"25,777",632,224,15,1,1,,1.94,2.68,1.29,
"",(V03) (620) VA Hudson Valley HCS-Montrose Campus,"8,327","8,304",99.72%,23,0.28%,,"8,152",152,21,1,0,1,,2.81,2.11,0.93
"",(V03) (620A4) VA Hudson Valley HCS-Castle Point Div,"10,878","10,728",98.62%,150,1.38%,,"10,446",282,138,11,1,0,,2.08,2.66,1.14
"",(V03) (620BU) VADOM Montrose,"1,264","1,262",99.84%,2,0.16%,,"1,261",1,1,1,0,0,,,,
"",(V03) (620GA) New City (Rockland County),"1,465","1,460",99.66%,5,0.34%,,"1,420",40,4,1,0,0,,2.64,3.21,1.93
"",(V03) (620GB) Carmel (Putnam County),936,923,98.61%,13,1.39%,,910,13,12,1,0,0,,0.25,4.03,0.39
"",(V03) (620GD) Goshen,"1,218","1,187",97.45%,31,2.55%,,"1,134",53,31,0,0,0,,2.02,6.78,3.37
"",(V03) (620GE) Port Jervis,"1,173","1,168",99.57%,5,0.43%,,"1,141",27,5,0,0,0,,0.53,0.85,0.59
"",(V03) (620GF) Harris (Monticello),572,568,99.30%,4,0.70%,,558,10,4,0,0,0,,0.78,2.36,5.20
"",(V03) (620GG) Poughkeepsie,597,590,98.83%,7,1.17%,,545,45,7,0,0,0,,3.98,3.98,1.67
"",(V03) (620GH) Eastern Dutchess,204,203,99.51%,1,0.49%,,194,9,1,0,0,0,,1.76,1.36,0.00
"",(V03) (620MA) IDES West Point,16,16,100.00%,0,0.00%,,16,0,0,0,0,0,,,,
"(V03) (","30) New York Harbor HCS, NY","50,405","50,125",99.44%,280,0.56%,,"48,958","1,167",266,12,0,2,,1.57,1.69,1.02
"",(V03) (630) New York Harbor HCS-New York Campus,"22,750","22,584",99.27%,166,0.73%,,"22,016",568,159,5,0,2,,1.00,2.04,1.38
"(V03) (630A4) New York Harbor HCS-Brooklyn Campus","22,787","22,687",99.56%,100,0.44%,,"22,144",543,96,4,0,0,,2.64,1.43,0.51,
"(V03) (630A5) New York Harbor HCS-St. Albans Campus","3,399","3,391",99.76%,8,0.24%,,"3,350",41,8,0,0,0,,0.83,1.05,0.95,
"(V03) (630GA) Harlem CBOC",136,134,98.53%,2,1.47%,,133,1,0,2,0,0,,1.93,0.00,,
"(V03) (630GB) Staten Island CBOC","1,076","1,072",99.63%,4,0.37%,,"1,058",14,3,1,0,0,,0.56,1.19,1.60,
"(V03) (630GC) Chapel St CBOC",257,257,100.00%,0,0.00%,,257,0,0,0,0,0,,0.69,,0.24,
"(V03) (632) Northport, NY","30,955","30,621",98.92%,334,1.08%,,"29,551","1,070",300,27,2,5,,3.38,3.42,0.65,
"(V03) (632) Northport","27,397","27,115",98.97%,282,1.03%,,"26,198",917,248,27,2,5,,3.05,3.40,0.56,
"(V03) (632BU) Northport VADOM",23600%,23600%,100.00%,-,0.00%,,236,0,0,0,0,0,,,,,
"(V03) (632GA) East Meadow","1,242","1,235",99.44%,7,0.56%,,"1,191",44,7,0,0,0,,2.52,8.24,1.12,
"(V03) (632HA) Valley Stream",285,285,100.00%,0,0.00%,,284,1,0,0,0,0,,0.38,0.00,1.48,
"(V03) (632HB) Riverhead",752,750,99.73%,2,0.27%,,682,68,2,0,0,0,,5.66,4.59,0.51,
"",(V03) (632HC) Bay Shore,357,356,99.72%,1,0.28%,,355,1,1,0,0,0,,0.87,,0.60
"",(V03) (632HD) Patchoque,686,644,93.88%,42,6.12%,,605,39,42,0,0,0,,7.24,1.94,0.88
"(V04) (","60) Wilmington, DE","16,891","16,119",95.43%,772,4.57%,,"15,036","1,083",632,105,33,2,,6.04,6.07,2.98
"",(V04) (460) Wilmington,"12,475","11,819",94.74%,656,5.26%,,"10,854",965,575,59,22,0,,8.88,6.13,3.76
"",(V04) (460GA) Sussex County,"1,005",965,96.02%,40,3.98%,,950,15,11,26,2,1,,4.51,9.22,2.12
"",(V04) (460GC) Kent County,"1,338","1,323",98.88%,15,1.12%,,"1,295",28,14,1,0,0,,1.56,2.16,2.33
"",(V04) (460GD) Cape May USCG,428,424,99.07%,4,0.93%,,417,7,3,0,0,1,,1.72,0.29,2.71
"",(V04) (460HE) Atlantic County,687,678,98.69%,9,1.31%,,645,33,8,1,0,0,,3.54,5.87,1.22
"",(V04) (460HG) Cumberland County,875,829,94.74%,46,5.26%,,799,30,19,18,9,0,,7.68,9.22,1.35
"",(V04) (460HK) MOC Wilmington,59,59,100.00%,0,0.00%,,58,1,0,0,0,0,,0.58,,
"",(V04) (460MA) IDES Dover AFB,24,22,91.67%,2,8.33%,,18,4,2,0,0,0,,,,
"(V04) (503) Altoona, PA","14,938","14,632",97.95%,306,2.05%,,"14,200",432,194,97,11,4,,3.42,5.63,1.94,
"",(V04) (503) James E. Van Zandt VA(Altoona),"10,066","9,954",98.89%,112,1.11%,,"9,703",251,93,14,3,2,,2.77,3.67,2.44
"",(V04) (503GA) Johnstown,"2,018","1,913",94.80%,105,5.20%,,"1,839",74,63,38,2,2,,5.17,12.18,1.40
"",(V04) (503GB) DuBois (Clearfield),"1,750","1,693",96.74%,57,3.26%,,"1,634",59,26,26,5,0,,2.81,12.65,0.17
"",(V04) (503GC) State College (Centre County),"1,092","1,060",97.07%,32,2.93%,,"1,012",48,12,19,1,0,,3.93,9.74,1.57
"",(V04) (503GD) Huntingdon,7,7,100.00%,0,0.00%,,7,0,0,0,0,0,,0.00,,
"",(V04) (503GE) Indiana,5,5,100.00%,0,0.00%,,5,0,0,0,0,0,,2.40,,
"(V04) (529) Butler, PA","8,692","8,683",99.90%,9,0.10%,,"8,654",29,9,0,0,0,,0.26,0.41,0.47,
"",(V04) (529) Butler,"6,562","6,553",99.86%,9,0.14%,,"6,531",22,9,0,0,0,,0.36,0.40,0.37
"",(V04) (529GA) Mercer County,841,841,100.00%,0,0.00%,,838,3,0,0,0,0,,0.10,0.31,0.90
"",(V04) (529GB) Lawrence County,401,401,100.00%,0,0.00%,,399,2,0,0,0,0,,0.10,0.73,1.82
"",(V04) (529GC) Armstrong County (Kittanning),261,261,100.00%,0,0.00%,,261,0,0,0,0,0,,0.05,0.00,1.68
"",(V04) (529GD) Clarion County,205,205,100.00%,0,0.00%,,204,1,0,0,0,0,,0.03,2.33,0.83
"",(V04) (529GF) Cranberry Township,422,422,100.00%,0,0.00%,,421,1,0,0,0,0,,0.43,0.10,0.00
"(V04) (540) Clarksburg, WV","17,926","16,772",93.56%,"1,154",6.44%,,"15,715","1,057",797,235,113,9,,7.64,7.51,3.41,
"",(V04) (540) Clarksburg,"14,557","13,507",92.79%,"1,050",7.21%,,"12,640",867,707,225,109,9,,9.23,7.50,3.98
"",(V04) (540GA) Tucker County,237,195,82.28%,42,17.72%,,159,36,37,3,2,0,,16.12,,4.56
"",(V04) (540GB) Wood County Veterans Center,"1,193","1,155",96.81%,38,3.19%,,"1,100",55,32,6,0,0,,3.41,22.83,5.24
"",(V04) (540GC) Braxton,769,766,99.61%,3,0.39%,,731,35,3,0,0,0,,3.44,,1.03
"",(V04) (540GD) Monongalia,"1,101","1,082",98.27%,19,1.73%,,"1,024",58,16,1,2,0,,3.89,0.00,2.03
"",(V04) (540HK) RMU,69,67,97.10%,2,2.90%,,61,6,2,0,0,0,,4.99,,
"(V04) (542) Coatesville, PA","15,159","15,118",99.73%,41,0.27%,,"14,855",263,39,1,0,1,,1.87,1.69,0.91,
"",(V04) (542) Coatesville,"13,529","13,496",99.76%,33,0.24%,,"13,289",207,31,1,0,1,,1.61,1.69,0.71
"",(V04) (542GA) Springfield,"1,010","1,006",99.60%,4,0.40%,,981,25,4,0,0,0,,1.79,0.00,1.64
"",(V04) (542GE) Spring City,620,616,99.35%,4,0.65%,,585,31,4,0,0,0,,3.03,0.00,2.19
"(V04) (","62) Erie, PA","14,712","14,458",98.27%,254,1.73%,,"13,980",478,234,20,0,0,,3.65,2.76,0.51
"",(V04) (562) Erie,"11,230","11,006",98.01%,224,1.99%,,"10,602",404,209,15,0,0,,5.36,2.79,0.51
"(V04) (562GA) Crawford County Primary Care Clinic",948,931,98.21%,17,1.79%,,903,28,17,0,0,0,,2.65,3.65,0.80,
"(V04) (562GB) Ashtabula County Primary Care Clinic",705,702,99.57%,3,0.43%,,672,30,3,0,0,0,,2.27,0.17,0.43,
"(V04) (562GC) McKean County Primary Care Clinic",219,218,99.54%,1,0.46%,,218,0,1,0,0,0,,1.24,,0.00,
"(V04) (562GD) Venango",991,991,100.00%,0,0.00%,,983,8,0,0,0,0,,0.93,0.62,0.58,
"(V04) (562GE) Warren",619,610,98.55%,9,1.45%,,602,8,4,5,0,0,,2.95,0.10,0.12,
"(V04) (595) Lebanon, PA","26,534","26,181",98.67%,353,1.33%,,"25,154","1,027",314,30,8,1,,2.32,3.14,2.25,
"(V04) (595) Lebanon","18,068","17,796",98.49%,272,1.51%,,"16,991",805,241,26,5,0,,3.07,3.29,2.11,
"(V04) (595GA) Camp Hill Outpatient Clinic","3,223","3,202",99.35%,21,0.65%,,"3,114",88,19,0,2,0,,1.40,2.97,1.66,
"(V04) (595GC) Lancaster","1,425","1,420",99.65%,5,0.35%,,"1,389",31,4,1,0,0,,1.81,2.24,1.03,
"(V04) (595GD) Reading","1,019",996,97.74%,23,2.26%,,971,25,22,0,1,0,,1.58,5.41,4.88,
"(V04) (595GE) York County","2,363","2,334",98.77%,29,1.23%,,"2,266",68,26,3,0,0,,2.40,1.16,2.57,
"(V04) (595GF) Pottsville/Fracksville",436,433,99.31%,3,0.69%,,423,10,2,0,0,1,,3.26,,4.97,
"(V04) (642) Philadelphia, PA","39,256","38,144",97.17%,"1,112",2.83%,,"36,530","1,614",700,262,89,61,,3.61,4.90,3.34,
"",(V04) (642) Philadelphia,"32,674","31,715",97.06%,959,2.94%,,"30,325","1,390",598,217,83,61,,3.96,4.78,3.37
"",(V04) (642GA) Outpatient Clinic at Marshall Hall,"2,177","2,160",99.22%,17,0.78%,,"2,127",33,15,2,0,0,,1.69,3.35,1.62
"",(V04) (642GC) Willow Grove PA,"2,224","2,118",95.23%,106,4.77%,,"1,982",136,66,35,5,0,,4.30,14.95,6.55
"",(V04) (642GD) Gloucester,"2,181","2,151",98.62%,30,1.38%,,"2,096",55,21,8,1,0,,2.26,3.15,1.86
"(V04) (646) Pittsburgh, PA","35,530","34,806",97.96%,724,2.04%,,"33,466","1,340",606,94,19,5,,4.02,3.37,0.99,
"",(V04) (646) Pittsburgh HCS-Univ Dr,"22,420","21,932",97.82%,488,2.18%,,"21,006",926,397,70,17,4,,6.64,3.63,0.72
"",(V04) (646A4) Heinz Division HCS,"7,429","7,215",97.12%,214,2.88%,,"6,887",328,188,24,2,0,,5.81,3.29,2.26
"",(V04) (646GA) Belmont,"1,101","1,100",99.91%,1,0.09%,,"1,095",5,1,0,0,0,,0.87,1.08,0.83
"",(V04) (646GB) Westmoreland,"1,109","1,096",98.83%,13,1.17%,,"1,057",39,13,0,0,0,,2.08,0.13,0.54
"",(V04) (646GC) Beaver CBOC,"1,024","1,023",99.90%,1,0.10%,,"1,011",12,1,0,0,0,,0.74,0.49,0.63
"",(V04) (646GD) Washington County,"1,374","1,374",100.00%,0,0.00%,,"1,372",2,0,0,0,0,,0.28,0.08,0.35
